 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C014, C017, C021, C023, C024, C026, C028, C035, C036, C038, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 50.52539, 114.2244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54.1073, 63.39661, 19.54871, 0, 0, 0, 70.88452, 159.2856, 196.3914, 0, 196.431
0.2, 47.99042, 109.0589, 0, 0, 0, 0, 0, 0, 0, 0, -7.629395e-06, 0, 53.53671, 59.13422, 122.7963, 0, 110.4417, 63.09863, 67.56711, 187.8605, 296.0645, 0, 188.0457
0.3, 45.58261, 104.127, 0, 0, 76.0238, 0, 0, 0, 0, 0, 31.78039, 0, 60.3309, 55.15839, 199.1105, 0, 105.2443, 59.0296, 64.40497, 215.4978, 282.3948, 22.96472, 367.4689
0.4, 43.29562, 99.41809, 0, 0, 72.32279, 0, 0, 0, 24.54276, 0, 31.47927, 0, 72.63794, 129.9741, 190.7205, 0, 100.2915, 55.2229, 147.4347, 289.1549, 269.3562, 21.69067, 512.9664
0.5, 41.12338, 225.6498, 0, 0, 68.80196, 0, 0, 0, 92.58618, 0, 29.33245, 0, 69.50394, 121.2354, 201.4854, 0, 95.57176, 51.6618, 189.1832, 276.1593, 256.9197, 179.8563, 538.407
0.6, 39.06015, 215.4454, 0, 0, 65.45252, 0, 0, 0, 87.99374, 0, 27.33205, 0, 66.50516, 176.3481, 192.9952, 0, 91.07414, 48.33026, 219.4812, 293.7523, 415.2809, 200.1126, 547.0652
0.7, 37.10037, 205.7024, 0, 0, 62.26614, 0, 0, 0, 83.62909, 0, 25.46806, 0, 118.9328, 164.4915, 311.0791, 0, 187.8817, 77.95612, 209.2094, 413.0927, 396.1068, 189.0101, 768.1294
0.8, 48.74573, 216.6515, 0, 0, 59.23489, 0, 0, 0, 79.48094, 0, 23.7312, 0, 303.0176, 389.4268, 568.43, 0, 179.0399, 159.7437, 199.4184, 488.5548, 522.2904, 178.5236, 735.3386
0.9, 46.30002, 208.5766, 0, 0, 56.3512, 0, 0, 0, 75.53853, 0, 306.7927, 0, 363.8813, 363.2441, 575.7438, -1.525879e-05, 179.1047, 297.8771, 190.0855, 466.5975, 676.6285, 169.2941, 919.6884
1, 43.97705, 293.866, 0, 0, 53.6079, 0, 0, 0, 71.79169, 0, 429.2596, 0, 508.3521, 487.8702, 551.4833, -7.629395e-06, 284.1102, 278.6678, 181.1895, 518.9119, 645.3876, 282.2649, 1022.672
1.1, 41.77061, 280.5766, 0, 0, 50.99815, 0, 0, 0, 68.23068, 0, 399.9851, 0, 486.4191, 596.4612, 528.2452, 0, 270.7399, 260.6972, 172.7097, 495.5902, 745.0383, 363.5403, 1192
1.2, 110.1302, 267.8883, 0, 0, 48.51546, 0, 0, 0, 64.84631, 0, 372.707, 0, 465.4323, 648.348, 590.3575, 0, 257.9989, 335.1062, 164.6269, 623.4568, 710.6388, 343.3706, 1141.115
1.3, 104.6047, 255.7737, 0, 0, 46.15361, 0, 0, 0, 61.62982, 0, 347.2892, 0, 445.3511, 604.757, 565.4813, -7.629395e-06, 333.162, 378.6335, 156.9223, 659.5021, 677.8275, 324.3199, 1351.628
1.4, 99.35638, 244.207, 0, 0, 43.90675, 0, 0, 0, 58.57286, 0, 323.6048, 0, 454.1644, 637.7704, 541.6533, -7.629395e-06, 317.4833, 354.2164, 424.2213, 629.8619, 646.5312, 351.5476, 1293.928
1.5, 94.37143, 233.1634, 0, 0, 41.76928, 0, 0, 0, 55.66756, 0, 301.5357, 0, 442.2668, 594.8905, 645.5322, -7.629395e-06, 302.5425, 365.011, 404.3676, 727.7644, 719.4351, 490.8456, 1376.86
1.6, 99.90779, 250.1564, 0, 0, 39.73586, 0, 0, 0, 52.90634, 0, 280.9716, 0, 423.1851, 554.8936, 618.3311, 0, 296.2856, 355.8004, 407.6307, 723.4285, 686.2177, 488.0452, 1397.943
1.7, 94.89519, 238.8438, 0, 0, 37.80143, 0, 0, 0, 50.28209, 0, 270.4249, 0, 404.9266, 517.5858, 774.3903, -7.629395e-06, 282.3424, 364.8749, 388.5534, 690.9152, 736.6519, 460.9678, 1549.5
1.8, 90.13408, 228.0427, 0, 0, 35.96117, 0, 0, 0, 139.6454, 0, 251.9825, 0, 387.4559, 482.7864, 784.7991, 0, 269.0553, 354.4497, 376.2996, 714.9068, 702.6395, 435.3927, 1551.064
