 , C000, C002, C003, C004, C005, C006, C007, C008, C009, C010, C012, C013, C016, C017, C018, C019, C020, C024, C037, C040, C041, C051, C052, C062, C074, C084, C088, C109, C111, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
376, 3476.309, 443.6994, 3856.602, 2592.714, 100.5105, 275.6669, 1357.233, 809.3675, 593.9567, 1168.063, 955.5947, 306.3237, 24.38265, 583.4016, 514.1983, 12.37955, 651.8722, 2441.786, 83.67084, 458.0321, 3385.037, 278.8764, 4372.555, 1443.731, 50.80552, 1685.822, 1063.443, 322.1475, 9.231264, 72.56894
376.1, 3250.49, 458.4595, 3677.342, 2470.317, 93.5066, 261.6564, 1362.984, 768.3871, 564.5632, 1112.022, 905.204, 291.4135, 23.26385, 551.8065, 486.6339, 11.64853, 741.5089, 2298.308, 79.46386, 432.5873, 3708.792, 264.7527, 4464.179, 1443.36, 48.37556, 1714.758, 1402.859, 308.3869, 8.80553, 69.55372
376.2, 3033.681, 466.7897, 3554.874, 2489.769, 118.4324, 248.358, 1292.343, 729.4816, 548.7991, 1186.564, 857.4705, 277.2289, 22.19638, 521.9224, 460.5471, 10.96068, 697.7345, 2163.261, 75.46841, 408.5561, 3963.656, 251.3442, 4400.677, 1440.478, 46.06182, 1638.386, 1404.518, 295.2141, 8.399429, 66.66378
376.3, 2878.559, 443.3664, 3545.809, 2488.092, 114.1299, 235.7354, 1225.363, 692.546, 521.6403, 1129.636, 812.2542, 263.7348, 21.1779, 493.6568, 435.8587, 10.31345, 656.5443, 2036.15, 71.67385, 385.8598, 3779.041, 238.6149, 4370.871, 1470.247, 43.85875, 1582.914, 1542.146, 282.604, 8.012057, 63.89392
376.4, 2686.558, 610.5044, 3408.653, 2370.633, 158.9724, 223.7544, 1210.101, 657.4806, 638.3323, 1179.592, 769.4221, 250.8975, 20.20615, 466.9219, 412.4938, 9.704432, 617.7858, 2166.177, 68.07008, 426.52, 3603.024, 226.5302, 4511.203, 1402.013, 41.76104, 1661.828, 1455.964, 270.5325, 7.642551, 61.23914
376.5, 2564.872, 579.8695, 3407.621, 2365.099, 156.2362, 212.3823, 1192.807, 624.1906, 606.7427, 1302.273, 728.8488, 238.6851, 19.27899, 441.6349, 390.3814, 9.131381, 581.3153, 2038.894, 64.64751, 402.8258, 3435.205, 215.0575, 4409.378, 1679.81, 39.76366, 1566.622, 1575.554, 258.9767, 7.290086, 58.69467
376.6, 2536.057, 613.6633, 3432.882, 2253.446, 257.3636, 201.5882, 1144.944, 592.5862, 694.1628, 1239.794, 690.4149, 290.5187, 18.39438, 417.7174, 369.4543, 8.592169, 546.9979, 1968.745, 61.39703, 380.4479, 3489.142, 204.1659, 4374.047, 1769.256, 37.86182, 1899.226, 1851.729, 247.9144, 6.953876, 56.25592
376.7, 2366.901, 676.5645, 3303.979, 2267.651, 239.4297, 191.3426, 1085.603, 562.582, 730.5102, 1472.63, 654.0078, 276.3777, 17.55035, 395.0952, 349.6491, 8.084798, 514.7063, 1853.063, 58.30998, 359.3131, 3326.628, 193.8259, 4176.153, 1864.058, 36.05094, 1790.42, 2075.93, 237.3247, 6.633172, 53.9185
376.8, 2209.028, 739.7073, 3244.166, 2160.599, 292.291, 181.6178, 1029.338, 534.0969, 694.3589, 1471.751, 619.5204, 350.724, 16.74505, 444.701, 330.9056, 7.607387, 484.321, 1744.178, 55.37815, 339.3524, 3171.683, 184.0095, 4181.057, 1957.078, 34.32667, 1687.847, 2294.53, 227.1873, 6.327258, 51.6782
376.9, 2231.381, 806.0881, 3352.191, 2079.008, 271.9233, 172.3873, 975.989, 507.0542, 681.597, 1532.174, 586.8517, 474.3481, 15.97671, 420.6174, 313.1669, 7.158167, 455.7296, 1641.692, 52.59373, 320.5006, 3147.621, 174.6903, 4149.064, 2020.594, 32.68487, 1591.15, 2166.301, 217.483, 6.035452, 49.53099
