 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
252.3, 261.5933, 1164.339, 553.0447, 655.2368, 4.548212, 1255.077, 0.1603125, 133.6186, 1.646913, 129.7514, 29.84955, 450.7446, 279.3915, 1655.813, 1.197126
252.4, 246.7485, 1106.701, 522.1942, 622.924, 4.275586, 1230.148, 0.1519925, 125.1398, 1.542418, 122.5469, 27.82977, 418.4255, 264.7328, 1707.881, 1.143773
252.5, 232.7461, 1141.439, 493.0645, 592.2047, 19.78619, 1174.58, 0.1441043, 117.199, 1.444553, 115.7425, 25.94666, 388.4237, 250.8433, 1634.054, 141.3465
252.6, 232.5899, 1145.514, 465.5598, 620.3796, 18.60018, 1121.522, 0.1366255, 109.7621, 1.352897, 109.3159, 24.19096, 360.5732, 237.6824, 1601.734, 135.0471
252.7, 277.0641, 1088.807, 439.5893, 589.7858, 17.48526, 1100.782, 0.1295349, 102.7971, 1.267057, 103.2461, 22.55407, 334.7195, 225.2121, 1532.495, 129.0283
252.8, 309.9878, 1034.908, 462.1327, 560.7006, 16.43717, 1151.838, 0.1228122, 96.27405, 1.186664, 97.51334, 21.02794, 310.7196, 213.396, 1577.704, 123.2778
252.9, 292.3967, 983.6766, 541.3725, 658.3693, 28.72221, 1187.209, 0.1164384, 90.16494, 1.111371, 92.0989, 19.60508, 347.6223, 202.1999, 1639.106, 131.8067
253, 275.8038, 1039.905, 511.173, 625.902, 27.00056, 1133.58, 0.1103955, 84.44349, 1.040855, 86.9851, 18.27849, 452.8286, 191.5912, 1568.252, 143.7036
253.1, 263.1059, 988.4261, 482.6581, 651.9591, 25.38212, 1119.951, 0.1046661, 79.08509, 0.974814, 82.15524, 17.04167, 420.3601, 181.5391, 1500.461, 137.2991
253.2, 248.1752, 1079.471, 455.7339, 619.8079, 23.86068, 1175.286, 0.0992341, 74.06671, 0.9129629, 77.59356, 15.88854, 390.2196, 277.4041, 1580.761, 131.18
253.3, 234.0918, 1026.033, 486.986, 589.2422, 22.43044, 1122.196, 0.094084, 69.36678, 0.8550363, 73.28516, 14.81343, 362.2403, 262.8497, 1520.786, 125.3336
253.4, 220.8077, 1013.029, 459.8203, 560.1839, 21.08594, 1194.324, 0.08920118, 64.96508, 677.1642, 546.6215, 13.81108, 336.2671, 372.9187, 1455.047, 119.7478
253.5, 208.2773, 1177.655, 434.1701, 748.5955, 33.65972, 1218.478, 388.5802, 60.84269, 1902.024, 614.7412, 12.87654, 312.1562, 353.353, 1453.86, 175.6811
253.6, 202.0168, 1156.93, 409.9507, 711.6786, 31.64211, 1232.449, 837.066, 56.9819, 2567.663, 766.8099, 12.00525, 289.7741, 334.8139, 1391.014, 167.8514
253.7, 190.5528, 1214.216, 387.0823, 676.5824, 29.74545, 1176.777, 920.0934, 53.36609, 2603.311, 724.2327, 11.19291, 268.9969, 317.2474, 1330.884, 160.3706
253.8, 179.7393, 1154.109, 365.4896, 643.2169, 49.45254, 1154.104, 872.3419, 49.97972, 2539.223, 906.8043, 10.43554, 249.7094, 300.6026, 1273.354, 153.2233
253.9, 169.5395, 1096.977, 345.1014, 611.4968, 46.48829, 1101.971, 837.5302, 46.80824, 2428.484, 856.4539, 9.729411, 231.8048, 284.831, 1218.31, 146.3945
254, 159.9185, 1207.935, 325.8506, 620.2292, 43.70173, 1052.193, 834.8884, 43.838, 2274.399, 808.8992, 9.071067, 215.184, 269.887, 1272.231, 212.7337
254.1, 150.8435, 1148.138, 307.6736, 589.6428, 41.08219, 1004.663, 791.559, 41.05624, 2223.974, 982.8319, 8.45727, 199.755, 255.727, 1217.236, 203.2527
254.2, 142.2835, 1103.128, 290.5106, 560.5648, 38.61967, 959.2805, 828.0389, 38.451, 2253.957, 1648.41, 7.885005, 185.4322, 242.3099, 1164.618, 194.1942
254.3, 134.2092, 1048.52, 274.305, 532.9207, 36.30476, 1002.118, 785.065, 36.01108, 2257.598, 1725.893, 7.351463, 172.1364, 229.5968, 1114.275, 220.8057
254.4, 132.9159, 996.6147, 259.0034, 506.6398, 34.12861, 956.8507, 744.3214, 33.72598, 2114.355, 1664.766, 6.854023, 241.7533, 268.7188, 1188.612, 210.9649
254.5, 125.3732, 947.2792, 244.5553, 481.655, 32.0829, 941.3529, 705.6922, 31.58589, 1980.202, 1572.33, 505.1117, 928.1561, 726.6914, 1221.357, 201.5627
254.6, 118.2586, 900.3859, 230.9132, 457.9023, 30.15981, 898.8302, 669.0679, 29.58159, 1951.099, 1546.907, 822.3111, 1258.01, 998.16, 1228.694, 245.9586
254.7, 111.5477, 880.8533, 218.0322, 435.321, 28.352, 874.6752, 634.3442, 27.70448, 1879.185, 1498.263, 766.6691, 1211.52, 945.7902, 1175.581, 234.9968
254.8, 105.2176, 837.2483, 205.8696, 413.8532, 26.65254, 926.621, 601.4227, 25.94648, 1759.952, 1521.448, 714.7921, 1174.466, 896.168, 1219.131, 224.5235
254.9, 99.24673, 795.8019, 194.3855, 393.4442, 25.05496, 884.7638, 574.161, 24.30004, 1730.956, 1700.535, 666.4254, 1189.039, 849.1493, 1166.431, 298.2178
255, 93.6147, 825.0112, 183.5421, 374.0416, 23.55313, 891.0477, 544.3629, 22.75807, 1621.128, 1825.37, 621.3315, 1118.161, 804.5975, 1175.075, 284.9269
255.1, 88.30228, 784.1706, 173.3035, 355.5958, 22.14133, 879.4145, 516.1113, 21.31394, 1641.055, 1833.836, 579.2888, 1088.419, 762.3831, 1187.07, 272.2284
