 , C000, C001, C002, C004, C005, C006, C008, C012, C013, C014, C015, C020, C024, C027, C037, C041, C045, C047, C055, C064, C111
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
372.7, 263.6029, 0.07747393, 21.99394, 887.4225, 908.1257, 638.4475, 466.49, 326.4339, 1050.126, 728.1393, 0.527318, 1110.63, 1864.228, 1342.9, 28.39597, 587.6796, 856.3035, 987.4537, 495.3748, 678.2108, 109.366
372.8, 248.042, 0.07382654, 20.39565, 840.4898, 849.4935, 605.5958, 427.9351, 310.3524, 1064.784, 686.5526, 0.4947302, 1318.831, 1813.58, 1282.325, 26.67424, 557.6177, 812.1917, 1017.931, 469.8292, 640.205, 103.3173
372.9, 233.3997, 0.07035087, 20.21437, 1034.117, 794.6468, 574.4344, 392.5667, 295.0631, 1160.026, 741.4786, 0.4641563, 1320.194, 1741.382, 1476.057, 25.05691, 529.0936, 770.3522, 996.5453, 445.601, 604.329, 97.60305
373, 219.6217, 0.06703883, 18.74541, 999.9775, 797.6834, 544.8765, 429.4691, 280.527, 1172.868, 736.5588, 0.4354719, 1248.009, 1777.115, 1436.63, 23.53764, 542.9724, 730.668, 1015.403, 422.6222, 570.4634, 92.20488
373.1, 208.9729, 0.06388271, 17.38319, 989.8886, 760.9644, 516.8395, 393.9739, 266.707, 1172.775, 694.4911, 0.4085601, 1233.318, 1754.292, 1481.692, 22.11048, 688.4664, 802.7917, 957.3671, 400.8283, 538.4955, 87.10527
373.2, 210.9186, 0.06087518, 16.11996, 937.5368, 711.8335, 490.2452, 361.4123, 253.5679, 1097.717, 654.8262, 0.3833115, 1165.883, 1773.088, 1414.857, 20.76986, 677.8126, 849.0684, 902.6487, 380.1584, 508.3192, 82.2877
373.3, 198.4677, 0.05800924, 14.94854, 887.9537, 665.8747, 465.0193, 331.542, 241.076, 1027.463, 617.4266, 0.3596232, 1187.288, 1682.892, 1437.509, 19.51052, 661.9912, 805.3292, 851.0578, 360.5543, 479.8338, 77.73659
373.4, 186.7518, 0.05527823, 13.86224, 1003.326, 622.8832, 441.0914, 522.4041, 229.1996, 985.5111, 663.8285, 0.3373988, 1122.37, 1597.285, 1372.667, 18.32754, 769.2802, 763.8433, 878.9651, 341.9612, 452.9447, 73.43718
373.5, 175.7276, 0.05267579, 24.72027, 1093.957, 582.6674, 418.3948, 585.7018, 217.9082, 1063.895, 635.7717, 0.3165478, 1109.611, 1583.762, 1386.86, 17.21629, 729.9288, 724.4944, 828.7278, 582.0811, 427.5625, 69.37556
373.6, 165.3541, 0.05019588, 22.92386, 1165.049, 545.048, 396.866, 537.2942, 207.1731, 1085.981, 599.4604, 0.2969854, 1093.571, 1615.269, 1324.302, 16.17242, 753.0821, 687.1727, 781.3618, 552.0642, 403.6026, 65.53858
373.7, 213.5248, 0.04783271, 21.258, 1103.434, 509.8575, 376.445, 627.0321, 196.9669, 1152.357, 565.223, 0.278632, 1200.545, 1660.426, 1341.701, 15.19184, 714.5593, 651.7735, 889.8077, 523.5953, 380.9854, 61.91381
373.8, 200.9201, 0.0455808, 47.31025, 1252.156, 476.9391, 357.0747, 575.2086, 187.2634, 1131.806, 532.941, 0.2614128, 1134.902, 1575.962, 1395.303, 14.27071, 760.5183, 796.5068, 838.9507, 496.5944, 359.6356, 166.1343
373.9, 189.0594, 0.0434349, 43.87225, 1279.512, 446.146, 338.7012, 578.5908, 178.038, 1059.37, 591.4017, 0.2452577, 1072.848, 1577.606, 1332.365, 13.40544, 869.325, 755.4753, 791.0004, 470.986, 339.4822, 156.9458
374, 203.576, 0.04139004, 40.68408, 1403.123, 459.7047, 321.2731, 530.7708, 169.2671, 1019.534, 557.6245, 0.230101, 1142.893, 1509.554, 1333.818, 12.59263, 917.6794, 716.5576, 745.7907, 446.6981, 320.4582, 193.4947
374.1, 208.6756, 0.03944144, 79.73154, 1421.067, 482.9148, 304.7418, 486.9031, 160.9283, 990.0803, 525.7765, 0.215881, 1080.402, 1538.03, 1313.235, 11.8291, 870.7369, 785.3923, 703.165, 423.6627, 302.5002, 182.793
374.2, 227.3522, 0.03758458, 73.9375, 1345.912, 451.7359, 289.0611, 588.4314, 153.0003, 926.7148, 495.7474, 0.2025397, 1021.328, 1475.852, 1373.657, 11.11187, 826.1957, 744.9333, 845.8465, 401.8152, 285.5486, 172.6832
374.3, 213.9313, 0.03581513, 68.56451, 1274.731, 424.8093, 274.1873, 539.7982, 145.4628, 867.4048, 467.4335, 0.1900229, 965.4844, 1513.423, 1311.695, 10.43812, 808.0854, 706.5587, 824.1805, 381.0943, 269.547, 163.1325
374.4, 201.3026, 0.034129, 222.3576, 1207.315, 397.3819, 260.0788, 495.1844, 138.2967, 811.8906, 440.7366, 0.1782797, 912.694, 1550.996, 1252.528, 9.805231, 778.5142, 670.1608, 777.0744, 361.442, 254.442, 154.1101
374.5, 189.4194, 0.03252224, 206.199, 1143.464, 371.7254, 246.6962, 454.2579, 131.4836, 837.7764, 415.5645, 0.1672622, 927.5636, 1506.478, 1247.011, 9.210711, 757.9752, 635.638, 732.6606, 342.8031, 240.1835, 145.5867
374.6, 269.0514, 0.03099113, 191.2147, 1082.99, 347.7253, 234.0023, 513.0353, 125.0061, 784.1584, 391.8301, 0.1569255, 962.0007, 1553.968, 1305.438, 8.65224, 766.9125, 602.8936, 753.9727, 325.1254, 226.724, 137.5346
374.7, 253.1688, 0.0295321, 177.3192, 1188.956, 325.2748, 365.7088, 516.1827, 118.8478, 794.1943, 369.4512, 0.1472277, 929.3808, 1524.117, 1275.288, 8.127629, 796.9764, 571.8359, 710.8793, 308.3593, 214.0188, 129.928
374.8, 238.2239, 0.02814176, 209.5135, 1244.713, 304.2737, 346.891, 473.5207, 112.9929, 743.3657, 348.3505, 0.1381291, 918.0515, 1446.587, 1297.682, 7.634828, 841.0614, 542.3782, 700.387, 292.4577, 202.0255, 122.742
374.9, 224.1611, 0.02681688, 270.3801, 1240.494, 284.6286, 329.0415, 434.3847, 107.4263, 695.79, 328.4549, 0.1295929, 890.1943, 1418.699, 1239.148, 7.171906, 936.4744, 514.438, 660.3563, 277.3762, 190.7044, 284.9402
375, 358.7249, 0.02555437, 590.4852, 1174.889, 266.2518, 407.8654, 398.4832, 102.1341, 674.0896, 452.1326, 0.1215841, 851.6956, 1346.531, 1278.826, 6.737052, 888.5704, 487.9371, 740.2905, 263.0724, 180.0176, 315.4492
375.1, 477.2112, 0.0243513, 1817.532, 1112.753, 249.0616, 415.9009, 365.549, 97.10249, 630.9476, 517.9116, 0.1140703, 925.7823, 1587.094, 1221.141, 6.328566, 872.3948, 462.8014, 697.9791, 249.5063, 169.9297, 298.0026
375.2, 449.0406, 0.02320487, 2954.583, 1053.903, 232.9811, 548.9562, 335.3367, 92.31881, 713.1214, 488.3317, 0.1070209, 875.1627, 1586.17, 1273.413, 5.944847, 827.7688, 438.9605, 658.0861, 236.6397, 160.4072, 281.5208
375.3, 465.0391, 0.02211241, 3859.194, 998.1661, 217.9389, 585.0732, 307.6215, 87.77079, 667.4814, 460.4413, 0.1004071, 874.2706, 1603.988, 1235.102, 5.584394, 785.4255, 416.3478, 620.4731, 224.4366, 151.4182, 265.9506
375.4, 520.7167, 0.02107138, 4327.379, 945.3766, 203.8679, 643.7213, 282.1969, 83.44682, 659.2528, 434.1438, 341.8996, 860.2691, 1522.395, 1179.39, 5.245796, 745.2483, 394.8999, 585.0099, 212.8629, 142.933, 251.2416
375.5, 489.978, 0.02007936, 4332.541, 895.3789, 288.0504, 610.5981, 258.8736, 79.33588, 683.6868, 409.3482, 834.2468, 813.2316, 1519.06, 1186.777, 4.927728, 707.1262, 374.5569, 551.5736, 201.8859, 134.9233, 237.3461
375.6, 469.8337, 0.01913405, 4191.294, 848.0254, 269.4527, 579.1794, 237.478, 75.42745, 687.9272, 385.9688, 782.691, 768.7661, 1643.93, 1218.761, 4.628946, 670.9542, 464.3866, 520.0484, 191.475, 127.3624, 328.5508
375.7, 442.0987, 0.01823324, 4150.807, 843.7999, 312.9732, 549.3773, 217.8506, 71.71157, 821.7041, 363.9247, 734.3214, 900.1146, 1560.305, 1163.786, 4.348279, 710.8489, 489.463, 490.325, 181.601, 120.2252, 310.3795
375.8, 416.0009, 0.01737484, 4162.919, 810.4107, 292.7664, 521.1088, 199.8455, 68.17875, 769.1148, 343.1396, 697.0606, 904.237, 1480.933, 1111.291, 4.084631, 852.1808, 556.0436, 462.3004, 172.2362, 113.488, 293.2133
375.9, 391.4437, 0.01655685, 3860.402, 767.5509, 273.8642, 532.4639, 183.3285, 64.81997, 749.8212, 323.5417, 725.9362, 916.7834, 1478.299, 1138.649, 3.836968, 808.5888, 527.3994, 435.8776, 163.3543, 107.1283, 276.9964
376, 368.3362, 0.01577737, 3740.893, 726.9578, 256.1825, 875.1334, 168.1765, 61.62666, 701.8325, 305.063, 691.8135, 866.6559, 1521.25, 1123.046, 3.604321, 767.2267, 500.2308, 410.965, 154.9304, 101.125, 261.6765
376.1, 346.5927, 0.01503459, 3531.592, 688.5115, 395.305, 1272.442, 154.2769, 58.59066, 656.915, 325.7687, 649.06, 819.2693, 1510.387, 1258.732, 3.385781, 727.9803, 588.1413, 387.4762, 146.9409, 95.45815, 247.2038
376.2, 326.1328, 0.01432678, 3274.954, 652.0985, 426.4828, 2173.197, 141.5261, 55.70424, 614.8722, 307.1628, 608.9487, 774.4736, 1469.533, 1341.7, 3.180491, 779.8455, 623.3038, 365.33, 139.3635, 90.10883, 233.5316
376.3, 306.8806, 0.01365229, 3089.944, 670.51, 398.9474, 2375.852, 129.8291, 52.96, 609.2518, 406.6285, 571.3162, 732.1273, 1407.222, 1281.179, 2.987649, 739.9537, 629.1848, 344.4495, 132.1768, 85.05929, 220.6156
376.4, 288.765, 0.01300955, 3041.242, 635.0491, 373.1898, 2276.703, 119.0988, 50.35096, 570.2595, 383.4044, 536.0093, 774.3657, 1351.965, 1291.639, 2.806499, 810.7965, 826.8251, 324.7625, 125.3606, 80.29271, 208.4139
376.5, 271.7187, 0.01239708, 2852.995, 601.4635, 349.0952, 2159.554, 109.2554, 47.87046, 678.1757, 361.5068, 538.2898, 732.0252, 1283.192, 1233.377, 2.636333, 769.3215, 836.3746, 306.2007, 118.896, 75.79324, 196.8871
376.6, 272.4302, 0.01181344, 2645.669, 569.6542, 326.5562, 2197.264, 100.2256, 45.51215, 634.7723, 340.8598, 579.2632, 839.798, 1217.917, 1177.742, 2.476485, 847.7263, 793.2894, 288.6997, 112.7648, 71.54591, 185.9978
376.7, 256.3482, 0.01125727, 2592.204, 568.2917, 305.4724, 2120.45, 91.94205, 43.27002, 594.1467, 321.392, 861.8406, 793.8798, 1155.963, 1246.773, 2.326328, 854.6934, 752.4236, 272.1991, 106.9497, 67.5366, 175.7107
376.8, 241.2156, 0.01072729, 2403.83, 538.2367, 314.1843, 2084.109, 84.34313, 41.13836, 556.1211, 365.4931, 1384.215, 750.4724, 1177.738, 1229.482, 2.185276, 810.9728, 799.1305, 256.6415, 101.4345, 63.75196, 165.9926
376.9, 226.9762, 0.01022226, 2319.594, 509.7712, 293.8993, 2352.888, 77.37225, 39.1117, 597.6422, 344.6184, 1476.752, 709.4383, 1299.235, 1174.024, 2.052776, 769.4888, 757.9639, 377.7045, 96.20373, 60.17941, 156.812
377, 213.5774, 0.009741011, 2231.068, 482.8112, 274.924, 2285.31, 70.97752, 37.18489, 716.1431, 324.936, 1452.273, 670.6479, 1233.144, 1272.857, 1.928311, 794.7011, 718.9179, 356.1168, 91.24268, 56.80706, 148.1391
377.1, 205.9216, 0.009282415, 2068.938, 457.2769, 257.1738, 2318.041, 65.1113, 35.353, 707.1397, 326.8659, 1362.524, 633.9785, 1170.415, 1456.287, 1.811392, 754.0494, 681.8834, 335.7629, 86.53746, 53.62368, 139.946
377.2, 206.3486, 0.008845408, 1918.59, 523.6333, 240.5696, 2315.763, 59.72992, 33.61136, 661.8826, 330.9937, 1278.321, 621.9767, 1155.816, 1438.797, 1.701562, 799.707, 646.7567, 316.5723, 82.07488, 50.6187, 132.2059
377.3, 194.1675, 0.008428976, 1827.711, 495.9402, 225.0375, 2260.412, 54.7933, 31.95552, 619.5219, 312.0895, 1297.688, 587.9685, 1111.821, 1512.317, 1.598391, 758.7992, 776.2491, 486.1551, 77.84243, 47.78212, 124.8939
377.4, 182.7055, 0.008032149, 1715.551, 469.7116, 210.5082, 2384.058, 50.26469, 30.38126, 579.8723, 320.9025, 1217.492, 645.5189, 1055.264, 1444.101, 1.501476, 831.0679, 846.7543, 635.157, 73.82824, 45.10448, 117.9864
377.5, 171.9201, 0.007654004, 1590.883, 579.5867, 196.9169, 2279.976, 46.11036, 28.88454, 542.7603, 397.129, 1142.252, 749.5405, 1001.584, 1537.983, 1.410437, 867.2685, 864.2304, 664.1901, 480.4138, 42.5769, 111.4609
377.6, 161.7714, 0.007293662, 1596.844, 558.9327, 184.2032, 2162.658, 42.29939, 27.46157, 508.0234, 374.4474, 1071.662, 725.2302, 950.6342, 1509.352, 1.324918, 822.9047, 967.6502, 715.5287, 695.3737, 40.19097, 105.2962
