 , C000, C002, C003, C004, C005, C010, C015, C017, C018, C019, C021, C022, C024, C027, C030, C060, C075
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
262.3, 300.6405, 636.6783, 63.80585, 41.02185, 224.8509, 38.65736, 1185.117, 293.98, 305.1967, 1013.084, 1.080103, 1315.215, 385.2066, 421.1798, 690.5634, 35.32883, 753.6285
262.4, 281.3981, 607.0378, 59.2312, 38.8838, 210.9521, 36.49073, 1279.505, 278.0005, 291.9388, 1083.163, 1.018132, 1275.319, 359.7183, 397.9891, 654.0428, 33.37165, 715.0033
262.5, 274.5152, 680.3204, 54.98454, 36.8572, 197.9126, 34.44554, 1209.669, 262.8896, 279.2568, 1031.612, 0.9597161, 1286.774, 335.9165, 376.0752, 652.1418, 31.52289, 726.4598
262.6, 271.956, 648.6481, 51.04234, 34.93621, 185.679, 138.27, 1275.882, 248.6, 267.1257, 982.5134, 0.9046522, 1225.467, 313.6896, 355.368, 764.7587, 29.77656, 689.227
262.7, 319.1096, 618.4503, 47.38279, 33.11535, 252.727, 130.5203, 1352.376, 235.0872, 331.1301, 986.3524, 0.8527476, 1266.558, 292.9334, 404.0261, 724.3144, 28.12697, 746.4623
262.8, 298.6852, 589.6584, 43.98561, 31.38939, 237.1052, 123.2051, 2014.325, 222.3088, 316.7456, 1020.283, 0.803821, 1206.213, 273.5506, 455.4007, 686.009, 26.56877, 708.2043
262.9, 279.5679, 562.2068, 40.83199, 29.75339, 281.5162, 116.2998, 1904.383, 210.2251, 302.986, 1012.556, 0.7577015, 1192.523, 255.4504, 430.3257, 649.7293, 25.09688, 943.1434
263, 345.4758, 536.0333, 37.90448, 28.20265, 264.1148, 109.7815, 2048.249, 198.7981, 289.8241, 1062.608, 0.7142282, 1135.706, 238.5477, 406.6314, 615.3683, 23.70654, 998.8599
263.1, 323.3638, 511.0783, 35.18687, 26.73274, 247.7891, 103.6286, 1996.077, 187.9923, 277.2339, 1012.035, 0.6732492, 1143.262, 377.4043, 397.2429, 582.8245, 22.39322, 988.8749
263.2, 302.667, 487.2851, 32.66409, 25.33944, 232.4725, 97.82056, 1990.1, 177.7739, 312.7134, 963.8683, 0.6346213, 1135.228, 352.4323, 425.6275, 552.0017, 21.15266, 1077.737
263.3, 283.295, 518.051, 30.32219, 24.01876, 281.6617, 92.33801, 1881.48, 498.8711, 384.5127, 917.9943, 0.5982097, 1174.043, 329.1125, 402.1918, 522.809, 19.98083, 1203.182
263.4, 316.1797, 493.9331, 28.1482, 22.76691, 264.2513, 87.16275, 1778.788, 471.7546, 509.3807, 874.3036, 0.5638873, 1221.963, 307.3359, 380.0466, 495.1602, 18.87391, 1155.701
263.5, 295.9428, 470.938, 26.13007, 21.58031, 247.9171, 82.27754, 1681.702, 446.112, 487.2529, 832.6923, 0.5315341, 1198.246, 287.0001, 359.1207, 468.9736, 17.82832, 1121.094
263.6, 277.0011, 449.0135, 24.25664, 20.45555, 232.5926, 77.66614, 1589.914, 553.4511, 466.0863, 913.2875, 0.5010372, 1185.797, 268.0099, 382.9684, 444.1719, 16.84065, 1146.627
263.7, 259.2717, 428.1097, 22.51752, 19.38942, 218.2153, 73.31319, 1670.365, 523.3679, 445.8392, 1222.631, 0.4722901, 1287.145, 250.2763, 361.8816, 420.6818, 15.90769, 1223.984
263.8, 304.8835, 408.1791, 79.64897, 18.37885, 204.7268, 69.20421, 1636.396, 625.6404, 426.4716, 1164.441, 0.4451923, 1274.493, 233.716, 341.9559, 398.434, 15.02643, 1314.106
263.9, 285.3695, 574.4084, 73.93842, 17.42095, 192.072, 65.32552, 1626.775, 591.6332, 407.9454, 1109.021, 0.4196493, 1304.569, 218.2515, 586.4174, 562.733, 14.19398, 1246.755
264, 267.1046, 547.6668, 68.6373, 16.51298, 363.2823, 61.66423, 1623.089, 559.4745, 390.224, 1056.239, 0.3955718, 1355.518, 203.8103, 677.4301, 532.9728, 13.40765, 1444.062
264.1, 250.0086, 522.1702, 63.71625, 15.65233, 340.8267, 58.20813, 1534.501, 529.0639, 373.2725, 1005.969, 0.3728758, 1290.935, 190.3246, 640.1298, 504.7865, 12.66488, 1370.051
264.2, 298.1552, 497.8605, 59.14802, 14.83653, 319.7592, 54.94574, 1450.747, 500.3062, 357.0573, 958.0909, 0.3514819, 1229.43, 177.7312, 604.8834, 478.0908, 11.96326, 1299.833
264.3, 279.0719, 474.6826, 54.90731, 14.06326, 373.0081, 51.8662, 1494.528, 473.1117, 341.5465, 912.4918, 0.3313156, 1170.854, 165.9711, 571.5776, 452.8069, 11.3005, 1233.213
264.4, 261.2101, 452.5838, 66.15517, 13.33029, 349.9513, 48.95926, 1412.956, 447.3954, 326.7095, 869.063, 0.3123063, 1115.07, 154.9891, 540.1058, 428.8602, 10.67447, 1170.008
264.5, 244.4914, 509.116, 61.41208, 12.63552, 406.0547, 46.21524, 1384.052, 423.0769, 312.517, 827.7011, 0.2943876, 1061.943, 144.7338, 676.1682, 406.1799, 10.08311, 1110.042
264.6, 228.8428, 485.4141, 57.00905, 11.97696, 418.3832, 43.62502, 1414.485, 400.0802, 298.9411, 788.3078, 0.2774971, 1011.348, 135.1571, 685.5582, 384.699, 473.5824, 1412.101
264.7, 214.1958, 462.8157, 52.9217, 39.75469, 447.1966, 41.17997, 1489.879, 378.3336, 285.9549, 750.7894, 0.2615756, 963.1627, 126.214, 726.0322, 475.7363, 447.3464, 1339.728
264.8, 261.7136, 441.2693, 49.1274, 59.37223, 419.554, 38.87195, 1449.95, 473.0274, 273.5328, 715.0566, 0.2465676, 917.2736, 243.7467, 686.0558, 613.571, 422.5639, 1271.063
264.9, 244.9627, 420.726, 45.60514, 56.27777, 393.6201, 36.6933, 1415.294, 485.6714, 261.6504, 681.0244, 0.2324207, 983.7167, 227.6185, 881.9702, 613.059, 543.0392, 1368.12
265, 229.284, 401.1391, 120.7513, 53.3446, 385.3442, 34.63675, 1372.912, 517.1566, 250.2841, 648.612, 0.2190855, 936.8482, 212.5575, 833.4077, 702.0988, 553.6463, 1298.001
265.1, 323.3523, 382.4641, 178.5338, 50.5643, 366.1633, 32.69547, 1297.979, 510.8343, 239.4116, 617.7422, 0.2065155, 939.0861, 198.493, 787.5191, 664.9682, 522.9749, 1346.916
265.2, 359.2596, 364.6585, 297.1014, 47.92891, 434.371, 30.86298, 1356.637, 568.1639, 229.0114, 588.3416, 0.1946666, 894.3441, 185.3591, 850.7844, 881.8873, 494.0026, 1438.737
265.3, 355.1892, 347.6818, 323.9281, 45.43087, 447.5851, 29.13321, 1423.403, 537.2809, 219.063, 560.3402, 0.1834975, 923.1467, 173.0943, 867.6686, 835.2485, 603.9772, 1413.044
265.4, 332.4554, 331.4955, 452.7935, 43.06303, 419.9185, 27.50038, 1345.713, 665.5322, 209.5468, 533.6716, 0.1729693, 879.164, 161.641, 974.6469, 876.9886, 831.6761, 1340.622
