 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
376.4, 5.081442, 129.7742, 42.05676, 44.84107, 389.5292, 212.4253, 46.98912, 0.2465552, 609.876, 152.3966, 7.748138, 128.43, 358.5807, 116.5197, 504.7032, 799.3077, 516.7258, 346.1065, 685.0303, 281.5284, 87.63151, 1070.709, 836.2852, 335.8257, 1743.919, 640.6969, 355.3698, 872.4488, 1224.64, 933.13
376.5, 4.747996, 121.9175, 39.34379, 42.26043, 415.9391, 299.7677, 44.19686, 0.2339191, 577.3198, 609.9031, 7.367899, 120.7148, 343.3261, 155.6216, 480.5611, 758.9446, 531.0706, 458.5927, 653.156, 263.9313, 106.6343, 1151.518, 832.1197, 313.0931, 1761.812, 704.2996, 338.4186, 822.8532, 1288.667, 1013.03
376.6, 4.436431, 114.5364, 36.80584, 39.8283, 395.7493, 331.468, 41.57053, 0.2219306, 546.5014, 629.8931, 7.006321, 113.4631, 384.2373, 201.4455, 457.5738, 739.0923, 538.2162, 474.6524, 715.8968, 247.4342, 190.3654, 1096.953, 1128.191, 291.8994, 1635.654, 722.6161, 322.2761, 843.9549, 1224.144, 953.0623
376.7, 4.145311, 164.8924, 34.43159, 37.53614, 376.5395, 314.3784, 39.10026, 0.2105565, 517.3282, 594.2003, 6.662487, 106.647, 487.4933, 249.171, 435.6861, 701.77, 502.0031, 443.9465, 682.5863, 231.9682, 180.8977, 1213.196, 1414.254, 272.1402, 1589.148, 688.2072, 306.9035, 946.0813, 1162.851, 896.6444
376.8, 3.873294, 154.9095, 32.21051, 35.3759, 493.2595, 298.17, 36.77678, 0.1997654, 489.7123, 560.5301, 6.335526, 100.2404, 564.2382, 235.3019, 414.8454, 729.3408, 468.2266, 474.2452, 650.8257, 217.469, 171.9009, 1155.709, 1325.476, 313.5112, 1475.354, 710.6877, 292.2643, 1218.356, 1104.627, 843.5663
376.9, 3.619127, 145.5311, 30.1327, 33.33998, 637.0215, 282.7971, 34.59138, 0.1895273, 463.5706, 528.7678, 6.024611, 94.21864, 568.6981, 332.1509, 395.0016, 809.9071, 436.7227, 569.4066, 722.0302, 203.876, 191.903, 1100.945, 1242.27, 383.2788, 1369.708, 676.8467, 278.3233, 1407.387, 1049.318, 793.6302
377, 3.381639, 136.7204, 28.18892, 31.42124, 655.7418, 268.2169, 32.53584, 0.1798139, 438.8244, 498.8052, 5.728955, 171.9349, 544.5046, 402.7686, 376.107, 769.0087, 446.4051, 566.5831, 716.4474, 191.1327, 189.9597, 1048.777, 1222.582, 357.334, 1465.717, 644.6172, 265.0473, 1348.043, 1066.315, 746.6501
377.1, 3.159734, 128.4431, 26.37054, 29.61291, 747.7922, 254.3883, 30.60244, 0.1705983, 415.3992, 470.5405, 5.447807, 239.4987, 521.3405, 418.3582, 408.8163, 730.1757, 424.6862, 653.8063, 683.1113, 179.1858, 180.5121, 999.0804, 1177.477, 333.1455, 1400.421, 632.657, 252.4045, 1426.119, 1201.612, 702.4511
377.2, 2.952391, 120.6669, 24.66945, 27.90866, 754.413, 241.2728, 28.78393, 0.1618551, 393.2245, 443.8774, 5.180457, 225.1113, 499.1617, 395.072, 432.2365, 828.9131, 396.1119, 759.6701, 714.6329, 167.9858, 215.1728, 951.7389, 1203.222, 310.5944, 1396.944, 689.9626, 240.3649, 1345.049, 1141.447, 660.8685
377.3, 2.758654, 113.3615, 23.07809, 26.30249, 717.7935, 228.8334, 27.07349, 0.1535599, 372.2335, 418.7252, 4.926227, 211.5882, 477.9265, 517.7708, 411.5608, 787.0551, 395.4819, 801.5585, 834.3063, 157.4857, 204.4713, 906.6406, 1127.691, 289.5698, 1296.913, 682.6356, 228.8995, 1312.456, 1084.295, 621.7475
377.4, 2.577631, 106.4984, 21.58939, 24.78876, 682.9515, 217.0353, 25.46469, 0.1456899, 352.363, 394.9982, 4.684474, 198.8774, 545.905, 529.9823, 549.1408, 747.3107, 368.8725, 749.7046, 866.0032, 147.642, 194.302, 1018.621, 1239.163, 269.9683, 1295.888, 776.2493, 433.3423, 1269.662, 1117.467, 584.9423
377.5, 2.408485, 100.0508, 20.19672, 23.36214, 649.8008, 386.2128, 23.95148, 0.1382232, 333.5532, 438.0476, 4.454584, 186.9302, 545.6208, 500.483, 566.1755, 790.7845, 432.0107, 751.0674, 864.6249, 138.4136, 184.6385, 970.354, 1221.679, 251.6937, 1274.139, 739.2865, 412.6719, 1237.455, 1105.098, 550.3158
377.6, 2.25044, 93.99356, 18.89388, 22.01763, 675.4084, 366.3007, 22.5282, 0.1311392, 315.7476, 491.3405, 4.235976, 175.7007, 557.9456, 472.6256, 694.8344, 750.8518, 402.9435, 835.2737, 915.8627, 129.762, 269.6277, 1004.347, 1144.989, 234.6562, 1308.016, 745.0606, 392.9875, 1259.038, 1260.484, 757.6035
