 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
316, 145.582, 161.5526, 3.160525, 179.9294, 88.67829, 184.1694, 202.9968, 2482.472, 222.4459, 876.6079, 98.3133, 420.7734, 549.6808, 533.1577, 151.4745, 53.87222, 812.652, 14.8889, 483.5033, 590.4726, 658.9884, 748.9709, 609.6346
316.1, 138.9524, 154.4288, 2.941461, 166.774, 84.25108, 171.2482, 189.3786, 2337.648, 365.9323, 837.1629, 93.24826, 529.1183, 525.5281, 507.7974, 144.2191, 50.52481, 839.8391, 14.19106, 455.6247, 561.3751, 625.1733, 840.8912, 579.3677
316.2, 132.6246, 147.6192, 2.737581, 154.5804, 175.1655, 159.2336, 176.6741, 2314.223, 347.3709, 799.4928, 88.44417, 491.1352, 502.4366, 479.8064, 137.3111, 47.38539, 770.8461, 13.52592, 429.3536, 533.7115, 630.6856, 800.7917, 550.6035
316.3, 126.585, 141.1098, 2.547833, 143.2783, 166.4205, 148.0619, 164.8218, 2164.692, 329.7509, 763.5178, 83.88758, 455.8788, 480.3597, 453.3583, 130.7341, 44.44105, 707.5209, 12.89195, 404.5972, 620.3827, 598.3228, 784.2301, 590.3939
316.4, 120.8204, 134.8874, 2.371237, 132.8026, 158.112, 137.6739, 153.7647, 2284.833, 313.0248, 729.1615, 79.56574, 578.9904, 459.2529, 428.3681, 124.472, 41.67965, 649.3978, 12.2877, 381.2683, 595.6701, 567.6207, 805.6906, 601.1996
316.5, 115.3184, 128.9395, 2.206881, 123.0928, 150.2184, 128.0148, 143.4493, 2153.753, 341.7059, 696.3512, 75.46656, 537.4272, 439.0735, 404.7554, 118.5099, 39.08984, 596.0496, 11.71177, 359.2846, 680.5764, 540.1533, 823.4677, 599.5397
316.6, 110.0669, 123.2538, 2.053917, 114.0929, 142.7188, 119.0334, 133.826, 2014.591, 324.3733, 665.0173, 71.57857, 498.8477, 419.7808, 382.4443, 112.8335, 36.66095, 547.084, 11.16284, 338.5684, 738.8687, 512.436, 836.0716, 569.774
316.7, 105.0546, 117.8188, 1.911555, 105.7511, 135.5937, 110.6821, 124.8482, 1884.42, 363.2732, 635.0933, 67.89088, 463.0376, 401.3358, 361.363, 107.4288, 34.38298, 510.7353, 10.63963, 319.4922, 702.4585, 486.141, 816.7724, 541.4861
316.8, 100.2705, 112.6235, 1.77906, 243.7018, 128.8242, 102.9167, 116.4727, 2047.046, 344.8467, 679.146, 64.39319, 429.7982, 383.7013, 341.4438, 102.2831, 32.24656, 468.7783, 10.14095, 301.0704, 667.8426, 461.1953, 871.7139, 514.6026
316.9, 95.70428, 107.6573, 1.655749, 225.8837, 122.3927, 95.69615, 108.6591, 1914.779, 327.3548, 648.5862, 61.07569, 398.9448, 366.8416, 322.6226, 97.38387, 30.24288, 430.268, 9.665639, 305.7251, 738.6508, 457.5822, 883.8818, 509.3061
317, 91.346, 102.91, 1.540985, 209.3683, 116.2824, 88.98218, 101.3696, 1791.057, 310.7502, 619.4016, 57.92911, 370.3063, 350.7227, 329.3693, 92.71928, 28.3637, 394.9214, 9.212607, 408.5952, 752.1464, 455.0251, 876.1731, 484.0203
317.1, 87.1862, 98.37212, 1.434176, 194.0605, 110.477, 82.73925, 94.5692, 1941.954, 294.9878, 591.5302, 54.94463, 343.7236, 335.3121, 311.2137, 88.27813, 26.60129, 362.4785, 8.780809, 423.7727, 715.082, 515.9972, 834.3911, 506.0441
317.2, 83.21582, 94.03432, 1.33477, 179.8718, 109.6999, 76.93432, 88.22498, 1816.476, 280.0249, 690.3529, 52.11392, 418.9559, 320.5786, 294.0588, 84.0497, 24.94839, 332.7007, 8.369249, 399.3382, 679.844, 489.5195, 794.6016, 498.2911
317.3, 79.42625, 89.8878, 1.242254, 166.7206, 126.7478, 71.53666, 82.30637, 1709.41, 274.0312, 660.8371, 49.42904, 388.8809, 319.3591, 277.8496, 80.0238, 23.3982, 553.5705, 7.97698, 376.3125, 646.3425, 464.4004, 810.9011, 473.5521
317.4, 76.03723, 85.92413, 1.15615, 154.5309, 120.42, 66.51769, 76.78481, 1893.229, 260.1313, 631.1012, 46.88248, 360.9648, 305.3266, 262.5338, 76.19075, 21.94432, 508.0945, 7.603096, 354.6145, 614.4918, 440.5703, 961.0336, 551.6376
317.5, 76.16741, 82.13523, 1.076015, 197.4517, 114.4081, 61.85086, 71.63367, 1873.363, 246.9365, 602.7033, 44.46713, 335.0528, 291.9106, 248.0623, 72.54129, 20.58079, 466.3544, 7.246736, 334.1675, 723.9471, 417.963, 1054.323, 524.2501
317.6, 72.69882, 78.51341, 1.001434, 183.0151, 108.6964, 57.51144, 66.82809, 1826.226, 234.4109, 660.9432, 42.17621, 311.0008, 376.3535, 294.4469, 69.06664, 19.30198, 431.8749, 6.907079, 314.8996, 688.2722, 396.5158, 1014.15, 498.2223
317.7, 69.38819, 75.0513, 0.9320219, 222.7746, 103.2697, 53.47648, 62.34489, 1747.568, 222.5208, 631.2026, 40.00331, 366.0191, 359.8167, 278.2163, 65.75842, 18.10263, 396.3963, 6.583342, 296.7426, 654.3553, 376.1691, 965.7878, 473.4867
317.8, 86.3101, 71.74185, 0.8674212, 206.4866, 98.11406, 61.71513, 58.16246, 1681.832, 211.2337, 681.8459, 37.94237, 409.7065, 344.0065, 262.8803, 62.60866, 16.9778, 363.8322, 6.274778, 279.6326, 675.0309, 356.8665, 919.7324, 523.078
317.9, 82.37962, 68.57834, 0.8072982, 191.3894, 109.4273, 57.38523, 54.2606, 1695.119, 200.5191, 656.2279, 35.9876, 380.2954, 328.891, 248.3897, 59.60977, 15.92287, 333.9433, 5.980677, 263.5091, 695.5988, 338.5543, 885.7455, 497.1084
