 , C00, C01, C02, C03, C05, C07, C10, C11, C12, C15, C18, C22, C25, C47
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
361.3, 41.02426, 1229.25, 219.6384, 90.13401, 76.94628, 119.7835, 92.60542, 1153.955, 193.6869, 182.3658, 1174.814, 887.503, 633.6979, 779.157
361.4, 38.95452, 1215.862, 208.9372, 84.79876, 72.85503, 112.6409, 88.58972, 1119.024, 179.8566, 170.6598, 1093.916, 828.0092, 597.929, 749.5098
361.5, 36.9892, 1148.159, 257.1544, 79.77931, 68.9813, 105.9242, 84.74817, 1053.678, 167.0138, 159.7052, 1018.589, 815.0968, 696.3317, 704.3414
361.6, 35.12304, 1154.361, 270.5002, 75.05698, 65.31355, 99.60803, 81.0732, 992.1473, 155.0881, 149.4538, 1066.754, 791.8302, 657.0274, 733.457
361.7, 33.35102, 1090.082, 257.321, 70.61418, 61.8408, 168.9861, 77.55758, 1069.929, 144.0139, 139.8604, 993.2974, 757.8262, 660.6043, 1018.255
361.8, 31.66841, 1074.229, 244.7839, 66.43436, 58.55271, 226.7657, 74.19441, 1007.45, 133.7305, 130.8828, 926.5212, 883.7993, 664.273, 956.8914
361.9, 150.9249, 1014.412, 234.5329, 62.50195, 55.43944, 213.2439, 70.97709, 973.5875, 124.1814, 122.4815, 907.0539, 824.5537, 626.7783, 977.4595
362, 143.3105, 957.9259, 223.1061, 58.8023, 52.49171, 200.5283, 67.89928, 916.7341, 115.3142, 114.6194, 844.5943, 968.932, 616.1888, 959.3467
362.1, 136.0803, 1096.162, 212.236, 55.32165, 49.70071, 188.5709, 85.01353, 995.9053, 107.0801, 107.262, 811.0283, 911.8782, 581.4083, 909.8267
362.2, 129.2148, 1035.124, 201.8955, 52.04703, 47.05811, 177.3266, 81.32705, 937.7487, 99.43399, 100.3769, 755.181, 892.4351, 548.5908, 1021.018
362.3, 122.6957, 977.4843, 192.0588, 48.96624, 44.55601, 166.7527, 107.1163, 995.8094, 92.33385, 93.93372, 703.1794, 915.9294, 599.2261, 959.4877
362.4, 116.5055, 923.0545, 182.7014, 46.06781, 42.18695, 156.8094, 102.4714, 937.6584, 85.74069, 87.90414, 654.7585, 854.53, 581.8293, 901.6653
362.5, 110.6276, 880.2296, 173.7999, 43.34095, 39.94386, 147.459, 98.02789, 882.9031, 79.61832, 627.4866, 685.4116, 797.2465, 682.2625, 924.5731
362.6, 105.0463, 831.2153, 165.332, 40.77549, 37.82003, 138.6661, 93.77706, 946.5562, 73.93313, 587.2084, 638.2142, 895.4003, 798.6712, 868.8548
362.7, 99.74654, 907.7446, 157.2768, 38.36189, 35.80913, 147.2899, 89.71056, 891.2813, 68.65389, 697.191, 609.0978, 877.2462, 959.2828, 880.7783
362.8, 94.71417, 857.1982, 149.614, 36.09116, 33.90514, 138.5071, 152.6359, 839.2343, 63.75162, 652.4385, 599.7999, 818.4399, 905.1364, 827.6993
362.9, 89.93569, 809.4664, 143.7131, 33.95483, 32.1024, 130.2481, 146.0171, 814.3131, 59.1994, 610.5587, 642.47, 856.2194, 854.0463, 795.1783
363, 85.39829, 764.3925, 152.1549, 31.94497, 30.3955, 122.4815, 139.6853, 766.7607, 54.97223, 571.3671, 598.2296, 845.6765, 805.8399, 943.4808
363.1, 81.08981, 792.2437, 144.7416, 30.05407, 28.77936, 115.178, 133.6281, 721.9851, 51.04691, 534.6912, 604.8825, 788.9865, 775.0867, 1124.086
363.2, 76.9987, 748.1288, 137.6896, 28.27509, 27.24916, 108.31, 127.8335, 679.8243, 47.40187, 500.3695, 563.2303, 736.0967, 1144.875, 1056.344
363.3, 73.114, 881.1757, 130.9811, 26.60142, 25.80031, 182.125, 122.2902, 668.7413, 44.01711, 468.2509, 524.4464, 686.7524, 1155.82, 1081.394
363.4, 69.42529, 860.473, 124.5995, 25.02682, 56.2575, 180.3755, 116.9873, 629.6896, 40.87405, 438.194, 521.3383, 700.6064, 1115.205, 1040.198
363.5, 65.92267, 812.5588, 118.5288, 23.54542, 53.26627, 222.1618, 111.9143, 592.9185, 37.95541, 410.0664, 523.4812, 653.6412, 1078.241, 977.512
363.6, 62.59677, 793.2046, 112.7539, 22.15171, 50.43408, 208.9145, 107.0613, 558.2946, 35.24518, 383.7444, 553.2567, 609.8243, 1061.116, 918.6034
363.7, 59.43866, 749.0362, 107.2603, 20.8405, 47.75249, 202.3523, 102.4187, 635.4194, 32.72848, 359.1119, 515.1595, 568.9447, 1059.759, 863.2449
363.8, 56.43989, 873.9948, 102.0344, 19.6069, 45.21347, 190.2862, 97.97752, 781.7144, 30.39148, 336.0606, 479.6857, 530.8054, 1368.816, 849.5747
363.9, 53.59241, 837.5506, 97.06313, 18.44632, 42.80946, 219.8099, 93.72887, 736.0656, 28.22136, 314.489, 532.7356, 495.2228, 1461.175, 857.822
364, 50.88858, 790.9128, 92.33405, 17.35444, 40.53326, 206.7028, 122.2295, 736.8583, 26.2062, 424.7309, 496.0515, 462.0255, 1484.76, 855.3438
364.1, 48.32117, 746.8721, 87.83538, 16.32719, 68.41302, 194.3773, 116.9292, 730.7727, 24.33493, 433.4912, 461.8934, 431.0536, 1427.378, 803.7975
364.2, 45.8833, 709.3397, 167.1956, 15.36074, 181.8862, 206.5075, 111.8588, 688.0987, 22.59728, 405.6655, 430.0875, 402.1579, 1346.81, 755.3576
364.3, 43.56841, 754.595, 159.0496, 14.4515, 172.2152, 194.1936, 107.0082, 647.9167, 20.98371, 379.6259, 400.4717, 428.6952, 1270.79, 826.3237
364.4, 41.37032, 712.5765, 151.3004, 13.59608, 163.0585, 182.614, 102.3679, 610.0811, 19.48535, 355.2579, 372.8953, 520.269, 1199.06, 922.2216
364.5, 39.28312, 736.4587, 143.9288, 12.7913, 154.3886, 171.7249, 146.7712, 708.0063, 18.09399, 401.4008, 347.2177, 485.3927, 1273.415, 929.8623
364.6, 37.30123, 769.2814, 136.9164, 12.03415, 146.1797, 161.485, 189.8032, 666.6618, 16.80198, 375.635, 349.1377, 452.8544, 1201.538, 1014.418
364.7, 131.907, 754.4312, 130.2456, 11.32182, 138.4073, 308.6297, 181.5727, 627.7316, 15.60222, 351.5231, 325.0961, 717.5186, 1133.717, 1003.697
364.8, 125.2521, 712.4218, 123.8998, 10.65165, 131.0481, 290.2263, 173.6991, 591.0747, 14.48814, 328.959, 302.7101, 1475.848, 1099.86, 1085.772
364.9, 160.863, 672.7516, 117.8632, 10.02116, 124.0803, 328.8382, 166.1669, 556.5585, 13.4536, 471.3112, 281.8655, 1607.443, 1037.779, 1020.339
365, 152.7472, 635.2905, 138.65, 9.427979, 117.4829, 578.3494, 158.9613, 524.0578, 12.49294, 1049.361, 262.4563, 1499.688, 982.5228, 958.8494
365.1, 145.0408, 599.9153, 131.8947, 8.869914, 111.2363, 579.1639, 152.0682, 493.455, 11.60087, 1046.742, 346.0381, 1452.207, 1096.481, 1010.412
365.2, 137.7233, 566.5099, 142.0322, 8.344882, 105.3218, 544.6288, 145.474, 464.6394, 10.77251, 1122.192, 322.2099, 1473.795, 1034.591, 1436.471
365.3, 130.7749, 594.1122, 249.0495, 7.850928, 99.7218, 512.153, 139.1657, 437.5064, 43.15141, 1050.159, 300.0226, 1593.203, 1129.515, 1453.198
365.4, 274.2751, 629.5309, 506.5927, 7.386213, 171.4747, 481.6136, 254.5084, 411.9579, 40.07016, 982.7493, 372.1195, 2789.38, 1081.964, 1551.955
365.5, 260.4375, 664.522, 547.5056, 6.949005, 162.3573, 536.3004, 243.472, 387.9013, 62.47581, 919.6669, 346.4954, 4096.401, 1159.848, 1458.428
365.6, 469.0515, 627.5191, 520.8302, 6.537677, 153.7247, 504.3212, 232.9143, 365.2495, 82.98825, 988.412, 332.7306, 4715.209, 1094.381, 1370.537
365.7, 631.4251, 592.5767, 495.4545, 6.150696, 201.1796, 515.58, 222.8143, 343.9205, 77.06242, 924.9661, 309.8188, 5149.642, 1032.609, 1573.792
365.8, 599.5687, 724.3561, 481.1592, 5.786621, 776.4254, 484.8363, 213.1523, 323.837, 93.77809, 1065.946, 288.4847, 5234.105, 983.4734, 1478.95
