 , C00, C01, C03, C05, C06, C10, C17, C23, C27, C51
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
103.5, 5.031448e-06, 7.517323, 6.242176, 266.3757, 243.2901, 217.648, 16.34016, 897.5175, 1070.38, 1490.089
103.6, 4.74435e-06, 7.122503, 5.955856, 250.8571, 229.0171, 206.2942, 15.34387, 858.7059, 1017.363, 1549.025
103.7, 4.473634e-06, 6.748419, 5.682669, 407.0591, 215.5814, 196.8715, 14.40832, 812.7306, 1014.901, 1582.968
103.8, 4.218365e-06, 6.393983, 5.422013, 383.3445, 202.9339, 186.6016, 13.52982, 826.0511, 976.9816, 1492.995
103.9, 3.977661e-06, 6.058163, 5.173313, 361.0116, 191.0285, 176.8673, 12.70487, 829.4013, 928.5914, 1408.137
104, 3.750693e-06, 5.73998, 4.936021, 339.9797, 179.8214, 167.6409, 11.93023, 827.3995, 882.598, 1328.102
104.1, 3.536675e-06, 5.438508, 4.709612, 336.7897, 169.2719, 158.8958, 11.20282, 783.1003, 838.8826, 1252.615
104.2, 3.33487e-06, 5.15287, 4.493589, 317.1689, 159.3413, 150.6068, 96.11225, 757.5182, 964.6058, 1414.681
104.3, 3.14458e-06, 4.882235, 4.287475, 298.6913, 149.9932, 142.7503, 121.8903, 716.9606, 916.8286, 1334.274
104.4, 2.965148e-06, 4.625813, 4.090814, 281.29, 180.3725, 135.3036, 114.4584, 837.9405, 871.4178, 1258.437
104.5, 2.795954e-06, 4.382859, 3.903174, 264.9026, 169.7906, 128.2454, 107.4796, 1363.579, 828.2562, 1186.91
104.6, 2.636415e-06, 4.152666, 3.724141, 249.4698, 159.8296, 121.5553, 159.1428, 1548.699, 787.2324, 1119.449
104.7, 2.485979e-06, 3.934562, 3.55332, 237.6567, 150.4529, 115.2143, 464.8607, 1501.143, 748.2405, 1055.822
104.8, 2.344127e-06, 3.727913, 3.390335, 223.8112, 141.6263, 109.204, 1552.847, 1457.744, 711.1799, 995.8114
104.9, 2.210369e-06, 3.532118, 3.234825, 210.7724, 133.3175, 103.5073, 2433.162, 1456.338, 675.9549, 1077.541
105, 2.084244e-06, 3.346607, 3.086448, 198.4932, 125.4962, 98.10776, 2473.993, 1415.26, 642.4746, 1016.296
105.1, 1.965316e-06, 3.170838, 2.944877, 186.9293, 118.1338, 92.98988, 2444.343, 1339.487, 610.6526, 958.5322
105.2, 1.853173e-06, 3.004302, 2.8098, 176.0392, 111.2032, 88.13898, 2381.692, 1349.432, 580.4068, 904.0514
105.3, 1.74743e-06, 2.846512, 2.680918, 165.7834, 104.6793, 83.54114, 2339.345, 1277.183, 551.6591, 931.3934
105.4, 1.64772e-06, 2.697009, 2.557949, 156.1252, 98.53811, 79.18314, 2231.377, 1331.656, 590.4139, 935.5837
105.5, 1.5537e-06, 2.555359, 2.440619, 151.9542, 92.75719, 75.05248, 2095.326, 1319.616, 585.6389, 882.4073
105.6, 1.465044e-06, 2.421148, 2.328671, 143.1016, 87.31543, 71.13731, 2025.808, 1371.487, 653.0065, 1121.374
105.7, 1.381448e-06, 2.293986, 2.221859, 134.7648, 82.19292, 115.2464, 1902.29, 1298.057, 736.8839, 1548.55
105.8, 1.302621e-06, 2.173503, 2.119945, 126.9136, 77.37093, 143.9869, 1944.303, 1263.395, 700.3857, 1969.221
105.9, 1.228293e-06, 2.059347, 2.022706, 119.5199, 72.83183, 136.4757, 1961.778, 1326.274, 665.6954, 2067.2
106, 1.158205e-06, 1.951188, 1.929928, 112.5569, 68.55902, 129.3563, 1885.541, 1255.265, 632.7233, 1949.705
106.1, 1.092117e-06, 1.848709, 1.841405, 147.4658, 64.53689, 122.6084, 1798.132, 1188.057, 631.045, 1838.888
106.2, 1.0298e-06, 1.751612, 1.756942, 138.8747, 60.75072, 116.2124, 1688.496, 1124.448, 599.7892, 1806.796
106.3, 9.710391e-07, 1.659615, 1.676353, 130.8077, 57.18667, 110.1501, 1721.264, 1281.041, 570.0814, 1804.498
106.4, 9.156308e-07, 1.57245, 1.599462, 123.1871, 89.75319, 104.404, 1616.315, 1212.454, 541.8451, 1701.935
106.5, 8.633842e-07, 1.489863, 1.526097, 116.0104, 100.9143, 98.95766, 1577.652, 1181.432, 592.4353, 1605.201
106.6, 8.141188e-07, 1.411613, 1.456097, 111.0944, 94.99397, 93.79546, 1481.459, 1193.206, 563.0918, 1513.965
106.7, 7.676646e-07, 1.337473, 1.389308, 104.6223, 94.17532, 88.90253, 1638.178, 1181.062, 535.2017, 1481.845
106.8, 7.23861e-07, 2.434275, 1.325582, 98.52715, 88.65035, 84.26485, 1538.295, 1117.827, 508.6929, 1397.62
106.9, 6.82557e-07, 2.306424, 1.264779, 92.78714, 83.44952, 79.8691, 1549.15, 1057.979, 534.8117, 1446.157
107, 6.436097e-07, 2.185287, 1.206766, 87.38153, 78.55381, 75.70266, 1475.962, 1035.622, 508.3223, 1457.745
107.1, 6.068848e-07, 2.070513, 1.151413, 82.29084, 73.94531, 98.39989, 1385.969, 980.1742, 483.1449, 1374.89
107.2, 5.722555e-07, 1.961767, 1.0986, 77.49673, 69.60718, 93.26678, 1321.221, 1137.92, 459.2146, 1378.433
107.3, 5.396022e-07, 1.858732, 1.048208, 72.98191, 90.5871, 88.40144, 1240.664, 1100.564, 436.4695, 1300.086
107.4, 5.08812e-07, 1.761109, 1.000129, 68.73012, 85.27264, 83.7899, 1230.064, 1041.64, 414.8511, 1371.505
107.5, 4.797788e-07, 1.668613, 0.954254, 64.72603, 80.26997, 79.41893, 1155.064, 985.8699, 394.3034, 1353.638
107.6, 4.524022e-07, 1.580976, 38.90348, 60.95521, 75.56079, 112.9215, 1084.637, 933.0862, 374.7734, 1308.52
107.7, 4.265878e-07, 1.497941, 37.11903, 57.40407, 71.12788, 107.0309, 1021.356, 1020.593, 356.2108, 1279.281
107.8, 4.022464e-07, 1.419267, 35.41644, 54.05981, 153.8595, 101.4475, 959.0815, 1035.809, 338.5675, 1206.569
107.9, 3.792939e-07, 7.659736, 70.44983, 50.91039, 537.0861, 96.15544, 934.3395, 1308.471, 321.7982, 1298.05
108, 3.576511e-07, 39.47379, 67.2184, 47.94444, 585.2278, 91.13941, 907.5083, 1238.415, 305.8594, 1343.232
108.1, 3.372433e-07, 37.40058, 120.8825, 45.15128, 1082.945, 86.38505, 993.5089, 1739.149, 290.7101, 1424.708
108.2, 3.179999e-07, 35.43625, 115.3378, 42.52085, 1560.277, 81.8787, 932.9326, 1794.752, 276.3111, 1343.73
108.3, 2.998545e-07, 68.75127, 110.0474, 40.04366, 1755.918, 77.60743, 876.0497, 1742.862, 262.6253, 1267.356
108.4, 2.827446e-07, 65.14036, 104.9997, 37.71079, 1744.685, 73.55897, 822.6351, 1649.549, 348.1543, 1360.813
108.5, 2.66611e-07, 61.7191, 100.1835, 35.51383, 1753.313, 69.7217, 772.4774, 1645.109, 330.9101, 1283.468
108.6, 2.513979e-07, 93.46278, 95.58824, 33.44486, 1650.451, 66.08461, 725.3778, 1750.587, 314.52, 1210.518
108.7, 2.37053e-07, 88.55399, 91.20374, 31.49643, 1553.625, 62.63725, 681.15, 2577.36, 298.9417, 1319.683
108.8, 2.235266e-07, 83.90301, 87.02036, 29.6615, 1462.479, 59.36972, 639.6189, 2920.844, 284.135, 1419.302
108.9, 2.10772e-07, 132.0635, 83.02885, 27.93348, 1485.259, 56.27265, 600.62, 2848.204, 270.0617, 1592.161
109, 1.987451e-07, 125.1273, 79.22044, 26.30612, 1398.123, 53.33714, 605.1333, 2695.711, 256.6855, 1762.002
109.1, 1.874046e-07, 118.5555, 75.58671, 24.77357, 1340.976, 50.55476, 588.0721, 2642.513, 243.9718, 1904.512
109.2, 1.767111e-07, 112.3288, 72.11965, 23.33031, 1467.107, 47.91753, 552.2161, 2669.79, 231.8878, 1934.316
109.3, 1.666279e-07, 106.4291, 68.81162, 21.97113, 1457.417, 45.41787, 545.2806, 2526.848, 220.4023, 1911.995
109.4, 1.5712e-07, 100.8393, 65.65533, 20.69113, 1371.915, 43.0486, 557.0341, 2693.964, 209.4857, 1980.971
109.5, 1.481546e-07, 95.54309, 62.64382, 19.4857, 1305.9, 40.80294, 525.012, 2969.313, 199.1098, 1915.349
109.6, 1.397008e-07, 200.7848, 59.77044, 18.3505, 1229.287, 38.67442, 493.0009, 2967.533, 189.2478, 1806.485
109.7, 1.317293e-07, 245.3878, 57.02885, 17.28144, 1157.169, 36.65693, 462.9417, 2991.398, 179.8743, 1703.808
109.8, 1.242127e-07, 232.4997, 98.33234, 16.27465, 1273.316, 34.74469, 434.7151, 2831.238, 170.9651, 1879.9
109.9, 1.171251e-07, 220.2885, 93.82198, 22.63983, 1198.614, 32.93221, 543.0252, 2983.55, 162.4971, 1889.96
110, 1.104418e-07, 257.0843, 89.51849, 21.32087, 1128.295, 31.21427, 509.9158, 2855.054, 154.4486, 1782.539
110.1, 1.041399e-07, 243.5819, 85.41241, 65.66123, 1062.102, 29.58595, 530.5023, 2866.259, 146.7987, 1757.259
110.2, 9.819762e-08, 279.5172, 81.49466, 272.0883, 1280.022, 28.04257, 546.4189, 2750.823, 236.5285, 1657.38
110.3, 9.259439e-08, 264.8366, 77.75661, 256.2369, 1204.927, 26.57971, 513.1027, 2745.228, 224.8131, 1563.178
110.4, 8.731088e-08, 342.2246, 74.19003, 241.309, 1135.73, 25.19315, 567.5313, 2639.579, 213.6781, 1474.331
110.5, 8.232885e-08, 324.2505, 70.78704, 227.2508, 1150.865, 23.87893, 532.9277, 2591.072, 203.0945, 1390.533
110.6, 7.763111e-08, 333.5554, 67.54014, 214.0116, 1232.826, 22.63327, 602.2889, 2577.23, 193.0352, 1524.399
110.7, 7.320141e-08, 316.0366, 64.44217, 201.5436, 1217.98, 21.45258, 1435.253, 2463.604, 183.4741, 1437.756
110.8, 147.8167, 982.5248, 61.4863, 189.8021, 1146.525, 20.33349, 2385.247, 2433.229, 208.7229, 1356.037
110.9, 139.3821, 1216.499, 58.66601, 178.7446, 1079.262, 19.27278, 2327.773, 2392.625, 242.4108, 1278.963
111, 150.0253, 1316.208, 55.97508, 168.3312, 1150.708, 18.2674, 2339.947, 2264.523, 230.4041, 1206.27
111.1, 141.4647, 1390.652, 53.40759, 209.5957, 1083.2, 17.31446, 2519.84, 2159.034, 218.9921, 1137.708
111.2, 133.3926, 1317.613, 50.95786, 197.385, 1096.588, 16.41124, 2506.109, 2173.667, 208.1454, 1073.043
111.3, 299.3717, 1248.41, 48.62049, 185.8857, 1032.254, 15.55513, 2459.696, 2057.289, 197.8359, 1113.501
111.4, 873.2784, 1290.844, 46.39034, 175.0564, 1069.731, 14.74368, 2384.259, 2168.864, 298.2313, 1252.808
111.5, 848.7351, 1272.824, 44.26248, 297.8486, 1022.366, 13.97457, 2238.886, 2203.999, 283.4598, 1297.687
111.6, 914.4208, 1338.141, 42.23222, 280.4965, 1024.2, 13.24557, 2399.867, 2098.185, 368.3251, 1281.627
111.7, 906.353, 1267.86, 40.29509, 264.1553, 964.1131, 12.5546, 2295.898, 2008.077, 350.0819, 1461.058
111.8, 873.4617, 1201.27, 38.44681, 248.7661, 1005.364, 11.89968, 2228.133, 2023.257, 332.7422, 1950.715
111.9, 912.3802, 1197.569, 36.68331, 284.6989, 1132.18, 11.27893, 2190.023, 2022.511, 316.2614, 2174.926
112, 1019.055, 1134.671, 35.0007, 268.1129, 1189.337, 10.69055, 2056.493, 1977.541, 558.5944, 2231.215
112.1, 963.8681, 1136.825, 33.39527, 491.2871, 1211.986, 10.13287, 1994.619, 1871.663, 1028.138, 2262.653
112.2, 908.869, 1077.117, 31.86348, 503.5832, 1259.542, 9.604279, 2087.252, 1771.453, 1671.464, 2304.978
112.3, 909.368, 1020.546, 30.40195, 474.2454, 1664.661, 9.103263, 1993.751, 1676.609, 1797.229, 2173.968
112.4, 857.4788, 1024.875, 29.00745, 515.1035, 1572.265, 8.628384, 1872.188, 1709.596, 1708.212, 2241.966
112.5, 808.5504, 1135.694, 27.67692, 486.021, 1554.644, 8.178276, 1758.037, 1732.194, 1661.645, 2234.131
112.6, 762.4138, 1076.046, 26.40742, 479.3333, 1715.615, 196.4481, 1769.757, 1719.249, 1579.344, 2253.144
112.7, 718.9099, 1019.531, 25.19615, 451.4083, 1614.965, 621.1127, 2073.378, 1723.628, 1676.63, 2125.08
112.8, 677.8884, 1051.289, 24.04044, 425.11, 1625.167, 1253.134, 3204.558, 1770.817, 1593.586, 2004.296
112.9, 647.772, 1002.438, 22.93774, 400.3439, 1529.823, 1187.763, 3815.985, 1676.007, 1655.438, 2082.41
113, 610.8096, 949.7886, 21.88561, 436.4519, 1440.074, 1143.177, 4199.213, 1586.273, 1925.242, 2033.662
113.1, 575.9563, 899.9045, 20.88175, 411.0251, 1355.589, 1284.113, 4162.05, 1532.328, 1902.143, 2052.608
113.2, 543.0918, 852.6403, 19.92393, 387.0795, 1276.061, 1217.126, 3908.281, 1667.546, 1807.929, 1935.943
113.3, 512.1025, 851.2191, 19.01005, 364.529, 1201.199, 1222.681, 3806.81, 1584.425, 1738.339, 1825.908
113.4, 482.8816, 806.5119, 18.13809, 343.732, 1311.791, 1158.899, 3797.188, 1583.616, 1652.238, 1979.079
113.5, 455.328, 781.0903, 17.30612, 323.7068, 1234.833, 1098.444, 3573.869, 1498.829, 1613.402, 2451.144
113.6, 433.5137, 740.0663, 16.51231, 304.8482, 1233.386, 1041.143, 3393.903, 1418.581, 1533.489, 2377.207
113.7, 408.777, 729.4474, 15.75492, 338.8773, 1161.027, 986.8307, 3286.136, 1373.197, 1457.535, 2242.092
113.8, 397.1963, 693.6278, 15.03226, 319.135, 1092.913, 935.3518, 3273.162, 1456.94, 1464.76, 2153.575
113.9, 374.532, 657.1975, 14.34275, 300.5428, 1028.796, 886.5583, 3146.202, 1378.935, 1392.21, 2235.795
114, 353.1609, 712.4368, 13.68487, 283.0337, 1046.051, 896.7852, 3104.361, 1305.106, 1389.919, 2128.273
114.1, 333.0092, 745.8038, 13.05716, 290.4464, 993.2732, 850.0036, 2915.082, 1255.784, 1321.076, 2135.128
114.2, 314.0075, 764.3113, 12.45825, 273.5255, 935.001, 805.6624, 2855.006, 1366.129, 1378.779, 2053.461
114.3, 298.7665, 798.2798, 11.88681, 257.5904, 979.782, 763.6343, 2680.93, 1344.243, 1310.488, 1981.496
114.4, 352.6501, 820.8957, 11.34158, 242.5836, 996.5903, 723.7987, 2521.913, 1725.397, 1452.506, 1868.873
114.5, 332.5276, 862.5184, 10.82136, 228.4512, 938.1235, 748.1449, 2531.188, 2366.096, 1380.563, 1870.486
114.6, 313.5534, 817.2178, 10.325, 215.142, 1048.619, 709.1172, 2511.21, 2239.415, 1503.809, 1838.449
114.7, 295.6618, 774.2964, 9.851403, 202.6082, 987.0996, 672.1255, 2410.05, 2416.179, 1563.487, 1935.147
114.8, 278.7911, 733.6293, 9.399533, 237.8686, 929.1897, 637.0635, 2263.104, 2286.816, 1486.047, 1825.158
114.9, 262.883, 695.0981, 8.96839, 224.0108, 874.6771, 723.3105, 2204.917, 2313.082, 1677.388, 1774.24
115, 247.8827, 727.4285, 8.557023, 210.9604, 823.3627, 685.5784, 2183.23, 2328.25, 1594.306, 1739.32
115.1, 233.7383, 697.2565, 8.164525, 321.0131, 833.2115, 788.2685, 2115.779, 2203.595, 1651.551, 1852.731
115.2, 220.401, 660.6357, 7.79003, 331.4569, 784.3297, 747.1478, 2105.927, 2085.614, 1665.644, 1844.926
115.3, 266.0605, 625.9382, 7.432713, 312.1468, 836.6119, 714.4885, 1977.524, 2040.018, 1688.978, 1882.733
115.4, 250.8789, 593.0631, 7.091784, 346.1071, 1084.184, 706.161, 1856.95, 1930.795, 1605.323, 1866.341
115.5, 236.5636, 696.2217, 6.766494, 325.9435, 1020.578, 866.5447, 1743.728, 2013.555, 1611.76, 1858.755
115.6, 223.065, 659.6552, 6.456125, 324.0478, 1091.294, 821.3406, 1637.409, 1990.94, 1636.555, 1869.485
115.7, 210.3368, 654.468, 6.159992, 412.0515, 1267.268, 778.4947, 1608.841, 1884.345, 1555.495, 1873.274
115.8, 198.3348, 620.0944, 5.877442, 388.0461, 1192.922, 836.9568, 1510.747, 1880.292, 1478.451, 1822.349
115.9, 187.0177, 587.5262, 5.607852, 503.8582, 1122.937, 949.2758, 1447.029, 1892.207, 1440.772, 1718.771
116, 176.3463, 556.6686, 5.350628, 781.6577, 1057.058, 899.756, 1392.677, 1929.741, 1423.257, 1621.08
116.1, 166.2838, 527.4316, 5.105202, 736.1198, 1087.479, 852.8195, 1447.46, 1947.079, 1424.353, 1528.942
116.2, 156.7955, 499.7302, 4.871034, 732.6379, 1126.54, 808.3314, 1359.205, 1865.425, 1353.804, 1442.04
116.3, 147.8487, 473.4837, 4.647606, 689.9557, 1060.449, 766.1641, 1359.601, 1765.55, 1647.204, 1545.908
116.4, 174.7778, 448.6157, 4.434427, 682.7733, 998.2362, 726.1965, 1293.154, 1768.331, 2003.516, 1458.042
116.5, 164.8049, 425.0538, 4.231026, 729.8998, 939.6729, 688.3138, 1214.307, 1700.583, 1992.606, 1455.38
116.6, 155.401, 439.6335, 4.036955, 687.3771, 899.089, 652.4073, 1140.269, 1691.422, 2076.49, 1490.869
116.7, 146.5337, 416.5433, 3.851785, 647.3318, 846.3423, 618.374, 1206.17, 1600.862, 1997.129, 1428.116
116.8, 161.5781, 394.6659, 3.67511, 732.576, 796.6902, 586.116, 1132.627, 1515.152, 2354.448, 1445.4
116.9, 152.3584, 373.9375, 3.506538, 717.7155, 749.9509, 609.0112, 1087.193, 1617.662, 2237.832, 1391.925
117, 143.6647, 354.2978, 3.345698, 676.9433, 705.9537, 656.7334, 1020.905, 1531.052, 2187.387, 1353.118
117.1, 135.4671, 335.6896, 3.192235, 637.5058, 826.4279, 622.4743, 958.6581, 1491.084, 2079.045, 1317.59
117.2, 158.1228, 318.0587, 3.045812, 600.3658, 777.944, 676.5295, 900.2067, 1497.731, 1976.069, 1457.868
117.3, 149.1002, 458.8037, 2.906105, 565.3896, 732.3046, 641.2378, 870.5206, 1501.018, 2075.918, 1507.59
117.4, 140.5924, 434.7068, 2.772806, 547.0154, 689.3427, 607.787, 817.4432, 1440.192, 2123.704, 1521.521
117.5, 132.5701, 411.8754, 2.645622, 515.1473, 648.9011, 576.0813, 823.1467, 1370.796, 2457.09, 1435.041
117.6, 125.0056, 390.2431, 46.7637, 551.8658, 692.6154, 555.0436, 847.7534, 1297.403, 2541.274, 1487.632
117.7, 142.1102, 369.747, 44.61871, 519.7151, 686.6437, 526.0892, 796.0641, 1377.58, 2666.3, 1604.214
117.8, 134.0013, 350.3274, 42.57212, 565.9529, 646.3605, 650.8234, 747.5264, 1303.824, 2534.237, 1513.034
117.9, 126.355, 331.9277, 40.6194, 532.9816, 718.4819, 616.8727, 701.9481, 1287.763, 2451.429, 1484.634
118, 119.1451, 314.4944, 38.75624, 552.2135, 676.3309, 589.9818, 736.9878, 1218.816, 2330.009, 1465.918
118.1, 112.3466, 320.1004, 36.97855, 520.0425, 636.6527, 559.2049, 692.0521, 1200.027, 2214.603, 1463.768
118.2, 105.936, 303.2883, 35.28239, 674.7296, 599.3024, 530.0335, 682.407, 1147.895, 2252.273, 1380.57
118.3, 99.89124, 287.3592, 33.66404, 635.421, 564.1432, 535.6229, 661.5034, 1100.824, 2277.838, 1376.549
118.4, 94.19137, 321.9589, 32.11992, 598.4025, 531.0468, 507.6816, 621.1701, 1105.217, 2523.496, 1317.356
118.5, 88.81673, 371.4807, 30.64662, 653.2062, 499.892, 523.3437, 583.2961, 1237.618, 2398.507, 1422.817
118.6, 83.74878, 351.9701, 29.24091, 615.1516, 470.565, 496.043, 570.3412, 1171.355, 2422.388, 1341.948
118.7, 78.97001, 333.4841, 27.89967, 624.7042, 442.9584, 511.2123, 556.7614, 1108.641, 2458.219, 1265.674
118.8, 74.46392, 475.0034, 26.61995, 588.3101, 416.9715, 484.5445, 536.6427, 1049.284, 2402.929, 1193.736
118.9, 70.21495, 450.0556, 25.39893, 579.7374, 392.5091, 520.6344, 503.9225, 993.1049, 2283.912, 1233.759
119, 66.20843, 426.4181, 24.23392, 545.963, 369.4819, 493.4751, 485.0908, 982.9503, 2170.789, 1230.139
119.1, 62.43052, 404.022, 23.12234, 514.1561, 347.8056, 467.7325, 455.5138, 945.5764, 2200.509, 1160.221
119.2, 58.86819, 382.8022, 22.06175, 662.739, 327.4009, 443.3329, 427.7401, 933.1232, 2219.642, 1217.826
119.3, 55.50912, 478.5792, 21.04981, 624.129, 392.9562, 420.206, 518.8975, 937.0489, 2188.191, 1148.608
119.4, 85.03767, 453.4436, 20.08429, 624.8296, 369.9027, 454.8561, 487.2592, 898.2538, 2079.809, 1166.454
119.5, 80.18536, 429.6281, 19.16305, 588.4282, 348.2018, 431.1281, 457.55, 850.1611, 2143.725, 1320.276
119.6, 75.60992, 407.0635, 18.28407, 554.1474, 327.7739, 408.638, 429.6522, 804.6432, 2062.434, 1245.234
119.7, 71.29556, 385.684, 17.4454, 521.8638, 308.5445, 387.321, 403.4554, 761.5624, 2125.327, 1174.458
119.8, 67.22738, 371.3475, 16.64521, 491.4609, 290.4431, 367.1161, 424.0703, 799.0674, 2338.167, 1619.403
119.9, 63.39133, 376.2474, 15.88171, 527.9414, 320.6875, 347.9651, 404.674, 756.2852, 2292.289, 1527.36
120, 59.77417, 389.2354, 15.15324, 497.1845, 314.2076, 448.2943, 380.0002, 733.0724, 2293.76, 1605.566
120.1, 56.36341, 404.8082, 14.45819, 528.2906, 295.774, 424.9087, 356.8307, 693.8235, 2328.341, 1514.309
120.2, 53.14727, 399.7396, 13.79501, 508.537, 278.4219, 402.7429, 335.074, 672.0516, 2254.004, 1569.66
120.3, 50.11465, 412.7602, 13.16225, 478.9105, 262.0878, 438.2654, 314.6439, 636.0698, 2142.362, 1480.444
120.4, 47.25507, 391.0815, 12.55852, 451.0101, 252.5259, 415.4029, 295.4594, 752.2834, 2036.25, 1396.299
120.5, 44.55866, 405.7232, 11.98248, 424.735, 237.711, 393.733, 277.4446, 712.006, 1935.394, 1549.127
120.6, 42.01611, 384.4141, 11.43286, 399.9908, 296.9156, 467.0448, 260.5282, 673.8851, 2100.095, 1492.47
120.7, 39.61863, 435.7957, 10.90845, 376.688, 279.4965, 520.558, 244.6432, 658.9427, 2029.388, 1730.934
120.8, 37.35796, 442.614, 10.40809, 760.0527, 263.0994, 493.4027, 229.7268, 769.2756, 1928.872, 1632.552
120.9, 35.22629, 509.382, 9.930689, 1010.669, 247.6642, 467.6639, 215.7199, 738.363, 1833.334, 1652.32
121, 33.21625, 482.6286, 9.475183, 1090.98, 233.1345, 457.7274, 204.1317, 873.8229, 1742.529, 1628.884
121.1, 31.3209, 457.2803, 9.040569, 1144.573, 219.4573, 433.8497, 258.7848, 827.0382, 1756.463, 1536.302
121.2, 29.53371, 441.063, 8.625892, 1298.73, 206.5824, 411.2176, 243.0062, 782.7584, 1669.465, 1448.982
121.3, 27.84849, 417.8978, 8.230234, 1392.089, 194.4629, 389.7661, 280.6466, 861.6758, 1666.062, 1568.047
121.4, 26.25943, 399.9821, 7.852725, 1657.872, 183.0544, 369.4336, 276.8538, 815.5414, 1583.542, 1478.923
121.5, 24.76105, 493.942, 7.492532, 1614.623, 276.536, 355.9931, 259.9734, 809.7815, 1505.109, 1394.864
121.6, 23.34816, 467.9995, 7.14886, 1520.558, 281.6834, 504.3576, 267.8435, 766.4256, 1489.56, 1448.072
121.7, 22.0159, 443.4195, 6.820952, 1481.529, 265.158, 501.399, 275.4988, 725.391, 1431.722, 1365.766
121.8, 20.75965, 420.1305, 6.508085, 1494.924, 249.602, 475.2431, 258.7011, 686.5534, 1360.809, 1377
121.9, 19.57509, 398.0647, 6.209568, 1448.498, 234.9587, 450.4516, 254.5857, 649.7952, 1293.407, 1517.502
122, 18.45812, 377.1578, 5.924744, 1364.111, 221.1744, 426.9534, 240.464, 615.005, 1258.862, 1431.25
122.1, 17.40489, 357.3489, 5.652985, 1384.162, 208.1988, 485.1182, 225.8024, 582.0775, 1196.51, 1349.901
122.2, 16.41175, 338.5805, 5.39369, 1303.523, 195.9845, 459.8116, 212.0348, 704.5291, 1297.812, 1437.658
122.3, 15.47528, 329.5294, 5.146289, 1305.654, 220.9385, 469.1321, 199.1066, 691.3636, 1233.531, 1355.945
122.4, 14.59225, 312.222, 4.910236, 1229.589, 207.9767, 464.0149, 186.9666, 654.3479, 1172.434, 1408.255
122.5, 13.75961, 295.8237, 4.685011, 1157.955, 195.7754, 439.8091, 175.5669, 619.314, 1266.554, 1394.261
122.6, 12.97447, 280.2867, 4.470116, 1196.76, 184.2899, 416.8661, 164.8622, 586.1558, 1220.561, 1315.015
122.7, 12.23414, 265.5656, 4.265078, 1154.71, 253.7794, 395.1199, 154.8102, 554.7728, 1202.372, 1240.272
122.8, 11.53605, 251.6178, 4.069445, 1087.439, 238.891, 374.5081, 145.3711, 604.2619, 1142.818, 1169.778
122.9, 10.87779, 238.4025, 3.882786, 1024.087, 224.876, 354.9716, 136.5075, 571.9096, 1086.214, 1307.311
123, 10.2571, 225.8813, 3.704688, 964.4252, 211.6833, 336.4542, 128.1844, 541.2894, 1032.414, 1233.006
123.1, 9.671821, 214.0177, 3.534759, 945.696, 199.2645, 354.4835, 120.3687, 512.3087, 981.278, 1162.925
123.2, 9.119939, 335.715, 3.372625, 939.1711, 187.5743, 335.9915, 113.0296, 539.1419, 932.675, 1096.827
123.3, 8.599548, 325.9699, 3.217927, 884.8835, 231.9913, 318.4643, 106.1379, 510.2761, 1145.884, 1034.486
123.4, 8.108851, 308.8495, 3.070325, 833.3318, 218.3811, 301.8513, 99.66647, 613.366, 1192.004, 1175.282
123.5, 7.646154, 396.0439, 2.929494, 958.7755, 241.4932, 362.1503, 192.6083, 580.5262, 1132.964, 1108.482
123.6, 7.209858, 471.0987, 2.795122, 985.2698, 227.3255, 343.2584, 185.8367, 684.2905, 1076.848, 1093.111
123.7, 6.798458, 488.4012, 2.666914, 936.3099, 213.9891, 325.3521, 178.0635, 647.6534, 1139.583, 1030.981
123.8, 6.410533, 490.819, 2.544586, 1376.486, 201.435, 388.6764, 167.5437, 665.0583, 1119.376, 1108.045
123.9, 35.15154, 570.6418, 37.2907, 1638.944, 189.6175, 425.1855, 157.3282, 796.6381, 1063.933, 1045.067
124, 33.14576, 540.671, 35.58023, 1681.551, 178.4933, 403.0053, 156.9057, 753.986, 1011.236, 985.6674
124.1, 31.25444, 512.2742, 33.94822, 1796.187, 168.0216, 586.9749, 147.3388, 713.6174, 1010.001, 929.6443
124.2, 29.47103, 485.3688, 32.39106, 1691.544, 158.1644, 556.3549, 138.3553, 815.5329, 1109.224, 876.8054
124.3, 27.78939, 459.8766, 30.90533, 1592.998, 148.8854, 527.3322, 129.9194, 950.4153, 1054.284, 826.9698
124.4, 26.20371, 435.7233, 29.48775, 1687.381, 221.3634, 499.8234, 169.5356, 975.0934, 1291.681, 779.9667
124.5, 24.7085, 412.8385, 28.13519, 1703.851, 208.3767, 473.7497, 159.1987, 976.7987, 1517.934, 735.6351
124.6, 23.29862, 391.1557, 93.66585, 1654.055, 196.1519, 449.0361, 149.492, 924.5007, 1442.75, 693.8233
124.7, 21.96918, 370.6116, 89.36953, 1650.892, 470.0837, 425.6118, 140.3772, 1046.168, 1371.291, 654.3879
124.8, 20.7156, 415.9979, 85.27028, 1575.047, 613.9047, 403.4094, 131.8181, 1296.504, 1303.37, 617.194
124.9, 19.53355, 394.1491, 81.35905, 1483.288, 577.8889, 382.3652, 123.7808, 1403.114, 1238.814, 582.1141
125, 18.41895, 373.4479, 77.62723, 1478.316, 543.986, 362.4188, 116.2337, 1327.991, 1274.123, 669.3571
