 , C00, C01, C03, C05, C06, C10, C17, C23, C27, C51
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
5.6, 364.3926, 217.9173, 1027.151, 0, 0, 0, 175.2961, 107.0969, 70.67699, 625.9653
5.7, 343.6, 206.472, 980.0374, 0, 0, 0, 164.6079, 101.3629, 67.17634, 875.7757
5.8, 323.994, 195.6278, 935.0844, 0, 0, 0, 154.5714, 95.93589, 196.733, 825.9986
5.9, 305.5066, 185.3532, 961.9886, 0, 0, 0, 145.1469, 90.79946, 186.9888, 779.0507
6, 288.0741, 175.6182, 1072.781, 0, 0, 0, 136.297, 85.93803, 177.7272, 734.7712
6.1, 271.6364, 166.3945, 1023.574, 0, 0, 0, 127.9867, 81.33689, 168.9243, 693.0085
6.2, 256.1366, 157.6552, 976.6243, 0, 0, 0, 120.1831, 76.9821, 160.5574, 653.6194
6.3, 249.4728, 149.375, 931.828, 0, 0, 0, 112.8552, 72.86046, 152.6049, 616.4692
6.4, 235.2377, 141.5296, 1091.703, 0, 0, 0, 119.9616, 68.9595, 145.0464, 581.4305
6.5, 221.8148, 134.0963, 1041.629, 0, 0, 0, 210.0771, 65.26739, 137.8622, 548.3833
6.6, 209.1579, 137.6935, 1009.794, 0, 0, 0, 197.2683, 61.77296, 131.0338, 517.2144
6.7, 228.85, 130.4616, 1118.675, 0, 0, 0, 185.2404, 58.46562, 124.5437, 487.8171
6.8, 215.7917, 123.6096, 1191.572, 0, 0, 0, 241.2427, 97.26293, 118.375, 460.0907
6.9, 203.4784, 117.1174, 1136.916, 0, 0, 0, 353.876, 245.1369, 112.5118, 433.9402
7, 191.8678, 110.9663, 1103.505, 0, 0, 0, 332.2995, 553.054, 106.9391, 409.276
7.1, 180.9197, 136.6149, 1270.33, 0, 0, 0, 335.4521, 553.1514, 101.6424, 386.0137
7.2, 170.5963, 129.4397, 1347.054, 0, 0, 0, 314.9988, 523.5355, 96.60799, 536.7812
7.3, 160.8619, 122.6414, 1306.659, 0, 0, 0, 295.7927, 555.4634, 91.82296, 506.2718
7.4, 151.683, 116.2001, 1246.724, 0, 0, 0, 277.7576, 525.7238, 87.27494, 477.4964
7.5, 143.0278, 110.0971, 1205.974, 0, 0, 0, 260.8221, 585.2464, 82.95219, 450.3566
7.6, 134.8666, 104.3146, 1150.657, 0, 0, 0, 244.9193, 572.4756, 78.84354, 424.7593
7.7, 127.171, 98.83589, 1097.878, 0, 0, 0, 229.986, 541.8252, 74.93839, 454.5723
7.8, 119.9145, 93.6449, 1047.52, 0, 0, 0, 215.9633, 512.8157, 71.22667, 525.9841
7.9, 113.0721, 88.72655, 999.472, 0, 0, 0, 202.7956, 485.3595, 67.69879, 496.0883
8, 106.6201, 84.06651, 953.6277, 0, 0, 0, 190.4307, 459.3732, 64.34565, 593.048
8.1, 100.5363, 79.65122, 909.8862, 0, 0, 0, 178.8197, 434.7783, 61.15859, 1084.067
8.199999999999999, 94.7996, 75.46783, 868.1509, 0, 0, 0, 167.9167, 411.5001, 58.12938, 1118.16
8.300000000000001, 142.6492, 71.50417, 828.3301, 0, 0, 0, 157.6785, 429.9026, 55.25022, 1159.13
8.4, 134.5095, 67.74866, 790.3358, 0, 0, 0, 148.0645, 406.8856, 52.51366, 1093.247
8.5, 126.8343, 64.19041, 798.7938, 0, 0, 0, 139.0367, 385.1008, 49.91264, 1031.11
8.6, 123.0092, 60.81904, 954.0602, 0, 0, 0, 207.4267, 364.4824, 47.44045, 972.5037
8.699999999999999, 511.0632, 57.62475, 910.2989, 0, 0, 0, 310.3098, 344.9679, 45.09071, 917.2288
8.800000000000001, 1206.78, 106.2433, 868.5448, 0, 0, 0, 291.3895, 349.2724, 42.85735, 865.0956
8.9, 1191.091, 113.8651, 880.8906, 0, 0, 0, 273.6229, 330.5723, 40.73462, 815.9255
9, 1237.482, 107.8848, 840.4854, 0, 0, 0, 256.9395, 312.8734, 38.71702, 769.5501
9.1, 1208.632, 102.2185, 845.5056, 0, 0, 0, 241.2734, 296.1221, 36.79935, 725.8106
9.199999999999999, 1139.667, 96.84987, 806.7234, 0, 0, 0, 226.5625, 311.6554, 34.97667, 834.9876
9.300000000000001, 1074.636, 91.76318, 769.7202, 0, 0, 0, 212.7485, 351.0682, 33.24426, 787.5288
9.4, 1072.555, 86.94365, 833.88, 0, 0, 0, 199.7767, 332.2719, 31.59766, 742.7675
9.5, 1081.296, 82.37726, 800.4525, 0, 0, 0, 187.5959, 314.482, 30.03262, 821.7105
9.6, 1108.861, 78.05069, 852.5169, 0, 0, 0, 176.1578, 297.6446, 28.54509, 775.0063
9.699999999999999, 1045.589, 73.95136, 813.4131, 0, 0, 0, 165.4171, 281.7086, 27.13124, 730.9567
9.800000000000001, 989.1779, 70.06734, 835.3746, 0, 0, 0, 155.3313, 266.6259, 25.78743, 689.4108
9.9, 932.7346, 66.3873, 797.0571, 0, 0, 0, 145.8604, 252.3506, 24.51017, 650.2263
10, 879.512, 62.90055, 767.6245, 0, 0, 0, 136.967, 288.5397, 23.29617, 613.2689
10.1, 829.3264, 59.59693, 732.4147, 0, 0, 0, 128.6158, 273.0912, 22.1423, 578.412
10.2, 782.0044, 56.46682, 698.8198, 0, 0, 0, 120.7738, 267.9844, 21.04559, 717.1323
10.3, 737.3826, 53.50111, 666.7659, 0, 0, 0, 113.41, 253.6365, 20.00319, 676.3721
10.4, 695.307, 50.69116, 636.1824, 0, 0, 0, 106.4952, 240.0567, 19.01243, 637.9286
10.5, 655.6322, 48.02879, 632.7637, 0, 0, 0, 100.0019, 275.5146, 18.07073, 601.6702
10.6, 618.2213, 45.50626, 675.7896, 0, 0, 0, 93.90461, 260.7634, 17.17568, 567.4727
10.7, 582.9451, 43.11621, 650.7805, 0, 0, 0, 88.17905, 246.8021, 16.32497, 535.2188
10.8, 549.6818, 40.85168, 670.8109, 0, 0, 0, 82.80258, 233.5883, 15.51639, 504.7982
10.9, 518.3165, 38.7061, 698.3771, 0, 0, 0, 77.75394, 221.0819, 14.74785, 476.1066
11, 491.0503, 41.5421, 666.3435, 0, 0, 0, 73.01311, 209.2451, 14.01739, 449.0458
11.1, 526.4889, 39.36025, 635.7792, 0, 0, 0, 68.56136, 198.0421, 13.3231, 423.523
11.2, 496.447, 37.293, 606.6169, 0, 0, 0, 64.38103, 187.4389, 12.6632, 875.5253
11.3, 468.1193, 35.33432, 578.7923, 0, 0, 0, 60.45559, 177.4034, 12.03599, 1128.387
11.4, 441.4081, 33.47851, 552.244, 0, 0, 0, 56.76948, 167.9051, 11.43985, 1064.252
11.5, 416.221, 31.72017, 526.9133, 0, 0, 0, 53.30813, 158.9154, 10.87323, 1003.763
11.6, 395.5981, 30.05419, 502.7445, 0, 0, 0, 50.05782, 150.4071, 10.33467, 946.7109
11.7, 373.025, 28.4757, 573.7439, 0, 0, 0, 47.00569, 142.3542, 9.822792, 892.902
11.8, 351.7399, 26.98012, 547.4271, 0, 0, 0, 44.13966, 134.7326, 9.336266, 842.1515
11.9, 331.6693, 25.56309, 522.3174, 0, 0, 0, 41.44836, 127.5189, 8.873837, 794.2855
12, 312.744, 24.22048, 498.3594, 0, 0, 0, 38.92117, 120.6916, 8.434314, 749.1401
12.1, 294.8986, 22.94839, 488.8971, 0, 0, 0, 36.54807, 114.2297, 8.01656, 706.5607
12.2, 278.0715, 21.74311, 466.4721, 0, 0, 0, 34.31965, 108.1138, 7.619497, 666.4014
12.3, 262.2045, 20.60113, 445.0757, 0, 0, 0, 32.22711, 102.3254, 7.242101, 628.5247
12.4, 247.2429, 41.37743, 424.6607, 0, 0, 0, 30.26216, 143.6382, 6.883397, 592.8007
12.5, 255.0716, 39.20423, 450.5727, 0, 0, 0, 28.41701, 135.9478, 6.54246, 559.1072
12.6, 240.517, 83.45689, 429.9056, 0, 0, 0, 26.68437, 128.6691, 6.21841, 527.3289
12.7, 226.793, 79.07362, 410.1864, 0, 0, 0, 71.03791, 121.7801, 5.91041, 497.3567
12.8, 213.852, 74.92057, 410.7704, 0, 0, 0, 66.70657, 115.26, 5.617665, 469.0881
12.9, 201.6494, 70.98564, 391.929, 0, 0, 0, 146.4342, 150.2693, 5.33942, 442.4262
13, 213.8372, 67.25739, 431.0099, 0, 0, 0, 225.6387, 418.1542, 5.074957, 417.2797
13.1, 201.6355, 63.72493, 445.5285, 0, 0, 0, 262.0992, 395.7661, 4.823593, 393.5624
13.2, 190.13, 60.37801, 431.4866, 0, 0, 0, 246.1185, 374.5768, 4.584679, 371.1932
13.3, 209.9798, 57.20688, 411.6949, 0, 0, 0, 233.2854, 354.5218, 4.357598, 350.0955
13.4, 197.9982, 54.2023, 392.8111, 0, 0, 0, 219.0615, 335.5406, 4.141765, 330.1968
13.5, 186.7003, 131.5975, 374.7934, 0, 0, 0, 234.5809, 317.5757, 3.936622, 311.4292
13.6, 213.9331, 250.7394, 373.0656, 0, 0, 0, 220.278, 300.5726, 3.74164, 293.7283
13.7, 201.7259, 237.5703, 694.0385, 0, 0, 0, 206.8472, 284.4799, 3.556315, 277.0334
13.8, 190.2153, 225.0927, 1433.271, 0, 0, 0, 194.2353, 269.2487, 3.380169, 261.2875
13.9, 179.3614, 213.2706, 1782.988, 0, 0, 0, 182.3924, 254.8331, 148.1416, 246.4365
14, 169.1269, 202.0693, 1865.314, 0, 0, 0, 178.5795, 241.1893, 210.4097, 232.4296
14.1, 159.4764, 191.4564, 1890.518, 0, 0, 0, 191.5992, 228.276, 199.988, 219.2188
14.2, 150.3766, 185.5173, 1934.901, 0, 0, 0, 179.9169, 216.054, 277.9747, 206.7589
14.3, 141.796, 175.7737, 1909.489, 0, 0, 0, 221.7823, 204.4864, 264.2065, 195.0072
14.4, 144.5865, 166.5418, 1827.981, 0, 0, 0, 208.2597, 193.5382, 251.1203, 183.9234
14.5, 136.3363, 157.7948, 1744.134, 0, 0, 0, 195.5617, 183.1761, 238.6822, 173.4697
14.6, 128.5569, 149.5072, 1684.37, 0, 0, 0, 183.6379, 173.3688, 226.8602, 163.61
14.7, 121.2213, 141.6549, 1698.793, 0, 0, 0, 172.4411, 164.0866, 215.6238, 154.3108
14.8, 114.3043, 221.1369, 1842.467, 0, 0, 0, 161.927, 155.3014, 204.9438, 145.5401
14.9, 139.2555, 209.5224, 1758.325, 0, 0, 0, 152.054, 146.9865, 194.7929, 137.268
15, 131.3095, 198.518, 1779.339, 0, 0, 0, 142.7829, 139.1168, 185.1447, 129.466
15.1, 123.8169, 188.0916, 1802.542, 0, 0, 0, 134.0771, 131.6685, 262.8593, 122.1074
15.2, 116.7518, 207.2681, 1719.862, 0, 0, 0, 163.2484, 124.6189, 249.8398, 115.1671
15.3, 110.0898, 196.3821, 1640.974, 0, 0, 0, 153.2948, 117.9468, 237.4651, 570.9089
15.4, 103.808, 192.7346, 1565.705, 0, 0, 0, 152.7317, 111.6319, 225.7034, 752.9231
15.5, 97.88464, 191.5608, 1493.889, 0, 0, 0, 143.4193, 105.6551, 214.5242, 710.1287
15.6, 92.29927, 181.4998, 1464.192, 0, 0, 0, 134.6748, 99.99828, 203.8988, 887.4438
15.7, 87.03261, 189.1903, 1397.032, 0, 0, 0, 126.4633, 94.64435, 193.7996, 837.0035
15.8, 82.06645, 212.6098, 1393.557, 0, 0, 0, 118.7526, 89.57706, 184.2007, 789.4301
15.9, 77.38367, 201.4432, 1337.752, 81.47523, 0, 0, 111.512, 84.78109, 456.548, 744.5607
16, 72.9681, 190.8631, 1440.924, 188.453, 0, 0, 104.7129, 80.24189, 703.4812, 702.2415
16.1, 68.80449, 180.8387, 1374.831, 177.4741, 0, 0, 98.32833, 75.94572, 668.6376, 662.3277
16.2, 64.87845, 171.3408, 1314.917, 181.6597, 0, 0, 92.33305, 71.87957, 635.5197, 624.6825
16.3, 61.17644, 164.8782, 1254.604, 171.0765, 0, 0, 86.70331, 68.03113, 604.0422, 589.1769
16.4, 57.68566, 156.2186, 1197.057, 165.2475, 0, 0, 81.41683, 64.38873, 574.1238, 555.6895
16.5, 54.39407, 148.0138, 1146.646, 170.3783, 0, 0, 76.45267, 60.94133, 613.1581, 524.1053
16.6, 51.2903, 140.2399, 1126.056, 160.4524, 0, 0, 71.7912, 57.67852, 816.4652, 793.738
16.7, 48.36364, 145.4442, 1074.405, 151.1047, 0, 0, 67.41394, 54.5904, 879.5286, 1234.12
16.8, 45.60397, 207.4017, 1025.124, 157.9953, 299.6679, 0, 63.30357, 51.66762, 835.9652, 1379.242
16.9, 43.00178, 196.5087, 1074.933, 148.7908, 557.9048, 0, 59.44382, 48.90133, 842.2617, 1414.772
17, 40.54806, 199.6545, 1025.628, 140.1225, 525.1744, 0, 55.8194, 46.28313, 811.1606, 1334.359
17.1, 38.23436, 189.1684, 1084.072, 131.9592, 494.3641, 0, 52.41598, 43.80513, 770.9836, 1258.517
17.2, 36.05268, 179.233, 1050.874, 124.2715, 546.9875, 0, 49.22007, 41.45979, 732.7965, 1186.986
17.3, 33.99548, 169.8195, 1002.672, 117.0317, 538.4997, 0, 46.21902, 39.24002, 725.2822, 1221.436
17.4, 32.05568, 160.9003, 1135.68, 110.2137, 506.9077, 0, 43.40095, 37.1391, 794.0887, 1152.013
17.5, 30.22655, 152.4496, 1115.667, 103.7928, 477.169, 0, 40.7547, 35.15067, 754.7572, 1086.535
17.6, 28.5018, 150.0321, 1064.493, 176.7615, 449.175, 0, 38.26981, 33.26869, 717.3738, 1024.779
17.7, 26.87547, 142.1522, 1106.747, 166.4637, 422.8234, 0, 35.93642, 31.48748, 681.8421, 966.5326
17.8, 25.34193, 134.6862, 1055.982, 199.3254, 398.0177, 0, 33.7453, 29.80163, 648.0703, 988.8028
17.9, 23.8959, 127.6123, 1007.545, 192.6191, 374.6673, 0, 31.68777, 28.20605, 691.9623, 932.6015
18, 22.53238, 129.3718, 961.3307, 181.3975, 352.6868, 0, 29.7557, 141.2808, 855.1808, 879.5945
18.1, 21.24667, 122.577, 951.5452, 235.3072, 331.9958, 0, 27.94144, 176.1868, 1031.473, 938.1954
18.2, 20.03432, 254.4824, 1288.216, 607.3156, 312.5187, 0, 26.23779, 166.7537, 980.3834, 884.8705
18.3, 18.89114, 241.1166, 1269.134, 819.2161, 361.4195, 0, 24.63802, 572.2421, 931.8246, 1366.516
18.4, 17.8132, 231.8567, 1210.921, 904.0728, 455.5775, 0, 23.13578, 1244.895, 885.6711, 1768.471
18.5, 16.79676, 250.2882, 1183.593, 1085.353, 1325.295, 0, 21.72515, 2037.995, 841.8035, 2265.304
18.6, 15.83833, 268.7655, 1129.303, 1232.766, 1998.836, 54.90901, 20.40052, 2964.152, 800.1087, 2970.976
18.7, 14.93458, 254.6496, 1298.389, 1193.669, 2185.645, 52.04463, 19.15666, 3714.332, 760.4791, 3296.353
18.8, 14.0824, 241.275, 1238.834, 1191.405, 2057.42, 139.3666, 17.98864, 4259.152, 722.8123, 3259.219
18.9, 13.27885, 228.603, 1182.01, 1250.328, 2009.571, 156.7706, 16.89183, 4355.848, 687.0112, 3073.973
19, 12.52115, 216.5964, 1127.793, 1213.021, 2162.007, 148.5926, 15.8619, 4381.285, 652.9833, 2899.255
19.1, 11.80668, 205.2205, 1142.389, 1142.352, 2293.14, 140.8411, 14.89477, 4146.709, 620.6408, 3005.907
19.2, 11.13298, 194.442, 1089.989, 1087.915, 2688.692, 133.494, 13.9866, 3976.409, 589.9003, 2884.893
19.3, 10.49772, 184.2297, 1074.975, 1351.341, 2633.831, 126.5302, 13.13381, 4017.893, 560.6823, 2954.148
19.4, 9.898716, 174.5537, 1047.683, 2156.536, 2479.312, 119.9296, 12.33301, 4065.41, 583.8474, 3013.813
19.5, 9.333888, 165.3859, 1084.162, 2604.038, 2380.03, 113.6734, 11.58105, 3847.747, 554.9292, 2897.296
19.6, 8.801289, 156.6996, 1034.433, 2452.331, 2370.258, 107.7435, 10.87492, 3641.738, 527.4434, 2840.286
19.7, 8.299081, 148.4695, 986.9854, 2508.246, 2490.567, 102.123, 10.21186, 3662.833, 501.3189, 2749.233
19.8, 7.825529, 140.6717, 972.7088, 2440.713, 2344.453, 96.79565, 9.58922, 3556.281, 476.4884, 2654.073
19.9, 7.378998, 133.2834, 939.1918, 2298.522, 2260.958, 91.74622, 9.004545, 3695.251, 452.8878, 2572.327
20, 6.957946, 126.2832, 896.1125, 2282.809, 2229.64, 86.9602, 8.45552, 3565.901, 430.4561, 2426.121
