 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 0, 0, 0, 0, 149.4538, 181.6914, 0, 0, 0, 0, 0, 0, 379.4153, 0, 293.264, 0, 39.33289, 0, 0, 0, 90.22239, 0, 0
0.2, 1.907349e-06, -3.051758e-05, 0, 0, 0, 0, 0, 142.1968, 204.1645, 56.689, 1.525879e-05, 1.525879e-05, 0, 1.525879e-05, 0, 446.2534, 0, 544.3657, 0, 37.49127, 0, 0, 1.525879e-05, 85.72809, 210.7562, 43.04053
0.3, 0, 167.9378, 0, 0, 0, 0, 0, 246.6081, 192.7865, 55.73969, 0, 0, 0, 65.33049, 0, 496.6165, 0, 530.8572, 0, 67.28522, 16.36798, -1.525879e-05, 0, 81.45766, 201.8256, 125.4548
0.4, 7.128598, 159.6578, 0, 0, 0, 0, 0, 297.1804, 182.0426, 71.74393, 1.525879e-05, 0, 0, 101.6723, 0, 611.0921, 0, 761.1383, 0, 64.13489, 15.2576, -1.525879e-05, 7.629395e-06, 77.39997, 193.2733, 119.9212
0.5, 81.205, 151.7859, 0, 0, 0, 0, 0, 376.3952, 293.242, 68.22035, 1.525879e-05, -1.525879e-05, 0, 96.46657, 0, 605.3461, 0, 721.0483, 0, 61.13208, 14.2225, -1.525879e-05, 7.629395e-06, 73.5444, 185.0835, 114.6317
0.6, 77.6664, 206.5146, 0, 0, 0, 0, 0, 356.6484, 276.8998, 64.8698, 44.12335, 140.3674, 0, 91.52733, 0, 615.0494, 0, 808.9004, 0, 58.2699, 13.25769, -1.525879e-05, 7.629395e-06, 69.8809, 177.2407, 123.4898
0.7, 74.282, 196.3326, 0, 0, 0, 0, 59.86716, 337.9376, 261.4683, 61.68382, 41.99911, 134.1006, 0, 86.84097, 0, 634.3627, -9.536743e-07, 800.2063, 0, 55.54163, 12.35831, -1.525879e-05, 7.629395e-06, 66.39988, 169.7303, 118.0428
0.8, 71.04507, 202.8723, 0, 0, 0, 0, 56.6793, 320.2084, 246.8969, 58.65431, 39.97714, 128.1135, 0, 82.39458, 0, 615.7602, -9.536743e-07, 808.2912, 0, 207.1097, 11.51996, -3.051758e-05, 0, 63.09227, 162.5381, 112.8362
0.9, 67.9492, 272.9729, 0, 0, 0, 0, 53.66119, 303.4093, 233.1375, 59.84514, 39.0448, 122.3938, 0, 78.17584, 0, 647.5994, 0, 760.027, 0, 197.4127, 10.73846, -3.051758e-05, 0, 59.94941, 155.6507, 123.4761
1, 64.98825, 259.5142, 0, 0, 0, 0, 107.6515, 287.4916, 220.1448, 56.90593, 46.28784, 116.9294, 0, 74.1731, 0, 639.8257, 0, 846.4077, 0, 188.1697, 26.0947, -3.051758e-05, 0, 56.96312, 149.0551, 279.9435
1.1, 62.15631, 246.7191, 0, 0, 0, 0, 101.9191, 300.8593, 207.8763, 54.11107, 44.05942, 111.709, 0, 70.37532, 0, 605.0406, -9.536743e-07, 795.8675, 0, 251.7003, 51.01758, -3.051758e-05, 0, 54.12558, 142.7391, 267.5956
1.2, 59.44778, 234.5548, 0, 0, 0, 0, 96.49205, 308.4977, 196.2915, 109.3553, 41.93826, 106.7216, 0, 66.77199, 0, 572.1466, 0, 748.3452, 0, 239.9155, 47.55664, -3.051758e-05, 7.629395e-06, 51.42939, 302.8489, 255.7923
1.3, 56.85728, 222.9903, 0, 0, 0, 0, 91.35395, 350.8384, 185.3523, 124.0816, 39.91922, 101.9569, 0, 63.35316, 0, 541.041, 0, 797.8612, 0, 233.8228, 48.11427, 116.9614, 7.629395e-06, 48.86751, 290.0159, 276.2415
1.4, 54.37966, 211.9959, 0, 0, 0, 0, 86.48945, 332.4324, 175.0227, 117.9876, 37.99739, 97.40498, 0, 60.10936, 0, 511.6265, 0, 819.822, 0, 222.8751, 48.69768, 110.5012, 7.629395e-06, 46.43325, 405.372, 264.0569
1.5, 52.01001, 201.5437, 0, 0, 0, 0, 81.88398, 323.3198, 165.2688, 112.1928, 40.96555, 103.5304, 0, 74.65599, 0, 483.8111, 0, 792.8491, 0, 212.4399, 45.3941, 368.7366, 7.629395e-06, 44.12024, 388.1947, 252.4097
1.6, 49.74361, 191.6067, 0, 0, 0, 0, 77.52374, 393.1481, 156.0585, 106.6826, 38.99335, 151.4884, 0, 70.83348, 0, 492.4575, -9.536743e-07, 754.9458, 0, 249.8351, 86.97296, 348.37, 7.629395e-06, 41.92245, 521.2328, 277.6895
1.7, 47.57598, 182.1597, 0, 0, 0, 0, 73.39568, 372.5224, 147.3614, 101.4431, 37.1161, 179.7579, 0, 67.20669, 0, 486.4075, -9.536743e-07, 863.1439, 0, 238.1376, 81.07286, 329.1283, 0, 39.83414, 499.1459, 285.612
1.8, 45.5028, 173.1785, 0, 0, 0, 0, 69.48744, 392.3651, 166.0785, 96.46083, 35.32922, 171.7325, 0, 63.76559, 0, 469.8096, -9.536743e-07, 811.6044, 0, 294.7816, 259.7242, 310.9493, 0, 37.84986, 477.995, 404.8933
1.9, 43.51997, 164.6401, 0, 0, 0, 0, 65.78731, 453.3864, 156.823, 91.7233, 33.62836, 164.0653, 0, 126.6039, 0, 444.2677, -9.536743e-07, 763.1424, 0, 280.9798, 249.7449, 293.7745, 0, 35.96443, 457.7404, 444.8055
2, 41.62354, 221.6969, 0, 0, 0, 0, 62.2842, 429.6003, 148.0834, 87.21844, 32.00939, 156.7405, 0, 120.1216, 0, 420.1144, -9.536743e-07, 761.0731, 0, 267.8242, 247.8295, 277.5483, 0, 34.17291, 539.4613, 425.1857
2.1, 39.80975, 210.7664, 0, 0, 0, 0, 58.96764, 407.0623, 207.6399, 82.93484, 30.46836, 149.7427, 0, 128.7183, 0, 397.2743, -9.536743e-07, 715.6284, 0, 322.7303, 247.5407, 262.2183, -3.814697e-06, 32.47064, 516.6021, 430.2471
2.2, 38.07499, 333.2241, 0, 0, 0, 0, 55.82767, 385.7066, 196.0683, 78.86163, 29.00153, 143.0573, 0, 122.1277, 0, 482.0865, -9.536743e-07, 672.8973, 0, 347.2343, 239.8593, 247.7351, -3.814697e-06, 30.85316, 583.2838, 411.2695
2.3, 36.41583, 316.7948, 50.30478, 0, 0, 0, 52.85491, 394.9613, 185.1415, 74.98846, 27.60531, 136.6703, 0, 115.8745, 0, 455.8772, -9.536743e-07, 722.3377, 24.29065, 330.9765, 223.5876, 234.0518, 0, 29.31626, 622.1991, 393.1289
2.4, 34.82897, 301.1755, 88.03321, 0, 0, 0, 50.04044, 374.2405, 174.8237, 71.30551, 26.27631, 310.5235, 0, 109.9416, 0, 431.0928, -9.536743e-07, 679.2059, 23.13864, 315.48, 254.1606, 221.1243, 0, 27.85591, 595.8339, 421.3725
2.5, 247.5016, 340.5288, 83.32655, 0, 0, 0, 97.00794, 354.6068, 165.0808, 67.80345, 25.01128, 671.0685, 166.603, 104.3124, 0, 430.7568, 21.68591, 712.1049, 22.04127, 451.3359, 236.9188, 208.9108, 3.814697e-06, 26.46831, 638.8018, 402.7863
2.6, 236.7165, 399.2458, 78.87154, 0, 0, 49.10986, 97.81686, 449.3927, 155.881, 64.47338, 23.80717, 855.8289, 344.0467, 98.97141, 0, 407.3381, 20.62718, 669.5841, 20.99594, 430.204, 220.8467, 197.3719, 3.814697e-06, 25.14982, 695.1174, 385.0199
2.7, 275.4679, 379.5614, 74.6547, 0, 0, 46.58825, 92.60822, 525.057, 147.1938, 61.30687, 22.66101, 817.6196, 371.6568, 93.90392, 0, 385.1925, 19.62015, 679.6851, 20.00019, 486.6646, 249.7977, 186.4704, 0, 23.89702, 665.6624, 516.2255
2.8, 369.9681, 360.8475, 70.66331, 0, 0, 79.21449, 87.67693, 597.717, 138.9908, 58.29587, 21.57005, 781.1161, 352.934, 89.09589, 0, 364.2509, 18.66228, 639.1002, 19.05165, 575.2178, 232.8519, 176.171, 0, 22.70663, 637.4554, 493.4555
2.9, 432.6208, 343.0562, 66.88533, 0, 0, 75.14713, 83.00822, 566.359, 131.2449, 55.43275, 20.5316, 746.2425, 360.245, 84.53403, 0, 344.4479, 17.75117, 600.9387, 29.516, 633.2407, 217.0556, 166.4404, 3.814697e-06, 21.57553, 610.4438, 471.6898
3, 413.7688, 326.1421, 63.30933, 0, 0, 71.28861, 78.58813, 536.6462, 123.9307, 52.71025, 19.54314, 712.9259, 342.0971, 80.20575, 0, 334.161, 40.38678, 615.5538, 41.83342, 603.5919, 202.331, 157.2473, 234.8519, 20.50077, 584.5767, 569.9141
3.1, 395.7384, 310.062, 59.92453, 0, 0, 100.7085, 74.40339, 561.9979, 117.0242, 50.12146, 18.60228, 681.0966, 324.8634, 76.09909, 0, 315.9938, 60.6731, 611.4254, 39.84942, 575.3314, 188.6052, 148.562, 224.6362, 19.47956, 676.1594, 544.776
3.2, 378.4937, 294.7747, 56.72068, 0, 0, 95.53751, 70.44149, 532.5139, 110.5025, 47.65982, 17.70671, 650.6885, 308.4979, 72.20269, 0, 298.8143, 109.8904, 753.1306, 37.95952, 561.9069, 175.8105, 140.3564, 214.8649, 18.50921, 720.6643, 520.7467
3.3, 362.0004, 358.9987, 53.68814, 0, 0, 90.63202, 66.69055, 504.5766, 104.3442, 45.31908, 16.85425, 621.6379, 292.9568, 68.5058, 0, 282.5688, 104.5255, 736.3216, 61.78636, 535.598, 197.9477, 132.604, 205.5186, 17.5872, 902.4926, 497.7773
3.4, 346.2258, 341.2986, 50.81772, 0, 0, 229.1522, 63.13935, 478.105, 98.52919, 43.09331, 16.04283, 593.8843, 278.1987, 64.99818, 0, 267.2065, 245.4756, 740.0898, 58.85608, 510.5209, 287.2073, 125.2798, 404.8402, 16.71112, 913.2096, 475.821
3.5, 331.1386, 324.4712, 65.28436, 0, 0, 282.261, 59.77725, 453.0223, 93.03822, 40.97684, 15.27048, 567.3698, 264.184, 61.67017, 0, 252.6795, 233.4913, 695.8981, 56.06477, 545.7206, 319.1922, 118.3602, 593.2158, 15.87868, 1051.399, 470.3742
3.6, 316.7089, 308.4734, 146.8543, 0, 0, 267.768, 56.59417, 429.2554, 87.85326, 38.96432, 14.53531, 542.0391, 250.8753, 58.51256, 0, 238.9422, 222.0921, 719.0604, 53.40584, 662.3876, 297.5388, 111.8227, 649.8228, 15.0877, 1081.113, 576.8166
3.7, 302.9079, 293.2644, 139.0028, 0, 0, 259.3784, 53.58059, 406.7354, 82.95724, 37.05064, 13.83554, 517.8392, 238.237, 55.51662, 0, 225.9517, 306.6545, 676.1244, 50.87301, 631.3741, 277.3542, 105.6463, 621.5566, 14.33613, 1035.301, 551.374
3.8, 368.6035, 278.8052, 131.571, 0, 0, 246.0603, 50.72748, 385.3969, 78.33408, 35.23096, 13.16945, 494.7198, 226.2355, 52.67408, 0, 213.6675, 291.6834, 746.7636, 114.7051, 601.8128, 308.4131, 99.81112, 631.3766, 13.622, 991.4313, 527.0536
3.9, 352.5411, 265.059, 124.5366, 0, 0, 301.2202, 48.0263, 391.1956, 73.96857, 33.50064, 12.53543, 472.6326, 214.8385, 49.97708, 0, 202.0511, 277.4432, 707.1392, 211.4484, 573.6355, 368.7584, 94.29819, 668.9357, 12.94344, 1068.428, 574.0384
4, 337.1788, 251.9905, 143.7334, 0, 0, 335.7371, 45.46895, 370.6723, 100.4282, 31.8553, 11.93194, 451.5315, 289.3923, 47.41817, 0, 191.0663, 263.8983, 671.3489, 226.0142, 546.7775, 343.7425, 89.08977, 639.838, 12.29868, 1298.798, 633.2327
4.1, 384.3287, 239.5663, 152.5898, 0, 0, 318.4983, 148.2923, 430.507, 94.83144, 30.29078, 11.35749, 431.3725, 274.8137, 44.99028, 0, 180.6787, 251.0145, 719.7222, 336.2387, 521.1771, 320.4236, 84.16902, 682.5777, 11.68604, 1545.61, 931.6992
4.2, 383.3103, 227.7547, 144.4317, 0, 0, 302.1446, 140.3959, 407.9213, 89.54654, 28.80309, 10.81071, 412.1135, 337.7261, 42.6867, 0, 170.8558, 238.7598, 932.0009, 320.2922, 496.7752, 342.177, 79.52007, 652.8867, 11.10391, 1619.067, 921.605
4.3, 366.6071, 216.5255, 136.7097, 0, 0, 374.1102, 132.9199, 386.5206, 84.55616, 27.38847, 10.29025, 393.7143, 356.0505, 46.04941, 0, 161.567, 227.1034, 876.3498, 305.102, 473.5159, 318.9643, 75.1279, 624.4872, 10.55079, 1629.204, 935.1405
4.4, 350.6318, 305.0493, 129.4005, 0, 0, 438.9491, 125.8421, 411.0726, 79.84389, 26.04333, 9.794849, 376.1366, 518.1165, 43.6916, 0, 176.1647, 216.016, 824.0218, 290.6322, 600.9586, 297.3264, 70.97832, 597.3231, 10.02522, 1560.168, 942.6714
4.5, 335.3527, 290.0091, 143.7952, 0, 0, 416.4107, 119.1411, 486.5693, 78.66049, 24.76425, 9.323294, 359.3436, 961.0115, 51.36996, 77.69978, 166.5873, 261.9034, 910.8245, 276.8487, 572.8214, 286.5484, 67.05793, 571.3405, 9.525825, 1494.057, 1068.219
4.6, 320.7393, 275.7105, 136.1072, 0, 0, 395.0296, 147.6527, 467.7715, 74.27679, 23.54799, 8.874443, 343.3004, 1056.182, 48.73974, 73.89628, 157.5305, 249.1171, 856.4379, 263.7188, 546.0015, 267.1095, 63.35408, 546.4882, 9.05131, 1627.483, 1021.102
4.7, 306.7627, 262.1168, 128.8303, 0, 0, 374.7463, 140.5251, 443.2309, 127.4079, 22.39147, 8.447201, 327.9734, 1002.975, 132.3855, 92.80904, 148.9661, 236.955, 805.299, 251.2117, 520.4373, 248.9892, 59.85482, 573.8909, 8.600431, 1777.441, 1050.064
4.8, 293.3952, 249.1934, 121.9424, 0, 0, 355.5045, 204.3903, 419.9777, 131.977, 21.29174, 8.040525, 313.3307, 952.4487, 125.6071, 88.26591, 140.8674, 225.3867, 757.2134, 239.2977, 545.943, 232.0983, 56.54882, 548.9277, 8.172013, 1732.957, 1128.242
4.9, 280.6101, 236.9071, 115.4228, 0, 0, 414.5651, 193.5067, 397.9444, 124.622, 20.24603, 7.653431, 299.3418, 904.4675, 119.1758, 95.71122, 133.2089, 245.0562, 711.9992, 227.9488, 520.3816, 216.3531, 53.42543, 752.2825, 7.764936, 1659.524, 1101.927
5, 290.6815, 225.2266, 109.2518, 0, 0, 408.4882, 183.2027, 377.0671, 117.6769, 19.25168, 7.284971, 285.9774, 928.4868, 113.0738, 91.02603, 153.003, 330.9068, 669.4847, 217.1381, 531.9697, 201.6761, 50.47456, 719.5594, 7.378137, 1693.011, 1182.157
5.1, 278.0148, 214.122, 103.4107, 0, 0, 387.5139, 173.4473, 357.285, 111.1188, 18.30616, 6.93425, 273.2097, 881.7128, 107.2843, 121.1187, 144.6847, 314.7517, 629.509, 206.8401, 633.7355, 589.1203, 47.68666, 688.2598, 7.010605, 1621.271, 1198.911
5.2, 265.8999, 203.5649, 97.8819, 0, 0, 367.6165, 217.1517, 591.58, 104.9262, 17.40708, 6.600414, 261.012, 837.2952, 101.7912, 115.1898, 136.8187, 299.3853, 591.9201, 197.0305, 604.0636, 807.265, 45.05276, 658.3216, 6.661382, 1552.571, 1146.028
5.3, 254.3131, 193.5283, 92.64868, 0, 0, 348.7408, 205.5886, 560.544, 99.07874, 16.55216, 6.282652, 249.3589, 799.0336, 96.57928, 109.5511, 129.3804, 305.298, 556.5758, 187.6861, 575.7809, 835.3054, 42.56434, 673.2238, 6.329555, 1780.78, 1131.338
5.4, 295.0164, 278.8925, 87.69526, 0, 0, 549.7578, 212.64, 575.3561, 93.55715, 15.73922, 5.980185, 238.226, 1006.719, 91.63426, 120.5713, 136.0456, 303.3958, 523.3419, 328.2706, 548.8225, 810.0917, 40.21336, 892.0065, 6.014257, 1869.226, 1081.436
5.5, 282.1607, 265.1419, 83.00667, 0, 0, 521.5298, 201.3171, 586.6188, 88.34327, 14.96621, 5.69228, 227.5902, 956.0043, 86.94243, 114.6692, 128.6493, 349.1834, 492.0925, 312.7021, 523.1263, 755.1365, 37.99223, 853.2057, 5.714666, 1790.019, 1033.736
5.6, 269.8653, 252.0693, 139.642, 0, 203.4264, 494.7513, 439.2949, 555.843, 83.41995, 14.23116, 5.418238, 217.4293, 907.8441, 82.49084, 131.7682, 121.6551, 332.136, 462.709, 297.8718, 498.6331, 922.0369, 35.89379, 853.3932, 5.429998, 1919.054, 988.139
5.7, 258.1056, 239.6413, 132.1761, 0, 194.03, 469.3477, 481.6024, 682.9297, 78.771, 13.53222, 5.157388, 207.7219, 862.11, 78.26717, 171.4739, 115.0411, 315.9209, 435.08, 298.0162, 482.7398, 859.4875, 33.91125, 956.1795, 5.15951, 1980.191, 944.5535
5.8, 246.8583, 227.826, 177.2253, 0, 185.0677, 445.2485, 491.8062, 647.1013, 74.38114, 12.86761, 4.909095, 198.448, 874.6508, 74.25977, 225.5606, 108.7867, 300.4974, 485.6464, 307.5791, 460.1376, 970.3768, 32.03821, 1184.431, 4.902496, 1896.282, 974.2484
5.9, 236.1012, 293.8746, 167.75, 0, 186.9653, 422.3867, 465.618, 613.1525, 70.23593, 12.23563, 4.672756, 189.5881, 830.5889, 70.45754, 214.5191, 102.8724, 285.8269, 456.6478, 292.9919, 524.2988, 913.2198, 30.26863, 1132.911, 4.658286, 2052.387, 931.2756
6, 225.8128, 279.3854, 158.7813, 0, 178.3292, 400.6987, 473.1741, 599.014, 66.32172, 11.6347, 4.447795, 181.1238, 824.5664, 66.85, 266.732, 97.27956, 271.8726, 542.4419, 347.9601, 553.6926, 926.0154, 28.59678, 1083.631, 4.42624, 1987.593, 930.6169
6.1, 215.9728, 284.1256, 150.2921, 0, 170.0921, 411.4955, 447.9781, 567.588, 62.62566, 11.06328, 4.233665, 173.0373, 942.5242, 63.42716, 347.4867, 91.99081, 258.5995, 510.052, 425.4597, 527.7684, 1090.71, 27.01728, 1106.73, 4.205753, 2152.374, 889.5687
6.2, 232.4791, 270.1171, 142.2568, 0, 174.0483, 390.3667, 424.1237, 537.8106, 59.13557, 10.51992, 4.029843, 165.3119, 982.2, 60.17959, 352.6865, 86.98959, 245.9745, 578.8557, 405.2819, 503.0579, 1167.795, 25.52502, 1154.058, 3.99625, 2087.924, 912.2709
6.3, 222.3485, 322.6178, 134.6511, 0, 166.0089, 413.0261, 401.5396, 509.5955, 55.83998, 10.00325, 3.835835, 157.9314, 989.1307, 57.0983, 335.422, 82.26027, 233.9659, 544.2915, 386.0609, 479.5044, 1132.467, 24.11518, 1235.312, 3.797182, 2026.071, 1116.534
6.4, 212.6594, 402.2888, 127.452, 0, 158.3408, 504.7684, 429.2002, 622.5153, 52.72805, 9.511956, 3.651166, 150.8804, 939.3016, 54.17477, 372.225, 77.78807, 222.5435, 511.7911, 367.7516, 457.0537, 1080.87, 22.78322, 1181.578, 3.608031, 2176.842, 1067.285
6.5, 203.3926, 382.4544, 120.6379, 0, 151.027, 589.03, 451.8705, 589.8563, 49.78955, 9.044791, 3.475388, 144.1442, 1023.297, 51.40093, 354.0041, 73.55901, 211.6788, 481.2314, 350.3106, 435.6542, 1070.99, 21.52482, 1130.181, 3.428302, 2084.6, 1142.533
6.6, 194.5295, 363.5978, 114.188, 0, 144.051, 611.0291, 427.8089, 558.9108, 47.01481, 8.600571, 3.308072, 137.7088, 971.7465, 48.76912, 336.6752, 92.36754, 201.3444, 622.8531, 333.6967, 415.2566, 1043.703, 20.33593, 1081.02, 3.257526, 2122.715, 1160.481
6.7, 186.0527, 345.6709, 108.083, 0, 211.0268, 632.1785, 405.0285, 529.5886, 44.3947, 8.178166, 3.148812, 131.5607, 922.7932, 46.27206, 320.1945, 87.34584, 191.5147, 585.6617, 317.8708, 395.814, 1016.02, 19.2127, 1033.997, 3.095257, 2128.833, 1109.293
6.8, 177.9452, 328.6279, 102.3044, 0, 235.638, 599.7186, 416.1772, 579.988, 41.92062, 7.776508, 2.997219, 125.687, 935.9495, 89.33271, 410.431, 89.05696, 182.1648, 684.8019, 302.7955, 377.2818, 947.0947, 18.15152, 1052.29, 90.53166, 2239.567, 1219.666
6.9, 170.191, 312.4252, 96.83472, 0, 224.7538, 568.9253, 394.0162, 834.7411, 39.5844, 7.394576, 2.852924, 120.0756, 888.7995, 84.75873, 390.3399, 84.21524, 173.2713, 643.9115, 288.4351, 359.6172, 882.8454, 17.14894, 1006.517, 182.5642, 2278.517, 1173.739
7, 181.9724, 440.9792, 91.65749, 0, 214.3723, 563.3169, 373.0352, 790.9481, 37.37839, 7.031402, 2.715576, 114.7147, 844.0248, 117.2355, 371.2322, 79.63675, 164.8121, 621.3303, 274.7558, 342.7797, 973.4213, 16.20175, 962.735, 173.4701, 2181.967, 1190.373
7.1, 174.0427, 459.1721, 86.75706, 0, 204.4703, 534.3927, 491.6808, 749.4526, 35.29532, 6.686065, 2.58484, 109.5932, 801.5057, 111.2328, 353.0599, 75.30717, 156.7659, 584.2298, 261.7252, 326.7305, 907.3861, 15.30687, 920.8577, 164.8289, 2229.688, 1284.408
7.2, 166.4586, 436.533, 82.11864, 0, 195.0257, 506.9537, 478.1543, 710.1342, 33.32833, 6.357689, 2.460398, 104.7003, 761.1285, 229.7573, 335.7772, 71.21299, 149.1124, 549.3447, 324.7602, 311.4328, 927.572, 14.46142, 880.8019, 156.6182, 2206.1, 1227.755
7.3, 159.205, 415.0101, 77.7282, 0, 186.0174, 480.9236, 452.6931, 672.8784, 31.47096, 6.045441, 2.341947, 100.0259, 767.3704, 217.9933, 319.3405, 67.34138, 141.8327, 516.5426, 346.4788, 418.8751, 864.647, 13.66266, 842.4885, 160.1801, 2156.836, 1173.6
7.4, 152.2674, 504.2739, 73.57249, 0, 177.4251, 456.2299, 428.5877, 637.5773, 29.71711, 5.748528, 2.229199, 95.56012, 747.1763, 206.8317, 303.7084, 63.68026, 134.9083, 594.5167, 379.78, 426.2878, 805.9909, 12.90802, 805.8417, 169.0069, 2177.988, 1209.295
7.5, 145.6322, 479.4111, 69.63896, 0, 169.2298, 432.8043, 405.7658, 604.1281, 28.06099, 5.466198, 2.121878, 91.29375, 799.5273, 196.2416, 340.5367, 60.21819, 128.322, 559.0173, 384.5462, 421.2709, 751.3139, 12.19507, 770.7889, 160.5881, 2294.647, 1332.777
7.6, 139.2861, 570.6, 65.91574, 0, 161.4129, 410.5815, 384.1592, 572.4338, 26.49717, 5.197733, 2.019724, 87.21786, 818.0538, 186.1937, 323.867, 56.94434, 122.0572, 668.5251, 385.2875, 401.5468, 700.3461, 11.52149, 737.2608, 217.3058, 2224.658, 1273.99
7.7, 133.2166, 694.8219, 62.39158, 0, 153.9572, 473.738, 363.7032, 542.4022, 25.0205, 4.942454, 1.922488, 83.32394, 776.8431, 183.8998, 448.7698, 53.84848, 116.0983, 628.6066, 367.0148, 382.7461, 670.1926, 10.88512, 859.9877, 233.6369, 2162.537, 1261.398
7.8, 127.4115, 660.5643, 59.05584, 0, 146.8458, 449.4134, 344.3363, 563.8519, 23.62612, 4.699712, 1.829934, 79.60387, 799.1846, 174.4838, 439.3959, 50.92092, 110.4303, 591.0717, 411.1526, 364.8257, 624.7279, 10.2839, 822.5797, 221.9986, 2280.419, 1205.759
7.9, 121.8594, 627.9958, 55.89845, 0, 140.0629, 426.3377, 326.0008, 549.2316, 22.30945, 4.468892, 1.741836, 76.04988, 758.9244, 226.0646, 417.8869, 48.15253, 105.039, 555.778, 391.6533, 347.7443, 582.3474, 9.71588, 786.7989, 261.9889, 2265.89, 1152.575
8, 136.4538, 620.8591, 52.90986, 0, 133.5933, 404.4469, 441.1126, 525.8501, 43.52583, 4.249409, 1.657979, 72.65456, 801.167, 214.4897, 397.4308, 45.53464, 99.9109, 607.0835, 373.0787, 331.4627, 545.2079, 9.179237, 861.5173, 248.9383, 2169.875, 1101.736
8.1, 130.5076, 590.2482, 50.08105, 0, 127.4226, 563.7516, 417.6238, 561.6935, 41.10016, 4.040706, 1.578158, 69.41084, 765.076, 255.4556, 377.9761, 84.19275, 95.03318, 570.8337, 355.3851, 315.9434, 615.3499, 8.672236, 936.4941, 251.7866, 2186.586, 1053.14
8.199999999999999, 124.8206, 718.8021, 78.27921, 0, 121.5369, 534.8051, 395.3858, 747.165, 186.3612, 3.842253, 1.502181, 66.31192, 782.0607, 242.3758, 359.4737, 179.2407, 90.39359, 754.7814, 338.5305, 301.1508, 672.1129, 8.193237, 989.7444, 545.2311, 2265.318, 1324.143
8.300000000000001, 271.1031, 1271.51, 374.7888, 122.2878, 143.4991, 507.3449, 798.8728, 838.1057, 175.9754, 217.255, 480.6034, 319.9191, 752.6925, 825.5833, 477.3214, 329.7319, 85.98051, 2363.757, 322.4754, 287.0507, 626.5179, 369.2169, 1167.738, 1136.138, 2169.327, 1626.942
8.4, 259.2895, 1381.021, 389.226, 116.7794, 233.3988, 539.5688, 857.0253, 796.3168, 166.1684, 206.5848, 1816.973, 677.558, 845.3602, 783.312, 453.9559, 311.8055, 81.78288, 3357.711, 307.1816, 273.6108, 584.0161, 711.2427, 1116.944, 1079.543, 2258.156, 1587.923
8.5, 247.9907, 1431.997, 518.7632, 111.5191, 308.9712, 511.864, 1158.807, 1013.436, 156.908, 231.0551, 2155.716, 647.3079, 842.3585, 881.0271, 431.7342, 294.8538, 77.79018, 3541.773, 292.6132, 260.8002, 544.3974, 734.236, 1093.076, 1025.767, 2399.11, 1517.882
8.6, 237.1842, 1361.393, 664.4491, 106.4958, 294.6997, 485.5817, 1118.708, 960.2683, 398.7364, 328.6436, 2051.933, 618.4083, 799.9233, 835.9171, 410.6002, 298.2906, 73.99241, 3828.648, 278.7357, 248.5893, 507.4664, 1060.462, 1268.406, 974.6696, 2577.307, 1472.139
8.699999999999999, 226.8486, 1294.271, 628.9246, 101.6987, 281.0873, 460.649, 1082.714, 1181.323, 1192.274, 312.5028, 1953.147, 590.7988, 759.6259, 793.1168, 390.5008, 282.0736, 70.38004, 3810, 265.5164, 236.9502, 565.5502, 1045.532, 1213.233, 926.1179, 2575.683, 1407.205
8.800000000000001, 216.9634, 1230.458, 595.2994, 97.11775, 268.1038, 436.9964, 1078.537, 1119.347, 1873.594, 302.98, 1859.117, 564.4221, 721.3585, 807.4855, 371.3853, 266.7382, 66.94404, 3931.449, 252.924, 225.856, 559.5677, 1040.435, 1220.217, 879.9846, 2650.071, 1631.491
8.9, 207.509, 1169.792, 563.472, 92.74313, 457.0874, 414.5583, 1021.106, 1060.623, 2096.193, 302.6192, 1769.613, 539.2229, 685.0189, 766.1409, 353.2055, 331.1561, 63.67579, 3711.609, 240.9288, 215.2813, 521.6077, 1118.608, 1258.618, 935.9089, 2537.776, 1559.528
9, 198.4666, 1112.116, 533.3462, 88.56555, 435.9743, 393.2723, 1045.075, 1004.979, 2037.868, 287.7565, 1684.419, 515.1488, 650.51, 726.9133, 394.4537, 325.83, 60.56709, 3568.513, 229.5025, 205.2017, 536.4199, 1056.823, 1398.294, 889.2879, 2430.24, 1532.046
9.1, 189.8182, 1057.284, 504.8311, 84.57616, 415.8364, 373.0793, 989.4255, 952.2552, 2278.879, 273.6237, 1603.326, 492.1495, 617.7395, 798.6368, 375.1447, 308.1157, 57.61016, 3576.366, 218.6181, 195.594, 613.4319, 998.4514, 1337.47, 844.9893, 2439.197, 1464.47
