 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
108.5, 28.01567, 433.9337, 29.07191, 452.3626, 85.13522, 176.6945, 230.2756, 825.2256, 235.772, 118.1295, 47.41873, 92.21554, 524.8847, 353.4737, 175.5087, 484.1586, 37.30817, 642.6937, 1717.636, 0.004292628, 14.56718, 369.1375, 965.783, 627.7747, 1789.901, 1000.471
108.6, 26.79486, 412.539, 27.5176, 431.9862, 140.3762, 254.4383, 218.0137, 781.9318, 222.6326, 167.9458, 67.15117, 88.0985, 611.175, 335.3752, 251.1265, 457.8366, 35.48676, 604.3176, 1636.176, 0.004091644, 13.57897, 523.1259, 1076.17, 596.503, 1796.942, 956.3414
108.7, 50.53868, 392.1991, 26.04638, 457.0548, 133.8921, 241.3738, 206.4047, 740.9094, 210.2254, 167.7646, 63.91831, 84.16526, 580.386, 318.2035, 253.1533, 432.9456, 33.75427, 568.233, 1715.478, 0.003900071, 12.6578, 494.2318, 1029.358, 654.7689, 1896.041, 949.1855
108.8, 48.33641, 372.8621, 24.65382, 436.467, 177.327, 228.9802, 195.4138, 762.1117, 198.5097, 159.5251, 158.9096, 80.40762, 551.1482, 301.9109, 240.7611, 486.961, 66.87704, 534.303, 1669.647, 0.003717467, 11.79911, 604.1833, 1045.547, 689.3549, 1815.697, 992.8373
108.9, 46.23009, 354.4785, 23.33572, 486.3132, 169.1362, 217.2229, 185.0083, 722.1291, 188.9467, 168.7576, 151.2592, 76.81775, 523.3832, 286.4526, 228.9756, 460.4866, 63.61205, 502.3991, 1670.287, 0.003543413, 10.99868, 601.0106, 1047.659, 655.0157, 1854.253, 1075.182
109, 44.21557, 337.0012, 22.08808, 465.1977, 161.3237, 291.9671, 175.1568, 684.2441, 178.4169, 174.9615, 143.9771, 73.38815, 497.017, 271.7858, 217.7669, 435.4515, 112.3883, 472.4001, 1591.072, 0.003377508, 10.25255, 567.8147, 1196.354, 694.6974, 1977.893, 1157.853
109.1, 42.28883, 320.3857, 20.90715, 444.2431, 272.4648, 276.9757, 165.8298, 648.3466, 262.6188, 166.3685, 137.0456, 70.11167, 471.9789, 257.8699, 207.1069, 485.6392, 203.3702, 444.1925, 1614.704, 0.003219371, 9.557036, 536.4523, 1144.314, 660.092, 1894.081, 1154.959
109.2, 40.44604, 304.5893, 19.78936, 424.2324, 259.8795, 262.7541, 156.9996, 621.3909, 247.9832, 213.6659, 168.78, 66.98148, 448.2022, 244.6665, 221.1885, 459.2366, 244.0187, 417.6692, 1538.125, 0.003068638, 8.908704, 545.1456, 1221.162, 627.2105, 1813.821, 1104.016
109.3, 47.22266, 289.5718, 18.73133, 405.123, 368.8936, 249.2626, 148.6395, 588.791, 234.1632, 203.172, 160.6545, 63.99103, 425.6234, 232.1392, 210.361, 434.2695, 232.1055, 392.7296, 1465.178, 0.002924962, 8.304353, 923.8602, 1308.276, 595.9669, 1736.962, 1295.092
109.4, 154.8654, 275.2947, 17.72987, 386.8745, 351.8542, 236.4639, 140.7246, 630.7741, 221.1135, 193.1935, 168.9005, 61.13409, 404.1819, 220.2533, 242.6774, 410.6598, 259.0598, 369.2792, 1395.69, 0.002788014, 7.741, 872.8321, 1464.288, 566.2797, 1663.359, 1351.911
109.5, 148.117, 261.7216, 16.78195, 369.4479, 335.6018, 224.3224, 133.2312, 607.4534, 372.9117, 244.5202, 238.0943, 92.76358, 383.8206, 208.976, 240.6654, 388.3336, 273.4562, 347.2291, 1329.498, 0.002657477, 347.7257, 1154.225, 1400.594, 763.8383, 1592.876, 1292.28
109.6, 141.6626, 248.8176, 134.5644, 352.8063, 320.1002, 212.8043, 126.1368, 593.9863, 352.1296, 323.0957, 360.4549, 88.62206, 364.485, 198.2761, 228.8845, 367.2213, 281.0421, 326.4955, 1266.445, 0.002533053, 445.0144, 1090.473, 1501.094, 746.6516, 1669.593, 1235.279
