 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
3.4, 0, 999.1829, 1362.267, 2.919655, 84.64057, 747.2962, 1755.382, 0, 2100.225, 2584.765, 1156.111, 2132.333, 2643.597, 24.76119, 7.629395e-05, 197.6214
3.5, 0, 987.5551, 1296.998, 2.737915, 79.25018, 1069.146, 1974.098, 0, 2107.092, 3092.914, 1396.435, 1998.48, 2846.376, 23.50207, 9.155273e-05, 187.6014
3.6, 0, 964.7583, 1234.856, 2.567486, 74.20307, 1222.16, 1896.686, 0, 2277.54, 3197.148, 1430.366, 2092.01, 2827.549, 22.30698, 7.629395e-05, 178.0894
3.7, 0, 985.5061, 1175.692, 2.407669, 69.47738, 1163.487, 1888.007, 0, 2128.703, 3050.081, 1386.559, 2037.05, 2719.635, 21.17265, 7.629395e-05, 169.0596
3.8, 0, 936.7056, 1210.636, 2.257801, 65.05265, 1107.63, 1773.604, 0, 2107.613, 3065.22, 1560.279, 1956.304, 2572.472, 20.09601, 6.103516e-05, 160.4878
3.9, 0, 885.8088, 1152.632, 2.117256, 60.90972, 1073.025, 1745.56, 0, 1969.88, 2881.617, 1559.663, 1934.217, 2555.61, 19.07412, 6.103516e-05, 152.3505
4, 0, 894.8391, 1208.385, 1.985462, 57.03064, 1021.511, 1666.018, 0, 1919.014, 2709.012, 1487.901, 1812.8, 2417.323, 18.10419, 4.577637e-05, 144.6259
4.1, 0, 877.9044, 1150.488, 1.861874, 53.39859, 972.4708, 1641.929, 0, 1793.606, 2546.746, 1419.44, 2410.281, 2547.892, 17.18358, 6.103516e-05, 137.2928
4.2, 0, 875.4901, 1344.298, 1.745977, 49.99786, 925.7847, 1669.036, 0, 2349.153, 2394.2, 1354.13, 3429.41, 2410.022, 16.30978, 6.103516e-05, 130.3316
4.3, 0, 1035.804, 1353.101, 1.637297, 46.8137, 881.3398, 1567.901, 0, 2753.122, 2250.791, 1291.824, 3735.5, 2279.613, 15.48042, 4.577637e-05, 123.7234
4.4, 0, 979.5229, 1372.577, 1.535379, 43.83233, 839.0286, 1668.663, 0, 2573.206, 2115.971, 1255.546, 3610.871, 2156.26, 14.69322, 4.577637e-05, 529.7665
4.5, 0, 957.6708, 1405.389, 1.439806, 41.04083, 812.0961, 1567.551, 0, 2405.048, 1989.227, 1202.802, 3461.889, 2229.187, 13.94607, 4.577637e-05, 502.9056
4.6, 0, 905.6349, 1338.053, 1.350182, 38.4271, 874.4293, 1472.566, 0, 2247.878, 1870.075, 1221.914, 3556.042, 2152.891, 13.2369, 4.577637e-05, 477.4067
4.7, 0, 856.4264, 2273.005, 1.266138, 35.97985, 832.4499, 1401.534, 0, 2363.609, 1758.061, 1165.692, 3358.884, 2036.396, 12.5638, 4.577637e-05, 453.2006
4.8, 0, 908.8652, 2782.354, 1.187323, 33.68844, 880.1156, 1344.875, 0, 2209.147, 1652.755, 1304.166, 3297.539, 1926.204, 11.92492, 4.577637e-05, 430.2218
4.9, 0, 932.2228, 2832.429, 1.113415, 31.54296, 837.8632, 1263.383, 0, 2064.78, 1553.757, 1471.078, 3230.046, 1865.052, 11.31853, 4.577637e-05, 408.4082
5, 0, 903.0414, 2753.031, 1.044107, 29.53412, 849.9207, 1186.829, 0, 1929.847, 1595.217, 1403.392, 3060.636, 1764.132, 10.74297, 4.577637e-05, 387.7005
5.1, 0, 853.9738, 2792.857, 0.9791164, 27.65322, 809.1179, 1279.493, 0, 1803.732, 1499.666, 1344.202, 3143.955, 1821.405, 10.19669, 4.577637e-05, 368.0428
5.2, 0, 916.6431, 2659.046, 0.918169, 25.8921, 770.2739, 1201.963, 0, 1685.858, 1617.848, 1424.961, 2988.24, 1722.847, 9.678173, 4.577637e-05, 478.8957
5.3, 0, 866.8365, 2552.524, 0.8610153, 24.24314, 795.3428, 1205.705, 0, 1946.418, 1520.941, 1447.798, 2932.542, 1823.046, 9.186031, 4.577637e-05, 454.6142
5.4, 0, 841.3785, 2516.492, 0.8074198, 22.69919, 783.6324, 1132.646, 0, 1819.22, 1856.811, 1381.183, 2836.467, 1802.618, 8.718918, 3.814697e-05, 498.6871
5.5, 0, 795.6614, 2395.922, 0.7571592, 118.6854, 746.012, 1243.317, 0, 1801.659, 1795.133, 1474.485, 2772.455, 1829.709, 8.275558, 3.051758e-05, 515.4952
5.6, 0, 916.7917, 2397.597, 0.7100286, 111.1268, 795.4216, 1167.979, 0, 1683.921, 1731.408, 1406.642, 2748.247, 1755.838, 7.85474, 3.051758e-05, 489.3579
5.7, 0, 866.9771, 2361.473, 0.6658316, 104.0496, 773.3192, 1097.206, 0, 1573.877, 1627.699, 1341.92, 2631.612, 1660.827, 7.455322, 3.051758e-05, 593.847
5.8, 0, 902.2402, 2248.33, 0.6243858, 144.7916, 736.1938, 1114.08, 0, 1713.929, 1530.202, 1367.629, 2583.678, 1570.958, 7.076216, 2.670288e-05, 637.7323
5.9, 0, 866.0532, 2140.607, 0.5855188, 147.3862, 700.8507, 1046.573, 0, 1601.924, 1675.266, 1304.703, 2443.687, 1589.881, 6.716387, 2.288818e-05, 746.7014
6, 0, 850.684, 2078.59, 0.5490723, 137.9998, 703.321, 983.1565, 0, 1497.239, 1785.939, 1359.329, 2457.466, 1551.351, 6.374855, 1.907349e-05, 778.4949
6.1, 0, 804.4614, 2171.176, 0.5148935, 129.2112, 765.4957, 923.5826, 0, 1531.8, 1678.964, 1371.552, 2346.889, 1467.405, 84.74213, 1.907349e-05, 809.8119
6.2, 0, 760.7502, 2067.15, 0.4828424, 120.9822, 774.344, 867.6185, 0, 1431.698, 1697.853, 1308.445, 2313.057, 1479.086, 365.1972, 1.907349e-05, 768.7518
6.3, 0, 719.4142, 2000.171, 0.4527869, 113.2774, 1014.151, 815.0456, 0, 1379.956, 1765.767, 1412.475, 2302.054, 1399.051, 371.3604, 1.525879e-05, 773.7585
6.4, 0, 796.7819, 1954.315, 0.4246025, 106.0632, 965.464, 828.1626, 0, 1444.85, 2073.848, 1347.485, 2236.004, 1323.346, 430.9391, 1.907349e-05, 760.4263
6.5, 0, 754.1124, 1888.631, 0.3981724, 99.30848, 1002.068, 777.9805, 0, 1381.785, 2081.115, 1285.486, 2305.051, 1251.739, 446.3676, 1.907349e-05, 840.8442
