 , C00, C01, C02, C03, C04, C05, C06, C09, C10, C11, C14, C15, C16, C17, C18, C21, C29, C32, C33, C34, C37, C39, C53, C58, C67, C68, C71, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
211.1, 441.9479, 319.0168, 1910.37, 446.2906, 769.7113, 2355.046, 26.99145, 2345.933, 115.1581, 240.421, 1701.712, 69.52548, 91.48991, 99.67232, 248.588, 1724.08, 149.0341, 0.8156824, 1404.76, 250.6313, 730.9342, 25.53327, 1074.194, 438.9383, 646.1598, 1032.277, 541.9923, 361.1362
211.2, 468.0361, 402.8953, 1882.041, 519.1249, 754.1602, 2452.713, 25.27788, 2664.114, 109.1173, 247.5613, 1885.811, 66.1741, 86.85574, 94.69594, 260.5269, 1837.573, 140.9186, 0.7778409, 1524.903, 238.0623, 842.2949, 24.44463, 1017.572, 417.0534, 779.8058, 970.73, 517.8795, 340.9949
211.3, 551.0695, 405.0796, 1866.999, 495.469, 871.3412, 2429.598, 23.67309, 2768.045, 103.3934, 292.7429, 1799.852, 62.98426, 82.45631, 89.96802, 244.0696, 1877.867, 133.245, 0.741755, 1550.703, 226.1236, 889.3817, 23.40241, 963.934, 458.0631, 889.4035, 1014.917, 494.8394, 321.9769
211.4, 511.0729, 382.0213, 1794.094, 472.891, 830.0389, 2476.051, 22.17019, 2822.773, 97.96972, 277.5768, 1802.603, 59.94818, 78.27971, 85.47615, 228.652, 1784.715, 125.9893, 0.7073432, 1496.071, 214.7837, 845.7611, 22.40462, 913.1237, 435.2247, 844.7207, 1128.457, 472.8243, 304.0195
211.5, 474.3795, 360.2755, 1782.042, 451.3419, 922.757, 2370.428, 20.7627, 2690.442, 92.83055, 263.1963, 1720.436, 57.05846, 74.31467, 81.20855, 261.6444, 1812.118, 259.6433, 0.6745279, 1520.049, 204.0124, 804.28, 21.44938, 864.9916, 445.4021, 802.2827, 1230.91, 522.8612, 287.0637
211.6, 439.9491, 339.7676, 1697.147, 430.7748, 867.1964, 2286.546, 19.44457, 2623.871, 87.96097, 344.5076, 1687.949, 54.30803, 70.55047, 77.15401, 245.1165, 1722.228, 367.5256, 0.6432349, 1438.974, 193.7813, 764.8333, 20.53486, 819.3966, 423.1949, 931.7819, 1274.049, 499.5995, 345.1741
211.7, 408.0176, 320.427, 1616.297, 411.1449, 814.9812, 2381.414, 78.48962, 2744.053, 83.34682, 326.6596, 1703.883, 51.69018, 66.97693, 73.30191, 244.5167, 1680.001, 417.094, 0.6133937, 1362.223, 184.0633, 727.3214, 19.65933, 776.205, 402.095, 884.97, 1430.614, 477.3726, 325.923
211.8, 378.4038, 302.1874, 1693.719, 392.4095, 835.96, 2297.264, 73.50665, 2824.256, 78.97472, 309.7363, 1881.902, 49.19852, 63.5844, 69.64214, 229.0708, 1743.702, 480.4211, 0.5849369, 1493.193, 174.8326, 691.6492, 18.82113, 735.2902, 382.047, 840.5099, 1479.705, 456.1346, 307.7455
211.9, 350.9393, 284.986, 1629.467, 374.5279, 785.6255, 2275.413, 68.84003, 2763.321, 74.83197, 370.4059, 1796.121, 46.82697, 308.5116, 66.16508, 253.0234, 2026.853, 498.3577, 0.5578003, 1413.55, 166.0649, 657.7267, 18.01867, 696.532, 362.9986, 798.2834, 1516.785, 435.8415, 290.5819
212, 325.4681, 319.3919, 1551.841, 357.4611, 738.3218, 2312.121, 84.65852, 2815.52, 70.90653, 367.5524, 1714.25, 44.56974, 292.8848, 62.86163, 237.0401, 2088.686, 471.2202, 0.5319226, 1358.496, 157.7368, 625.4679, 17.25043, 659.8168, 344.9, 758.1784, 1780.325, 522.3459, 393.7502
212.1, 301.8457, 301.2112, 1762.07, 341.172, 693.8663, 2235.546, 79.28392, 2683.528, 67.18701, 473.8476, 1636.111, 42.42131, 278.0496, 59.72311, 222.0665, 1985.077, 567.6404, 0.5072455, 1286.038, 149.8264, 650.6629, 16.51494, 625.0369, 354.9299, 720.0882, 2176.76, 536.9651, 501.4058
212.2, 279.9378, 326.6444, 1774.98, 367.6175, 731.3257, 2149.827, 107.9601, 2723.129, 63.66261, 449.2989, 1561.534, 40.37645, 263.9657, 56.74129, 294.2579, 1921.929, 579.9819, 0.4837132, 1421.157, 142.3127, 618.7505, 15.8108, 592.0903, 391.7373, 683.9116, 2402.841, 672.8032, 535.5164
212.3, 259.6199, 308.0509, 1726.374, 358.7755, 722.0568, 2058.598, 101.1062, 2786.298, 60.32308, 426.022, 1490.356, 38.43016, 250.5953, 53.90835, 313.5585, 2238.31, 629.202, 0.4612725, 1345.357, 135.1758, 781.5007, 15.13669, 560.8804, 372.2058, 649.5526, 2470.046, 721.5061, 636.7372
212.4, 240.7767, 290.5157, 1734.427, 403.7197, 741.0105, 2125.226, 94.68741, 2655.676, 57.15873, 526.948, 1422.422, 36.57768, 237.9021, 51.21684, 395.2968, 2236.906, 594.9395, 0.439873, 1273.599, 128.3968, 743.1713, 14.49132, 531.3156, 353.6481, 616.9196, 2430.001, 689.4068, 601.225
212.5, 223.3012, 273.9787, 1651.801, 385.3227, 780.2856, 2027.555, 88.67612, 2679.186, 54.16037, 526.6622, 1443.096, 34.8145, 225.8518, 48.65972, 370.3263, 2125.945, 562.5427, 0.4194663, 1230.598, 121.9578, 706.7217, 13.87347, 503.3091, 336.0157, 585.9261, 2439.699, 658.7355, 567.6934
212.6, 207.094, 258.3831, 1747.672, 367.764, 791.9849, 1934.372, 83.04646, 2553.585, 51.3193, 499.3773, 1474.35, 33.13631, 214.4119, 46.23026, 346.9331, 2060.038, 531.9101, 0.4000062, 1164.961, 248.9922, 672.0599, 13.28196, 476.779, 319.2623, 683.5457, 2418.006, 724.9293, 536.0319
212.7, 192.0632, 243.6751, 1734.88, 351.0054, 744.2982, 1845.472, 134.6127, 2529.713, 48.62726, 473.506, 1407.146, 31.53902, 203.5515, 43.9221, 325.0177, 1957.85, 502.9455, 0.381449, 1102.825, 236.5054, 639.0981, 12.71567, 451.6473, 303.3443, 796.7485, 2467.137, 731.1066, 506.1363
212.8, 222.567, 232.9544, 1652.232, 335.0105, 699.4828, 1782.983, 126.0667, 2582.684, 46.07644, 448.975, 1402.984, 30.01872, 193.2411, 41.72919, 371.5451, 1985.637, 475.5582, 0.3637526, 1044.003, 265.6942, 607.753, 12.17352, 427.8403, 288.2199, 756.7206, 2339.285, 917.0062, 477.908
212.9, 206.4131, 219.6939, 1573.522, 319.7445, 704.0322, 1757.122, 118.0633, 2481.06, 43.65942, 425.7148, 1376.907, 28.57171, 183.453, 39.64576, 348.075, 1906.783, 449.6622, 0.3468773, 988.319, 467.163, 577.9452, 11.65449, 405.2882, 273.8496, 922.8871, 2371.748, 876.2092, 451.2541
213, 191.4317, 226.3527, 1538.936, 305.1741, 661.6414, 1766.421, 110.568, 2364.747, 41.36919, 403.6598, 1405.586, 27.19445, 174.1608, 37.66635, 326.0874, 1833.007, 425.1763, 0.3307848, 1017.085, 585.0782, 549.5994, 11.15759, 383.9249, 260.1958, 876.5222, 2230.338, 837.2272, 426.0867
213.1, 177.5376, 213.4681, 1543.639, 291.2677, 621.8029, 1771.747, 103.5485, 2470.035, 39.1991, 382.7473, 1407.216, 25.88357, 165.3391, 35.78576, 305.4888, 1742.08, 402.0238, 0.3154389, 1046.167, 555.7369, 522.6437, 10.68187, 363.6877, 279.1195, 832.4865, 2142.158, 799.9796, 541.1454
213.2, 164.6519, 201.3168, 1522.906, 277.9949, 700.942, 1825.28, 338.5728, 2354.24, 37.14285, 362.9182, 1343.072, 24.63589, 156.9643, 33.99907, 286.1913, 1655.665, 380.132, 0.300805, 1012.747, 527.867, 497.0102, 10.22644, 344.5172, 347.2041, 840.8671, 2014.437, 764.389, 510.9646
213.3, 163.9877, 221.3907, 1450.356, 265.327, 658.7372, 1741.394, 392.6427, 2243.873, 35.19446, 344.1165, 1395.961, 23.44835, 149.0137, 32.30159, 268.1129, 1721.112, 359.4323, 0.2868499, 958.7295, 501.3948, 472.6339, 9.790424, 326.3572, 329.8929, 944.3906, 2000.903, 730.3818, 482.467
