 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C010, C011, C012, C015, C016, C017, C018, C019, C021, C023, C024, C025, C032, C033, C034, C038, C039, C040, C042, C045, C047, C049, C056, C068, C083, C086
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
84.7, 54.62505, 110.8161, 91.50011, 249.4429, 397.4058, 28.60447, 8.087135, 75.50465, 200.9555, 22.17551, 144.8815, 21.7074, 47.15992, 161.7377, 69.10171, 363.2194, 75.58913, 497.2781, 13.05324, 197.3328, 15.02719, 435.8429, 151.991, 194.6852, 33.8635, 109.9654, 260.7433, 55.34507, 981.5395, 552.0326, 531.1746, 786.5154, 905.3207, 257.7122, 11.6471
84.8, 50.63576, 103.1801, 86.82734, 234.0191, 375.2547, 27.26373, 7.675491, 71.20724, 191.4929, 20.54219, 153.6617, 20.59762, 44.38961, 151.6473, 212.8087, 447.5524, 71.30321, 463.0256, 12.29122, 187.6614, 14.10584, 446.7665, 143.8032, 183.3067, 32.02627, 102.7424, 247.1062, 52.4272, 1061.108, 514.6088, 632.7438, 751.2477, 861.4306, 243.8604, 10.87823
84.90000000000001, 46.93781, 96.07033, 82.3932, 311.8272, 363.1794, 25.98583, 7.2848, 67.15442, 182.4758, 19.02917, 237.3488, 19.54458, 41.78204, 142.1864, 305.8576, 503.9574, 67.26029, 431.1324, 11.57369, 189.7849, 13.24098, 415.8829, 136.0565, 172.5932, 30.28872, 95.99396, 259.9301, 49.66317, 1001.494, 479.7221, 640.4542, 717.5613, 819.6683, 268.394, 10.16011
85, 43.50991, 89.45045, 78.18549, 292.546, 423.3167, 24.76783, 6.913995, 63.33227, 173.8833, 17.62759, 223.628, 18.54537, 39.32764, 133.3158, 354.2094, 761.6848, 215.8313, 401.436, 10.89804, 200.5546, 12.42915, 387.1342, 128.7271, 195.9827, 28.64543, 89.68874, 404.6245, 47.04486, 945.2281, 447.2004, 604.7444, 839.3343, 859.4777, 291.619, 9.489405
85.09999999999999, 40.33236, 83.28674, 74.19267, 274.457, 399.7213, 23.60692, 6.562064, 59.72766, 165.6955, 16.32924, 210.7004, 17.59725, 37.01742, 124.9986, 398.666, 724.7453, 203.5936, 373.7851, 10.26184, 219.2783, 11.66709, 475.4849, 121.7925, 184.5284, 27.0913, 83.79766, 383.4623, 44.56459, 892.1238, 416.8835, 571.0258, 801.6981, 817.8101, 275.9446, 8.862971
85.2, 37.38687, 77.54774, 70.40376, 257.4865, 453.2819, 22.50043, 124.2256, 56.32822, 242.5591, 15.12652, 198.5201, 16.6976, 34.84291, 117.2002, 377.9689, 689.5973, 264.4927, 429.6421, 9.662779, 208.5314, 10.95175, 442.616, 115.2315, 173.7435, 25.62149, 78.29353, 363.4069, 42.21508, 842.003, 388.6219, 539.1872, 854.3735, 800.0267, 428.5509, 8.277892
85.3, 34.65649, 72.20419, 66.80834, 427.2517, 428.0163, 21.4458, 117.9024, 53.12225, 269.1358, 14.01239, 187.0439, 15.84394, 189.7114, 109.8884, 358.3464, 656.1538, 272.4883, 400.0484, 9.098688, 198.3112, 10.28028, 412.0193, 109.0239, 163.5889, 24.23142, 73.15094, 344.4004, 39.98944, 794.698, 362.2761, 509.1238, 816.063, 761.2413, 405.5166, 7.731436
85.40000000000001, 32.12551, 67.22885, 63.39654, 400.8334, 404.159, 20.4406, 111.901, 50.09875, 256.4627, 12.98032, 176.2312, 15.03393, 178.5672, 137.1992, 339.7426, 624.3323, 312.7172, 439.6732, 8.567528, 201.7763, 9.64997, 383.5377, 103.1508, 154.0278, 22.91677, 68.34613, 402.763, 37.88115, 750.0507, 439.6349, 480.7367, 867.6791, 724.3362, 383.7203, 7.221053
85.5, 52.56686, 62.59634, 60.15897, 376.0487, 421.7326, 19.48251, 106.2051, 47.24734, 284.8044, 12.02426, 166.0435, 14.26532, 168.0777, 167.4343, 322.1046, 594.054, 294.9861, 409.3885, 8.067375, 211.9638, 9.05831, 357.0249, 97.59403, 145.0255, 21.67345, 63.85691, 381.6982, 35.884, 707.9117, 575.6769, 529.274, 934.8673, 779.8021, 363.0956, 6.744363
85.59999999999999, 48.72788, 128.4616, 57.08674, 352.7964, 398.2255, 18.56933, 100.7992, 44.55822, 271.3935, 22.11103, 156.4447, 13.53601, 158.2043, 156.9885, 305.3823, 565.2441, 278.2603, 381.1898, 7.59642, 201.5753, 8.502925, 332.3448, 92.33661, 136.5494, 20.49758, 59.66257, 361.735, 33.99215, 759.824, 536.6502, 590.6001, 892.9474, 741.9972, 343.5794, 6.299141
