 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
218, 136.0001, 243.4049, 164.319, 285.388, 216.3792, 350.061, 1450.88, 1209.842, 17.98829, 852.373, 1645.14, 1120.702, 1653.809, 1376.799, 1382.961, 1223.22, 12.30478
218.1, 125.4055, 231.5122, 164.6581, 272.1464, 201.4463, 332.0577, 1479.042, 1132.659, 17.00091, 797.6949, 1899.192, 1048.893, 1744.948, 1800.581, 1497.588, 1211.949, 11.58537
218.2, 115.6363, 384.4726, 218.157, 259.5192, 263.0456, 314.9803, 1406.238, 1060.401, 16.06773, 746.5242, 1934.302, 981.6855, 2078.137, 1765.201, 1754.723, 1149.489, 10.90802
218.3, 106.6281, 363.4121, 201.4097, 247.4778, 244.892, 298.7812, 1337.018, 1006.457, 15.18577, 837.4708, 1795.398, 918.7844, 1945.625, 1657.971, 2280.668, 1141.338, 10.27027
218.4, 98.32166, 343.5052, 185.948, 235.9952, 227.9913, 425.4072, 1358.318, 955.9749, 14.35222, 922.658, 1666.469, 859.9136, 1821.562, 1586.149, 2174.928, 1333.522, 9.669808
218.5, 90.66229, 324.6888, 228.1018, 225.0454, 212.257, 409.1204, 1832.634, 1049.837, 13.56442, 950.1594, 1546.799, 804.8149, 1705.41, 1495.359, 2305.334, 1264.796, 9.104453
218.6, 83.59959, 306.903, 210.5911, 242.667, 197.6085, 388.0798, 2085.759, 1011.045, 12.81987, 1058.6, 1435.722, 873.9264, 1596.664, 1463.213, 2198.451, 1199.613, 8.572152
218.7, 77.08709, 290.0916, 226.0625, 231.4076, 183.9709, 368.1212, 2059.011, 946.5446, 12.11619, 990.6925, 1332.622, 880.3082, 1593.38, 1374.327, 2096.523, 1137.788, 8.070972
218.8, 87.97802, 274.201, 208.7083, 284.1768, 171.2746, 349.1891, 1957.659, 886.1592, 11.45113, 927.1414, 1236.925, 898.2306, 1491.778, 1290.841, 2074.968, 1079.15, 7.599095
218.9, 81.12444, 259.1809, 307.5966, 270.9914, 159.4544, 331.2307, 1982.705, 829.6263, 10.82257, 867.6669, 1148.1, 840.6768, 1396.655, 1212.427, 1978.765, 1023.534, 7.154806
219, 74.80475, 244.9836, 283.9833, 258.4178, 148.45, 314.1958, 1885.108, 776.6998, 10.22852, 962.6044, 1087.099, 786.8107, 1307.597, 1138.776, 2003.062, 986.2408, 6.736493
219.1, 80.09166, 231.5639, 286.3718, 247.3181, 138.205, 298.037, 1792.316, 727.1498, 9.667075, 900.8551, 1009.033, 736.3961, 1483.048, 1142.515, 2073.375, 935.4129, 6.342637
219.2, 73.85243, 218.8794, 264.3878, 235.8429, 128.6671, 282.7093, 1782.544, 702.601, 9.136448, 843.0669, 936.5736, 689.2118, 1471.472, 1073.111, 1989.755, 921.7421, 5.971808
219.3, 68.09924, 225.9173, 244.0915, 224.9002, 132.3458, 268.1699, 1697.854, 657.7782, 8.634947, 792.4062, 958.7587, 1149.094, 1524.069, 1092.733, 2120.904, 1020.887, 5.622661
219.4, 62.79424, 213.542, 289.2032, 214.4651, 123.2122, 254.3782, 1670.467, 646.2772, 8.160974, 855.952, 889.9095, 1276.473, 1426.886, 1026.353, 2033.342, 968.2739, 5.293926
219.5, 61.94528, 201.8447, 267.0018, 214.2923, 114.709, 241.2957, 1588.24, 605.0477, 7.713017, 801.0442, 826.0043, 1283.885, 1439.145, 964.0053, 2057.043, 1167.702, 4.984411
219.6, 57.11967, 190.7881, 246.5048, 204.3494, 106.7926, 315.696, 1560.061, 566.4484, 7.289648, 749.6586, 766.6883, 1309.471, 1468.24, 905.445, 2118.854, 1170.073, 4.692993
219.7, 52.66998, 180.3371, 227.5813, 214.8038, 99.42253, 368.6107, 1600.975, 530.3115, 6.889518, 701.5694, 711.6318, 1342.889, 1555.493, 895.5901, 2237.822, 1184.127, 4.418612
219.8, 48.56693, 170.4587, 215.3886, 204.8372, 92.56109, 349.6534, 1522.169, 496.48, 6.511352, 656.565, 660.5289, 1293.127, 1456.307, 885.2483, 2210.751, 1123.101, 4.160274
219.9, 44.78351, 161.1213, 198.8539, 195.3331, 128.94, 331.6711, 1497.336, 464.8069, 6.153943, 614.4476, 613.0958, 1210.27, 1363.446, 831.4722, 2108.253, 1127.217, 3.917039
220, 41.29483, 152.2955, 196.9712, 264.1024, 120.0414, 352.8609, 1483.643, 441.9274, 5.816152, 575.0319, 569.0688, 1232.934, 1276.506, 780.9629, 2115.362, 1069.124, 3.688025
220.1, 38.07791, 143.953, 181.8502, 251.8484, 111.757, 334.7136, 1410.612, 413.7344, 5.496902, 672.263, 528.2036, 1784.403, 1195.109, 771.8031, 2063.36, 1014.024, 3.472401
220.2, 35.1116, 136.0676, 167.8901, 262.67, 185.5793, 317.4996, 1341.177, 387.34, 5.195176, 919.9562, 490.2728, 1730.338, 1191.68, 804.4478, 1973.607, 961.7645, 3.269384
220.3, 32.37637, 128.6142, 155.0016, 250.4825, 172.7719, 306.0567, 1275.159, 362.6295, 4.910012, 1099.812, 455.0659, 1619.467, 1223.924, 793.9139, 1915.954, 1085.025, 3.078236
220.4, 29.85421, 121.569, 143.1026, 238.8605, 160.8484, 290.3165, 1212.391, 339.4953, 4.640501, 1265.304, 422.3872, 1632.219, 1145.881, 760.9435, 2162.191, 1065.92, 2.898264
220.5, 27.52853, 114.9097, 187.7296, 227.7777, 149.7478, 275.3858, 1152.712, 344.7312, 4.385783, 1619.552, 392.0553, 1726.975, 1075.84, 714.7186, 2142.866, 1010.985, 2.728814
220.6, 25.38403, 108.6152, 173.3181, 262.746, 183.171, 261.223, 1095.971, 408.2603, 4.145047, 1515.66, 395.6847, 1616.32, 1144.403, 795.6285, 2470.179, 972.6192, 2.569271
220.7, 23.40659, 102.6655, 160.013, 250.555, 170.5299, 247.7886, 1042.023, 382.2151, 3.917524, 1418.433, 367.2702, 1582.932, 1203.277, 747.2966, 2355.654, 922.4933, 2.419056
220.8, 21.58319, 97.04172, 147.7292, 238.9296, 237.1225, 235.045, 990.7308, 357.8315, 3.702491, 1593.646, 457.2488, 1481.506, 1126.55, 701.9007, 2786.829, 1060.335, 2.277623
220.9, 19.90183, 91.72599, 136.3885, 227.8436, 220.758, 222.9569, 964.6425, 335.0034, 3.49926, 1620.684, 630.8994, 1386.579, 1267.566, 779.5617, 2880.846, 1005.688, 2.14446
221, 18.35146, 86.70145, 125.9183, 217.2719, 205.5228, 211.4905, 917.1591, 313.6317, 3.307185, 1715.23, 586.5842, 1297.734, 1186.739, 732.2058, 2747.281, 1163.248, 2.019082
221.1, 16.92186, 81.95214, 152.8318, 207.1908, 191.3391, 200.6137, 976.957, 293.6234, 3.125654, 1605.201, 558.0694, 1214.583, 1159.505, 713.1215, 2778.105, 1103.297, 1.901034
