 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C021, C022, C023, C026, C028, C029, C033, C036, C040, C046, C050, C051, C052, C054, C057, C058, C060, C061, C066, C067, C068, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
155.5, 2149.406, 3461.827, 424.2624, 3761.773, 2056.4, 379.1855, 1580.16, 4728.349, 598.0402, 1718.891, 2673.118, 404.0516, 284.0434, 3024.451, 3483.165, 2383.747, 840.64, 3189.886, 2968.187, 3163.837, 1922.117, 560.8768, 1618.498, 2811.805, 1305.876, 379.796, 133.9, 1052.932, 4738.307, 36.95863, 4121.666, 1878.99, 1806.024, 826.0818, 1506.257, 3406.904, 1204.969, 1285.466, 567.0085, 893.1888, 14.0887
155.6, 2027.146, 3578.413, 401.2259, 3588.068, 2117.562, 407.0866, 1548.509, 4870.519, 562.137, 1634.154, 2601.74, 400.3822, 270.2762, 3051.076, 3343.943, 2392.194, 797.1694, 3114.567, 2875.948, 3059.069, 1822.677, 530.4545, 1542.754, 2715.936, 1388.43, 357.6002, 125.7781, 995.8506, 4540.125, 35.20102, 3954.874, 1931.458, 1706.025, 778.5568, 1627.18, 3677.658, 1148.426, 1216.546, 541.7875, 835.0529, 13.31397
155.7, 1939.04, 3461.971, 379.4402, 3720.68, 2020.089, 388.8288, 1470.207, 4657.07, 528.3892, 1690.802, 2482.454, 383.4399, 257.1762, 3111.869, 3232.85, 2285.017, 812.7198, 2973.436, 2822.405, 2984.639, 1728.382, 501.6823, 1530.382, 2588.821, 1303.371, 336.7015, 171.8183, 941.8636, 4350.233, 33.527, 4133.166, 1843.818, 1611.563, 733.7659, 1548.65, 3523.852, 1219.118, 1151.322, 517.6884, 780.701, 12.58185
155.8, 1939.226, 3324.695, 358.8374, 3635.502, 1927.102, 371.3897, 1395.865, 4613.129, 496.6675, 1616.688, 2549.064, 367.2145, 364.9462, 3060.841, 3146.346, 2212.312, 770.693, 2990.171, 2792.425, 2853.151, 1638.964, 505.0454, 1525.354, 2678.66, 1469.96, 317.0242, 161.3964, 890.8034, 4168.284, 31.93258, 4128.779, 1803.117, 1522.332, 691.5518, 1473.909, 3376.479, 1420.398, 1089.594, 494.6612, 729.8867, 11.88998
155.9, 1891.652, 3280.853, 371.7251, 3467.627, 1877.69, 354.7329, 1325.281, 4429.933, 466.8502, 1536.99, 2464.719, 351.6758, 347.2577, 2954.875, 3078.696, 2168.211, 730.8394, 2909.349, 2794.334, 2905.611, 1554.173, 477.6514, 1453.969, 2574.017, 1379.906, 298.4968, 151.6066, 842.5112, 4287.722, 30.41399, 4259.771, 1896.547, 1438.041, 651.7664, 1524.262, 3242.938, 1387.862, 1031.176, 472.6583, 682.3798, 11.23616
156, 1985.523, 3394.36, 351.5413, 3425.642, 1791.258, 442.431, 1367.808, 4583.687, 438.823, 1639.802, 2488.735, 336.7945, 330.4265, 2875.174, 3160.461, 2271.074, 759.1907, 2952.765, 2827.441, 2777.604, 1654.241, 460.8949, 1554.194, 2617.461, 1427.056, 303.0917, 142.4107, 796.8371, 4108.387, 28.96762, 4211.839, 1891.945, 1358.417, 727.9539, 1450.699, 3282.959, 1331.876, 1217.716, 576.7852, 637.9651, 10.61829
156.1, 1899.297, 3413.198, 332.4533, 3374.807, 1981.577, 422.588, 1566.676, 4382.809, 412.4783, 1698.202, 2408.557, 322.5429, 314.4112, 2919.679, 3079.301, 2195.76, 746.42, 2998.71, 3014.808, 2934.862, 1597.226, 435.8956, 1708.553, 2494.955, 1339.631, 285.3786, 160.2424, 816.4796, 4015.207, 27.59003, 4092.287, 1815.707, 1283.203, 686.0743, 1380.686, 3413.57, 1269.377, 1152.429, 551.1293, 628.5421, 10.0344
156.2, 1791.263, 3341.723, 314.4018, 3218.971, 1890.363, 403.6348, 1495.008, 4378.6, 387.7153, 1855.418, 2575.788, 392.916, 325.9448, 2787.436, 2935.826, 2097.385, 707.8217, 2954.781, 2876.839, 2856.73, 1641.913, 412.2523, 1628.595, 2455.725, 1257.561, 332.1839, 150.5226, 772.2166, 3932.18, 26.27795, 4173.886, 1775.658, 1212.152, 646.604, 1401.701, 3286.808, 1506.426, 1090.642, 714.4695, 625.7785, 9.48262
156.3, 1689.374, 3422.145, 297.3304, 3070.33, 1897.738, 385.5318, 1482.48, 4186.709, 364.4389, 1988.542, 2551.893, 376.2896, 369.5823, 2798.077, 2812.025, 2168.619, 690.7585, 2999.272, 2745.184, 2786.386, 1567.646, 554.377, 1552.379, 2389.081, 1495.497, 332.3829, 141.3924, 749.7612, 3767.715, 172.0847, 4248.132, 1781.86, 1145.036, 609.4045, 1486.56, 3152.022, 1527.372, 1032.168, 703.2981, 602.045, 8.961179
156.4, 1620.443, 3444.962, 356.7296, 2989.999, 1824.989, 368.2406, 1480.689, 4178.839, 342.5599, 1921.996, 2434.892, 411.2915, 448.1889, 2671.342, 2849.988, 2155.753, 655.0385, 2919.042, 2739.391, 2762.389, 1486.545, 524.3071, 1479.73, 2277.263, 1515.278, 312.9579, 132.8161, 709.1152, 3674.09, 283.5048, 4171.029, 1741.207, 1167.006, 574.345, 1458.754, 3020.199, 1504.22, 976.8285, 672.0148, 762.1275, 8.468411
156.5, 1528.271, 3299.624, 337.3599, 2851.931, 1890.089, 362.954, 1405.817, 3995.703, 321.9944, 2002.745, 2535.891, 393.8875, 426.4657, 2748.325, 2717.197, 2119.524, 799.3391, 2786.771, 2614.027, 2693.027, 1409.639, 495.8683, 1613.539, 2282.261, 1482.279, 294.6682, 124.7599, 700.6757, 3579.516, 270.0224, 4271.919, 1749.985, 1102.39, 653.6138, 1388.352, 3467.224, 1433.634, 924.4562, 642.123, 712.5221, 8.002741
156.6, 1513.477, 3312.063, 319.042, 2735.06, 1829.998, 346.6754, 1334.731, 3862.362, 302.6636, 1904.015, 2503.674, 377.2201, 405.7955, 2646.354, 2618.209, 2185.82, 758.0042, 2837.752, 2590.812, 2667.591, 1416.173, 538.7967, 1538.028, 2175.443, 1391.471, 277.4474, 117.1924, 813.9175, 3504.508, 257.1812, 4244.324, 1730.852, 1155.694, 616.0109, 1321.348, 3378.662, 1621.659, 874.8919, 670.5308, 666.1454, 7.562677
156.7, 1427.389, 3291.029, 316.6998, 2712.362, 1766.266, 331.127, 1267.239, 3936.337, 284.4933, 1845.717, 2483.402, 361.2579, 540.4456, 2600.114, 2668.318, 2246.502, 718.8068, 2884.789, 2564.82, 2695.123, 1593.156, 509.572, 1466.051, 2223.582, 1306.225, 261.2329, 110.0839, 769.7935, 3524.3, 244.9506, 4115.141, 1873.333, 1091.704, 843.6898, 1337.955, 3458.892, 1545.562, 827.985, 640.705, 622.7874, 7.146811
156.8, 1346.198, 3165.143, 299.5037, 2835.036, 1827.538, 316.2759, 1211.636, 3763.828, 267.4138, 1790.993, 2369.541, 370.9982, 551.9371, 2482.345, 2543.992, 2145.853, 681.6364, 2758.873, 2606.571, 2616.044, 1510.735, 481.9324, 1397.442, 2145.692, 1371.678, 245.9661, 103.4066, 728.0615, 3376.896, 233.3017, 4166.353, 1850.416, 1031.257, 795.1517, 1273.384, 3314.236, 1612.169, 783.593, 768.7743, 582.2513, 6.753814
156.9, 1269.625, 3135.83, 283.2412, 2704.124, 1791.48, 302.0909, 1176.112, 3623.435, 328.8405, 1849.882, 2411.396, 355.2993, 525.1854, 2637.517, 2643.991, 2049.713, 725.9894, 2773.748, 2524.75, 2542.949, 1432.577, 455.7921, 1332.043, 2111.928, 1312.984, 231.5915, 141.535, 715.6383, 3235.656, 222.2068, 4376.792, 1950.753, 974.1564, 755.9094, 1296.232, 3594.562, 1536.518, 741.581, 734.5786, 544.3538, 6.382428
157, 1197.407, 3095.646, 338.6006, 2579.257, 1709.016, 288.5421, 1116.641, 3529.676, 331.3404, 1895.275, 2300.836, 340.2646, 499.7303, 2518.055, 2564.986, 2045.799, 688.4475, 2760.24, 2409.209, 2593.618, 1358.463, 431.0696, 1269.706, 2013.082, 1232.547, 252.4695, 161.5307, 752.4603, 3299.652, 211.6395, 4265.329, 1862.237, 920.2179, 712.4214, 1233.674, 3444.231, 1668.295, 701.8215, 718.7408, 535.5928, 6.031463
