figure 4A,figure 4B
2.788448,5.437169
1.686406,9.017119
9.010111,6.463597
4.953734,10.46916
4.031173,7.159135
2.429307,8.810508
5.979101,7.625461
7.072521,5.311754
3.150918,9.48088
2.720594,6.054781
6.769459,10.4241
4.15648,5.905226
3.514322,11.06461
9.43038,6.904991
5.259138,4.737757
3.079972,10.3343
6.051118,6.673481
6.033084,11.04138
3.79999,7.644448
5.088653,9.935425
6.601108,7.140816
4.109327,3.619972
2.125386,9.459524
10.09538,5.757709
