 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C015, C016, C017, C018, C019, C023, C024, C026, C027, C028, C030, C032, C034, C035, C036, C037, C039, C040, C043, C045, C048, C049, C052, C055, C059, C061, C062, C063, C065, C071, C073, C074, C077, C079, C080, C082, C083, C084, C088, C089, C093, C095, C096, C099, C100, C102, C103, C106, C108, C109, C111, C112, C114, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
386.8, 319.0142, 0.3737942, 1387.239, 0.002943685, 5408.709, 432.2428, 742.4647, 85.46453, 1643.555, 1814.301, 874.4169, 773.5095, 934.7431, 1336.643, 2846.378, 535.9731, 1829.33, 537.9425, 1180.853, 1447.852, 2992.724, 720.8581, 4583.009, 300.899, 2550.514, 531.5433, 463.9586, 1116.759, 1327.025, 1670.749, 0.001075806, 171.0996, 1893.042, 243.2787, 854.0379, 4417.9, 24.26019, 918.7511, 779.5623, 628.2501, 571.1088, 366.2355, 4.357739, 0.3381451, 968.186, 699.5858, 409.5956, 617.3574, 2.283011, 620.6119, 3115.042, 480.6128, 646.356, 2695.694, 3.666069, 4006.56, 751.1838, 2078.252, 3435.47, 1817.898, 879.9433, 0.9937499, 5900.324
386.9, 305.093, 0.3573412, 1390.129, 0.002813255, 5151.944, 468.3874, 703.1809, 81.70928, 1574.501, 1905.325, 838.0165, 860.7059, 893.2621, 1267.986, 2881.398, 508.6511, 1749.505, 510.9846, 1211.436, 1541.144, 2861.46, 721.173, 4575.842, 285.919, 2473.412, 507.7342, 552.4798, 1078.363, 1261.287, 1591.808, 0.001025002, 163.5252, 1874.978, 231.2373, 811.6119, 4244.775, 23.07228, 1016.853, 740.5738, 623.8703, 735.0883, 349.7061, 4.147068, 0.3236432, 925.576, 771.6098, 439.3952, 590.5269, 2.187035, 562.843, 3077.084, 511.9068, 617.3038, 2724.944, 3.500706, 3972.369, 762.783, 2040.453, 3321.532, 1739.128, 840.4821, 0.9438096, 5969.178
387, 291.7793, 0.3416125, 1360.268, 0.002688604, 4907.367, 445.8659, 665.9756, 78.11904, 1558.976, 1859.139, 803.1313, 875.5389, 853.622, 1323.86, 2879.889, 482.7218, 1758.086, 485.3777, 1155.912, 1474.505, 2780.129, 729.7722, 4585.354, 271.6848, 2417.141, 484.9915, 566.7418, 1051.315, 1198.807, 1613.788, 0.0009765961, 156.2861, 1865.817, 219.7919, 771.2934, 4264.916, 21.94254, 1058.939, 703.5353, 711.3912, 702.8438, 333.9226, 3.946581, 0.3097633, 884.8413, 738.3437, 421.2415, 564.8624, 2.095093, 629.5081, 3037.291, 640.2112, 589.5574, 2635.867, 3.342801, 3943.392, 843.1739, 2015.548, 3311.505, 1676.7, 802.7906, 0.8963791, 5962.703
387.1, 279.0465, 0.3265761, 1301.82, 0.002569476, 4674.401, 459.756, 630.739, 74.68655, 1592.936, 1774.033, 790.324, 838.1195, 815.741, 1362.127, 2775.024, 509.7737, 1706.321, 461.054, 1102.933, 1500.99, 2874.656, 746.2878, 4503.726, 258.1591, 2527.646, 463.2675, 624.567, 1004.365, 1139.421, 1537.538, 0.0009304767, 149.3675, 1781.787, 208.913, 732.9778, 4323.313, 20.86812, 1089.185, 668.3492, 679.9436, 672.0137, 318.8516, 3.755786, 0.2964786, 845.8994, 823.2048, 457.1143, 540.3134, 2.007016, 570.9112, 3093.448, 711.3137, 563.0582, 2523.232, 3.192019, 4013.231, 804.5421, 2225.534, 3304.383, 1867.378, 766.7893, 0.8513322, 6226.45
387.2, 266.8694, 0.3122015, 1402.749, 0.002455627, 4452.495, 437.6495, 597.3666, 71.40488, 1658.853, 1893.859, 890.6815, 802.2994, 779.541, 1327.81, 2659.462, 551.092, 1631.865, 437.9492, 1052.382, 1571.468, 2881.13, 712.7271, 4415.358, 245.3069, 2416.94, 442.5167, 653.3508, 959.5105, 1082.977, 1464.891, 0.0008865352, 142.7552, 1701.543, 198.5726, 696.5657, 4213.974, 19.84631, 1180.439, 634.9229, 649.8862, 642.536, 304.4607, 3.574215, 0.2837636, 808.6713, 787.7143, 438.2286, 691.5302, 1.922642, 684.4773, 3019.275, 716.8094, 537.7501, 2421.863, 3.048039, 3982.09, 871.7777, 2278.12, 3242.645, 1786.465, 732.4025, 0.808549, 6381.816
387.3, 255.2237, 0.2984596, 1431.257, 0.002346822, 5011.626, 416.606, 615.5831, 68.26741, 1848.692, 2006.813, 853.604, 768.0102, 744.9474, 1259.607, 2886.321, 526.1609, 1743.385, 416.0023, 1212.396, 1503.517, 2754.761, 742.274, 4505.87, 233.0945, 2453.126, 422.6953, 620.9037, 1114.462, 1187.552, 1595.823, 0.0008446688, 136.4356, 1736.707, 188.7439, 661.9623, 4261.346, 18.87454, 1120.616, 819.2523, 773.963, 676.5222, 290.7193, 3.401423, 0.271594, 977.4148, 753.7539, 420.1232, 661.4761, 1.841815, 620.7636, 3195.131, 683.2623, 513.5795, 2705.415, 2.910553, 4069.877, 869.9601, 2181.886, 3253.684, 1804.098, 699.5578, 0.767916, 6104.451
387.4, 244.0862, 0.2853226, 1469.09, 0.002242838, 5353.219, 396.5743, 616.1879, 65.26779, 1771.019, 1914.947, 818.07, 735.1865, 711.889, 1194.907, 2842.226, 538.3522, 1667.311, 395.1552, 1208.516, 1476.688, 2740.816, 708.8938, 4476.837, 221.4901, 2510.098, 403.7617, 590.0681, 1166.405, 1135.517, 1732.099, 0.0008047796, 130.3957, 1732.214, 179.4018, 629.078, 4160.557, 17.95034, 1063.824, 798.0799, 866.8175, 646.8467, 277.5982, 3.236984, 0.2599462, 934.3987, 721.2576, 402.7658, 632.7281, 1.764386, 562.9807, 3130.391, 651.2853, 490.4954, 2777.279, 2.779268, 3960.991, 871.4005, 2089.717, 3299.118, 1739.396, 668.186, 0.7293249, 5839.141
387.5, 233.4347, 0.2727639, 1405.966, 0.002143462, 5344.562, 377.5058, 583.5854, 62.39997, 1696.61, 1827.286, 784.0153, 748.3441, 680.2976, 1133.53, 2796.318, 510.9088, 1594.557, 375.3528, 1221.255, 1429.343, 2620.601, 677.0146, 4383.264, 210.4634, 2520.784, 385.6762, 560.7637, 1151.39, 1215.913, 1721.318, 0.0007667741, 124.6233, 1731.447, 170.5221, 597.8273, 3990.917, 17.0714, 1009.91, 758.1653, 839.575, 618.4729, 265.0692, 3.080494, 0.248798, 1017.87, 759.524, 386.1255, 605.2296, 1.690212, 510.5764, 3114.942, 620.8049, 468.4488, 2848.002, 2.653905, 3796.356, 995.3696, 2001.442, 3215.253, 1716.141, 638.2211, 0.6926731, 5585.361
387.6, 223.2481, 0.2607579, 1393.902, 0.002048489, 5090.841, 359.3542, 660.3859, 59.65817, 1803.176, 1781.448, 767.5788, 716.3609, 650.1082, 1075.306, 2773.244, 484.8645, 1630.273, 356.5427, 1224.595, 1371.779, 2645.783, 646.5691, 4428.752, 199.9856, 2481.927, 368.4008, 532.9147, 1206.43, 1155.68, 1744.805, 0.0007305634, 119.1063, 1714.423, 162.0819, 568.129, 4003.855, 16.2355, 958.7286, 720.247, 802.461, 702.5071, 253.1057, 2.93157, 0.2381279, 1154.725, 797.3478, 370.1727, 578.9262, 1.619157, 463.05, 3133.145, 591.7509, 447.3931, 2986.691, 2.534197, 3945.259, 1076.84, 1916.896, 3269.574, 1740.644, 609.6, 0.6578633, 5425.087
387.7, 213.5059, 0.2492804, 1475.645, 0.001957724, 4849.166, 342.0753, 625.4449, 57.03683, 1839.976, 1750.349, 763.0062, 739.74, 621.2584, 1020.073, 2738.38, 532.891, 1673.928, 338.6753, 1270.227, 1312.463, 2634.389, 617.4927, 4433.673, 190.0295, 2475.435, 351.8992, 506.4488, 1217.713, 1171.706, 1662.365, 0.0006960628, 113.8336, 1637.212, 154.0594, 539.906, 3917.326, 15.44053, 910.1411, 705.6281, 802.132, 671.6918, 241.6822, 2.789845, 0.2279154, 1103.906, 772.7947, 354.879, 609.3568, 1.551088, 419.9476, 3204.656, 564.0567, 427.2838, 2859.065, 2.419889, 3796.766, 1237.862, 1854.339, 3205.754, 1779.598, 582.2624, 0.6248028, 5261.267
387.8, 204.1889, 0.2383081, 1501.228, 0.00187098, 4618.963, 325.6273, 592.3527, 54.53068, 1851.116, 1768.142, 827.6125, 708.1245, 593.6889, 998.6162, 2810.41, 568.2075, 1621.103, 321.7033, 1212.009, 1255.712, 2601.823, 589.7239, 4494.201, 180.569, 2470.692, 509.0923, 481.2973, 1163.331, 1188.587, 1583.82, 0.0006631914, 108.7944, 1563.479, 146.434, 593.6654, 3951.046, 14.68448, 995.9129, 915.6978, 766.6732, 642.2282, 230.7743, 2.654972, 0.2181409, 1146.198, 777.4501, 340.2171, 652.9122, 1.485881, 380.8574, 3065.669, 537.6586, 408.0785, 2736.892, 2.310736, 3775.656, 1181.147, 1920.828, 3072.003, 1841.085, 556.1508, 0.5934038, 5232.295
387.9, 195.2784, 0.2278187, 1436.723, 0.00178808, 4399.688, 309.9701, 561.0114, 52.13464, 1815.162, 1714.937, 869.6425, 717.2287, 567.3428, 960.5743, 2693.375, 539.2423, 1684.626, 305.5818, 1156.458, 1201.415, 2649.208, 563.2039, 4309.274, 171.5796, 2362.48, 486.2888, 457.3948, 1111.378, 1129.708, 1508.986, 0.0006318724, 103.9782, 1493.066, 139.1861, 564.1739, 3895.718, 13.96545, 945.4409, 899.3795, 732.7818, 614.057, 220.3586, 2.52662, 0.2087856, 1095.754, 762.629, 326.161, 624.5364, 1.423416, 345.4058, 3084.809, 512.4959, 389.7363, 2619.941, 2.206507, 3894.78, 1127.03, 1982.599, 3066.913, 1801.643, 531.2101, 0.5635827, 5187.15
388, 186.7568, 0.217791, 1422.447, 0.001708853, 4190.824, 491.4831, 531.3284, 49.84389, 1738.898, 2150.441, 1021.049, 708.2204, 968.2609, 1142.745, 2599.765, 511.7536, 1819.686, 290.2682, 1103.454, 1305.03, 2626.71, 537.8764, 4200.706, 163.0376, 2259.008, 822.2164, 494.2049, 1061.745, 1073.745, 1437.688, 249.9738, 99.37516, 1425.824, 132.2969, 570.7345, 3962.892, 13.28163, 1138.412, 918.5449, 700.3887, 587.1215, 210.4131, 2.404472, 0.1998315, 1047.529, 820.8141, 378.4249, 753.9673, 1.363576, 313.2541, 2951.02, 607.3582, 606.7258, 2507.987, 2.10698, 3987.706, 1075.393, 2480.859, 2956.093, 1723.577, 507.3879, 0.5352602, 6055.227
388.1, 178.6071, 0.2082047, 1639.136, 0.001633137, 3991.874, 467.8511, 503.2158, 47.65379, 1665.839, 2407.626, 1130.517, 677.952, 1244.188, 1084.048, 2835.196, 485.6662, 2032.785, 568.0015, 1052.879, 1248.601, 2511.5, 513.6879, 4378.838, 154.9209, 2160.068, 937.644, 469.6614, 1014.328, 1249.09, 1369.759, 238.1689, 94.97594, 1361.61, 468.8746, 769.7958, 4143.353, 12.63129, 1080.718, 953.6418, 669.4275, 561.3676, 691.0507, 2.28823, 0.1912614, 1065.386, 785.4268, 465.9832, 721.1997, 1.306252, 284.0953, 2823.034, 675.2439, 610.4738, 2400.816, 2.011941, 4255.524, 1026.122, 2576.544, 3030.341, 1648.895, 484.634, 0.508361, 5907.755
388.2, 170.813, 0.1990404, 1589.365, 0.001560775, 3802.369, 445.3553, 476.5907, 45.55991, 1612.356, 2629.646, 1260.995, 689.4948, 1591.472, 1079.852, 2770.675, 475.4511, 2087.094, 706.7973, 1004.622, 1402.615, 2401.343, 490.5872, 4198.658, 147.2083, 2197.608, 1118.187, 568.7081, 969.0291, 1195.466, 1305.039, 226.9214, 90.77146, 1300.288, 570.3441, 1108.386, 4067.174, 193.4673, 1025.948, 931.3061, 639.835, 737.495, 950.1193, 2.177607, 0.1830588, 1018.498, 794.6482, 446.731, 736.0986, 1.251338, 257.6506, 2700.599, 643.6422, 655.9851, 2298.226, 1.92119, 4226.163, 979.1079, 2509.781, 2950.262, 1577.448, 462.9005, 0.4828137, 5864.743
388.3, 163.359, 0.1902794, 1583.138, 0.00149162, 3621.861, 423.9413, 451.3744, 43.55804, 1544.613, 2609.13, 1208.502, 726.4094, 1568.217, 1190.556, 2732.333, 451.2142, 1996.022, 788.3794, 1008.08, 1360.778, 2518.174, 468.5254, 4260.676, 139.8797, 2117.942, 1068.101, 540.4646, 925.7531, 1172.235, 1243.378, 216.2052, 86.75311, 1241.728, 542.1141, 1088.414, 4000.76, 183.9941, 1108.088, 940.3318, 611.5506, 759.1534, 907.2372, 2.072332, 0.175208, 973.674, 796.2747, 428.2743, 780.3344, 1.198732, 233.6676, 2583.473, 613.5194, 626.5001, 2200.019, 1.834532, 4050.506, 1062.188, 2403.761, 2961.915, 1509.097, 442.1416, 0.4585502, 5748.898
388.4, 378.6024, 0.1819041, 1515.114, 0.001425528, 3449.921, 403.5569, 427.4922, 41.64414, 1479.717, 2489.691, 1158.194, 695.3636, 1498.625, 1129.403, 2618.549, 428.2129, 1984.908, 783.6663, 1161.518, 1301.938, 2407.725, 613.9567, 4196.5, 132.9159, 2174.224, 1020.258, 609.9139, 943.6906, 1114.166, 1184.63, 205.9949, 82.91265, 1185.805, 515.2814, 1178.239, 4051.056, 242.1476, 1051.931, 992.8618, 584.5165, 725.8533, 866.2905, 1.972147, 0.167694, 959.8288, 761.9453, 410.5801, 816.094, 1.148338, 211.9169, 2471.428, 584.8064, 598.3405, 2312.79, 1.751783, 3882.149, 1084.973, 2302.22, 3038.514, 1443.707, 422.3137, 0.4355061, 5499.041
388.5, 362.0808, 0.1738974, 1563.749, 0.001362366, 3286.145, 384.1526, 404.8736, 39.81433, 1542.903, 2445.929, 1194.526, 665.6447, 1483.97, 1071.391, 2615.561, 443.976, 2040.299, 744.3944, 1108.282, 1245.642, 2449.994, 586.3469, 4154.579, 126.2988, 2224.273, 974.5579, 579.624, 1002.077, 1215.428, 1128.657, 196.2669, 79.2422, 1132.401, 489.7769, 1190.344, 4349.485, 230.2908, 998.6199, 943.2055, 558.6776, 703.4476, 827.1918, 1.876805, 0.1605022, 1012.973, 800.2108, 425.1368, 780.6263, 1.100062, 192.1909, 2583.491, 637.4673, 571.4465, 2213.961, 1.672766, 4081.212, 1035.263, 2379.764, 2976.897, 1381.151, 403.375, 0.41362, 5260.043
388.6, 346.2803, 0.1662431, 1496.558, 0.001302001, 3130.143, 365.6814, 383.4518, 38.06491, 1478.078, 2496.667, 1144.8, 701.5942, 1418.116, 1016.358, 2655.147, 421.3437, 2061.755, 722.85, 1148.009, 1421.324, 2399.089, 559.9788, 4123.759, 120.0111, 2179.185, 1000.383, 583.7192, 997.2176, 1182.486, 1075.329, 186.9982, 75.73425, 1081.402, 465.5347, 1161.1, 4309.285, 219.0146, 998.8564, 896.0327, 533.9808, 729.9233, 789.8578, 1.786072, 0.1536188, 968.3919, 841.4184, 466.2012, 910.5242, 1.053816, 174.3011, 2553.551, 607.6335, 545.7613, 2119.355, 1.597314, 4114.338, 987.8299, 2284.072, 3088.042, 1432.925, 385.2856, 0.3928338, 5567.827
388.7, 442.6891, 0.1589258, 1432.253, 0.001244312, 2981.546, 348.0983, 363.1634, 300.3875, 1415.977, 2417.879, 1097.144, 810.8647, 1355.185, 964.153, 2544.578, 399.8651, 1971.789, 771.9652, 1185.809, 1362.457, 2293.863, 565.3389, 3975.501, 114.0364, 2083.741, 969.6594, 576.1938, 952.6827, 1123.909, 1024.521, 178.1673, 72.38158, 1097.422, 442.4925, 1165.683, 4133.581, 208.2905, 1079.527, 1059.201, 609.8374, 697.9054, 754.2089, 1.699726, 0.1470306, 925.7729, 805.1427, 446.9401, 870.9526, 1.009514, 555.6686, 2442.803, 579.1959, 521.2306, 2243.283, 1.525265, 3943.328, 1042.606, 2187.587, 3076.643, 1370.836, 368.0074, 0.3730922, 5325.839
388.8, 423.3709, 0.1519305, 1516.804, 0.001189178, 2840.004, 514.979, 430.5477, 287.1887, 1469.097, 2307.195, 1080.135, 776.2094, 1295.046, 1564.54, 2521.766, 437.5465, 1885.748, 733.2797, 1131.46, 1303.545, 2543.722, 539.9155, 4325.214, 108.3592, 2102.788, 1004.103, 547.5785, 930.1246, 1227.981, 1056.295, 169.7534, 69.17733, 1179.133, 420.5907, 1107.775, 4114.488, 198.0915, 1024.817, 1044.423, 582.8791, 682.5433, 720.1688, 1.617554, 0.1407249, 885.0295, 913.5413, 428.4747, 833.1008, 0.9670748, 802.8014, 2378.476, 656.4664, 497.8025, 2248.44, 1.456465, 3821.966, 994.8372, 2157.987, 3000.142, 1381.834, 351.504, 0.3543427, 5298.973
388.9, 404.8957, 0.1452431, 1451.63, 0.001136488, 2705.182, 518.7403, 407.7674, 274.5698, 1469.489, 2201.578, 1060.26, 772.9987, 1237.576, 1484.177, 2551.005, 487.4335, 1914.036, 696.5329, 1170.383, 1461.192, 2571.82, 515.6353, 4270.954, 102.9646, 2072.676, 1235.648, 520.3843, 977.9273, 1182.159, 1006.387, 161.7369, 66.11493, 1126.029, 399.773, 1052.744, 4166.227, 188.392, 972.8803, 1079.634, 557.1125, 717.7455, 687.6652, 1.539355, 0.1346897, 846.0793, 874.1561, 465.2874, 796.894, 0.9264194, 728.0737, 2497.92, 625.7434, 608.7776, 2152.361, 1.390769, 3780.099, 949.2567, 2312.039, 3002.74, 1515.311, 335.7408, 0.3365354, 6050.342
389, 387.2268, 0.1388501, 1570.76, 0.001086132, 2939.345, 512.473, 386.1925, 262.5054, 1574.734, 2256.803, 1046.403, 739.9618, 1182.656, 1631.13, 2699.042, 529.7429, 1938.249, 661.6276, 1217.937, 1398.01, 2689.663, 574.1555, 4611.655, 97.83862, 2118.958, 1180.3, 494.5407, 965.1903, 1283.158, 1063.32, 154.0989, 63.1881, 1166.625, 379.9857, 1000.447, 4375.221, 179.1673, 923.5756, 1025.638, 532.4849, 686.2617, 656.6285, 1.464936, 0.1289133, 808.8433, 928.9661, 446.064, 762.2608, 0.8874732, 660.3019, 2510.833, 596.4583, 581.4145, 2120.169, 1.328037, 4021.526, 963.3068, 2350.401, 3099.112, 1571.435, 320.6844, 0.3196231, 6065.382
