 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.094541443314222, 0, 0, 1.969996, -1.490116e-07, 0, 0, 0, 0, 0
7.194464562234141, 0, 0, 1.880835, -1.490116e-07, 0, 0, 0, 0, 0
7.29438768115406, 0, 0, 1.795709, -1.788139e-07, 0, 0, 0, 0, 0
7.394310800073979, 0, 0, 1.714437, -1.490116e-07, 0, 0, 0, 0, 0
7.494233918993896, 0, 0, 1.636842, -1.490116e-07, 0, 0, 0, 0, 0
7.594157037913815, 0, 0, 1.56276, -1.788139e-07, 0, 0, 0, 0, 0
7.694080156833734, 0, 0, 1.49203, -1.639128e-07, 0, 0, 0, 0, 0
7.794003275753653, 0, 23.01195, 1.424502, -1.341105e-07, 0, 0, 0, 0, 0
7.893926394673572, 0, 44.89178, 1.360029, -1.490116e-07, 0, 0, 0, 0, 0
7.993849513593489, 0, 42.7465, 1.298475, -1.490116e-07, 0, 0, 0, 0, 0
8.093772632513408, 0, 40.70374, 1.239707, -1.341105e-07, 0, 0, 0, 0, 0
8.193695751433328, 0, 38.75859, 16.6179, -1.341105e-07, 0, 0, 0, 0, 0
8.293618870353246, 0, 36.9064, 15.86579, -1.192093e-07, 0, 0, 0, 0, 0
8.393541989273164, 0, 35.14272, 15.14771, -1.192093e-07, 0, 0, 0, 0, 0
8.493465108193083, 0, 33.46332, 21.43313, -1.192093e-07, 0, 0, 0, 0, 0
8.593388227113001, 0, 31.86418, 22.10762, -1.043081e-07, 0, 0, 0, 0, 0
8.693311346032921, 0, 30.34146, 48.08887, -1.192093e-07, 0, 0, 0, 0, 0
8.793234464952839, 0, 28.8915, 45.9124, -1.043081e-07, 0, 0, 0, 0, 0
8.893157583872757, 0, 27.51084, 57.81256, -1.043081e-07, 0, 0, 0, 0, 0
8.993080702792676, 0, 26.19615, 55.196, -8.195639e-08, 0, 0, 0, 0, 0
9.093003821712594, 0, 24.94429, 52.69786, -7.450581e-08, 0, 0, 0, 0, 0
9.192926940632514, 0, 23.75226, 50.31279, -6.705523e-08, 0, 0, 0, 0, 0
9.292850059552432, 0, 22.61719, 48.03566, -6.705523e-08, 0, 0, 0, 0, 0
9.39277317847235, 0, 21.53636, 45.8616, -6.705523e-08, 0, 0, 0, 0, 0
9.492696297392269, 0, 20.50718, 43.78593, -6.705523e-08, 0, 0, 0, 0, 0
9.592619416312187, 0, 19.52719, 41.8042, -5.960464e-08, 0, 0, 0, 0, 0
9.692542535232107, 0, 18.59402, 55.90658, -5.215406e-08, 0, 0, 0, 0, 0
9.792465654152025, 0, 17.70545, 53.37628, -5.215406e-08, 0, 0, 0, 0, 0
9.892388773071945, 0, 16.85935, 50.96051, -4.470348e-08, 0, 0, 0, 0, 0
9.992311891991863, 0, 16.05367, 48.65406, -5.215406e-08, 0, 0, 0, 0, 0
10.09223501091178, 0, 15.2865, 46.45201, -4.470348e-08, 0, 0, 0, 0, 0
10.1921581298317, 0, 14.55599, 44.34962, -3.72529e-08, 0, 0, 0, 0, 0
10.29208124875162, 0, 13.86039, 42.34238, -3.72529e-08, 0, 0, 0, 0, 0
10.39200436767154, 0, 13.19803, 40.42599, -3.352761e-08, 0, 0, 0, 0, 0
10.49192748659146, 0, 12.56733, 38.59633, -3.352761e-08, 0, 0, 0, 0, 0
10.59185060551137, 0, 11.96676, 36.84948, -2.607703e-08, 0, 0, 0, 0, 0
10.69177372443129, 0, 11.39489, 35.1817, -2.607703e-08, 0, 0, 0, 0, 0
10.79169684335121, 0, 10.85036, 33.58939, -2.607703e-08, 0, 0, 0, 0, 0
10.89161996227113, 0, 10.33184, 32.06916, -2.235174e-08, 0, 0, 0, 0, 0
10.99154308119105, 0, 9.838102, 30.61773, -2.235174e-08, 0, 0, 0, 0, 0
11.09146620011097, 0, 9.36796, 29.23199, -2.607703e-08, 0, 0, 0, 0, 0
11.19138931903089, 0, 8.920285, 27.90896, -2.235174e-08, 0, 0, 0, 0, 0
11.2913124379508, 0, 8.494003, 33.94, 19.59432, 0, 0, 0, 0, 0
