 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C029, C030, C033, C040, C047, C074, C081, C083, C093, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
94.40000000000001, 238.3799, 519.0582, 1.369028, 100.5793, 4405.055, 323.9775, 48.55382, 265.4525, 888.476, 2095.397, 689.7158, 407.2205, 140.958, 1609.979, 1199.086, 811.4745, 394.275, 156.4572, 508.0348, 972.7426, 247.3313, 324.5201, 759.2027, 377.5468, 998.8478, 262.7139, 323.5929, 1.949369, 80.62467, 350.3354, 271.7794, 196.5608, 1086.214, 1239.781, 2088.96, 459.078, 1056.337, 1407.282
94.5, 227.6044, 486.768, 1.310682, 96.13274, 4234.268, 308.9624, 46.12286, 253.1318, 832.9512, 2113.47, 652.138, 387.8301, 132.3286, 1530.349, 1137.813, 782.9943, 557.8073, 149.8999, 482.2536, 916.1852, 229.5671, 304.7535, 845.7221, 355.2411, 1124.821, 246.394, 307.1278, 1.870342, 77.32005, 429.7219, 260.6602, 188.375, 1033.75, 1221.894, 2038.387, 545.1756, 1007.444, 1350.016
94.59999999999999, 217.316, 456.4867, 1.254823, 91.88279, 4227.924, 294.6432, 43.8136, 241.383, 809.4314, 2015.959, 692.2219, 369.363, 124.2275, 1567.308, 1079.672, 789.8488, 636.2029, 143.6174, 457.7808, 862.9163, 213.0788, 286.1909, 793.6901, 471.9236, 1076.538, 231.0879, 291.5005, 1.794519, 74.15089, 423.8643, 249.9958, 206.0458, 983.8194, 1269.236, 1940.697, 519.1171, 960.8146, 1295.081
94.7, 207.4927, 488.7569, 1.201344, 87.82072, 4083.404, 280.9877, 41.61997, 230.1795, 833.1193, 1956.417, 654.5076, 351.7752, 116.6224, 1618.273, 1024.501, 750.4648, 606.7373, 137.5982, 434.5499, 920.2064, 197.7747, 268.759, 795.318, 444.0421, 1030.328, 216.7327, 276.6683, 1.72177, 71.11162, 405.0478, 239.7678, 197.4649, 936.3006, 1228.367, 1988.199, 494.3042, 916.3434, 1317.538
94.8, 198.1134, 458.3518, 1.150145, 83.93824, 4096.966, 267.965, 39.53616, 219.496, 781.054, 1847.715, 618.8481, 378.3284, 109.4828, 1538.233, 972.1498, 713.0447, 578.6364, 131.8313, 412.4979, 866.7036, 183.5699, 252.3889, 746.3871, 417.8079, 986.1021, 203.2692, 262.5908, 1.65197, 68.19691, 387.0666, 229.9583, 297.2674, 891.077, 1164.561, 1892.914, 470.6773, 873.9305, 1263.924
94.90000000000001, 189.1581, 429.8381, 1.101127, 80.22739, 3932.007, 255.5459, 37.55669, 209.3084, 747.3184, 1970.18, 585.1314, 360.3137, 102.7803, 1529.313, 922.4735, 677.4904, 551.837, 126.3061, 391.5649, 816.3115, 170.3852, 237.0158, 700.4666, 393.1236, 1068.807, 190.642, 249.2296, 1.585, 65.40168, 413.217, 443.6528, 284.8876, 848.0377, 1256.916, 1844.295, 448.1797, 850.8871, 1212.492
95, 180.6076, 403.0983, 1.054199, 76.6806, 3904.984, 243.7024, 35.67632, 199.5936, 732.3484, 1869.624, 553.2517, 343.1569, 96.48815, 1596.391, 875.3356, 643.7089, 526.2789, 121.0125, 452.5949, 768.8494, 158.1476, 222.5791, 657.3712, 441.8885, 1022.929, 300.2582, 236.5483, 1.520744, 62.72102, 394.8731, 425.5017, 273.0233, 807.0771, 1239.304, 1989.011, 565.3071, 811.5038, 1163.153
95.09999999999999, 172.4436, 378.0219, 1.009271, 73.29061, 3792.781, 273.7308, 33.8901, 190.3297, 686.5807, 1829.668, 523.1089, 341.3943, 90.58119, 1535.098, 830.6065, 668.7006, 501.9044, 115.9407, 429.6271, 724.1468, 146.7889, 278.3887, 719.7406, 468.1016, 979.0201, 281.606, 224.5122, 1.459094, 113.3362, 377.3436, 481.3754, 261.6532, 768.095, 1174.93, 1893.687, 538.2864, 820.4918, 1168.808
95.2, 164.6487, 354.5056, 0.966257, 70.05049, 3774.696, 281.1942, 32.19331, 181.4958, 643.6732, 1813.803, 494.6084, 325.1383, 85.03586, 1516.663, 788.163, 635.3574, 492.5983, 111.0815, 481.2595, 735.2155, 136.246, 261.432, 675.4595, 440.446, 1002.934, 264.1126, 213.0885, 1.399943, 108.6908, 360.5923, 461.681, 250.7566, 812.8423, 1113.899, 1838.596, 512.5572, 782.5154, 1121.246
95.3, 157.2061, 332.4521, 0.9250766, 66.95361, 3735.058, 268.1619, 30.58148, 173.0719, 603.4472, 1783.738, 508.5133, 309.6563, 79.83, 1591.129, 837.3794, 603.6768, 469.7837, 106.4259, 456.8371, 751.4529, 126.4603, 245.5081, 673.6835, 414.4242, 1038.795, 247.7058, 202.2461, 1.343189, 104.2358, 459.185, 442.7923, 240.3137, 832.2184, 1230.63, 1951.74, 529.0886, 811.491, 1189.105
95.40000000000001, 150.0999, 311.7705, 0.8856513, 63.99364, 3698.807, 274.3777, 29.05034, 165.0389, 565.7351, 1713.402, 480.808, 325.0206, 74.94285, 1512.431, 794.5898, 573.5758, 448.0258, 101.9655, 433.6541, 791.0587, 239.3864, 230.5542, 632.236, 389.9398, 994.2053, 232.3183, 270.575, 1.288737, 113.4025, 438.8004, 424.6765, 230.3058, 792.022, 1166.706, 1893.373, 503.799, 774.8531, 1140.717
95.5, 143.315, 292.3756, 0.8479062, 61.16454, 3718.766, 283.2497, 27.59587, 157.3789, 530.3798, 1639.483, 516.5339, 309.5443, 70.35488, 1594.511, 753.9867, 544.9758, 459.4908, 97.69198, 411.6476, 785.4658, 222.1928, 216.5111, 593.3384, 454.9037, 1104.888, 217.8866, 269.252, 1.236492, 108.7544, 419.3209, 407.3018, 220.7146, 753.7671, 1153.912, 1850.453, 479.7183, 738.9891, 1183.998
95.59999999999999, 136.8367, 341.6033, 0.8117697, 58.4605, 3543.028, 270.1222, 26.21421, 150.0743, 549.3785, 1670.902, 488.3917, 294.8048, 66.04779, 1649.297, 715.4584, 517.8018, 438.2096, 93.5976, 390.7578, 739.7971, 206.2341, 203.3234, 692.489, 467.3582, 1057.461, 204.3514, 285.3014, 1.186365, 104.2968, 400.706, 505.7001, 211.5229, 744.8806, 1093.973, 1907.182, 456.7885, 704.785, 1135.818
95.7, 238.8895, 320.3524, 0.7771733, 55.876, 3511.625, 257.6031, 24.90173, 143.1088, 515.0453, 1583.026, 461.7827, 280.7673, 62.00438, 1618.811, 678.8989, 567.0607, 417.9141, 89.67481, 479.3806, 696.7836, 191.4217, 190.9389, 649.8845, 439.7465, 1012.07, 191.657, 282.1696, 1.13827, 100.0219, 382.9175, 552.2462, 202.7139, 738.1697, 1122.502, 1815.78, 491.2217, 760.092, 1089.599
95.8, 228.091, 386.7377, 0.7440514, 53.40577, 3548.371, 245.6643, 23.65497, 136.4666, 493.7022, 1588.062, 513.0233, 267.3981, 58.2085, 1538.744, 644.2076, 538.7856, 429.2407, 85.91644, 455.0535, 656.2711, 177.6731, 225.0983, 609.9011, 492.5074, 1026.037, 270.2574, 339.5994, 1.092125, 95.92225, 365.9188, 529.6523, 194.2718, 702.5159, 1064.194, 1853.605, 467.7422, 724.9113, 1079.978
95.90000000000001, 217.7807, 362.6791, 0.7123411, 51.04474, 3477.089, 234.2787, 22.47062, 130.1326, 519.9372, 1827.941, 538.8405, 275.4292, 153.8984, 1462.637, 611.2889, 634.1702, 409.3606, 82.31557, 459.6972, 843.1686, 164.912, 214.2643, 720.6202, 537.3887, 1134.271, 253.4689, 322.3199, 1.047851, 91.99062, 361.9676, 507.9827, 186.1813, 668.5842, 1088.752, 1767.649, 541.1052, 691.3588, 1036.031
96, 207.9363, 340.1172, 0.6819822, 48.78809, 3462.206, 223.4208, 199.3418, 124.0927, 511.2735, 1785.428, 509.4828, 329.2346, 144.4768, 1463.375, 644.2652, 835.0447, 390.4012, 150.1897, 464.7792, 843.1202, 153.0675, 282.6515, 728.7471, 573.2746, 1085.583, 352.194, 424.7117, 1.005371, 88.22014, 352.1237, 487.1997, 178.4277, 636.2913, 1127.316, 1804.022, 515.2413, 659.3593, 993.8719
96.09999999999999, 198.537, 372.502, 0.6529172, 46.63121, 3373.23, 213.0662, 189.3613, 118.3331, 479.3217, 1783.048, 556.6254, 313.5576, 223.3329, 1487.901, 611.3436, 793.4072, 372.3198, 262.6855, 441.1931, 794.0994, 142.0736, 265.4352, 725.6642, 539.4053, 1150.622, 330.3156, 403.1014, 0.9646137, 84.6042, 336.4919, 467.267, 313.5311, 648.5111, 1068.759, 1758.555, 490.6136, 628.8409, 1034.1
