 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
200.1, 1230.502, 1032.196, 1752.183, 0.3702281, 83.39371, 251.0533, 2027.092, 1974.031, 0.005685466, 1215.189, 1154.175, 6155.361, 2163.165, 7146.326, 844.0964, 903.1074, 839.8461, 376.2844, 666.5166, 599.8306, 1648.624, 0.6271886, 549.2838, 0.166023, 19.41744, 0.2865292, 0.007862292, 433.5381, 1130.519, 0.0002904576, 701.882, 894.8969, 1144.327, 1041.185, 0.7020691, 808.0954, 8.221889, 2932.07, 3000.71, 0.07531179
200.2, 1177.638, 986.9595, 2039.398, 0.3541325, 79.40681, 240.2458, 2167.243, 2025.807, 0.005438983, 1280.548, 1118.331, 6350.565, 2303.01, 7159.283, 894.1623, 945.7568, 795.0312, 444.0605, 691.6204, 726.6311, 1729.803, 0.5976157, 526.1294, 0.1589062, 18.46398, 0.2735204, 0.007502108, 474.7141, 1201.368, 0.0002778913, 668.3669, 1035.671, 1093.751, 1100.884, 0.6695831, 928.6453, 7.881883, 2811.698, 3129.712, 0.07205005
200.3, 1373.109, 1374.037, 1953.426, 0.3387368, 75.61052, 229.9035, 2133.729, 2028.415, 0.005203185, 1226.581, 1069.839, 6361.142, 2357.222, 7160.249, 919.8606, 904.6024, 752.6076, 486.4916, 1044.782, 771.3307, 1711.791, 0.5694372, 503.951, 0.1520946, 17.55733, 0.2611021, 0.007158425, 453.0831, 1254.018, 0.0002658686, 719.2274, 988.7513, 1045.41, 1137.989, 0.6386002, 884.3168, 7.555936, 2913.596, 3116.45, 0.06892958
200.4, 1597.373, 1313.819, 2027.301, 0.3240103, 71.99572, 220.0065, 2045.744, 1940.42, 0.00497761, 1174.889, 1210.517, 6391.173, 2501.831, 7196.147, 878.7269, 899.6616, 813.7247, 464.4284, 1000.234, 747.1446, 1747.724, 0.5425873, 482.7076, 0.1455749, 16.69521, 0.2492477, 0.006830487, 432.4378, 1198.625, 0.0002543661, 807.9771, 1063.96, 1241.08, 1109.112, 0.609051, 842.1042, 7.243469, 2933.489, 3257.059, 0.06594425
200.5, 1891.62, 1435.504, 2045.571, 0.3099241, 68.55373, 210.5355, 2156.008, 1997.684, 0.004761815, 1125.376, 1158.028, 6680.157, 2484.538, 7294.371, 918.6794, 950.4084, 906.7084, 443.3658, 957.585, 838.9453, 1858.663, 0.5170035, 514.7881, 0.1393347, 15.87542, 284.139, 0.006517572, 412.7332, 1232.829, 0.0002433612, 769.3958, 1044.283, 1243.874, 1061.249, 0.5808691, 801.9067, 6.943923, 3032.273, 3432.605, 0.06308822
200.6, 1903.591, 1604.287, 2220.651, 0.2964503, 65.27631, 201.4722, 2261.556, 1926.581, 0.004555375, 1077.949, 1209.122, 7155.5, 2611.193, 7534.345, 970.6978, 909.0516, 858.3256, 423.2583, 916.7549, 904.5704, 1957.302, 0.492626, 584.2004, 0.133362, 15.09588, 283.2198, 0.006218992, 528.4412, 1178.372, 0.0002328325, 807.3105, 1247.377, 1281.582, 1015.451, 0.5539912, 763.6281, 6.656765, 3091.64, 3288.886, 0.06035588
200.7, 1892.304, 1560.203, 2159.815, 0.2835622, 566.5372, 296.8052, 2227.054, 2244.998, 0.004357885, 1085.475, 1532.707, 6935.129, 2730.822, 7363.131, 1034.594, 992.423, 973.8467, 557.7194, 877.6657, 865.5197, 1990.957, 0.4693979, 614.4376, 0.1276453, 14.35462, 357.7599, 0.00593409, 504.362, 1170.32, 0.0002227592, 868.7094, 1190.866, 1287.221, 1303.657, 0.528357, 727.1766, 6.381483, 3076.089, 3548.061, 0.05774187
200.8, 1945, 1832.925, 2198.328, 0.2712344, 616.241, 284.0281, 2135.22, 2150.991, 0.004168957, 1193.673, 1615.214, 6874.427, 2721.228, 7378.106, 988.3293, 986.5136, 921.8814, 532.4258, 840.2432, 866.499, 1908.531, 0.447265, 588.5367, 0.1221737, 13.64976, 398.4923, 0.005662241, 481.38, 1170.652, 0.0002131218, 827.2281, 1136.915, 1313.748, 1303.013, 0.5039089, 692.4651, 6.117584, 3241.523, 3488.999, 0.05524108
200.9, 1894.725, 1752.596, 2296.473, 0.2594426, 751.1721, 271.8011, 2217.856, 2057.679, 0.003988219, 1164.457, 1545.177, 7115.533, 2708.05, 7475.065, 1062.608, 1017.567, 872.689, 508.2794, 804.4164, 1062.641, 2015.719, 0.4261758, 584.8057, 0.1169366, 12.97951, 380.4001, 267.0379, 459.4453, 1118.941, 0.0002039013, 787.7277, 1085.408, 1425.198, 1246.782, 0.4805921, 659.4105, 5.864598, 3136.402, 3424.043, 0.0528486
201, 1813.325, 1675.787, 2420.761, 0.2481634, 976.8928, 260.1004, 2296.826, 2074.695, 0.003815317, 1115.383, 1612.065, 7037.881, 2922.473, 7330.667, 1071.769, 973.2878, 901.868, 485.228, 770.1171, 1044.646, 1951.439, 0.4060809, 638.8724, 0.111924, 12.34217, 363.1294, 322.9968, 503.4002, 1069.515, 0.0001950797, 750.1133, 1036.234, 1425.593, 1301.57, 0.4583542, 627.9338, 5.622074, 3225.079, 3586.47, 0.05055974
