 , C001, C002, C011, C012, C014, C016, C017, C021, C022, C023, C025, C026, C028, C031, C035, C036, C039, C040, C042, C044, C049, C050, C051, C055, C058, C059, C061, C064, C069, C075, C079, C080, C081, C084, C085, C088, C094, C099, C100, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 0, 0, 131.6387, 0, 0, 36.0368, 0, 126.0059, 61.66504, 17.36917, 0, 3.092133, 52.2821, 0, 142.2804, 0, 0, 98.29456, 0, 0, 20.84167, 49.26233, 83.70898, 155.5845, 0, 110.5891, 21.45526, 178.9642, 0, 0, 0, 0, 0, 198.8422, 88.88843, 0, 92.20459, 39.31116, 28.32056
0.2, 0, 0, 0, 125.9158, -1.525879e-05, 0, 34.55078, 22.12354, 203.8529, 166.3488, 16.61603, 3.051758e-05, 2.963623, 50.17194, 36.24011, 158.2822, 0, 48.38971, 94.10345, -1.525879e-05, 0, 19.85895, 47.18576, 256.5278, 147.9448, 90.99011, 134.9133, 20.47763, 171.0588, 103.9763, -6.103516e-05, 57.80652, 0, 136.2383, 189.6414, 218.2755, 160.5424, 304.2247, 37.66528, 126.4736
0.3, 0, 0, 0, 120.4417, 0, 11.89557, 33.12607, 21.16376, 195.0153, 229.7345, 115.3044, 40.681, 22.51746, 48.14694, 56.12158, 257.6018, 7.629395e-06, 64.96619, 90.091, 0, 0, 92.80811, 90.05627, 331.0216, 140.6802, 86.85895, 128.7327, 89.02527, 364.0635, 114.7621, 184.2545, 108.4568, 0, 198.9309, 281.1103, 207.8563, 331.3671, 291.7351, 142.819, 277.9463
0.4, 0, 0, 0, 128.6143, 0, 24.58954, 31.7601, 20.2457, 186.5607, 220.0529, 110.3047, 39.02777, 43.95541, 46.20366, 174.4377, 367.0247, 7.629395e-06, 62.01984, 193.3057, -1.525879e-05, 0, 88.43207, 154.7006, 389.0518, 258.0491, 169.423, 122.8352, 172.637, 347.9821, 109.7971, 175.4562, 103.5433, 0, 207.2899, 301.5821, 224.3749, 317.6638, 322.2717, 136.8392, 347.5298
0.5, 0, 0, 0, 123.0228, 0, 23.53094, 302.1531, 19.36743, 178.4727, 374.7952, 105.5217, 37.44171, 42.12827, 44.33882, 239.0497, 351.0537, 7.629395e-06, 161.6785, 260.2963, -1.525879e-05, 0, 174.9225, 148.1794, 440.5961, 272.9979, 161.7309, 199.7793, 164.7706, 351.2319, 222.461, 273.9073, 98.85242, 1.525879e-05, 243.2676, 287.6273, 308.577, 473.9299, 474.4813, 131.11, 332.4783
0.6, 0, 0, 0, 155.0872, 0, 163.5766, 289.6936, 18.52725, 268.3063, 359.0002, 100.9462, 35.9201, 40.37708, 133.961, 228.3599, 335.7777, 7.629395e-06, 209.7056, 249.1976, -1.525879e-05, 0, 166.6746, 141.933, 517.2151, 276.4466, 154.3881, 190.6271, 157.2626, 355.8801, 360.3049, 260.8281, 254.0601, 1.525879e-05, 309.9945, 274.3182, 311.0446, 454.3311, 521.574, 125.6206, 318.0786
0.7, 0, 0, 0, 179.5713, 7.629395e-06, 156.5349, 277.7479, 17.72351, 288.4672, 376.3916, 159.3056, 77.30792, 38.69868, 128.5541, 218.1483, 461.3022, 7.629395e-06, 200.1951, 238.5722, -1.525879e-05, 0, 158.8157, 135.95, 543.3461, 281.4512, 147.3787, 181.8942, 150.0967, 409.7727, 403.4612, 248.3735, 242.5502, 1.525879e-05, 376.1192, 279.4466, 363.9402, 467.2169, 663.9663, 314.5582, 488.5121
0.8, 0, 0, 0, 197.2295, 7.629395e-06, 149.7963, 266.2948, 16.95465, 311.5439, 360.5293, 232.6194, 74.1662, 78.36198, 123.3655, 303.424, 441.2288, 0, 191.116, 274.3209, -1.525879e-05, 0, 151.3273, 130.2192, 604.1467, 267.631, 205.0468, 173.5614, 143.2574, 391.672, 386.0059, 267.4626, 231.5616, 1.525879e-05, 359.8881, 307.8698, 377.764, 507.4149, 636.7079, 301.388, 467.3547
0.9, 0, 0, 0, 188.655, 7.629395e-06, 197.1388, 255.314, 16.21915, 298.0375, 473.5295, 222.5327, 71.15213, 75.10463, 118.3863, 390.4509, 516.875, 0, 182.4485, 262.6241, 0, 0, 198.6099, 152.7365, 691.386, 304.4958, 195.7374, 165.6103, 136.7296, 522.64, 434.3646, 335.2462, 221.0709, 1.525879e-05, 344.3574, 293.6241, 359.7316, 602.0289, 698.4193, 288.7692, 554.3281
1, 0, 0, 0, 254.0278, 7.629395e-06, 188.6522, 244.786, 52.54483, 452.4971, 553.9709, 244.3497, 80.86526, 71.98268, 113.6081, 489.5326, 550.5229, -3.814697e-06, 174.1741, 290.8087, 0, 0, 237.1934, 220.1722, 661.749, 310.0465, 280.2618, 158.0234, 130.4993, 566.6509, 415.5723, 497.4092, 365.6884, 2.288818e-05, 405.3986, 332.2903, 466.462, 680.1456, 781.4059, 276.6788, 530.3203
1.1, 0, 0, 0, 242.9841, 0, 359.251, 234.6921, 56.04642, 432.8799, 613.1833, 233.7544, 141.7637, 110.2421, 166.042, 467.642, 607.6851, -3.814697e-06, 242.2405, 278.4091, -7.629395e-06, 0, 226.0093, 210.8911, 790.4628, 323.7111, 267.5376, 255.2496, 124.5529, 603.1807, 397.593, 473.6577, 510.0074, 169.3245, 505.8292, 394.0742, 454.5122, 652.0189, 779.5964, 265.0945, 622.1815
1.2, 0, 0, 0, 270.6474, 0, 343.7858, 225.0144, 53.61502, 533.3432, 587.3419, 349.5041, 136.0024, 114.3567, 159.3404, 526.2391, 595.3963, -3.814697e-06, 269.9066, 266.5381, 0, 0, 287.2148, 202.0012, 756.5787, 400.6903, 255.391, 243.5562, 118.8775, 613.1646, 380.3915, 538.1346, 515.7811, 247.7529, 505.4097, 398.0358, 509.8204, 847.9288, 747.5911, 449.3757, 634.3608
1.3, 0, 0, 0, 292.4135, 235.4668, 328.9862, 215.7358, 63.54309, 643.1978, 656.7057, 334.3491, 130.4754, 222.4905, 152.9092, 610.6791, 676.0059, -3.814697e-06, 289.9914, 450.8736, 7.629395e-06, 0, 273.6722, 193.4861, 821.5863, 468.3441, 243.7959, 232.3986, 113.4607, 657.8921, 363.9343, 623.1882, 492.4141, 236.8029, 519.833, 379.618, 601.431, 958.5115, 848.5162, 430.5609, 754.4221
1.4, 6.697264, 0, 0, 326.6748, 338.9591, 342.3188, 206.8398, 158.288, 650.8757, 629.0299, 319.8514, 175.9789, 221.0061, 211.1419, 629.0909, 707.9839, -3.814697e-06, 338.1816, 515.9232, 0, 0, 298.5743, 262.7088, 814.7506, 445.3468, 316.9501, 221.752, 108.2907, 628.8314, 400.1899, 593.4307, 499.5782, 255.4076, 497.4, 362.0523, 599.4319, 1086.235, 868.749, 412.5338, 744.0782
1.5, 21.92881, 0, 0, 312.4727, 495.2882, 327.5825, 198.3106, 187.0627, 622.6581, 740.8465, 359.9252, 168.8272, 254.7902, 202.6199, 645.3278, 700.679, 0, 322.8445, 493.9249, 7.629395e-06, 0, 372.3884, 251.6346, 998.1273, 423.4788, 427.9489, 333.5387, 207.1864, 601.0544, 574.9252, 583.6824, 476.9454, 268.802, 475.9351, 504.0543, 631.9165, 1464.618, 905.7635, 395.2615, 797.331
1.6, 20.98672, 0, 0, 298.8881, 631.0667, 313.4805, 190.1331, 178.9477, 595.6639, 709.6248, 344.3184, 202.0498, 276.3277, 194.4419, 780.7803, 694.4226, -3.814697e-06, 308.2029, 472.8646, 7.629395e-06, 0, 389.5546, 241.0273, 955.3417, 402.6846, 408.5194, 428.041, 197.7457, 741.3812, 550.0517, 662.2991, 455.3378, 302.1041, 490.7202, 494.5538, 710.3839, 1628.837, 1036.277, 553.817, 860.2109
1.7, 20.08511, 0, 0, 285.894, 817.7799, 299.9855, 182.2929, 171.1848, 723.4786, 878.722, 329.3884, 193.8386, 404.2722, 299.8844, 745.866, 789.3084, -3.814697e-06, 327.1662, 548.7584, 7.629395e-06, 0, 393.1024, 230.8671, 1059.463, 382.9114, 430.1375, 461.3198, 188.7351, 708.6325, 526.2543, 630.6741, 596.7285, 288.7519, 499.6036, 584.0354, 697.683, 1912.154, 993.7338, 530.6295, 897.6116
1.8, 19.22223, 0, 0, 273.4649, 843.8851, 341.3944, 174.7759, 163.7586, 737.345, 882.2968, 315.1057, 196.5821, 403.1611, 287.7806, 829.6165, 834.8153, 0, 346.2542, 525.3601, 1.525879e-05, 0, 422.294, 221.1352, 1176.648, 364.109, 458.0779, 452.9096, 180.1351, 832.045, 577.1872, 600.5591, 569.6942, 275.9899, 546.4453, 581.9916, 664.3794, 2038.88, 1045.001, 617.2012, 858.7363
1.9, 18.39642, 0, 0, 261.5762, 803.5405, 436.6259, 167.5689, 156.6546, 725.8556, 903.5401, 384.7644, 265.7211, 389.9648, 276.1654, 894.6415, 816.2542, 0, 390.1035, 502.9594, 1.525879e-05, 0, 402.3822, 211.8135, 1126.21, 346.23, 508.9761, 531.4317, 171.927, 795.2915, 552.2158, 633.7872, 639.6042, 293.2878, 556.4252, 555.0618, 764.2528, 1997.652, 1128.665, 591.3597, 979.1785
2, 17.60608, 0, 0, 302.3149, 765.1247, 455.5087, 160.6591, 149.8587, 694.3875, 955.4674, 469.3406, 254.9223, 373.7547, 265.019, 854.6356, 780.7352, -3.814697e-06, 372.4117, 481.5139, 1.525879e-05, 0, 467.3066, 202.8847, 1279.404, 329.229, 485.8678, 507.086, 264.7676, 760.1616, 570.3591, 626.1691, 610.6276, 349.6954, 532.4131, 549.1603, 727.7715, 2076.208, 1111.687, 566.6002, 936.7704
2.1, 16.84971, 0, 0, 289.1719, 728.5455, 435.8996, 154.0343, 143.3577, 831.3855, 963.1961, 448.9894, 244.5625, 427.1727, 254.3225, 876.2089, 791.9554, -3.814697e-06, 355.5221, 460.9828, 1.525879e-05, 0, 445.2724, 194.3324, 1268.49, 540.5445, 551.1232, 483.8557, 338.6415, 815.4249, 545.6832, 657.333, 607.6891, 334.2399, 622.4703, 573.1879, 788.8948, 2061.026, 1097.837, 542.8773, 942.938
2.2, 54.35609, 0, 0, 276.6003, 873.1888, 417.1347, 147.6826, 137.1387, 823.1718, 922.604, 429.5208, 251.2103, 480.3365, 244.0577, 928.2925, 784.0671, -1.907349e-06, 339.3985, 441.3271, 7.629395e-06, 0, 424.2771, 238.4931, 1243.86, 514.002, 613.4736, 491.4957, 323.2108, 817.7993, 569.9866, 741.2938, 650.5284, 319.4674, 599.2375, 546.6654, 784.864, 2131.273, 1153.606, 520.1478, 902.0995
2.3, 52.02089, 0, 0, 297.6825, 1011.294, 523.5101, 141.5928, 131.1895, 867.8472, 883.7226, 424.1068, 247.264, 495.152, 234.2072, 886.7817, 877.1738, -1.907349e-06, 324.0063, 422.5095, 0, 0, 404.2718, 228.4397, 1250.175, 488.7626, 585.621, 541.9976, 430.3421, 781.675, 558.785, 705.8967, 621.0569, 305.3478, 669.3041, 567.6994, 798.6586, 2077.117, 1106.246, 498.3698, 1038.297
2.4, 49.78601, 0, 0, 311.2566, 962.9458, 500.9737, 135.7541, 125.4984, 830.2231, 846.4797, 405.7171, 259.8828, 511.0444, 224.7543, 918.927, 839.0038, -1.907349e-06, 309.312, 404.4943, 0, 0, 385.2097, 218.8101, 1301.265, 464.7627, 559.033, 517.1678, 458.3858, 747.1465, 534.6099, 672.1898, 663.2721, 291.8523, 640.4208, 733.7424, 760.535, 2205.87, 1208.651, 646.4902, 993.3288
2.5, 80.98548, 0, 0, 297.7249, 1095.756, 598.698, 130.1562, 120.0541, 883.5751, 920.3811, 467.1564, 249.3213, 489.8013, 215.683, 1036.175, 878.4928, 122.6302, 295.2842, 387.2472, 0, 0, 433.7468, 209.5864, 1362.788, 441.9413, 533.652, 531.9195, 437.4988, 828.8185, 565.7682, 721.8414, 766.0577, 278.9533, 654.7888, 699.7909, 745.5759, 2297.318, 1159.031, 737.735, 950.3079
2.6, 77.50625, 0, 0, 307.4664, 1043.37, 572.9249, 124.7891, 259.2787, 845.2693, 915.4077, 446.9, 313.5076, 515.9494, 206.9777, 1027.198, 884.2014, 116.0865, 329.2023, 370.7355, 3.814697e-06, 0, 413.295, 338.2167, 1304.371, 516.6674, 603.6621, 566.307, 468.7441, 792.2076, 589.5449, 687.3732, 731.3522, 266.6243, 626.5319, 667.4103, 709.9862, 2202.315, 1152.543, 706.8469, 909.1503
2.7, 94.55786, 0, 0, 294.0995, 993.4888, 548.2612, 336.8051, 248.0309, 808.6241, 876.8295, 492.7033, 300.7668, 548.2905, 198.6238, 1014.152, 879.5641, 183.5022, 314.2725, 454.3668, 3.814697e-06, 0, 393.8074, 323.9596, 1325.813, 596.9141, 576.255, 540.3636, 500.8849, 862.1012, 576.761, 687.9169, 750.2804, 254.8403, 599.4943, 636.528, 791.3389, 2194.907, 1306.845, 791.0929, 926.6608
2.8, 90.49554, 0, 0, 281.3136, 945.9919, 658.3234, 322.9167, 305.288, 898.7278, 913.8417, 471.3392, 288.5438, 525.4991, 190.6071, 968.8017, 841.2901, 267.8112, 429.8264, 434.9931, 0, 0, 375.2388, 349.1711, 1288.286, 585.8894, 550.0922, 565.6011, 478.0614, 824.0201, 604.8017, 702.1213, 737.0088, 243.577, 599.988, 752.7321, 897.4071, 2244.682, 1335.762, 757.9708, 1042.937
2.9, 182.4816, 0, 0, 269.0836, 900.7657, 629.9835, 309.601, 334.223, 859.765, 947.4198, 450.9014, 276.8176, 503.6551, 182.9139, 1061.009, 804.6816, 253.5205, 449.8607, 489.6904, 3.814697e-06, 0, 463.6814, 334.4521, 1300.871, 635.834, 525.1171, 539.69, 456.2778, 813.3317, 617.9827, 668.5947, 759.1189, 232.8116, 619.5648, 717.9019, 854.5697, 2214.856, 1376.179, 726.2356, 1175.042
3, 174.642, 0, 0, 257.3853, 857.7017, 635.6986, 296.8344, 367.4931, 908.54, 907.4924, 454.1523, 265.5679, 482.7191, 175.5313, 1103.546, 769.6662, 239.9925, 429.4587, 468.8106, 3.814697e-06, 0, 441.8181, 398.4776, 1390.275, 711.7532, 541.1537, 514.9659, 463.6913, 824.0002, 724.1772, 783.4966, 724.7278, 222.522, 620.7901, 684.6832, 860.4436, 2327.553, 1319.682, 850.1613, 1184.716
3.1, 167.1392, 0, 0, 254.3357, 899.4786, 679.8717, 284.5943, 351.5508, 869.152, 956.3037, 434.4597, 254.7753, 462.6534, 168.4466, 1092.035, 877.7126, 295.169, 448.1909, 508.1963, 3.814697e-06, 0, 420.9856, 381.6803, 1380.904, 676.8036, 575.3006, 491.3746, 442.5626, 864.728, 692.8466, 800.5116, 691.8946, 212.6871, 682.721, 653.0016, 907.8039, 2308.142, 1265.504, 814.566, 1161.021
3.2, 159.9587, 0, 0, 243.2786, 896.8486, 650.6041, 272.8589, 336.3002, 883.7944, 967.668, 415.6211, 244.4214, 443.4217, 161.6479, 1112.836, 883.6317, 436.7925, 427.8646, 516.0938, 3.814697e-06, 0, 401.1355, 365.5911, 1345.098, 703.5125, 646.2571, 569.4062, 422.3966, 826.5308, 731.3632, 762.2869, 787.2498, 203.2869, 653.2587, 622.786, 864.4702, 2240, 1305.273, 780.4611, 1163.245
3.3, 153.0867, 0, 0, 232.7021, 919.6851, 710.1719, 261.6074, 403.5618, 1059.906, 993.5741, 433.4815, 234.4883, 424.9895, 155.1235, 1181.11, 845.1807, 413.4849, 408.4602, 595.5872, 3.814697e-06, 0, 537.707, 350.18, 1344.484, 798.4816, 616.916, 543.3209, 468.0325, 1017.928, 699.7215, 755.3844, 751.5842, 265.4834, 717.9072, 748.5456, 823.2051, 2245.159, 1331.033, 747.7841, 1210.938
3.4, 183.0571, 0, 0, 222.5855, 1007.423, 690.8503, 334.168, 386.0549, 1049.395, 951.7017, 414.6853, 224.9588, 428.4795, 148.8625, 1160.491, 891.3518, 465.328, 389.9359, 570.1921, 3.814697e-06, 0, 552.7816, 335.4186, 1461.028, 828.0125, 588.907, 518.4305, 446.7059, 999.1735, 692.1268, 818.4169, 760.8666, 318.4702, 693.2809, 713.909, 826.1129, 2312.339, 1451.326, 830.1249, 1240.514
3.5, 175.1928, 0, 0, 254.6484, 959.2598, 661.1102, 376.5784, 369.3075, 1076.611, 1134.153, 396.7041, 289.1614, 513.0526, 142.8542, 1161.438, 901.5632, 440.4977, 487.4288, 654.1173, 3.814697e-06, 0, 667.6982, 378.9463, 1441.049, 787.3542, 562.1697, 494.6804, 426.3512, 981.9391, 862.4126, 779.3372, 772.1748, 361.6743, 766.4338, 680.8751, 786.6787, 2261.572, 1419.368, 889.6638, 1246.507
3.6, 167.6663, 0, 0, 243.5777, 913.3994, 741.2128, 361.05, 353.2866, 1058.342, 1086.356, 493.2712, 277.4101, 526.9399, 137.0885, 1176.86, 925.141, 452.0281, 465.323, 687.9927, 0, 0, 636.2152, 426.8017, 1494.499, 842.9989, 615.9324, 472.0183, 406.9239, 958.527, 825.1013, 808.2405, 747.545, 365.3701, 733.3589, 649.3698, 801.2245, 2362.483, 1437.981, 852.4146, 1192.521
3.7, 200.9874, 0, 26.72104, 232.9882, 1022.483, 795.1702, 346.1618, 337.9606, 1131.076, 1040.574, 471.8824, 274.8566, 579.0612, 257.3157, 1198.539, 904.6334, 427.9074, 526.1967, 785.4326, 0, 0, 606.2167, 412.9455, 1531.964, 882.2299, 647.8773, 450.3945, 388.3818, 941.9032, 823.0048, 795.1547, 804.1262, 349.2217, 701.7113, 640.0524, 762.9783, 2318.878, 1414.541, 889.6798, 1278.983
3.8, 257.1616, 0, 108.6274, 222.8591, 1026.375, 765.3188, 386.8367, 323.2995, 1163.617, 996.7207, 451.4211, 297.8541, 577.7503, 293.6392, 1200.594, 932.5754, 515.3488, 601.1764, 793.0181, 227.5459, 0, 577.6326, 419.2925, 1579.068, 1016.627, 655.1604, 429.7612, 429.4208, 999.8308, 840.3795, 834.0562, 929.7775, 407.5644, 671.4294, 691.3676, 726.5577, 2428.446, 1502.434, 957.5405, 1249.21
3.9, 246.1136, 0, 104.0482, 213.1704, 1042.911, 849.0957, 395.6002, 456.0517, 1292.418, 1055.991, 431.847, 327.9035, 619.8702, 281.7875, 1176.76, 995.7111, 487.8493, 573.912, 854.3326, 247.9303, 0, 550.3964, 401.6177, 1511.38, 966.7075, 625.4151, 410.0732, 409.8537, 999.717, 899.1173, 794.2296, 937.6384, 436.1663, 642.4544, 811.1991, 774.449, 2328.021, 1614.712, 984.4996, 1283.869
4, 272.6208, 0, 99.66203, 203.9029, 993.0511, 812.5432, 508.8581, 593.884, 1276.422, 1011.489, 506.0933, 361.4692, 594.1035, 270.4142, 1361.278, 1042.573, 526.5786, 547.8841, 817.905, 426.402, 0, 524.4443, 479.0281, 1724.058, 980.6583, 597.0203, 391.2871, 467.0015, 1130.795, 860.218, 756.3048, 895.1597, 464.8088, 720.5671, 896.6349, 737.481, 2312.695, 1658.598, 943.2799, 1228.265
4.1, 260.9087, 0, 95.46075, 195.0383, 945.5752, 880.1849, 586.0046, 724.9614, 1221.085, 1030.475, 484.1486, 346.7793, 574.7493, 327.1597, 1370.143, 997.2059, 663.1896, 523.0366, 812.3074, 407.994, 0, 499.7159, 555.5944, 1707.508, 1013.161, 739.9101, 471.7582, 445.722, 1080.845, 850.2279, 720.191, 941.4015, 444.2656, 689.4716, 909.4544, 726.8441, 2420.517, 1590.506, 903.7858, 1175.069
4.2, 249.6997, 0, 239.3043, 186.5591, 900.369, 905.1511, 561.8404, 963.0758, 1223.02, 987.0477, 490.9779, 332.6864, 550.8581, 364.7889, 1308.874, 1089.027, 724.7364, 580.3647, 777.6717, 390.3807, 0, 476.1535, 583.6821, 1771.021, 1037.529, 706.3171, 450.1462, 425.412, 1076.445, 826.0453, 685.8015, 1013.339, 517.3611, 689.2755, 1044.482, 825.0343, 2399.338, 1672.776, 865.9453, 1180.315
4.3, 238.9723, 0, 229.2164, 178.4485, 951.6838, 964.3279, 538.6725, 921.2965, 1169.998, 1058.873, 483.957, 353.1182, 527.96, 350.0656, 1250.344, 1114.711, 709.8489, 596.5203, 856.3441, 373.5277, 0, 453.7021, 559.0777, 1774.444, 986.5825, 674.2492, 429.5244, 406.0276, 1028.895, 868.7005, 653.0542, 967.4305, 494.4952, 659.5303, 1154.909, 804.4984, 2422.355, 1700.171, 960.6707, 1165.578
4.4, 228.7058, 0, 219.5537, 264.4125, 906.1856, 922.8149, 516.46, 898.5392, 1119.275, 1014.249, 486.8185, 338.7676, 506.0136, 335.9364, 1287.118, 1110.208, 671.9707, 587.6212, 878.0362, 357.4024, 0, 432.3094, 535.5104, 1698.381, 938.1379, 678.8055, 540.7489, 387.5264, 1068.465, 831.1171, 621.8707, 1036.492, 472.64, 648.8706, 1167.707, 766.0959, 2449.716, 1674.628, 920.4486, 1115.097
4.5, 218.8803, 0, 210.2983, 272.4922, 862.8625, 1010.548, 495.1635, 859.5596, 1106.792, 1047.064, 465.7095, 325.0003, 484.9796, 356.1596, 1299.63, 1099.482, 636.1138, 714.4202, 840.5979, 341.9731, 0, 411.9254, 512.9367, 1625.578, 1018.017, 709.09, 515.9764, 411.3246, 1076.794, 827.8403, 592.1761, 989.5347, 451.7506, 629.3306, 1150.354, 855.0051, 2618.798, 1688.341, 922.2853, 1128.767
4.6, 295.0315, 0, 201.4332, 260.6458, 821.6107, 967.0455, 474.7451, 822.2711, 1188.429, 1002.938, 445.5158, 311.7925, 465.3523, 365.7247, 1254.542, 1051.638, 632.2253, 697.4853, 871.1068, 327.21, 0, 392.5024, 491.3145, 1677.966, 1019.732, 676.8962, 492.3387, 423.2282, 1029.229, 792.0247, 563.8994, 974.8298, 431.7845, 625.7727, 1183.769, 814.1918, 2510.5, 1643.703, 937.5114, 1255.006
4.7, 282.3566, 0, 212.2558, 249.3143, 1045.37, 925.4155, 455.1687, 845.6342, 1197.927, 979.8724, 426.1977, 373.9179, 479.2798, 367.428, 1240.652, 1045.538, 743.7808, 665.8531, 833.9639, 313.0841, 0, 373.9953, 470.6037, 1718.464, 969.6592, 646.1641, 592.508, 439.6765, 1083.213, 757.7586, 646.2949, 1038.809, 412.7008, 598.7679, 1128.994, 865.7286, 2406.681, 1633.116, 898.2589, 1273.725
4.8, 293.6583, 0, 203.3081, 238.4754, 995.3924, 885.5775, 608.6724, 808.9497, 1145.993, 1081.003, 496.5681, 358.7221, 517.0226, 520.9153, 1257.633, 1000.042, 772.7023, 635.6555, 841.14, 299.5681, 0, 356.3608, 515.5275, 1795.601, 1024.607, 893.9414, 565.3643, 464.1238, 1131.819, 837.4205, 615.434, 1022.395, 394.4606, 590.8496, 1224.95, 824.4034, 2350.302, 1795.865, 983.459, 1218.56
4.9, 338.4988, 0, 310.5313, 228.1078, 947.8046, 922.0126, 583.5734, 773.8566, 1217.946, 1095.002, 475.0363, 365.4628, 534.8601, 499.8905, 1303.567, 1116.711, 921.8581, 625.394, 894.8969, 286.6356, 0, 339.5579, 493.796, 1850.197, 993.809, 934.1766, 727.5464, 467.0887, 1151.046, 814.3846, 752.8368, 976.0764, 498.7549, 714.4434, 1353.051, 857.1978, 2362.191, 1722.138, 1009.615, 1332.467
5, 345.7654, 0, 297.4407, 226.576, 902.4917, 978.4482, 559.5094, 785.5015, 1247.192, 1068.261, 454.4382, 401.7856, 512.627, 479.7143, 1245.275, 1196.322, 872.6669, 684.3452, 925.423, 274.2614, 0, 472.0036, 472.9807, 1977.288, 945.0095, 891.7636, 888.5694, 510.6195, 1100.201, 779.1512, 716.8885, 1012.018, 476.7113, 788.7213, 1707.995, 816.2797, 2427.697, 1708.169, 1123.629, 1384.453
5.1, 330.9109, 0, 284.902, 216.7257, 859.3453, 940.9034, 536.4377, 751.4257, 1193.122, 1023.241, 451.3157, 385.4573, 491.318, 460.3524, 1246.342, 1156.852, 966.4619, 653.3089, 885.9642, 262.4214, 0, 449.7479, 506.9791, 2057.909, 928.7635, 1064.769, 911.5778, 487.3524, 1051.603, 943.9185, 759.7612, 966.1691, 455.642, 833.4965, 1884.503, 777.3149, 2450.74, 1800.41, 1127.001, 1324.493
5.2, 367.7088, 0, 330.0214, 207.3036, 818.2615, 937.5518, 514.3173, 718.8281, 1257.173, 1038.034, 431.7462, 387.942, 470.8949, 441.7719, 1236.86, 1197.231, 1104.406, 623.6802, 848.1879, 251.0925, 0, 428.5416, 577.6489, 1969.695, 1034.873, 1016.427, 869.817, 465.1455, 1155.505, 903.0809, 856.7891, 922.3976, 435.5039, 813.4058, 2006.494, 740.2101, 2542.765, 1726.496, 1210.861, 1391.947
5.3, 351.9116, 0, 316.1092, 198.2912, 779.142, 904.2494, 493.1091, 687.6445, 1202.671, 1049.565, 413.0251, 402.762, 528.4429, 423.9414, 1231.733, 1145.134, 1080.089, 595.3952, 812.0223, 240.2528, 0, 408.3352, 553.2989, 2006.87, 994.6837, 970.2795, 829.9693, 492.7948, 1225.215, 864.0101, 815.8771, 880.6093, 416.2559, 828.3656, 2016.52, 873.3629, 2437.612, 1655.618, 1160.164, 1430.483
5.4, 354.4043, 0, 302.7835, 224.1425, 741.8926, 917.9958, 472.7755, 657.8138, 1231.005, 1005.333, 395.1159, 386.394, 506.4765, 406.8305, 1250.318, 1095.304, 1022.455, 568.393, 777.3987, 229.8809, 0, 389.0815, 529.9753, 1958.687, 1140.929, 1004.11, 791.9471, 470.34, 1235.552, 826.6296, 830.3355, 840.7141, 397.8586, 792.618, 1984.485, 996.2716, 2336.807, 1701.15, 1220.864, 1368.529
5.5, 355.5562, 0, 290.0196, 214.398, 706.4241, 961.1972, 453.2803, 629.2772, 1177.637, 1068.414, 411.4245, 399.7145, 507.3076, 390.4103, 1227.726, 1047.642, 967.8957, 542.6154, 820.8072, 219.9568, 0, 370.7357, 507.6348, 1920.227, 1128.002, 1002.715, 755.6668, 540.7254, 1180.975, 879.8026, 790.6866, 802.6264, 380.2743, 758.4132, 2009.993, 984.3452, 2304.296, 1733.305, 1169.748, 1431.679
5.6, 340.2811, 0, 289.3166, 247.4923, 672.6512, 1014.639, 585.69, 601.9785, 1126.583, 1023.388, 453.0418, 383.4704, 486.2197, 374.6528, 1172.825, 1208.664, 972.0297, 518.0068, 805.5892, 210.4612, 0, 353.2549, 486.2361, 1992.809, 1109.971, 957.1904, 785.9382, 516.0864, 1128.808, 937.131, 782.6934, 766.2642, 363.4673, 801.1517, 2032.377, 956.9761, 2392.7, 1788.945, 1120.772, 1369.673
5.7, 325.6623, 0, 378.5508, 236.7326, 640.493, 970.9604, 561.5388, 575.8641, 1276.251, 980.2589, 433.3974, 367.8864, 466.0085, 359.5313, 1120.38, 1156.07, 920.1613, 494.5143, 789.3503, 201.3755, 0, 605.3235, 465.7394, 1946.683, 1055.467, 1004.25, 749.9332, 492.5703, 1158.156, 977.8372, 767.1063, 793.1212, 347.403, 766.5786, 2036.382, 911.2952, 2367.175, 1715.502, 1301.546, 1444.338
5.8, 311.6714, 0, 362.5928, 226.4408, 609.8723, 929.1619, 732.185, 655.6713, 1220.921, 979.1832, 414.6048, 352.9357, 458.3631, 345.0202, 1182.606, 1105.764, 871.0607, 472.0872, 812.5246, 192.682, 0, 705.6624, 446.1068, 1977.73, 1047.334, 1067.881, 797.1159, 532.8533, 1252.314, 935.532, 750.4059, 757.1896, 332.0488, 733.4974, 2035.419, 867.7949, 2359.572, 1674.538, 1247.052, 1381.784
