 , C000, C002, C003, C004, C005, C006, C008, C009, C011, C012, C013, C014, C015, C017, C018, C019, C020, C022, C023, C024, C025, C029, C030, C031, C035, C036, C037, C038, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C055, C056, C057, C059, C060, C062, C063, C066, C068, C069, C071, C073, C074, C075, C079, C080, C086, C088, C091, C092, C106, C107, C111, C137, C148
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
211.9, 94.07745, 331.9293, 3395.301, 801.2419, 543.6041, 586.5292, 287.6193, 416.2, 54.43723, 1740.07, 840.0026, 1452.806, 1259.612, 306.4942, 1358.637, 293.8755, 6.302489, 132.3594, 1090.206, 1316.979, 679.608, 1988.414, 790.9629, 2316.881, 2509.557, 1032.929, 1269.687, 592.0018, 564.0729, 1401.304, 2169.97, 452.5096, 3957.444, 812.7065, 1928.771, 0.004780127, 4954.579, 1032.175, 410.1613, 17.62331, 814.0234, 3026.711, 1596.483, 1244.022, 1369.291, 2771.397, 94.35545, 1406.42, 556.8799, 1644.322, 6533.43, 967.8832, 2209.144, 1827.62, 1234.751, 960.7658, 362.9452, 489.866, 503.7586, 1888.59, 544.6609, 573.1374, 800.1503, 1179.826, 857.035
212, 89.51571, 320.7407, 3312.021, 767.2846, 519.2395, 556.7286, 275.7311, 397.2982, 51.99619, 1747.298, 907.5334, 1386.781, 1236.112, 292.6, 1298.783, 278.5245, 6.01825, 126.7538, 1159.146, 1259.456, 651.7209, 1945.971, 754.7773, 2416.065, 2484.975, 1007.748, 1202.857, 562.9783, 537.2231, 1349.912, 2353.353, 432.7019, 3938.984, 885.7213, 1859.482, 0.004567118, 4938.498, 1096.639, 453.1758, 16.89684, 778.5145, 3039.975, 1531.451, 1191.35, 1424.113, 2654.347, 89.77467, 1484.593, 533.5083, 1562.356, 6405.744, 927.21, 2343, 1832.738, 1351.302, 1004.696, 345.9844, 466.831, 529.0816, 1805.395, 517.9354, 599.1046, 766.8137, 1129.519, 885.6983
212.1, 85.17516, 307.6454, 3400.315, 757.5974, 564.1378, 528.4421, 264.3343, 379.255, 49.6646, 1814.992, 868.4759, 1323.756, 1181.814, 279.3357, 1413.004, 263.9753, 5.746829, 121.3856, 1109.058, 1204.445, 624.9781, 1900.997, 720.2473, 2307.43, 2383.134, 961.331, 1195.035, 535.3777, 511.6514, 1284.759, 2247.127, 413.7612, 3936.112, 847.1045, 1875.263, 0.004363602, 4931.605, 1130.841, 482.4005, 16.20031, 786.8435, 3088.557, 1469.068, 1140.909, 1359.608, 2644.185, 85.41627, 1573.647, 559.2781, 1598.568, 6384.979, 888.246, 2319.232, 1853.635, 1290.974, 958.6487, 470.5831, 444.8793, 502.1603, 1852.751, 492.5212, 573.0231, 734.8659, 1081.357, 843.91
212.2, 114.3654, 295.0848, 3407.396, 754.612, 538.8529, 501.5928, 253.4085, 362.0311, 47.43756, 1795.916, 908.6397, 1337.293, 1167.205, 266.6727, 1395.275, 277.5324, 5.487649, 116.2447, 1061.134, 1151.836, 599.3328, 1821.754, 687.2969, 2295.696, 2285.467, 917.0516, 1132.134, 509.1303, 487.2969, 1222.751, 2145.696, 395.6497, 3944.846, 810.1713, 1870.919, 0.004169154, 4888.06, 1081.471, 506.4648, 15.53249, 752.5202, 3057.547, 1574.9, 1092.603, 1342.881, 2647.864, 81.26946, 1503.879, 535.8058, 1607.435, 6359.32, 999.4482, 2226.318, 1893.936, 1367.235, 914.7123, 520.407, 423.9597, 521.838, 1863.088, 468.3541, 628.9186, 830.9074, 1238.716, 858.216
212.3, 108.8199, 283.8014, 3265.732, 722.6309, 514.7012, 476.1077, 242.9343, 345.5895, 45.31039, 1717.948, 869.5345, 1366.154, 1115.933, 254.5837, 1333.807, 263.0351, 5.240158, 111.3216, 1015.281, 1101.526, 574.7397, 1817.443, 655.8539, 2252.3, 2383.746, 913.0369, 1072.545, 484.1696, 464.1017, 1282.752, 2305.067, 378.3309, 3919.425, 774.8484, 1895.295, 0.00398337, 4877.712, 1114.453, 491.2084, 14.8922, 719.6941, 3087.316, 1510.747, 1046.343, 1331.447, 2583.327, 77.32398, 1437.204, 583.3495, 1527.308, 6477.556, 1032.609, 2392.832, 1836.815, 1418.452, 872.7895, 496.0879, 404.0239, 495.2853, 1911.245, 517.6917, 601.5392, 845.283, 1185.897, 838.6039
212.4, 103.5433, 272.2143, 3241.322, 692.0052, 519.6436, 549.6053, 232.8931, 329.8946, 43.2786, 1709.328, 832.1124, 1371.074, 1066.914, 243.0428, 1275.047, 249.2951, 5.003829, 106.607, 1060.062, 1053.413, 551.1558, 1760.048, 625.8495, 2348.462, 2363.172, 1010.416, 1257.495, 460.4327, 442.0106, 1343.723, 2310.578, 361.7703, 3959.334, 757.5999, 1812.957, 0.003805866, 5130.077, 1065.799, 470.534, 14.27831, 688.2999, 3097.044, 1472.924, 1002.041, 1271.139, 2660.437, 73.57005, 1373.485, 610.9338, 1451.175, 6532.819, 1110.478, 2290.923, 1903.556, 1456.364, 832.7881, 472.9052, 385.0255, 554.2604, 1898.51, 492.2895, 575.3517, 864.5528, 1135.331, 827.8832
212.5, 98.52258, 359.7276, 3201.265, 764.3697, 577.8701, 580.0229, 223.2669, 314.9124, 41.33792, 1716.545, 796.3007, 1308.763, 1203.683, 232.025, 1310.913, 264.5997, 4.778158, 102.092, 1014.255, 1058.34, 528.5397, 1851.338, 597.2177, 2242.867, 2311.824, 1098.647, 1191.307, 437.8595, 420.9709, 1435.946, 2234.988, 498.2512, 3919.749, 788.1201, 1838.492, 0.003636272, 4961.975, 1123.733, 511.0169, 13.68972, 658.2752, 3102.525, 1474.788, 959.6146, 1399.341, 2658.641, 69.99835, 1514.198, 585.2936, 1457.899, 6491.969, 1063.813, 2275.022, 1840.88, 1391.345, 794.62, 450.8059, 366.9205, 526.0579, 1885.636, 468.1337, 604.7567, 828.533, 1086.922, 813.1876
212.6, 93.74529, 345.0405, 3230.803, 769.712, 551.9697, 550.5529, 214.0386, 300.6107, 39.48426, 1642.024, 797.0598, 1334.545, 1209.544, 221.5067, 1253.162, 250.778, 4.562665, 97.76826, 970.4281, 1040.713, 506.8516, 1774.165, 569.8957, 2142.02, 2270.745, 1048.043, 1128.603, 739.7901, 400.9328, 1366.641, 2134.105, 484.3803, 3806.559, 753.7586, 1866.167, 0.003474235, 4967.054, 1074.673, 494.1846, 13.1254, 629.5602, 3115.686, 1414.713, 918.9848, 1335.958, 2576.643, 66.60006, 1447.065, 609.5802, 1415.403, 6561.392, 1019.108, 2275.537, 1869.723, 1403.936, 758.2012, 429.7393, 349.6668, 499.2905, 1910.978, 445.1632, 578.4291, 890.465, 1040.576, 774.8204
212.7, 173.7619, 368.9653, 3274.353, 737.091, 602.9847, 522.5801, 205.1917, 286.9585, 37.71373, 1733.256, 869.8187, 1273.895, 1156.413, 211.4653, 1249.101, 237.6782, 4.356891, 93.62763, 971.8337, 1007.054, 486.0534, 1724.764, 543.8237, 2045.707, 2264.363, 999.7692, 1069.199, 703.5211, 381.8485, 1397.441, 2076.83, 463.1775, 3815.724, 720.8953, 1812.063, 0.003319418, 5002.193, 1027.756, 490.9884, 12.58434, 602.0978, 3037.287, 1411.368, 880.0752, 1275.446, 2599.958, 63.36675, 1382.909, 583.9968, 1344.848, 6506.941, 1147.953, 2178.624, 1845.205, 1535.648, 723.4516, 409.6571, 333.2245, 473.885, 1920.372, 423.3199, 1014.492, 853.3655, 996.2062, 849.2578
212.8, 165.3363, 405.4858, 3208.861, 705.8525, 575.9587, 647.7355, 196.7105, 273.9263, 36.02259, 1703.018, 865.1696, 1271.272, 1105.616, 201.879, 1225.418, 301.1328, 4.160397, 89.66236, 1088.287, 963.0674, 466.1087, 1737.444, 518.9445, 1953.724, 2262.691, 953.7192, 1160.446, 669.0302, 363.6726, 1369.745, 2252.255, 540.4302, 3951.876, 689.4647, 1823.757, 0.0031715, 4968.19, 982.887, 470.3232, 12.06558, 629.6199, 3128.372, 1376.589, 842.813, 1342.032, 2566.667, 60.29041, 1418.343, 559.4871, 1354.552, 6429.889, 1099.712, 2208.277, 1833.566, 1467.09, 690.2946, 390.5134, 317.5553, 449.7723, 1835.777, 402.5483, 970.3273, 862.7298, 953.7286, 830.6068
