 , C000, C001, C003, C004, C005, C006, C007, C008, C010, C012, C013, C015, C016, C018, C021, C026, C029, C032, C033, C034, C037, C038, C040, C041, C042, C043, C044, C047, C050, C051, C053, C054, C061, C062, C065, C066, C068, C070, C071, C074, C076, C084, C086, C093, C100, C108, C111, C122
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
200.1, 664.3533, 4128.926, 3895.409, 2.215998, 543.9078, 0.003639463, 763.2783, 192.5836, 1157.049, 1242.411, 1221.534, 728.6937, 2450.967, 2359.65, 1606.158, 670.5535, 568.5825, 1671.836, 2873.623, 1844.432, 704.087, 3587.667, 1146.45, 3775.144, 308.5765, 1793.428, 2186.602, 12.33718, 4088.578, 783.5652, 1279.35, 2952.464, 7076.532, 1251.288, 2985.3, 1101.629, 1068.099, 1868.688, 1948.033, 2557.975, 1391.109, 2371.612, 1794.319, 1189.634, 481.9619, 0.0002172931, 0.0009363952, 51.78714
200.2, 697.9872, 4333.133, 3830.696, 2.119567, 550.8184, 0.003474305, 852.4113, 183.237, 1271.528, 1272.715, 1316.692, 710.8959, 2341.239, 2253.372, 1884.519, 641.0526, 543.9471, 1747.465, 2753.547, 1745.952, 726.5864, 3664.941, 1132.175, 3814.615, 293.9029, 2071.355, 2357.002, 11.75069, 3983.704, 750.5418, 1353.058, 2870.815, 7150.826, 1308.663, 3070.184, 1160.259, 1020.112, 1831.872, 1864.963, 2624.778, 1474.776, 2325.573, 1716.696, 1463.05, 527.5969, 0.0002073729, 0.0008947375, 49.47428
200.3, 665.6902, 4306.75, 3920.726, 2.027332, 521.6937, 0.003316641, 888.4857, 174.344, 1213.215, 1213.387, 1329.962, 761.0648, 2331.654, 2323.973, 2046.304, 612.8495, 520.3792, 1711.574, 2735.246, 1742.661, 695.5195, 3709.163, 1211.76, 3921.085, 367.0721, 1979.506, 2275.31, 11.19208, 4181.118, 718.9102, 1485.058, 2836.357, 7263, 1271.77, 2941.954, 1106.971, 997.3746, 1778.308, 1785.434, 2588.219, 1504.089, 2403.711, 1899.368, 1712.207, 503.4283, 0.0001979057, 0.0008549332, 47.26472
200.4, 634.8876, 4222.988, 3928.434, 1.93911, 640.0045, 0.003166133, 848.517, 238.208, 1258.552, 1156.824, 1266.533, 723.0738, 2439.097, 2219.301, 2241.646, 585.8873, 497.8325, 1941.482, 2740.101, 1649.615, 665.7809, 3751.495, 1305.874, 4086.957, 349.6168, 2047.551, 2384.324, 10.66002, 4247.417, 688.6116, 1419.565, 3069.712, 7153.315, 1215.067, 3060.723, 1056.13, 1070.983, 1717.095, 1822.688, 2479.437, 1438.53, 2372.789, 1817.2, 1793.361, 554.1873, 0.0001888706, 0.0008168995, 45.15384
200.5, 605.5104, 4136.501, 3788.434, 1.854728, 606.1641, 0.003022454, 810.3463, 251.5098, 1200.834, 1102.898, 1218.21, 686.9792, 2329.901, 2221.731, 2174.713, 560.1112, 576.4584, 2032.97, 2785.063, 1561.537, 637.3138, 3872.262, 1418.519, 4177.298, 430.7937, 2087.758, 2437.196, 10.15326, 4121.132, 659.59, 1397.967, 3000.137, 7335.498, 1369.237, 3168.875, 1007.624, 1241.924, 1964.439, 1846.138, 2455.734, 1375.828, 2318.509, 1995.527, 1863.769, 621.9701, 0.0001802481, 0.0007805579, 43.13723
200.6, 577.4924, 4220.845, 3744.413, 1.774018, 642.5574, 0.002885295, 872.7061, 239.3034, 1182.866, 1051.485, 1160.111, 652.6863, 2225.593, 2138.02, 2343.638, 535.4692, 653.6582, 2176.546, 2668.687, 1538.813, 692.042, 3873.575, 1450.47, 4238.561, 410.3083, 2015.58, 2500.06, 9.670591, 4144.495, 631.7916, 1336.315, 3151.314, 7500.198, 1350.734, 3081.181, 961.3456, 1186.129, 2072.303, 1767.413, 2423.307, 1315.86, 2219.486, 1992.193, 1888.969, 593.4785, 0.0001720192, 0.000745833, 41.21069
200.7, 550.7709, 4158.367, 3785.565, 1.696819, 608.5821, 0.002754361, 833.4471, 227.6894, 1174.357, 1002.47, 1104.783, 648.5572, 2125.956, 2247.07, 2260.403, 596.3926, 625.3368, 2238.474, 2832.486, 1703.334, 662.4521, 3768.656, 1525.204, 4185.678, 390.7971, 2139.006, 2506.176, 9.210866, 4332.895, 605.1647, 1508.679, 3199.552, 7421.068, 1401.963, 3200.895, 917.1929, 1132.84, 1983.328, 1747.933, 2334.542, 1389.858, 2326.73, 1906.01, 1913.178, 683.5038, 0.0001641659, 0.000712653, 39.37019
200.8, 550.5898, 3974.552, 3677.512, 1.62298, 609.8918, 0.002629368, 826.71, 216.6391, 1120.499, 955.7389, 1062.452, 616.1823, 2030.779, 2145.862, 2310.171, 570.1544, 629.4803, 2279.125, 2740.456, 1612.387, 634.1274, 3893.811, 1676.801, 4257.149, 372.2136, 2401.577, 2628.869, 8.772996, 4212.677, 579.66, 1520.339, 3063.18, 7518.018, 1376.205, 3067.206, 875.068, 1156.837, 2167.744, 1715.963, 2236.422, 1329.279, 2412.67, 1823.554, 1995.144, 652.1934, 0.0001566712, 0.000680949, 37.61188
200.9, 525.1132, 3927.86, 3613.298, 1.552355, 635.1741, 0.002510048, 817.9285, 206.125, 1147.46, 911.1865, 1192.205, 703.8989, 1939.863, 2240.407, 2198.903, 545.0706, 602.2065, 2402.602, 2879.757, 1701, 607.0139, 3732.777, 1605.287, 4228.475, 423.7077, 2438.533, 2516.566, 8.355941, 4331.033, 598.4625, 1453.291, 3056.699, 7638.982, 1464.545, 3345.481, 834.8778, 1104.864, 2074.67, 1642.788, 2142.425, 1352.963, 2545.009, 1881.478, 2209.757, 622.3173, 0.0001495186, 0.0006506555, 35.93211
201, 545.5976, 3927.083, 3702.559, 1.484802, 601.5892, 0.002396142, 821.3191, 196.1213, 1094.837, 868.7109, 1135.346, 775.1013, 1853.017, 2139.5, 2092.993, 521.0902, 766.814, 2376.282, 2759.425, 1722.379, 581.0596, 3788.979, 2006.329, 4404.724, 426.4377, 2366.021, 2693.876, 7.958712, 4307.875, 583.2716, 1583.19, 2949.923, 7587.637, 1399.247, 3401.402, 796.5335, 1055.226, 2104.929, 1572.734, 2317.594, 1293.991, 2638.27, 2106.378, 2192.82, 739.4747, 0.0001426926, 0.0006217096, 34.32735
