 , C000, C003, C005, C006, C007, C012, C013, C014, C015, C016, C018, C019, C020, C021, C022, C023, C024, C027, C028, C029, C030, C034, C035, C036, C039, C040, C042, C043, C053, C057, C058
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
206.2, 722.4671, 472.6996, 2961.569, 1595.848, 692.7429, 1460.176, 2528.353, 971.5723, 47.02659, 196.7367, 993.0632, 3689.565, 361.1176, 317.7474, 1682.503, 4077.74, 1482.817, 3467.334, 4632.319, 907.2272, 519.5139, 819.5213, 1588.091, 1432.692, 1127.193, 692.8341, 661.8932, 554.3774, 665.6857, 90.95862, 195.4389
206.3, 731.9628, 449.453, 2831.117, 1521.293, 688.5384, 1494.165, 2461.971, 923.2944, 44.77233, 186.2007, 941.1718, 3528.875, 451.2292, 298.3907, 1675.289, 4030.799, 1407.967, 3421.248, 4573.814, 861.0315, 549.9146, 807.32, 1506.044, 1353.868, 1071.07, 658.4535, 627.1656, 521.4562, 626.5286, 86.73455, 245.0517
206.4, 754.2579, 427.3496, 2751.969, 1450.22, 688.3724, 1471.195, 2353.831, 1050.675, 42.62613, 176.2289, 891.9919, 3375.183, 414.2299, 280.2131, 1599.953, 4005.542, 1336.895, 3420.514, 4561.602, 817.188, 519.9596, 860.2302, 1417.096, 1397.778, 1017.742, 625.779, 594.2601, 490.4899, 589.6747, 82.70664, 231.3688
206.5, 722.4893, 406.3332, 2747.345, 1382.468, 788.4882, 1453.289, 2273.953, 998.4667, 40.58281, 166.7912, 845.382, 3228.185, 440.916, 263.1429, 1528.004, 3837.933, 1269.411, 3398.37, 4548.1, 775.5771, 524.6035, 809.5101, 1333.4, 1320.875, 967.0685, 594.7259, 563.081, 493.1871, 554.9888, 78.86579, 218.4499
206.6, 692.0588, 386.3504, 2626.329, 1317.882, 752.1889, 1492.5, 2174.072, 948.8524, 38.63743, 157.8588, 801.2075, 3087.589, 404.7622, 247.1127, 1596.453, 4048.146, 1205.333, 3331.085, 4457.8, 902.8547, 496.0273, 761.7806, 1254.648, 1586.756, 1092.346, 565.2137, 533.5378, 463.8996, 544.905, 75.20331, 464.6624
206.7, 662.91, 367.3503, 2510.644, 1534.598, 717.5607, 1421.256, 2148.971, 908.6301, 36.78531, 149.4049, 759.3414, 3059.422, 402.8224, 232.0589, 1524.662, 3924.687, 1144.49, 3279.247, 4517.756, 856.8817, 482.9191, 827.0969, 1219.806, 1499.456, 1037.958, 537.1661, 505.5446, 436.3513, 512.8525, 71.71091, 438.7172
206.8, 634.989, 349.2846, 2400.055, 1462.904, 711.1993, 1565.287, 2269.497, 863.4799, 35.02198, 166.5682, 719.6628, 2992.903, 369.7922, 217.9222, 1691.113, 3760.462, 1086.719, 3153.181, 4424.938, 813.2496, 456.6135, 809.7524, 1147.763, 1416.959, 1066.409, 510.5102, 479.0201, 562.2518, 482.6854, 68.38069, 446.1465
206.9, 608.2439, 332.1073, 2294.337, 1394.559, 678.4581, 1683.524, 2169.812, 820.5732, 33.34317, 157.6478, 682.0577, 2862.554, 339.4704, 204.6467, 1615.065, 3757.959, 1031.863, 3034.411, 4577.062, 771.8392, 431.7409, 762.0086, 1079.975, 1339.001, 1013.312, 485.1771, 453.8873, 528.8629, 454.2928, 65.20513, 421.2351
207, 582.6253, 315.7748, 2193.275, 1462.234, 668.6804, 1603.161, 2074.505, 950.1399, 31.74483, 149.2051, 646.4175, 2966.26, 311.6349, 192.1799, 1542.437, 3670.052, 979.7763, 2946.877, 4442.709, 732.5374, 408.2231, 741.384, 1016.19, 1265.332, 962.8596, 461.1011, 430.0732, 714.9965, 427.5703, 62.17704, 397.7147
207.1, 650.4535, 300.2455, 2096.666, 1393.921, 637.8966, 1558.169, 1983.384, 971.2518, 30.22311, 141.2146, 612.6398, 2837.072, 286.0818, 180.4726, 1473.074, 3825.336, 930.319, 2937.292, 4379.676, 695.2369, 466.0118, 697.6713, 956.1728, 1195.716, 983.8375, 438.2198, 407.5085, 847.5733, 402.4196, 59.28957, 616.4333
