 , C000, C001, C002, C003, C004, C005, C006, C007, C011, C013, C016, C017, C018, C021, C022, C025, C029, C031, C033, C035, C037, C039, C040, C041, C042, C043, C044, C046, C047, C050, C054, C055, C058, C059, C062, C068, C071, C075, C076, C080, C081, C088, C094, C096, C103, C105, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
106.5, 249.8136, 482.5011, 474.5847, 146.5127, 396.3238, 56.01472, 282.4699, 218.6702, 26.74632, 1214.205, 582.079, 156.2644, 95.51575, 1209.733, 110.8404, 62.41438, 292.5936, 973.0845, 30.91571, 478.0431, 678.7295, 175.4095, 746.3424, 643.2706, 301.3728, 220.7359, 96.30476, 278.6526, 77.73721, 705.2972, 950.3, 1419.519, 434.7304, 0.2178172, 551.5901, 1.790312, 1.688726, 1388.229, 350.42, 31.51619, 22.60082, 46.70378, 904.1411, 95.45744, 3237.259, 489.7035, 399.048
106.6, 236.781, 454.1921, 445.6411, 139.4175, 376.4782, 53.44036, 268.4504, 302.1874, 25.18317, 1297.982, 552.6345, 148.7952, 198.0323, 1128.685, 104.663, 58.50404, 273.751, 926.6643, 29.65131, 456.1453, 647.4451, 167.077, 904.6862, 653.7052, 305.3162, 211.5646, 91.38408, 264.7641, 72.97756, 670.2327, 998.5865, 1498.149, 415.4601, 0.2090045, 526.2904, 1.705988, 1.594736, 1323.962, 381.2487, 30.14555, 21.5078, 44.58173, 986.7759, 90.83144, 3519.945, 826.0878, 511.2087
106.7, 319.4911, 427.5441, 418.4626, 132.666, 357.6265, 50.98432, 255.1267, 571.0738, 23.71137, 1476.062, 524.6794, 141.683, 325.6489, 1053.068, 98.8298, 54.83869, 256.1219, 882.4585, 28.43861, 435.2506, 617.6028, 235.85, 1013.843, 965.4392, 616.2391, 202.7744, 163.7233, 251.5678, 223.045, 636.9114, 1095.643, 1698.798, 397.044, 0.2005484, 761.2507, 1.625635, 1.505977, 1429.958, 362.026, 28.83451, 20.46764, 42.5561, 931.9243, 86.42961, 3344.847, 787.3239, 601.4563
106.8, 372.9076, 402.4595, 392.9417, 126.2414, 339.7187, 48.64115, 242.4643, 538.2518, 22.32559, 1400.328, 498.1385, 196.8565, 380.5526, 1106.958, 169.0753, 51.40297, 239.628, 840.3615, 27.27551, 415.313, 589.1359, 224.6464, 974.9719, 1101.549, 586.8195, 194.3494, 477.5704, 552.1428, 209.3885, 605.2468, 1108.922, 1623.476, 379.4443, 0.1924344, 875.4939, 1.549067, 1.422158, 1363.759, 343.7726, 27.58049, 19.47779, 40.62251, 1142.689, 82.2411, 3531.185, 950.145, 573.5216
106.9, 510.6274, 378.8466, 368.9772, 120.128, 322.7076, 46.40567, 230.4303, 525.6436, 21.02079, 1328.481, 472.9401, 187.4471, 361.257, 1032.796, 159.6523, 48.18251, 224.1963, 800.2727, 26.15999, 396.2887, 561.9812, 213.975, 1112.179, 1041.432, 676.9845, 186.2744, 707.6321, 587.6025, 290.7112, 575.1564, 1121.859, 1552.769, 362.6247, 0.1846487, 934.1867, 1.476105, 1.343004, 1300.625, 326.4395, 26.38101, 18.5358, 38.77677, 1079.171, 78.25558, 3489.885, 905.5596, 546.8843
107, 483.9883, 356.6192, 346.4743, 114.3105, 306.5483, 44.27293, 218.9936, 495.4326, 19.79226, 1326.323, 449.0164, 178.4874, 342.9399, 1276.669, 150.7544, 45.16381, 209.7584, 762.0963, 25.09008, 378.1359, 536.0781, 203.8106, 1059.548, 984.5968, 644.6649, 178.535, 671.4757, 563.0723, 272.9118, 546.562, 1250.364, 1553.996, 346.5506, 0.177178, 891.3384, 1.406579, 1.268256, 1240.414, 309.9803, 25.23369, 17.63937, 37.01489, 1019.183, 74.4632, 3316.281, 863.0665, 521.4843
107.1, 458.739, 335.6958, 325.3437, 108.7749, 291.1982, 42.2382, 208.1245, 580.7733, 18.63552, 1258.273, 426.3029, 169.9559, 381.3984, 1300.012, 142.3524, 42.33424, 196.2503, 725.7411, 24.06394, 494.941, 511.3689, 194.129, 1009.407, 1007.465, 613.8882, 225.7033, 637.1667, 535.0078, 256.2021, 519.3891, 1227.873, 1757.583, 331.1891, 0.1700095, 850.4554, 1.340329, 1.197668, 1369.005, 407.0386, 24.13627, 16.7863, 35.33307, 962.5302, 70.8546, 3292.139, 822.5673, 497.2639
107.2, 434.8069, 316.0001, 305.5019, 103.5072, 276.6167, 40.29699, 197.7949, 634.0458, 17.54639, 1301.812, 404.7383, 161.8322, 362.0601, 1363.343, 134.4187, 39.68195, 183.6121, 691.1202, 23.07976, 472.2692, 580.7181, 334.5467, 961.6397, 995.3301, 584.5808, 216.3256, 604.6108, 508.3421, 240.5155, 493.5672, 1349.59, 1787.379, 316.5085, 0.1631311, 852.764, 1.277198, 1.131008, 1305.628, 408.9545, 23.08658, 15.97448, 33.72766, 909.0263, 67.42088, 3201.436, 783.9685, 474.1684
107.3, 412.1233, 297.4599, 286.8701, 98.49472, 262.7654, 38.445, 187.978, 597.6046, 16.52092, 1235.019, 384.2646, 154.0969, 435.6595, 1292.707, 126.9271, 37.19582, 171.7878, 658.1508, 22.13583, 450.6359, 553.9514, 318.6548, 916.1326, 941.0104, 556.6726, 207.3376, 723.3861, 483.0054, 225.7894, 469.029, 1278.917, 1708.13, 302.4786, 0.156531, 813.6503, 1.217042, 1.068059, 1356.514, 752.03, 22.08254, 15.20192, 32.1952, 858.4965, 64.15356, 3056, 747.181, 452.1456
107.4, 390.6231, 280.0076, 269.3747, 93.72495, 249.6077, 36.67812, 178.6483, 582.0653, 15.55537, 1171.653, 364.8265, 146.7313, 413.5699, 1303.365, 119.8531, 34.86546, 160.7249, 626.7543, 21.23051, 429.9936, 528.4183, 303.5177, 872.7789, 889.6552, 530.0967, 198.723, 686.4248, 472.556, 211.965, 445.7108, 1301.563, 1838.543, 289.0707, 0.1501979, 776.3306, 1.159718, 1.008614, 1293.715, 714.1124, 21.12217, 193.2874, 30.73236, 810.7755, 61.04458, 2922.142, 712.1197, 431.1457
