 , C000, C002, C004, C005, C006, C008, C009, C011, C013, C014, C018, C019, C022, C023, C024, C025, C029, C030, C031, C033, C034, C035, C036, C037, C040, C041, C043, C045, C046, C049, C053, C054, C055, C056, C057, C058, C061, C066, C068, C069, C070, C071, C073, C074, C076, C079, C080, C082, C088, C090, C091, C092, C098, C111, C132, C141
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
382.8, 391.7674, 773.5432, 595.6023, 480.1595, 0.005711522, 155.3352, 695.5612, 521.2284, 372.3311, 538.2449, 161.0927, 667.0651, 0.2602189, 64.67043, 812.1434, 32.99612, 992.4345, 1399.966, 369.1146, 609.1688, 31.0685, 494.2434, 2475.854, 631.3054, 951.8932, 300.4087, 0.001292142, 1.192249, 562.9101, 722.1452, 32.01961, 2388.697, 1.817419, 6.963584, 0.7420837, 42.76441, 9.108699, 1290.921, 1076.47, 592.0255, 224.0801, 265.1259, 708.6163, 1787.557, 604.175, 95.84496, 1117.546, 656.6553, 298.1245, 744.0136, 1714.828, 1454.296, 1382.845, 522.8528, 2158, 2224.417
382.9, 374.5686, 857.5516, 570.0888, 529.0198, 0.005469805, 280.1716, 664.634, 664.733, 356.1227, 512.1656, 153.2481, 682.935, 0.2489642, 61.78813, 771.0307, 31.56725, 1117.903, 1341.701, 404.7736, 579.6123, 123.3984, 474.0568, 2445.042, 641.9132, 965.2371, 399.9683, 0.001236687, 1.142318, 650.3948, 816.5275, 30.69854, 2383.383, 1.742838, 6.655136, 0.7116637, 40.95885, 8.688161, 1236.765, 1244.681, 565.5776, 214.2797, 275.1082, 785.3433, 1712.765, 682.7554, 91.64315, 1068.534, 644.2974, 285.3983, 748.8751, 1673.597, 1439.132, 1337.897, 531.4897, 2358.866, 2165.75
383, 358.1248, 851.621, 592.4514, 649.468, 0.005238318, 293.8797, 726.5009, 691.8083, 340.6198, 487.35, 145.7855, 652.7933, 0.2381962, 59.03429, 731.9993, 30.20026, 1099.892, 1477.191, 414.2522, 551.4899, 158.3412, 454.6946, 2425.815, 614.2887, 924.7055, 379.4147, 0.001183612, 1.094478, 838.1204, 944.0969, 29.43198, 2414.444, 1.671318, 6.36035, 0.6824906, 39.22952, 8.287039, 1184.88, 1326.168, 540.3113, 204.9079, 505.3132, 811.1535, 1745.773, 779.5794, 87.62556, 1021.672, 636.6219, 535.9215, 713.9642, 1602.136, 1457.084, 1430.238, 536.0794, 2351.886, 2156.664
383.1, 342.4029, 862.8541, 620.3373, 648.5209, 0.005016628, 310.343, 728.9937, 734.4711, 325.7918, 463.7367, 138.6863, 623.982, 0.227894, 77.47184, 694.9437, 28.89247, 1105.865, 1497.033, 395.0134, 524.7319, 151.3846, 436.1233, 2589.098, 587.853, 1006.012, 359.9173, 0.001132815, 1.048641, 799.4374, 952.1578, 28.21767, 2312.598, 1.602733, 6.078621, 0.6545135, 37.57321, 7.904436, 1135.172, 1295.193, 516.1737, 195.946, 483.1155, 860.7574, 1793.73, 744.6115, 83.78409, 976.8644, 608.3184, 513.0443, 680.6808, 1648.804, 1521.853, 1436.537, 553.384, 2435.315, 2226.792
383.2, 327.3712, 825.2607, 593.7642, 625.2558, 0.00480432, 295.5758, 696.58, 703.4948, 311.6094, 488.5239, 131.9328, 596.4423, 0.2180373, 74.019, 659.764, 27.64131, 1057.897, 1434.729, 376.6681, 499.2722, 144.7335, 418.3105, 2580.629, 562.555, 963.7684, 341.4218, 0.001084198, 1.004724, 762.5399, 909.5242, 27.05346, 2367.488, 1.536963, 5.809372, 0.6276832, 35.98682, 7.539497, 1087.549, 1229.935, 579.8005, 187.3761, 461.893, 824.2189, 1771.081, 745.4645, 80.11103, 934.0225, 664.4686, 850.0491, 713.3082, 1657.986, 1539.605, 1374.695, 527.8776, 2333.672, 2133.98
383.3, 312.9994, 887.5955, 608.1995, 599.4301, 0.004600997, 281.5112, 665.6075, 701.5622, 298.0443, 464.8537, 125.5082, 630.8555, 0.2086069, 70.72005, 658.3557, 26.44432, 1012.01, 1375.018, 359.1748, 475.0478, 138.3747, 401.2252, 2533.971, 538.3456, 1101.119, 323.8768, 0.001037668, 0.9626466, 727.3453, 868.7994, 25.93729, 2314.892, 1.473891, 5.552049, 0.6019527, 34.46742, 7.191407, 1041.924, 1326.442, 553.8988, 179.1809, 441.6027, 789.2314, 1804.123, 712.0268, 76.599, 893.0594, 691.9331, 910.1373, 680.0554, 1647.379, 1548.352, 1315.516, 650.1011, 2236.27, 2086.724
383.4, 299.2585, 848.9241, 582.1464, 574.6711, 0.004406278, 268.1159, 636.0121, 700.1867, 285.0698, 442.3304, 119.3964, 603.0124, 0.1995845, 67.56812, 625.0281, 25.29918, 968.1134, 1414.764, 342.4939, 451.9987, 132.2952, 441.4412, 2653.292, 515.1782, 1054.881, 307.2334, 0.0009931347, 0.9223312, 693.7751, 829.8982, 24.86716, 2217.245, 1.413408, 5.306123, 0.5772771, 33.01217, 6.859388, 998.2137, 1259.609, 529.1542, 171.3442, 422.2038, 755.7291, 1736.146, 680.089, 73.24093, 853.8928, 661.1705, 905.9062, 648.3527, 1602.635, 1484.945, 1378.242, 620.1368, 2344.821, 1999.75
383.5, 355.1918, 811.9376, 557.2092, 550.9348, 0.004219801, 255.358, 607.7327, 670.6562, 272.66, 518.5661, 113.5823, 601.1083, 0.1909522, 64.55668, 666.7768, 24.20362, 926.1208, 1355.884, 326.5877, 430.068, 126.4829, 423.4111, 2704.98, 493.0077, 1010.585, 291.4453, 0.0009505125, 0.8837041, 661.7544, 792.7388, 23.84119, 2243.263, 1.355407, 5.071091, 0.5536129, 31.61835, 6.542698, 956.3367, 1224.994, 505.515, 163.8503, 403.657, 723.6489, 1663.504, 687.2934, 70.03008, 816.444, 631.7756, 867.2353, 689.7759, 1534.204, 1424.134, 1318.91, 591.5536, 2298.452, 2120.258
383.6, 339.5986, 776.5625, 533.3403, 528.1789, 0.004041215, 243.2072, 621.0098, 642.3712, 260.7905, 493.4403, 108.0512, 624.7303, 0.1826933, 61.67945, 665.7226, 23.1555, 1001.109, 1404.185, 311.4203, 531.2872, 120.9259, 406.1175, 2827.152, 507.757, 968.1496, 276.4684, 0.0009097195, 0.8466947, 631.2115, 816.3853, 22.85755, 2148.638, 1.299785, 4.84647, 0.5309188, 30.28339, 6.240629, 916.2165, 1285.643, 598.5029, 156.6841, 385.9249, 692.9305, 1663.399, 656.465, 66.95998, 780.6375, 694.9923, 880.7653, 657.6201, 1593.797, 1365.814, 1262.132, 564.2878, 2367.158, 2132.956
383.7, 387.7076, 910.301, 510.4939, 506.3629, 0.003870187, 231.6346, 593.3975, 615.2791, 249.4377, 469.5319, 102.7895, 621.6364, 0.1747916, 58.93046, 660.0167, 22.15278, 957.6848, 1382.207, 296.9572, 505.5094, 115.613, 389.5302, 2799.062, 485.9058, 1063.46, 262.2613, 0.0008706772, 0.8112352, 602.0784, 779.8309, 21.91449, 2093.408, 1.246447, 4.631798, 0.509155, 29.00479, 5.952507, 877.7794, 1269.883, 571.7656, 149.8313, 368.9718, 663.5161, 1615.426, 627.0193, 64.02449, 746.4014, 682.5498, 894.4301, 690.8386, 1721.782, 1309.882, 1240.275, 606.6822, 2294.338, 2044.055
