 , C000, C001, C002, C004, C005, C007, C009, C010, C011, C012, C015, C016, C017, C018, C019, C021, C022, C024, C025, C030, C040, C042, C045, C047, C049, C050, C053, C060, C062, C065, C067, C068, C074, C092, C094, C100, C110
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
360.5, 2630.871, 961.1569, 483.6762, 570.8777, 281.8991, 804.2563, 534.4429, 98.37398, 300.2568, 5.471099, 0.08824205, 134.6375, 781.663, 274.6934, 1707.726, 683.3234, 1312.26, 40.3169, 540.4647, 22.29105, 878.3905, 245.2841, 1641.877, 675.8005, 1985.317, 1826.153, 979.3002, 569.5723, 216.5857, 1523.059, 516.0069, 326.777, 938.4049, 1488.078, 911.596, 1264.078, 636.0001
360.6, 2795.246, 918.7428, 458.2921, 543.46, 266.0613, 793.473, 507.6328, 270.319, 311.0316, 5.233574, 0.08433507, 127.6416, 748.8759, 263.2669, 1680.747, 655.2748, 1254.648, 38.66516, 518.5751, 21.20388, 842.1964, 235.2547, 1574.943, 646.6877, 2012.981, 1746.81, 933.2159, 588.2629, 288.6317, 1455.972, 489.1996, 310.6162, 947.7157, 1425.211, 870.2824, 1206.22, 638.2288
360.7, 2796.38, 920.5222, 434.2402, 532.1204, 251.1133, 754.3092, 482.1676, 258.0226, 416.7999, 5.006361, 0.08060107, 121.0094, 885.931, 252.3157, 1689.69, 729.9631, 1199.565, 37.08108, 497.5721, 20.16973, 807.4936, 225.6353, 1589.387, 618.8292, 1927.43, 1825.226, 957.6955, 632.9796, 274.3093, 1391.84, 463.7849, 295.2547, 901.7446, 1365, 830.8411, 1198.989, 609.9529
360.8, 2680.856, 879.9012, 411.4506, 593.8234, 237.0051, 822.7155, 457.9799, 246.2855, 399.6583, 4.789012, 0.0770324, 114.7217, 848.7704, 241.8201, 1754.526, 731.8906, 1327.95, 35.5619, 477.4197, 19.18602, 774.2208, 216.4094, 1522.237, 592.1707, 1904.383, 1827.923, 954.0223, 601.5917, 260.6976, 1404.281, 439.6906, 280.6529, 965.7408, 1307.333, 839.9621, 1251.191, 695.8839
360.9, 2700.253, 851.175, 482.5165, 691.7659, 223.6895, 851.1315, 435.0055, 235.0823, 383.2216, 4.5811, 0.07362173, 168.2818, 950.8541, 231.761, 1759.315, 701.8484, 1308.124, 34.10497, 458.0836, 18.25029, 742.319, 293.077, 1586.7, 566.6606, 2054.004, 1782.694, 1032.714, 571.7604, 247.7614, 1342.426, 416.8481, 266.7732, 918.8953, 1252.102, 801.895, 1334.892, 774.5111
361, 2657.697, 875.2321, 549.4908, 658.5422, 211.122, 809.1218, 413.1837, 224.3888, 367.4609, 4.382214, 0.07036208, 159.5378, 947.5582, 222.1204, 1768.314, 739.3474, 1293.648, 32.70772, 439.5305, 17.3602, 711.7317, 281.0934, 1519.663, 542.2495, 1988.132, 1851.384, 1125.13, 543.4083, 235.4671, 1283.295, 395.1922, 253.5799, 926.4662, 1502.542, 806.8211, 1441.328, 900.7732
361.1, 2649.158, 836.6097, 520.6527, 827.1879, 199.2607, 937.0113, 416.2719, 335.1239, 352.3484, 4.191963, 0.06724675, 151.2482, 952.4268, 212.8808, 1909.926, 708.9991, 1320.744, 31.36771, 509.1636, 16.51351, 682.4047, 283.9325, 1870.678, 518.89, 1970.528, 1770.944, 1126.9, 516.462, 223.7828, 1226.769, 374.6614, 349.3586, 987.5847, 1439.064, 770.2559, 1375.357, 909.1177
361.2, 2561.06, 799.6917, 493.328, 787.4603, 188.0657, 890.7628, 400.6617, 319.8796, 337.8575, 4.009971, 0.06426936, 184.8127, 931.8073, 204.0255, 1976.739, 679.8966, 1262.759, 30.08261, 488.5417, 15.70812, 654.2862, 272.3228, 1791.643, 496.5367, 2000.35, 1693.999, 1073.87, 490.852, 212.6783, 1172.733, 355.1972, 332.0811, 1000.538, 1547.725, 837.897, 1542.674, 986.7412
361.3, 2500.493, 892.0687, 554.6118, 863.0735, 177.4996, 846.7971, 388.6061, 305.3287, 323.9625, 3.83588, 0.06142379, 175.2098, 892.7224, 195.5386, 2081.88, 887.7968, 1207.32, 28.85015, 468.7551, 14.94201, 627.3263, 261.1878, 1715.948, 475.1465, 1915.335, 1775.095, 1274.062, 466.5119, 202.1249, 1121.077, 336.7442, 353.4386, 952.0048, 1609.678, 799.9234, 1472.065, 943.025
361.4, 2504.907, 970.8807, 647.7253, 959.5934, 167.5272, 805.0013, 369.1118, 291.4398, 310.6389, 3.669347, 0.0587042, 166.1058, 904.3135, 187.4047, 2024.236, 897.1379, 1154.315, 27.66819, 502.0695, 14.21327, 601.4773, 250.5081, 1669.418, 454.6777, 1930.212, 1854.087, 1359.486, 443.3788, 192.0951, 1071.696, 319.2498, 344.3929, 905.8256, 1541.674, 763.6708, 1404.687, 901.2455
361.5, 2440.819, 1014.225, 613.7316, 951.9568, 158.1151, 803.5605, 401.1022, 278.1826, 297.8634, 3.510044, 0.05610504, 157.4749, 866.3819, 179.6092, 2102.95, 860.3128, 1183.899, 26.53465, 534.2317, 13.52007, 576.6934, 240.2651, 1715.203, 435.0907, 1888.901, 1834.188, 1324.2, 557.3742, 182.563, 1024.491, 302.6643, 327.3609, 1096.541, 1641.612, 833.842, 1491.968, 955.3839
361.6, 2498.525, 969.469, 581.522, 906.2368, 149.2318, 1047.884, 380.981, 289.8671, 285.6132, 3.357658, 0.05362095, 240.2175, 1268.003, 172.1379, 2176.775, 911.2317, 1231.291, 25.44755, 574.9348, 12.86067, 552.9307, 230.441, 1772.319, 416.3475, 1928.667, 1857.999, 1278.738, 529.7355, 173.5039, 979.3646, 505.201, 356.4024, 1226.92, 1753.245, 857.3262, 1488.323, 1013.2
361.7, 2541.653, 926.6882, 632.336, 1048.53, 140.8476, 1153.35, 361.8693, 295.2319, 273.8669, 3.211887, 0.05124684, 402.2721, 1273.066, 164.9774, 2176.456, 873.8281, 1199.297, 24.40499, 568.5709, 12.23344, 530.1472, 382.6829, 1884.978, 398.4117, 1902.348, 1889.56, 1395.494, 503.4673, 164.8944, 1106.045, 478.955, 395.2856, 1388.513, 1792.63, 818.472, 1499.578, 1041.57
361.8, 2520.487, 885.7952, 750.9733, 1076.606, 132.9344, 1341.734, 343.7163, 378.7198, 262.6036, 3.072444, 0.04897785, 453.3917, 1358.964, 158.1148, 2083.266, 996.3443, 1174.485, 23.40514, 592.0862, 11.63679, 638.6526, 367.0354, 1838.411, 381.2485, 1821.499, 1807.461, 1359.535, 646.1597, 156.7121, 1100.538, 656.4077, 375.7368, 1384.542, 1716.897, 861.5328, 1480.134, 1074.769
361.9, 2570.706, 846.7067, 711.561, 1024.899, 125.4658, 1640.712, 326.4739, 449.3072, 251.8035, 2.939056, 0.04680932, 781.751, 1363.737, 151.5377, 2213.675, 955.447, 1319.68, 22.44625, 568.1059, 11.06925, 680.9038, 515.8547, 2015.238, 531.437, 1907.896, 1786.039, 1380.87, 666.3413, 148.9358, 1070.755, 897.3038, 371.6524, 1652.257, 1889.825, 822.488, 1531.728, 1213.099
362, 2543.66, 809.3431, 761.1384, 1154.407, 118.4168, 1955.929, 310.0965, 428.8689, 241.4477, 2.811458, 0.04473681, 741.131, 1306.534, 374.8233, 2207.504, 916.2285, 1438.076, 21.52665, 590.7061, 10.52938, 652.8471, 570.4325, 2197.054, 508.5432, 1856.791, 1708.438, 1372.552, 705.4708, 141.5453, 1140.391, 905.1107, 353.2723, 1621.95, 2014.925, 785.2128, 1461.619, 1417.171
362.1, 2454.836, 806.3588, 920.3483, 1296.873, 111.7638, 2112.785, 294.5406, 467.5027, 231.5177, 2.6894, 0.04275605, 702.6216, 1345.705, 490.8434, 2112.985, 878.6197, 1491.421, 20.64472, 566.7816, 10.01585, 625.9465, 547.1082, 2347.357, 486.6358, 1864.931, 1748.118, 1387.113, 670.4883, 134.5216, 1090.159, 1072.654, 415.3944, 1543.274, 2055.489, 749.6269, 1458.99, 1354.385
362.2, 2418.771, 774.7642, 872.047, 1293.594, 105.4846, 2233.701, 279.7651, 468.7958, 221.9961, 2.572641, 0.040863, 717.4263, 1289.259, 553.2696, 2202.725, 842.5547, 1494.364, 19.79893, 543.8262, 9.527361, 600.1544, 524.7375, 2334.972, 572.6328, 1828.287, 1672.165, 1321.838, 637.2405, 127.8464, 1042.141, 1241.407, 518.683, 1468.413, 1968.65, 715.6537, 1518.958, 1294.381
362.3, 2469.845, 740.5753, 826.2806, 1368.281, 99.55823, 2170.935, 265.7308, 447.4709, 212.8661, 2.460952, 0.03905376, 754.817, 1269.898, 530.2551, 2295.428, 807.9701, 1559.982, 18.98778, 638.91, 9.062696, 575.425, 538.8592, 2426.715, 547.9644, 1844.903, 1599.512, 1259.635, 675.2318, 121.5025, 1027.848, 1406.128, 568.3413, 1397.185, 1885.48, 802.0375, 1449.434, 1299.131
362.4, 2363.48, 889.628, 782.9161, 1302.566, 93.96478, 2221.157, 252.4005, 427.1161, 204.1116, 2.354111, 0.03732463, 715.5964, 1357.235, 508.1979, 2197.144, 873.5145, 1491.494, 18.20987, 613.0333, 8.620694, 551.7146, 516.8258, 2482.486, 524.3587, 1766.495, 1715.069, 1267.366, 641.7488, 115.4733, 1047.865, 1333.077, 693.9888, 1529.549, 1805.824, 877.2749, 1512.69, 1296.363
