 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C016, C018, C020, C021, C022, C023, C026, C027, C030, C031, C032, C034, C035, C036, C037, C038, C039, C040, C044, C045, C046, C049, C050, C060, C062, C063, C064, C072, C081, C082, C083, C086, C093
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 187.966, 0, 45.72998, 241.9213, 59.88989, 0, 0, 159.5092, 0, 0, 136.5315, 0, 0, 0, 40.89685, 0, 85.616, 0, 0, 0, 0, 53.27283, 0, 0, 68.00058, 0, 0, 223.2349, 82.87439, 0, 0, 0, 178.4207, 0, 118.431, 0, 241.9792, 0, 0, 164.2947, 0, 0, 71.09351, 0, 0
0.2, 0, 177.7663, -6.103516e-05, 43.70508, 296.936, 370.478, 0, 0, 152.8342, 52.38725, 176.6602, 130.12, 57.96533, 39.78564, 0, 210.7694, 0, 190.9716, 0, 0, 169.2838, 0, 137.8089, 0, -0.0001220703, 72.50914, 0, 0, 212.5206, 166.9762, 0, 0, 0, 567.2816, 0, 112.5319, 261.9618, 342.7166, 0, 0, 268.7168, 57.58392, 0, 132.4657, 0, 0
0.3, -3.051758e-05, 168.1201, 169.8465, 41.7699, 284.02, 354.359, 0, 0, 231.0619, 49.91982, 163.1255, 124.0096, 172.8588, 102.4236, 0, 286.3336, 1.525879e-05, 353.0131, 0, 0, 452.7888, 0, 204.5508, -0.0001220703, 179.6807, 69.4395, 0, 0, 202.3207, 158.9646, 0, 0, 0, 800.8407, 0, 106.9266, 325.6229, 396.8608, 0, 0, 464.3774, 54.91159, 0, 161.6501, 0, -6.103516e-05
0.4, -3.051758e-05, 206.8664, 161.6006, 39.92029, 271.6658, 338.9413, 73.73679, 0, 350.2825, 47.5686, 150.6278, 152.3212, 164.2911, 225.223, 0, 322.8693, 3.051758e-05, 335.2972, 54.82092, -7.629395e-06, 502.4384, 0, 196.0076, -0.0001220703, 172.3311, 126.5246, 80.52965, 55.05022, 192.6102, 151.3373, 0, 218.0006, 128.7312, 876.9165, 3.814697e-06, 234.7101, 565.6798, 457.3486, 0, 0, 509.3075, 202.5009, 0, 154.5734, 0, -6.103516e-05
0.5, -3.051758e-05, 291.6474, 153.755, 38.15271, 259.8489, 324.1945, 96.59723, 39.12506, 374.4918, 70.39688, 139.0876, 281.5704, 156.148, 214.0342, 0, 309.0918, 3.051758e-05, 365.0399, 129.1917, 53.9507, 595.6628, 0, 358.9495, -0.0001220703, 165.2823, 121.1683, 77.01662, 52.80725, 183.3658, 144.076, 0, 208.9974, 138.6159, 898.3334, 3.814697e-06, 357.2552, 672.6284, 659.7339, 0, 36.40714, 541.0238, 374.6138, 0, 250.3638, 0, -6.103516e-05
0.6, -3.051758e-05, 275.8215, 219.4952, 138.9855, 248.5459, 310.0892, 294.068, 106.0782, 358.8204, 150.3244, 128.4315, 279.4138, 148.4085, 259.0893, 0, 374.2881, 3.051758e-05, 426.2366, 123.6219, 51.42568, 650.9661, 25.31302, 414.9868, -0.0001220703, 158.5217, 116.0387, 134.732, 91.77431, 441.5227, 137.1631, 0, 200.366, 132.0722, 981.092, 3.814697e-06, 448.4882, 705.0058, 843.5081, 0, 137.0537, 586.6466, 465.8961, 0, 389.7433, 0, -6.103516e-05
0.7, 62.63922, 260.8543, 208.8389, 132.8314, 437.6306, 296.5976, 277.3741, 169.8195, 439.1271, 143.2441, 312.674, 316.2891, 141.0527, 621.4532, 0, 409.155, 3.051758e-05, 404.846, 118.2922, 49.01883, 733.811, 70.1785, 397.6545, -6.103516e-05, 372.4794, 111.1263, 128.8545, 88.03504, 420.3318, 130.582, 0, 192.0911, 293.8069, 1070.64, 3.814697e-06, 426.1487, 670.5569, 1091.094, 3.051758e-05, 234.0721, 577.9888, 657.855, 0, 406.5751, 0, 0
0.8, 60.02728, 320.787, 198.6999, 126.9498, 418.5946, 283.6931, 346.5106, 235.3224, 483.6469, 149.0371, 288.7187, 999.6454, 134.0614, 1058.663, 0, 391.6956, 3.051758e-05, 423.2519, 113.1923, 46.72463, 859.1561, 247.4412, 620.4858, -0.0001220703, 429.6116, 106.4218, 176.8674, 107.9076, 400.1578, 124.3165, 0, 218.9399, 279.9372, 1175.268, 0, 588.6092, 789.3751, 1101.095, 0, 235.7177, 705.5602, 921.6817, 0, 388.7755, 0, 0
0.9, 57.52426, 303.3799, 189.0532, 251.1276, 434.0475, 271.3499, 360.1534, 224.9404, 463.4075, 142.0175, 266.5988, 1193.863, 127.4167, 1278.25, 0, 374.9811, 3.051758e-05, 609.2518, 108.3123, 44.5378, 906.6849, 237.0686, 705.5393, -0.0001220703, 412.0391, 101.9166, 237.5132, 194.1296, 380.9521, 118.3517, 0, 310.249, 281.3715, 1122.407, 0, 654.8622, 804.5878, 1175.079, 1.525879e-05, 379.5041, 964.573, 1039.941, 0, 463.3984, 0, 0
1, 55.12561, 321.658, 179.8748, 240.0079, 466.9532, 259.5439, 339.7078, 215.0165, 444.0153, 135.3286, 246.1736, 1162.899, 121.1012, 1214.749, 0, 441.3376, 3.051758e-05, 655.1893, 103.6427, 42.45333, 1043.282, 227.1309, 962.0176, -0.0001220703, 395.1853, 97.60202, 349.161, 186.2199, 362.6682, 221.768, 0, 297.436, 420.9786, 1276.499, 0, 817.5124, 765.2729, 1260.999, 96.17226, 363.1504, 1024.338, 1035.56, 0, 625.0048, 0, 0
1.1, 52.827, 304.2036, 171.142, 229.3806, 478.5631, 248.2514, 351.3749, 205.5305, 459.5543, 128.9546, 227.3132, 1181.201, 115.0989, 1154.401, 2.479222, 422.5048, 3.051758e-05, 667.1936, 216.9153, 40.46642, 1357.927, 217.6097, 1018.651, -0.0001220703, 511.9811, 93.47011, 375.6775, 345.9867, 345.2619, 381.061, 0, 285.1522, 413.3748, 1351.54, 0, 831.3492, 841.8551, 1484.028, 220.9547, 518.7328, 1161.858, 1263.2, 0, 820.5571, 0, 0
1.2, 50.62421, 287.6964, 162.8331, 317.2719, 611.1238, 237.4503, 331.4276, 196.4629, 496.7111, 122.8809, 209.8978, 1156.768, 109.394, 1097.052, 41.45638, 607.6459, 1.525879e-05, 633.7106, 207.5637, 126.6113, 1323.989, 223.405, 1090.599, -6.103516e-05, 491.0394, 89.51314, 402.0123, 331.8897, 328.6909, 362.7775, 69.37441, 273.3756, 457.8054, 1397.053, 0, 1012.87, 1017.604, 1422.589, 210.9921, 496.3795, 1256.824, 1277.029, 0, 1011.991, 0, 6.103516e-05
1.3, 48.51328, 345.5255, 154.9277, 303.2234, 618.6882, 227.1192, 446.8074, 301.9521, 475.9252, 157.1196, 193.8167, 1151.602, 103.9719, 1121.905, 39.54411, 581.7164, 3.051758e-05, 635.3635, 198.6151, 120.6856, 1434.117, 270.7111, 1155.033, -0.0001220703, 470.9542, 85.72368, 486.2429, 318.3671, 312.9153, 345.3712, 297.6502, 262.0854, 541.9684, 1380.152, -3.814697e-06, 1011.028, 967.8802, 1545.394, 201.4787, 568.8236, 1299.742, 1254.249, 0, 1046.174, 0, 6.103516e-05
1.4, 46.49036, 326.776, 147.406, 289.7971, 607.5776, 217.2375, 421.4425, 288.6306, 456.0089, 233.6471, 178.9676, 1097.523, 98.81854, 1197.458, 37.72004, 556.8933, 3.051758e-05, 603.4779, 190.0524, 115.0372, 1594.519, 339.5888, 1249.082, -6.103516e-05, 451.6906, 82.09464, 465.031, 371.7544, 304.846, 406.5523, 285.4667, 251.2615, 640.0154, 1318.076, -3.814697e-06, 1075.398, 969.519, 1586.706, 285.0173, 640.7385, 1341.512, 1375.878, 0, 1011.224, 0, 6.103516e-05
1.5, 110.0467, 309.0439, 140.2496, 276.9651, 613.4213, 207.7859, 446.9613, 275.8968, 445.1807, 255.2805, 165.2561, 1127.29, 93.92059, 1160.676, 35.98012, 533.1296, 3.051758e-05, 683.1293, 181.8588, 109.6532, 1627.242, 325.3535, 1196.912, -0.0001220703, 519.8086, 78.61923, 444.7444, 393.2718, 311.64, 387.0458, 273.7819, 361.5081, 609.8022, 1315.206, -1.907349e-06, 1189.227, 1054.166, 1594.911, 272.1662, 827.2075, 1465.718, 1443.494, 0, 1189.701, 0, 6.103516e-05
1.6, 105.4579, 292.274, 133.4406, 264.7014, 586.7388, 378.3727, 421.5877, 305.3966, 500.8403, 243.2568, 152.5952, 1180.891, 89.26544, 1210.009, 34.32045, 556.5087, 3.051758e-05, 648.8466, 174.0184, 104.5211, 1555.186, 311.7149, 1317.511, -0.0001220703, 576.4857, 75.29095, 467.6095, 552.0839, 296.6827, 368.4751, 370.1657, 346.5782, 634.7004, 1426.904, -1.907349e-06, 1129.99, 1002.656, 1729.391, 259.8945, 948.6741, 1436.667, 1470.817, 0, 1214.103, 0, 3.051758e-05
1.7, 112.7959, 311.9478, 126.9621, 252.9807, 729.7196, 361.9102, 487.5582, 291.9231, 497.0504, 313.4094, 338.9687, 1173.913, 84.841, 1149.897, 32.73734, 584.6316, 3.051758e-05, 681.9672, 227.4735, 134.3445, 1604.95, 407.7322, 1341.878, -0.0001220703, 606.5742, 72.10356, 502.8318, 529.5897, 282.4434, 350.7955, 403.2107, 332.2648, 604.7381, 1406.321, -1.907349e-06, 1295.631, 1110.748, 1657.793, 248.1761, 907.7937, 1414.5, 1517.405, 0, 1238.398, 0, 3.051758e-05
1.8, 149.248, 295.0204, 120.7982, 301.9971, 697.9784, 346.164, 459.8799, 279.0441, 476.2502, 298.6479, 537.0791, 1118.787, 200.3317, 1187.763, 48.90314, 559.6842, 3.814697e-05, 647.7429, 269.7823, 128.0568, 1664.389, 390.6404, 1314.284, -0.0001220703, 720.6075, 69.05112, 561.6725, 508.012, 268.8875, 414.0408, 386.7063, 318.5425, 598.4449, 1421.521, -1.907349e-06, 1286.864, 1172.172, 1685.843, 236.9861, 1008.205, 1596.796, 1446.987, 0, 1184.182, 0, 0
1.9, 149.245, 351.5889, 114.9335, 288.6251, 764.5906, 331.1029, 433.7729, 266.7333, 553.5513, 284.5816, 495.9312, 1213.193, 190.4023, 1128.756, 46.64737, 535.8014, 3.051758e-05, 757.4683, 258.1514, 209.9777, 1590.689, 411.3826, 1380.279, -6.103516e-05, 691.1323, 66.1279, 546.3488, 580.8936, 335.487, 394.1749, 370.8775, 305.387, 611.1136, 1357.584, -1.907349e-06, 1259.894, 1114.896, 1616.048, 226.3007, 979.3361, 1621.32, 1379.836, 0, 1196.935, 0, 0
2, 218.8281, 425.7387, 180.1484, 275.845, 750.1572, 316.6971, 409.148, 254.9656, 645.107, 271.1779, 457.9359, 1156.222, 180.965, 1072.681, 91.61991, 644.3285, 3.051758e-05, 776.6183, 333.1327, 204.4622, 1520.252, 753.5399, 1627.269, 94.90179, 739.5415, 63.32842, 574.962, 557.2256, 319.3852, 480.3345, 586.0632, 292.7747, 687.0876, 1392.643, -3.814697e-06, 1241.222, 1239.773, 1839.864, 439.4446, 1048.801, 1670.932, 1466.347, 0, 1399.821, 0, 0
2.1, 209.7034, 402.6365, 171.4023, 263.6309, 789.8696, 302.918, 483.1871, 307.3636, 625.5367, 265.6602, 525.2201, 1219.007, 171.9955, 1019.391, 143.3715, 678.4673, 3.814697e-05, 789.0853, 374.8102, 373.231, 1726.768, 800.1451, 1802.645, 126.788, 891.1873, 60.64746, 677.6877, 653.0917, 304.0562, 457.2878, 728.2365, 347.0676, 844.2218, 1361.013, -3.814697e-06, 1303.648, 1552.969, 1799.589, 419.6305, 1003.606, 1633.946, 1523.936, 0, 1389.612, 0, 3.051758e-05
2.2, 243.5487, 380.7879, 163.0809, 251.9576, 755.5118, 289.7384, 583.3835, 330.9812, 608.6357, 284.4862, 538.3871, 1161.763, 240.0092, 1131.935, 136.7582, 684.6322, 3.051758e-05, 846.7712, 358.6513, 381.7846, 1757.974, 814.5364, 1842.831, 187.9429, 854.7347, 58.08, 648.1242, 626.4821, 393.844, 435.3468, 762.3348, 503.7113, 857.1641, 1393.502, -1.907349e-06, 1251.787, 1477.086, 1725.085, 517.8861, 1180.795, 1746.116, 1643.39, 0, 1379.213, 0, 3.051758e-05
2.3, 233.3932, 360.1249, 155.1634, 325.824, 817.2886, 277.1324, 550.2653, 316.379, 583.166, 271.087, 497.139, 1160.087, 228.1132, 1128.855, 130.4499, 655.4175, 3.814697e-05, 882.9578, 389.5355, 369.8328, 1680.129, 815.8431, 1765.863, 179.9565, 819.7732, 55.62124, 735.4366, 699.7618, 374.9413, 414.4586, 731.1306, 482.9085, 816.7, 1499.638, -1.907349e-06, 1377.917, 1766.083, 1727.488, 494.5352, 1227.561, 1730.093, 1706.204, 0, 1409.377, 0, 3.051758e-05
2.4, 223.6611, 340.5832, 195.2686, 311.3969, 781.7383, 532.1976, 519.0272, 302.4211, 626.1863, 258.3189, 459.0511, 1198.176, 318.2521, 1185.068, 124.4326, 627.4494, 3.051758e-05, 862.0661, 372.7417, 399.9205, 1735.929, 781.6435, 1789.388, 172.3093, 873.4579, 53.26656, 703.3539, 725.1642, 356.9459, 456.1637, 849.5592, 462.9648, 778.146, 1636.915, -3.814697e-06, 1309.282, 1679.787, 1861.896, 472.2371, 1195.763, 1703.399, 1627.024, 0, 1467.609, 74.46972, 3.051758e-05
2.5, 320.2775, 322.1019, 185.7884, 297.6086, 886.5607, 509.0424, 489.5624, 289.0789, 679.0063, 291.5829, 704.3127, 1141.91, 302.4779, 1143.11, 118.6929, 662.489, 3.051758e-05, 890.1221, 356.6719, 381.2032, 1811.532, 893.1075, 1985.318, 164.9872, 949.7842, 51.01157, 771.3591, 695.618, 339.8142, 487.121, 814.7847, 443.8447, 828.1432, 1889.355, -3.814697e-06, 1244.066, 1699.439, 1921.139, 551.6859, 1262.091, 1758.057, 1613.401, 0, 1428.286, 170.58, 3.051758e-05
2.6, 327.1677, 304.6234, 197.9767, 455.5446, 898.5973, 486.8947, 461.7703, 276.3253, 697.0479, 318.3499, 751.0462, 1112.351, 309.0419, 1086.322, 113.2179, 634.2191, 2.288818e-05, 996.6887, 400.429, 456.573, 1844.093, 895.8582, 1902.399, 157.9763, 1027.131, 48.85204, 737.7093, 708.2908, 323.5047, 640.0646, 784.6279, 425.5143, 926.7981, 1943.02, -1.907349e-06, 1255.405, 1616.399, 1862.537, 586.6033, 1268.652, 1920.815, 1727.861, 0, 1510.722, 163.1934, 3.051758e-05
2.7, 313.5255, 354.7127, 188.3651, 435.3736, 866.3703, 465.7106, 549.2415, 264.1345, 746.8669, 318.0056, 693.5054, 1103.56, 382.5222, 1054.131, 107.9954, 806.7667, 1.525879e-05, 1108.91, 383.1656, 435.2043, 1977.299, 914.485, 1844.482, 375.9274, 1057.41, 46.78394, 729.8083, 823.2384, 307.978, 609.3539, 849.2065, 407.9409, 883.0468, 1917.753, -1.907349e-06, 1222.474, 1855.638, 1913.487, 560.1541, 1213.983, 1904.194, 1814.427, 0, 1539.22, 357.6622, 3.051758e-05
2.8, 300.452, 456.5528, 179.2201, 416.0957, 921.9675, 445.4482, 560.1776, 380.942, 850.3232, 362.8177, 729.6068, 1243.575, 363.5625, 1151.876, 103.0139, 772.3403, 1.525879e-05, 1132.406, 585.9456, 414.8356, 1958, 1027.102, 1943.418, 412.6127, 1154.416, 44.80338, 979.7416, 958.2399, 293.1966, 580.1167, 882.2894, 391.0933, 917.6945, 1831.497, -2.861023e-06, 1263.857, 1796.652, 1989.894, 592.2029, 1161.669, 1818.732, 1730.225, 0, 1560.566, 407.8532, 0
2.9, 287.9237, 431.7785, 202.3177, 397.6714, 889.4244, 426.0674, 528.3768, 364.1357, 852.5058, 345.7291, 673.7086, 1354.985, 345.5426, 1112.008, 98.26215, 739.3829, 7.629395e-06, 1089.375, 685.4216, 395.4203, 1913.242, 984.0462, 2032.341, 505.2108, 1137.027, 42.90666, 937.0013, 924.198, 279.1245, 552.2823, 846.1752, 374.9415, 938.9048, 1905.382, -1.907349e-06, 1200.904, 1777.856, 2057.069, 675.3517, 1111.61, 1838.186, 1796.291, 0, 1492.246, 547.365, 3.051758e-05
3, 290.7981, 408.3486, 297.9451, 439.0406, 974.9427, 407.5297, 498.3813, 348.0708, 816.8309, 329.4454, 696.2245, 1356.612, 328.4158, 1056.765, 93.72958, 707.8319, 7.629395e-06, 1096.413, 655.8716, 417.1597, 1828.522, 1130.61, 1947.458, 483.7423, 1148.461, 41.09025, 896.1255, 918.2617, 265.7278, 525.7836, 811.5392, 359.4567, 908.2514, 1878.774, -1.907349e-06, 1310.626, 1776.507, 2047.812, 644.9008, 1063.709, 1899.423, 1812.41, 0, 1619.937, 523.6626, 3.051758e-05
3.1, 278.6724, 386.1901, 283.4801, 419.6003, 987.6609, 389.7987, 512.3879, 332.7146, 782.6487, 313.9286, 750.9312, 1292.906, 312.1379, 1116.303, 89.40608, 677.6272, 7.629395e-06, 1185.536, 627.5954, 397.6356, 1908.142, 1085.509, 2005.107, 463.1861, 1198.695, 39.35073, 857.0329, 880.8478, 252.9741, 500.5562, 1000.567, 344.6115, 1069.594, 1831.872, -9.536743e-07, 1345.296, 1689.701, 2113.351, 725.1736, 1233.675, 1902.131, 1893.696, 0, 1549.017, 726.8306, 3.051758e-05
3.2, 267.0523, 365.2339, 269.7173, 426.3596, 944.6997, 372.8391, 483.3001, 339.1405, 749.8971, 388.7845, 805.182, 1232.191, 296.6668, 1176.281, 85.28202, 648.7114, 3.814697e-06, 1158.48, 600.5383, 379.0253, 1968.754, 1230.583, 1982.724, 443.5034, 1307.255, 37.68485, 921.3734, 844.9584, 240.8326, 476.5392, 1089.894, 330.3793, 1019.102, 1846.049, -9.536743e-07, 1353.146, 1607.137, 2122.115, 692.4763, 1180.513, 2023.841, 1925.009, 0, 1549.365, 717.2421, 3.051758e-05
3.3, 255.9167, 345.4149, 286.4053, 457.1461, 1038.608, 356.6174, 455.8636, 324.1784, 768.0181, 374.3535, 743.4937, 1291.106, 281.9626, 1117.845, 81.34819, 621.0296, 7.629395e-06, 1100.342, 574.6476, 549.3195, 1881.576, 1178.998, 1899.913, 424.6572, 1286.053, 36.08949, 881.1794, 945.3108, 370.419, 453.6746, 1059.762, 316.7349, 1015.721, 1812.245, -9.536743e-07, 1285.744, 1528.607, 2248.812, 716.952, 1129.642, 1942.32, 1885.465, 0, 1558.001, 732.4732, 372.1851
3.4, 245.2454, 326.6714, 356.6184, 540.6976, 1092.316, 341.1014, 470.7205, 329.7978, 771.9421, 356.7215, 686.5315, 1388.36, 267.9872, 1062.312, 77.59582, 594.5289, 7.629395e-06, 1138.683, 549.8733, 583.7367, 1798.258, 1276.632, 1858.697, 406.6117, 1342.645, 34.56167, 1001.079, 1010.624, 421.188, 431.907, 1016.384, 449.2491, 1110.016, 1984.145, -1.907349e-06, 1252.124, 1593.922, 2391.452, 737.9784, 1080.963, 1920.938, 1870.979, 0, 1489.793, 812.816, 355.1224
3.5, 235.0191, 440.7128, 411.1284, 576.1423, 1044.802, 407.3885, 521.5433, 435.2887, 838.0439, 339.9201, 633.9335, 1747.825, 254.7044, 1122.009, 74.01653, 569.1592, 7.629395e-06, 1153.76, 526.1669, 556.4164, 1755.194, 1469.169, 1925.538, 389.3331, 1435.683, 33.09853, 1128.037, 969.4465, 400.973, 411.1839, 1106.655, 430.6954, 1135.737, 1894.902, -9.536743e-07, 1296.955, 1516.038, 2599.527, 766.4888, 1148.297, 1883.135, 1988.319, 0, 1540.578, 777.6188, 338.842
3.6, 225.2193, 557.4785, 391.1683, 781.0691, 1051.408, 417.1974, 491.9358, 416.0847, 802.9742, 370.4903, 849.3939, 1745.297, 242.08, 1116.989, 70.60235, 544.8719, 3.814697e-06, 1095.858, 604.5644, 530.3747, 1677.473, 1502.406, 1902.851, 372.7887, 1376.958, 31.69733, 1078.828, 929.9471, 381.7282, 391.4551, 1172.269, 412.9081, 1082.123, 1887.194, -9.536743e-07, 1232.353, 1527.676, 2661.479, 756.6932, 1136.801, 1865.127, 1941.345, 0, 1473.133, 764.0757, 323.3079
3.7, 215.8281, 527.2276, 372.1773, 746.4841, 1059.789, 474.6845, 506.4198, 488.8851, 890.3823, 380.7626, 784.3183, 1663.338, 230.0813, 1129.565, 67.34565, 521.6211, 3.814697e-06, 1040.863, 620.7626, 505.5518, 1603.193, 1439.426, 1840.025, 356.9474, 1320.636, 30.35545, 1031.765, 954.5922, 363.407, 372.6729, 1187.097, 395.8553, 1031.039, 1858.493, -9.536743e-07, 1233.176, 1570.361, 2551.292, 778.7377, 1087.814, 1815.68, 1851.253, 0, 1535.117, 839.9708, 308.486
3.8, 206.8284, 498.6183, 368.098, 713.4305, 1013.691, 543.6114, 545.6401, 467.3165, 853.1223, 362.8288, 724.2285, 1709.621, 407.9693, 1073.449, 64.23917, 499.3624, 3.814697e-06, 988.6274, 614.7841, 481.8908, 1532.202, 1461.896, 1831.05, 402.23, 1266.618, 29.07038, 1088.96, 915.6981, 345.9652, 354.7918, 1138.506, 379.5068, 982.3667, 1788.917, -9.536743e-07, 1371.436, 1566.225, 2521.583, 809.401, 1040.937, 1783.106, 1996.774, 0, 1467.912, 803.5977, 294.3435
3.9, 198.2041, 471.5613, 350.2271, 681.8406, 1075.452, 536.0724, 570.4529, 498.2572, 889.0801, 345.7397, 668.7423, 1629.338, 387.7483, 1020.121, 61.27599, 478.0536, 141.2234, 939.0134, 678.1058, 508.1916, 1464.355, 1418.445, 1754.574, 385.1376, 1214.809, 27.83971, 1102.226, 878.3887, 369.5617, 337.7687, 1091.904, 363.8336, 935.9921, 1917.377, -9.536743e-07, 1303.124, 1542.619, 2518.359, 772.906, 996.0809, 1819.678, 1939.367, 0, 1533.521, 768.7997, 280.8495
4, 189.9393, 445.9727, 397.0536, 651.6494, 1156.907, 548.385, 570.8517, 522.8853, 921.016, 349.2724, 857.4727, 1552.825, 444.6624, 969.4429, 58.4495, 599.2312, 134.8891, 891.8892, 648.871, 484.407, 1503.107, 1371.376, 1681.293, 438.768, 1396.639, 26.66114, 1189.764, 842.5995, 467.9315, 522.593, 1087.574, 348.8075, 891.8068, 1944.162, -9.536743e-07, 1238.214, 1495.338, 2596.852, 738.0565, 953.1575, 1823.384, 1886.916, 0, 1466.385, 735.5085, 392.1437
4.1, 182.0192, 421.7725, 377.7769, 622.795, 1106.584, 664.6125, 538.4449, 558.0203, 1044.631, 439.1989, 791.7781, 1586.72, 447.4193, 921.2821, 55.75338, 647.0391, 147.3287, 1020.552, 756.1569, 461.7355, 1553.943, 1397.43, 1611.072, 420.123, 1339.512, 25.53246, 1137.861, 969.171, 445.473, 586.8263, 1043.057, 334.402, 849.7072, 1924.982, -9.536743e-07, 1176.538, 1561.123, 2565.71, 704.7783, 1060.819, 1828.663, 1799.35, 0, 1488.692, 703.659, 374.1661
4.2, 174.4294, 398.8855, 383.2169, 595.2183, 1058.45, 738.2983, 545.5217, 581.6265, 1175.852, 418.5128, 731.1167, 1526.45, 425.243, 875.5139, 53.18163, 619.4286, 150.3925, 969.3354, 760.8694, 533.6379, 1500.639, 1389.899, 1633.356, 481.5226, 1284.721, 24.45157, 1088.223, 929.6829, 424.0924, 558.67, 1000.362, 320.5915, 809.5951, 1838.401, -9.536743e-07, 1185.072, 1584.645, 2620.138, 673.0005, 1015.106, 1923.393, 1953.889, 0, 1495.174, 673.1886, 357.0126
4.3, 167.156, 377.2405, 427.5459, 568.8625, 1220.448, 706.1759, 514.5529, 555.9664, 1226.177, 398.8009, 675.1028, 1486.891, 491.7932, 832.0193, 50.7285, 592.9962, 197.866, 920.6896, 728.0665, 508.6624, 1581.01, 1410.55, 1610.933, 461.0608, 1232.172, 23.41644, 1040.751, 891.8037, 407.1898, 783.2546, 959.4148, 307.3513, 771.3765, 1922.445, -4.768372e-07, 1244.866, 1534.071, 2511.664, 642.6557, 971.3629, 1837.07, 1995.838, 0, 1473.252, 729.3719, 437.7428
4.4, 160.1859, 356.77, 594.1831, 543.6739, 1167.361, 675.4512, 547.8754, 531.4383, 1174.865, 380.0175, 980.2045, 1417.068, 467.4175, 790.6856, 48.38853, 567.6918, 188.9912, 1067.317, 784.1177, 484.8557, 1716.928, 1405.759, 1566.008, 441.4684, 1263.891, 22.42512, 1179.016, 1002.963, 522.9174, 923.1921, 944.4512, 294.658, 734.9622, 1835.977, -9.536743e-07, 1342.425, 1459.111, 2627.036, 613.679, 929.5046, 1952.777, 1903.217, 0, 1451.526, 697.7881, 469.5102
4.5, 153.5064, 337.4103, 565.3359, 519.6005, 1210.162, 710.5833, 516.7729, 507.9924, 1125.7, 362.1188, 905.1069, 1673.731, 444.2501, 751.4053, 50.15759, 543.4673, 180.5145, 1147.36, 750.3125, 577.8546, 1640.901, 1450.316, 1667.013, 422.7086, 1352.089, 21.47577, 1230.816, 978.9205, 497.8199, 927.7445, 916.2827, 282.4889, 700.2668, 1881.137, -9.536743e-07, 1275.558, 1588.747, 2518.275, 736.5233, 977.196, 1865.135, 1928.446, 0, 1387.98, 695.0363, 511.6395
4.6, 147.1055, 386.7473, 631.2901, 570.162, 1157.522, 679.6667, 487.4362, 520.0337, 1085.632, 345.0631, 835.7629, 1595.133, 422.2308, 714.0763, 47.84395, 660.5073, 172.4179, 1182.904, 717.9648, 570.6547, 1568.241, 1389.519, 1597.388, 462.612, 1347.639, 20.56661, 1177.123, 939.0352, 473.9268, 974.9903, 878.777, 339.2825, 730.708, 1796.527, -4.768372e-07, 1212.021, 1553.643, 2564.829, 703.3143, 935.0865, 1915.582, 1838.952, 0, 1490.439, 748.8035, 488.1836
4.7, 140.9715, 365.761, 600.6414, 544.9158, 1107.173, 864.8105, 497.3352, 590.194, 1064.486, 328.8107, 950.6185, 1622.75, 481.1249, 736.4086, 45.63704, 718.1472, 164.6845, 1204.751, 687.0117, 543.9466, 1717.444, 1331.272, 1648.473, 442.9537, 1331.413, 19.69593, 1152.806, 907.3603, 451.1806, 928.2098, 1117.846, 353.517, 708.9661, 1765.868, -4.768372e-07, 1369.267, 1477.727, 2608.788, 671.6026, 936.8099, 1829.61, 1783.36, 0, 1425.19, 1010.859, 574.0042
4.8, 135.0932, 429.1654, 622.6476, 653.4695, 1148.18, 827.1838, 559.6949, 564.1559, 1168.044, 313.3239, 912.4659, 1942.781, 457.278, 727.0573, 43.53193, 944.2059, 198.4874, 1260.856, 657.393, 538.931, 1731.365, 1500.129, 1579.623, 424.1308, 1457.688, 18.86212, 1206.472, 870.3906, 429.5261, 883.6738, 1161.772, 338.9171, 733.0075, 1686.444, 0, 1301.063, 1513.723, 2663.698, 641.3207, 958.3422, 1934.955, 2032.915, 0, 1416.326, 988.004, 547.6892
4.9, 129.4601, 405.8773, 592.4185, 646.066, 1195.025, 791.1942, 527.9214, 579.6432, 1119.164, 298.5664, 1041.278, 2395.31, 467.0087, 690.9379, 41.52391, 965.4955, 189.5847, 1197.58, 629.0512, 513.7077, 1715.073, 1437.245, 1558.261, 406.1078, 1398.063, 18.06361, 1293.721, 834.9272, 408.9109, 841.2746, 1216.509, 598.9257, 791.92, 1767.521, 0, 1256.298, 1439.758, 2726.259, 612.4042, 1051.26, 1915.844, 2118.449, 0, 1517.223, 1059.582, 522.5806
