 , C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C016, C018, C020, C021, C022, C023, C026, C027, C030, C031, C032, C034, C035, C036, C037, C038, C039, C040, C044, C045, C046, C049, C050, C060, C062, C063, C064, C072, C081, C082, C083, C086, C093
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
218.4, 7596.068, 701.0158, 425.9685, 7.707316, 0.9749569, 419.3076, 341.6778, 857.144, 626.839, 716.5432, 702.8096, 626.207, 289.6187, 349.6688, 2955.239, 544.5659, 1414.671, 168.6596, 464.7085, 1054.075, 936.7637, 2788.288, 4234.535, 1044.828, 7019.118, 2473.548, 2965.312, 3481.77, 848.3918, 1795.482, 5766.815, 3057.16, 1043.775, 33.35719, 859.8419, 1177.605, 1313.335, 232.7849, 2158.22, 2270.28, 348.8904, 1040.726, 3244.182, 2090.11, 3013.249, 1109.942
218.5, 7470.843, 662.9761, 405.288, 7.366045, 0.9325484, 401.0641, 322.2811, 891.5303, 600.6075, 682.7943, 648.9645, 596.8005, 275.2638, 332.2976, 2955.817, 521.3281, 1351.22, 160.1954, 506.5957, 1004.742, 895.2831, 2671.405, 4400.041, 1085.636, 6950.071, 2412.975, 3060.219, 3481.307, 807.673, 1836.691, 5659.35, 3067.428, 994.5015, 31.85685, 894.2648, 1118.947, 1249.161, 223.1475, 2155.425, 2296.148, 333.232, 992.4286, 3176.849, 1998.608, 2971.791, 1120.838
218.6, 7427.334, 627.0005, 443.8875, 7.039884, 0.8919845, 383.6143, 303.9854, 864.1547, 575.4738, 656.4617, 599.2446, 568.775, 261.6203, 315.7895, 3018.977, 499.0819, 1414.159, 152.1561, 484.7552, 957.7176, 855.6393, 2607.806, 4234.959, 1039.503, 6910.823, 2398.465, 2957.657, 3457.309, 768.9085, 1748.566, 5427.699, 3019.628, 947.5541, 30.424, 894.72, 1063.212, 1188.123, 213.9091, 2058.239, 2197.202, 318.2763, 946.3729, 3246.169, 2092.007, 3025.065, 1289.179
218.7, 7482.687, 592.9771, 429.4681, 6.728165, 0.8531851, 366.9238, 286.7284, 826.03, 551.3918, 627.2015, 716.3259, 542.0656, 248.6532, 300.1014, 3062.128, 477.785, 1350.73, 144.5201, 601.5133, 912.894, 891.9843, 2618.108, 4159.416, 1041.272, 6853.361, 2467.675, 2900.936, 3348.829, 732.0045, 1739.099, 5620.09, 3069.337, 902.8229, 29.0556, 848.4733, 1010.252, 1329.341, 205.0532, 1995.69, 2253.23, 303.9919, 902.4545, 3176.937, 2089.45, 2894.071, 1287.645
218.8, 7405.78, 560.7999, 435.9149, 6.430248, 0.8160734, 619.1257, 270.4511, 814.6738, 528.3177, 650.4423, 778.6158, 574.6125, 236.3287, 285.1927, 3408.842, 457.3969, 1354.924, 137.2674, 575.5807, 870.1683, 953.7392, 2632.278, 4153.344, 1074.366, 6881.89, 2363.208, 2961.952, 3212.384, 696.8718, 1655.656, 5421.489, 3068.951, 860.2033, 27.74874, 839.1165, 959.9309, 1318.496, 196.5639, 2132.394, 2198.832, 290.3485, 860.5742, 3168.617, 2098.459, 2768.75, 1305.752
218.9, 7299.074, 530.3688, 414.7516, 6.145524, 0.780576, 592.1884, 255.0978, 778.7321, 506.2091, 703.3395, 1070.545, 547.629, 224.6151, 271.0247, 3526.403, 437.8788, 1294.152, 130.3787, 550.7661, 829.4423, 911.5069, 2562.881, 4065.51, 1062.014, 6839.622, 2263.164, 2832.74, 3253.429, 745.5579, 1688.855, 5524.002, 3043.391, 819.5957, 26.50067, 962.7219, 912.1161, 1254.07, 188.426, 2036.246, 2104.079, 277.3174, 820.6375, 3180.649, 2120.198, 2887.243, 1325.845
219, 7261.982, 649.97, 394.6156, 5.873406, 0.7466226, 566.4231, 240.6161, 790.8113, 485.0257, 670.2125, 988.5265, 740.5412, 213.4821, 257.5605, 3420.125, 419.1936, 1236.106, 123.8356, 527.0212, 790.6224, 871.1447, 2472.557, 4136.707, 1100.857, 6802.394, 2249.008, 2850.66, 3286.369, 709.7746, 1687.508, 5568.305, 3049.026, 780.905, 25.30873, 912.9602, 866.6829, 1192.792, 180.6251, 2033.91, 2078.041, 264.8712, 782.554, 3176.851, 2027.378, 2827.598, 1265.062
219.1, 7212.592, 614.7002, 375.4573, 5.613338, 0.7141461, 541.7788, 226.9565, 755.9224, 464.7287, 638.6456, 912.7914, 705.7656, 202.9008, 244.7652, 3438.107, 401.3058, 1255.983, 117.621, 504.3001, 753.6193, 832.5697, 2368.909, 3963.933, 1054.077, 6773.079, 2338.64, 2882.123, 3152.468, 675.7088, 1606.541, 5354.586, 3055.038, 744.0408, 24.17039, 865.7706, 823.5128, 1197.388, 173.1472, 2029.914, 1988.494, 252.9836, 746.238, 3175.949, 2027.477, 2809.498, 1207.066
219.2, 7079.468, 581.3442, 357.2291, 5.364785, 0.6830823, 518.2067, 214.0724, 806.8033, 445.2812, 608.5656, 842.8586, 672.6231, 192.8441, 232.6055, 3404.829, 384.1812, 1347.286, 111.7182, 482.5586, 718.3481, 795.7029, 2368.366, 3918.171, 1058.042, 6639.658, 2239.636, 2798.426, 3087.573, 643.278, 1529.458, 5135.41, 3154.298, 708.9169, 23.08326, 863.6896, 782.493, 1187.79, 165.9788, 2079.264, 2002.061, 241.6296, 711.6072, 3213.83, 2024.136, 2729.675, 1291.953
219.3, 6852.032, 549.7983, 339.8859, 5.127237, 0.6533697, 495.6602, 201.9197, 771.2089, 461.4377, 663.8367, 778.2838, 641.037, 183.2858, 221.0499, 3247.773, 367.7874, 1350.142, 106.1116, 461.7543, 684.7276, 760.4686, 2326.26, 4008.539, 1013.081, 6591.187, 2144.823, 2839.17, 2961.773, 612.4036, 1456.074, 5545.047, 3024.028, 675.451, 22.04503, 995.5771, 904.0916, 1129.751, 159.1072, 2065.157, 1915.788, 230.7851, 678.5836, 3076.948, 1935.521, 2813.8, 1232.724
219.4, 6773.795, 787.3563, 416.8485, 4.900208, 0.6249495, 474.0947, 190.4569, 767.2446, 468.0167, 632.5701, 718.6562, 610.9341, 174.2012, 210.0684, 3154.627, 352.0931, 1289.584, 100.7865, 441.847, 652.6807, 726.7944, 2228.745, 3920.077, 1058.23, 6617.995, 2059.278, 2761.308, 3031.574, 583.0112, 1386.211, 5660.329, 2995.229, 643.5651, 21.05349, 944.1171, 898.2767, 1074.547, 152.5201, 1972.042, 1898.277, 220.4273, 777.8409, 3042.688, 1987.988, 2798.208, 1234.605
219.5, 6700.162, 744.6313, 396.6108, 4.683232, 0.5977655, 453.4675, 179.6448, 830.4586, 482.3061, 632.0005, 663.597, 582.2449, 165.567, 199.6325, 3234.24, 337.0685, 1231.743, 95.72851, 422.7979, 622.1336, 694.6114, 2143.096, 3901.447, 1013.262, 6528.474, 2030.172, 2746.344, 2908.055, 555.0294, 1434.133, 5428.638, 2987.429, 613.1843, 20.10655, 895.3171, 954.8676, 1118.019, 146.2057, 1981.852, 1816.476, 210.5343, 804.7406, 3101.836, 1987.031, 2756.51, 1206.155
219.6, 6593.105, 704.2249, 400.036, 4.475863, 0.571764, 433.7377, 169.4465, 815.285, 505.764, 635.8565, 612.756, 554.9029, 157.3607, 189.715, 3096.442, 322.6851, 1279.309, 90.92439, 644.2446, 593.0162, 663.8535, 2153.069, 3834.885, 1167.693, 6575.089, 2086.475, 2626.537, 2823.422, 528.3906, 1415.12, 5481.643, 2964.684, 584.2377, 19.2022, 849.0394, 907.3049, 1140.024, 140.1527, 1969.429, 1839.163, 201.0854, 767.3949, 2969.724, 2126.077, 2777.848, 1244.57
219.7, 6450.837, 666.011, 380.6145, 4.277677, 0.5468935, 414.8664, 159.8271, 835.5945, 496.4365, 643.8008, 565.8102, 528.8448, 149.5611, 180.2901, 3126.118, 308.9155, 1221.929, 86.36137, 616.4697, 602.2542, 634.4575, 2144.774, 3847.583, 1184.591, 6547.028, 2117.795, 2657.272, 2861.566, 532.0764, 1347.222, 5257.266, 3153.622, 556.6576, 18.33853, 805.1538, 862.1115, 1084.319, 134.3503, 1924.832, 1896.013, 192.0606, 731.7823, 3033.332, 2210.053, 2743.206, 1187.513
219.8, 6504.712, 629.8707, 362.136, 4.088265, 249.2347, 396.8161, 150.7539, 821.317, 475.662, 691.3887, 522.4612, 504.0105, 142.1481, 171.3335, 3045.792, 295.7334, 1230.867, 82.02734, 589.8922, 574.0673, 668.8929, 2054.866, 3953.555, 1134.253, 6436.458, 2043.769, 2588.914, 2744.974, 526.0845, 1282.582, 5042.707, 3184.689, 597.6442, 205.6225, 763.5366, 819.1691, 1224.399, 128.7882, 1838.043, 1870.848, 183.4408, 697.8224, 3059.824, 2152.815, 2807.815, 1306.527
219.9, 6507.731, 595.6916, 344.5545, 3.907241, 238.3935, 379.5512, 142.1957, 785.0822, 516.9798, 658.8245, 482.4333, 480.3423, 135.1026, 162.8219, 3019.78, 283.1138, 1175.659, 77.91082, 564.4606, 547.1995, 765.0243, 1977.901, 3788.431, 1086.054, 6282.885, 2097.516, 2516.176, 2810.716, 500.835, 1316.645, 5096.443, 3053.164, 569.4312, 268.6841, 842.2787, 778.3657, 1164.571, 123.4563, 1855.922, 1986.987, 175.2078, 665.4385, 3061.717, 2193.032, 2795.948, 1296.054
220, 6534.394, 563.3671, 327.8266, 3.734232, 228.0239, 363.0374, 134.1234, 800.3257, 495.3456, 641.147, 445.472, 457.7856, 128.4062, 154.7331, 2993.021, 271.0328, 1174.491, 74.00089, 540.1254, 521.5892, 765.9623, 2100.781, 3762.735, 1039.903, 6358.01, 2133.614, 2527.421, 2696.196, 698.6929, 1312.573, 5244.635, 3142.056, 630.0314, 256.5993, 825.4023, 739.5947, 1107.667, 118.3451, 1873.482, 1939.795, 167.3444, 759.8678, 3048.49, 2247.199, 2814.557, 1305.124
220.1, 6422.151, 620.2058, 311.9108, 3.568884, 218.1053, 347.2422, 126.5093, 864.5817, 584.4865, 610.9492, 411.3426, 436.2882, 318.4489, 147.0461, 2997.073, 259.4672, 1225.752, 70.28716, 516.8393, 558.5031, 746.412, 2167.509, 3833.216, 995.7133, 6360.586, 2088.722, 2563.32, 2708.475, 725.0381, 1300.217, 5210.946, 3012.292, 600.2896, 245.058, 885.9304, 888.303, 1053.542, 113.4456, 1986.745, 1933.173, 477.7939, 922.4034, 2998.376, 2279.481, 2692.679, 1363.807
220.2, 6445.207, 617.9527, 388.7601, 3.410858, 208.6182, 332.1342, 119.3275, 858.5977, 560.0273, 582.1737, 379.8279, 415.8003, 302.6651, 139.741, 3022.036, 248.3952, 1283.656, 66.75982, 494.5572, 687.937, 777.1403, 2149.53, 3853.744, 953.4014, 6512.015, 2095.25, 2513.325, 2876.008, 690.2397, 1237.832, 5210.105, 3055.18, 636.4707, 234.0358, 865.34, 860.2697, 1002.063, 108.7489, 2097.093, 1926.674, 456.3502, 879.5974, 2923.724, 2179.688, 2712.369, 1429.873
220.3, 6334.269, 584.4202, 369.886, 3.259829, 199.5438, 317.6834, 112.5533, 880.2339, 536.5918, 576.1038, 350.7278, 396.2744, 329.6386, 132.7988, 3093.203, 237.7957, 1239.91, 63.40949, 473.2357, 777.8934, 879.3711, 2197.45, 3933.461, 970.959, 6399.45, 2098.413, 2502.07, 2809.696, 675.5619, 1556.083, 5118.186, 3219.575, 649.4537, 223.5094, 820.6118, 1010.708, 1096.071, 104.2467, 2020.381, 2077.503, 435.8688, 929.5537, 3165.668, 2171.899, 2871.614, 1364.321
220.4, 6425.812, 552.7074, 351.9283, 3.115487, 190.864, 303.8615, 106.1638, 841.3998, 551.028, 628.9769, 323.8571, 377.6655, 354.3198, 126.2015, 3011.558, 227.6484, 1184.297, 60.2273, 452.8334, 797.5925, 925.3881, 2330.607, 3938.781, 1095.639, 6482.119, 2014.523, 2468.151, 2881.194, 656.4446, 1481.421, 5291.454, 3328.732, 634.1566, 213.4565, 835.1731, 1084.185, 1042.513, 99.9308, 1970.991, 2076.301, 416.3067, 1043.545, 3248.437, 2076.816, 2863.558, 1405.478
220.5, 6345.569, 695.3871, 381.8179, 2.977536, 182.5619, 290.6408, 100.1369, 804.2791, 533.2662, 599.3522, 299.045, 359.9305, 336.758, 119.932, 3022.758, 217.9342, 1173.912, 57.20481, 433.3107, 1017.784, 1039.761, 2426.79, 4007.644, 1049.08, 6530.145, 2004.926, 2360.48, 3102.407, 891.9951, 1635.808, 5524.948, 3250.985, 734.8318, 203.8557, 853.7076, 1270.065, 991.5726, 95.79362, 1965.995, 2161.632, 397.6226, 1235.966, 3160.886, 2090.913, 2883.292, 1445.483
