 , C000, C001, C002, C003, C004, C006, C008, C009, C010, C011, C012, C013, C014, C022, C024, C025, C029, C030, C031, C033, C034, C035, C038, C039, C040, C043, C050, C051, C053, C054, C055, C057, C059, C062, C068, C070, C074, C076, C080, C090, C095, C096, C100, C117
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
275.2, 1.870371, 854.2888, 287.5585, 653.0373, 128.1526, 999.3579, 1228.713, 410.9259, 21.87444, 769.1282, 24.62175, 431.4382, 776.8281, 3634.718, 1312.605, 1.37684, 0.02117297, 346.6529, 2090.338, 1668.986, 722.819, 1402.829, 2235.04, 1649.738, 558.91, 1.379784, 245.6378, 334.3672, 528.4701, 1080.312, 1110.609, 1475.711, 1235.245, 626.2178, 0.04138324, 1294.446, 2533.304, 0.484075, 1429.7, 848.9889, 483.6801, 77.86934, 0.001660636, 1567.427
275.3, 1.781503, 814.2692, 335.9991, 621.7836, 122.091, 950.4303, 1310.916, 391.2537, 20.83799, 731.4933, 23.37288, 438.4544, 740.3387, 3619.244, 1254.048, 1.315513, 0.02018104, 326.6649, 2046.58, 1620.604, 795.2151, 1371.192, 2267.525, 1579.193, 527.2302, 1.321408, 232.9032, 319.8864, 505.8822, 1028.55, 1172.066, 1409.976, 1183.498, 599.9911, 0.03962453, 1232.888, 2524.452, 0.4619921, 1500.611, 869.6732, 462.6014, 74.06774, 0.001578458, 1583.182
275.4, 1.696856, 843.3643, 318.7735, 638.8574, 116.3161, 1077.021, 1262.43, 583.4818, 19.85064, 695.7, 22.18736, 417.9806, 705.5634, 3605.748, 1278.748, 1.256919, 0.01923557, 307.8294, 1959.169, 1577.276, 754.5324, 1418.702, 2172.927, 1511.665, 497.3459, 1.265502, 220.8288, 306.0327, 484.2597, 1108.224, 1169.026, 1475.786, 1174.171, 574.8628, 0.03794057, 1256.477, 2431.973, 0.4409164, 1540.951, 825.6392, 442.4413, 70.45174, 0.001500346, 1601.704
275.5, 1.616232, 835.0167, 353.4542, 608.2824, 110.8143, 1095.681, 1280.127, 555.5488, 18.91008, 835.3412, 21.06197, 461.1352, 672.4216, 3450.908, 1221.702, 1.200934, 0.0183344, 290.0799, 2051.65, 1509.607, 715.931, 1412.231, 2082.276, 1554.427, 469.1556, 1.211962, 209.3803, 292.7789, 463.5614, 1131.037, 1142.652, 1410.047, 1230.173, 550.7869, 0.03632817, 1196.724, 2510.188, 0.4208023, 1476.418, 783.8348, 423.1598, 67.01227, 0.0014261, 1640.144
275.6, 1.539439, 795.8999, 335.3337, 643.6704, 105.5728, 1078.526, 1271.385, 528.9531, 18.01408, 794.4664, 19.99367, 439.6022, 640.8365, 3519.296, 1167.201, 1.147443, 0.01747545, 273.3539, 1964.022, 1444.842, 679.3045, 1418.53, 2094.474, 1533.709, 442.5632, 1.160686, 198.5254, 280.0992, 443.7479, 1117.776, 1095.016, 1420.59, 1178.639, 527.7193, 0.03478429, 1139.813, 2402.89, 0.4016057, 1414.587, 952.3115, 404.7185, 63.74071, 0.001355528, 1617.701
275.7, 1.466294, 758.6155, 318.1422, 612.8651, 100.5792, 1025.722, 1310.575, 503.6305, 193.6309, 755.5916, 18.97955, 419.0747, 610.735, 3482.918, 1273.023, 1.096335, 0.01665674, 257.5923, 1930.585, 1508.322, 644.5518, 1457.014, 2093.418, 1578.697, 417.4781, 1.11158, 188.2333, 267.9685, 424.7812, 1142.967, 1049.366, 1357.311, 1262.88, 505.6178, 0.03330603, 1085.609, 2392.485, 0.3832849, 1459.267, 904.0933, 387.0809, 60.62887, 0.001288448, 1614.928
275.8, 1.396625, 762.1821, 376.5229, 583.534, 95.82182, 1039.974, 1355.83, 479.5202, 184.4563, 718.6191, 18.01686, 399.5058, 582.0474, 3566.333, 1245.138, 1.047503, 0.01587639, 242.7395, 2100.7, 1443.611, 745.202, 1510.138, 2100.082, 1562.383, 393.8148, 1.064551, 178.4747, 256.3633, 406.6251, 1088.202, 1005.619, 1413.838, 1209.976, 484.442, 0.03189059, 1033.982, 2420.936, 0.3657998, 1398.155, 963.6057, 370.212, 57.66895, 0.001224688, 1539.595
275.9, 1.330266, 726.4773, 545.8356, 555.6067, 91.28945, 1113.901, 1292.902, 456.5642, 175.7163, 778.3439, 17.10301, 380.8507, 554.7074, 3461.233, 1189.591, 1.000846, 0.01513259, 228.7432, 2010.977, 1520.185, 757.6103, 1482.9, 2068.083, 1551.537, 371.4927, 1.019512, 169.222, 245.2606, 389.2451, 1036.062, 1116.093, 1462.782, 1159.288, 464.153, 0.03053531, 984.8107, 2431.22, 0.3491125, 1458.864, 1001.07, 354.0782, 54.85354, 0.001164083, 1614.623
276, 1.267059, 816.5655, 584.2755, 529.016, 86.97147, 1105.044, 1390.745, 434.7071, 167.3905, 807.4137, 16.23551, 399.3671, 528.6516, 3445.846, 1186.516, 0.9562671, 0.01442364, 215.5538, 2157.184, 1581.793, 856.0947, 1524.54, 2098.632, 1552.942, 350.436, 0.976379, 160.449, 283.3271, 509.3289, 1081.27, 1212.891, 1397.623, 1332.021, 444.7137, 0.02923762, 937.9775, 2412.25, 0.3331863, 1561.357, 1121.868, 338.6475, 52.17558, 0.001106477, 1623.154
276.1, 1.206856, 778.313, 594.0426, 503.6979, 82.85772, 1064.262, 1399.125, 413.8964, 159.4592, 879.2753, 15.41201, 380.7184, 503.8197, 3364.623, 1133.584, 0.9136738, 0.01374791, 203.125, 2113.966, 1624.527, 895.1922, 1561.401, 2110.971, 1522.286, 330.5727, 0.9350705, 152.1309, 333.5898, 487.5591, 1073.678, 1162.327, 1491.525, 1276.22, 426.0886, 0.02799508, 893.3715, 2379.601, 0.3179867, 1700.033, 1065.065, 323.8893, 49.62835, 0.001051722, 1678.084
276.2, 1.149514, 741.8525, 603.4753, 479.5915, 78.93855, 1164.931, 1379.797, 456.1998, 151.9037, 856.0179, 14.63028, 362.9406, 480.1542, 3399.342, 1117.355, 0.8729777, 0.01310383, 191.4128, 2023.677, 1725.529, 872.3603, 1563.322, 2022.905, 1559.954, 448.9609, 0.8955097, 144.2439, 319.1426, 466.7198, 1216.316, 1113.871, 1425.086, 1222.757, 408.2435, 0.02680534, 919.0107, 2504.672, 0.3034805, 1628.837, 1073.034, 309.7743, 47.20548, 0.0009996766, 1680.537
276.3, 1.094896, 707.1, 639.2373, 456.6387, 75.20476, 1179.74, 1382.911, 434.3602, 194.5175, 894.3665, 13.88821, 392.9613, 457.6003, 3326.346, 1190.976, 0.8340943, 256.8268, 180.3759, 1937.244, 1680.292, 874.6946, 1625.884, 2111.978, 1493.249, 423.5131, 0.8576226, 184.7842, 305.3211, 446.7712, 1158.037, 1067.435, 1361.606, 1171.534, 391.1458, 0.02566617, 953.7076, 2420.101, 0.289636, 1560.624, 1018.704, 296.2743, 44.90089, 0.0009502066, 1706.89
