 , C000, C001, C002, C006, C008, C009, C010, C011, C013, C016, C017, C018, C020, C026, C030, C033, C034, C038, C039, C040, C045, C053, C055, C056, C063, C064, C083, C085, C086, C089, C091, C094, C095, C098, C107, C121, C125
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
41, 188.1068, 42.26899, 1258.155, 386.2016, 33.82219, 1606.255, 2031.711, 424.5457, 298.1142, 467.8545, 414.2837, 980.9216, 1478.301, 736.4238, 297.251, 338.1812, 913.1195, 288.3968, 740.9708, 69.36195, 90.06911, 1238.293, 62.82686, 1428.514, 1993.952, 1690.036, 1805.802, 1935.748, 1872.456, 657.2916, 1287.099, 497.7398, 976.7117, 1315.495, 1480.983, 2345.353, 2683.419
41.1, 179.9326, 40.48532, 1205.261, 370.3911, 32.39486, 1684.432, 1964.187, 405.8652, 285.0486, 448.5446, 459.438, 938.641, 1592.469, 767.6103, 283.8901, 322.8819, 872.0289, 306.8416, 707.7296, 105.9517, 86.43523, 1184.362, 60.20339, 1365.51, 1995.901, 1712.478, 1728.833, 2071.853, 1793.238, 764.7497, 1359.834, 476.7185, 1014.368, 1258.695, 1545.399, 2329.807, 2560.672
41.2, 247.7735, 38.77693, 1385.012, 431.5166, 31.02776, 1679.016, 1875.658, 392.3671, 415.6788, 430.0317, 440.3114, 963.7047, 1557.176, 736.274, 312.4257, 308.2747, 994.4868, 293.2804, 717.8007, 101.3028, 82.94796, 1132.78, 57.68947, 1305.285, 1907.295, 1712.176, 1655.143, 1981.773, 1769.334, 897.5997, 1300.447, 456.5851, 968.4349, 1377.528, 1478.522, 2356.415, 2542.016
41.3, 237.0065, 37.14062, 1347.922, 456.2425, 29.71835, 1633.977, 1882.741, 430.4362, 397.4607, 412.2829, 432.8978, 922.1661, 1489.739, 706.2171, 401.5547, 294.3283, 949.7347, 280.3186, 685.5989, 216.2627, 79.60138, 1223.055, 123.9846, 1247.717, 1934.241, 1633.597, 1680.047, 1956.195, 1785.301, 852.7645, 1396.796, 437.3019, 992.9986, 1461.568, 1565.906, 2356.407, 2526.63
41.4, 226.7074, 35.57337, 1291.254, 437.5645, 28.4642, 1618.303, 1998.121, 411.4965, 499.7744, 407.3028, 427.0426, 882.418, 1453.048, 692.1497, 399.8138, 459.6014, 966.9409, 450.3153, 673.872, 210.2602, 76.38983, 1197.295, 118.8074, 1315.006, 1848.373, 1627.762, 1608.437, 1991.836, 1732.42, 810.1688, 1401.17, 418.8332, 970.4149, 1398.461, 1498.141, 2259.192, 2512.334
41.5, 357.289, 34.07225, 1360.183, 419.6512, 27.26298, 1633.411, 1932.975, 393.3902, 477.8706, 411.9051, 409.2647, 844.3832, 1477.611, 663.894, 389.1235, 438.809, 1109.112, 430.4132, 643.6411, 201.0346, 73.30785, 1145.15, 113.8463, 1312.856, 1766.316, 1602.03, 1539.88, 2119.011, 1749.702, 962.791, 1339.978, 401.1444, 939.3681, 1395.12, 1433.308, 2344.525, 2537.646
41.6, 341.763, 32.63447, 1438.581, 490.8858, 26.11245, 1554.949, 1947.781, 376.0805, 456.9268, 394.9044, 392.2269, 814.3046, 1413.619, 636.7917, 371.6331, 418.9572, 1059.202, 417.6593, 675.0796, 249.9069, 70.3502, 1153.53, 109.0924, 1385.627, 1742.806, 1528.507, 1590.151, 2077.079, 1675.677, 914.6994, 1341.611, 384.2027, 989.2677, 1389.445, 1619.978, 2350.271, 2421.567
41.7, 326.9117, 31.25736, 1378.102, 497.0711, 25.01047, 1554.816, 1859.991, 359.5326, 436.9008, 378.6054, 375.8984, 790.2368, 1543.22, 610.796, 354.929, 400.0035, 1033.482, 399.2005, 644.7944, 238.9416, 67.51189, 1103.29, 104.537, 1413.88, 1818.777, 1731.686, 1522.373, 1986.772, 1698.424, 869.0101, 1283.02, 367.9765, 944.4713, 1329.451, 1549.873, 2253.309, 2422.692
41.8, 312.7057, 29.93837, 1320.165, 476.7217, 23.955, 1480.128, 1916.685, 343.7127, 417.7526, 362.9791, 360.2496, 756.1752, 1528.738, 585.8614, 432.1148, 381.9073, 986.975, 424.6042, 615.8679, 228.4575, 64.78809, 1055.239, 100.1719, 1351.522, 1738.034, 1725.874, 1622.611, 2052.265, 1672.142, 825.6029, 1226.988, 352.4356, 901.7034, 1521.919, 1482.802, 2367.094, 2311.872
41.9, 299.117, 28.67503, 1281.421, 457.2053, 22.94407, 1493.727, 1830.297, 328.589, 399.4435, 347.9977, 345.2523, 827.216, 1462.532, 561.9447, 412.6921, 364.6298, 942.5609, 405.8384, 659.0522, 218.4334, 62.17418, 1009.28, 95.98899, 1291.915, 1780.217, 1708.941, 1635.58, 2147.97, 1619.609, 784.364, 1206.238, 337.5511, 927.4114, 1456.206, 1497.619, 2322.593, 2337.763
42, 286.1189, 27.46501, 1235.606, 486.3407, 21.97581, 1447.211, 1917.58, 345.0229, 421.2846, 333.6347, 417.3241, 791.5605, 1504.137, 539.0044, 394.1424, 348.1339, 985.9369, 437.3728, 665.255, 208.8492, 59.66573, 1125.188, 91.98077, 1325.902, 1701.186, 1630.511, 1565.866, 2054.581, 1551.087, 745.1849, 1254.9, 323.2952, 929.0249, 1393.33, 1432.81, 2226.772, 2398.795
42.1, 273.6856, 26.30604, 1183.66, 466.4305, 21.0484, 1424.177, 1831.151, 329.8415, 402.8208, 319.8645, 583.4211, 757.442, 1562.158, 517.0005, 376.4265, 332.3843, 941.5695, 418.0428, 635.4106, 199.6854, 57.25849, 1076.183, 88.13992, 1267.424, 1760.554, 1709.721, 1499.123, 1965.251, 1656.115, 707.9628, 1279.86, 309.6413, 886.9565, 1432.888, 1370.804, 2285.625, 2361.155
42.2, 261.7925, 25.19598, 1260.783, 447.3355, 20.16013, 1410.921, 1748.619, 315.3281, 413.1446, 306.6627, 559.1331, 724.7939, 1525.979, 495.895, 359.5068, 317.3472, 940.6348, 399.567, 650.221, 190.9238, 54.94837, 1029.312, 84.45945, 1211.526, 1682.396, 1631.255, 1567.186, 2054.598, 1586.05, 672.6, 1223.966, 296.5641, 846.793, 1371.019, 1488.324, 2191.33, 2345.042
42.3, 250.4163, 24.13277, 1225.329, 429.0222, 19.30935, 1446.185, 1846.236, 301.4533, 462.7254, 294.0057, 576.1794, 737.1308, 1629.828, 475.651, 343.3477, 302.9904, 898.306, 381.9078, 641.8118, 182.5465, 52.73145, 1083.003, 80.93267, 1158.092, 1661.234, 1641.239, 1500.387, 1965.268, 1615.784, 639.0035, 1170.513, 284.0392, 808.4482, 1311.821, 1423.916, 2289.599, 2282.08
42.4, 239.5345, 23.11442, 1173.816, 411.4586, 18.49448, 1450.834, 1763.023, 360.9132, 571.9083, 281.8711, 566.3938, 790.5863, 1559.244, 456.2335, 327.9149, 289.2831, 857.882, 365.029, 613.019, 174.5369, 50.60397, 1035.836, 77.55315, 1107.015, 1628.134, 1684.156, 1496.971, 1974.313, 1727.62, 607.0852, 1225.422, 272.0432, 771.8397, 1255.18, 1469.88, 2195.14, 2307.325
42.5, 229.1255, 22.13904, 1208.739, 494.0663, 17.71399, 1499.397, 1683.561, 345.0326, 546.843, 270.2373, 623.8582, 756.5097, 1491.716, 437.6086, 313.1758, 276.1959, 907.5161, 348.8962, 644.0546, 166.8787, 48.56233, 990.7221, 74.31476, 1058.191, 1555.855, 1676.128, 1504.677, 1919.369, 1746.849, 576.7612, 1171.905, 260.5539, 736.889, 1327.311, 1406.27, 2164.811, 2201.782
