 , C000, C005, C006, C007, C008, C010, C015, C016, C018, C019, C020, C021, C027, C028, C030, C031, C032, C033, C036, C044, C048, C049, C053, C057, C059, C063, C064, C066, C069, C070, C075, C076, C077, C078, C083, C102, C103, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
77.2, 2025.89, 10.26137, 1216.53, 188.1535, 346.9925, 0.7798142, 934.8751, 89.19987, 1152.524, 1881.467, 403.5213, 3.581255, 254.356, 257.7284, 937.1714, 574.7501, 1426.043, 1420.106, 14.6886, 739.3861, 680.3932, 2551.127, 369.6356, 1333.122, 640.2496, 468.2377, 1392.958, 84.2611, 383.286, 976.4128, 1239.941, 1384.937, 505.7025, 2661.196, 827.3211, 482.3044, 549.297, 1282.092
77.3, 2031.003, 9.825136, 1211.671, 178.5044, 331.1929, 0.747613, 939.7275, 85.09212, 1140.08, 1918.069, 386.7281, 3.420714, 286.4102, 246.5788, 959.5185, 550.0613, 1459.723, 1422.799, 13.86858, 700.9747, 646.0241, 2652.015, 351.0136, 1299.678, 611.3824, 571.3845, 1514.214, 80.31136, 366.3895, 938.6221, 1184.966, 1323.051, 481.3692, 2703.307, 787.4517, 457.2952, 522.4475, 1226.025
77.40000000000001, 2235.667, 9.407444, 1295.496, 169.3502, 326.0351, 0.7167414, 1029.749, 81.17353, 1162.771, 1899.281, 370.6339, 3.26737, 300.2528, 235.9116, 967.1766, 575.1379, 1522.786, 1364.979, 13.09433, 753.0779, 613.3911, 2541.414, 333.3298, 1305.629, 583.8169, 596.3675, 1482.88, 146.1786, 413.3965, 1032.64, 1325.837, 1514.242, 458.2068, 2592.48, 939.7509, 587.7265, 650.6312, 1216.482
77.5, 2333.613, 9.007509, 1282.891, 240.1394, 311.1898, 0.6871446, 1025.31, 77.43539, 1115.799, 1999.754, 355.2094, 180.5643, 382.1161, 225.7058, 973.4377, 626.6826, 1498.521, 1500.208, 12.36331, 860.1512, 685.4999, 2543.278, 490.4757, 1381.736, 557.4942, 635.0802, 1789.165, 472.6614, 395.1726, 1046.56, 1267.054, 1705.465, 478.7289, 2637.701, 1322.892, 584.6119, 618.8286, 1191.025
77.59999999999999, 2265.328, 8.624577, 1288.247, 227.8243, 297.0204, 0.65877, 983.0572, 73.86941, 1116.253, 2078.03, 340.4268, 198.1064, 365.0949, 215.9416, 957.5004, 599.763, 1529.246, 1520.516, 34.74406, 950.3343, 650.8728, 2437.211, 465.7659, 1320.895, 532.3583, 605.7869, 1837.9, 484.417, 377.752, 1029.761, 1210.877, 1826.878, 474.379, 2529.564, 1394.09, 687.7616, 588.5804, 1215.863
77.7, 2195.636, 8.257923, 1305.933, 243.4854, 340.3696, 0.6315671, 993.8293, 70.46764, 1071.161, 1988.87, 326.2595, 189.2257, 364.1387, 206.5997, 910.1181, 611.611, 1466.3, 1458.724, 32.80439, 939.4523, 683.2692, 2572.878, 563.8022, 1331.287, 508.3557, 577.8448, 1762.396, 461.7099, 462.6138, 985.153, 1157.191, 1745.244, 451.5529, 2689.919, 1326.907, 700.6077, 559.8108, 1189.998
77.8, 2100.165, 7.906857, 1346.468, 230.9987, 324.8716, 129.4759, 1034.302, 67.22252, 1140.53, 1973.405, 312.6817, 180.743, 347.9183, 197.662, 905.2459, 585.3389, 1500.553, 1399.444, 62.64946, 952.2719, 728.0483, 2465.577, 535.3983, 1335.615, 643.9481, 551.1916, 1789.897, 609.3494, 650.3982, 997.1977, 1359.352, 1773.816, 429.8252, 2579.641, 1287.297, 786.0924, 532.4474, 1252.667
77.90000000000001, 2104.234, 7.570716, 1287.05, 222.5618, 310.0793, 124.1294, 1054.996, 64.12685, 1110.771, 1888.734, 358.0945, 172.6407, 378.4344, 320.9977, 860.4494, 560.1953, 1540.551, 1411.137, 59.15192, 1059.767, 756.8489, 2414.575, 508.4253, 1304.267, 633.0942, 525.7677, 1798.22, 899.147, 621.7264, 954.0004, 1442.582, 1832.452, 409.143, 2473.885, 1401.805, 745.3306, 615.7661, 1197.887
78, 2120.447, 25.01801, 1267.487, 319.3915, 295.9604, 119.0037, 1102.059, 61.17373, 1065.899, 1962.036, 343.1918, 247.246, 361.5772, 307.111, 969.06, 536.1317, 1477.14, 1444.881, 55.84963, 1004.712, 718.6177, 2438.685, 482.8112, 1349.774, 604.5497, 620.5651, 1817.269, 864.9125, 594.3186, 912.6743, 1476.321, 1791.822, 389.4559, 2439.698, 1376.231, 767.9133, 585.6676, 1145.503
78.09999999999999, 2210.667, 132.1195, 1234.457, 511.1554, 337.1487, 114.0896, 1110.656, 58.35661, 1089.05, 1877.853, 328.9094, 286.7719, 345.4709, 293.8251, 921.1057, 513.1018, 1500.652, 1471.75, 52.7317, 1091.243, 682.3177, 2371.973, 458.4875, 1290.34, 722.9376, 591.9414, 1807.384, 897.257, 568.119, 949.6193, 1410.867, 1711.754, 370.7162, 2643.386, 1401.027, 728.0941, 596.0563, 1224.191
