 , C000, C001, C002, C003, C004, C007, C008, C009, C010, C011, C013, C017, C018, C019, C020, C021, C022, C023, C026, C028, C029, C033, C034, C036, C039, C040, C044, C045, C046, C054, C055, C057, C060, C061, C063, C066, C069, C075, C080, C087, C093, C101
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
269.3, 39.81515, 899.2269, 295.618, 388.4255, 2450.98, 1156.111, 417.9159, 1438.715, 356.2975, 965.4545, 1844.746, 854.026, 923.4402, 243.7941, 2634.154, 799.9261, 516.1937, 0.01713476, 1803.134, 276.5238, 112.6343, 2122.596, 1257.323, 71.07304, 422.6908, 366.432, 503.3977, 0.9206853, 1342.506, 312.8606, 1.270566, 1495.633, 1580.497, 1485.937, 1284.726, 1910.434, 1372.869, 2618.591, 1378.488, 1291.827, 2123.82, 1302.296
269.4, 38.07166, 937.1339, 282.8158, 364.1561, 2484.911, 1104.339, 398.4762, 1462.104, 338.5604, 922.1951, 1881.824, 851.8616, 954.7319, 232.0059, 2722.771, 763.6755, 525.6462, 0.01641098, 1896.113, 264.0123, 107.0758, 2036.476, 1348.849, 67.74767, 405.1248, 350.3994, 477.9236, 0.8806368, 1301.818, 298.6868, 1.218042, 1463.264, 1625.532, 1423.928, 1351.19, 1829.272, 1340.384, 2505.065, 1356.647, 1351.352, 2147.475, 1460.176
269.5, 36.40451, 890.245, 270.5681, 341.403, 2363.413, 1054.885, 379.9408, 1450.128, 321.7062, 880.874, 1946.344, 810.8461, 922.9877, 220.7878, 2646.994, 910.2853, 575.4058, 0.01571777, 1815.002, 288.5783, 101.7915, 2143.668, 1550.235, 64.57787, 430.7083, 335.0682, 453.7387, 0.8423303, 1354.902, 285.1552, 1.167689, 1510.117, 1633.928, 1616.159, 1290.951, 1843.492, 1416.895, 2472.886, 1447.538, 1316.446, 2058.198, 1428.22
269.6, 34.81036, 845.7021, 258.8508, 320.0717, 2274.028, 1007.646, 362.2675, 1528.818, 305.6911, 871.0799, 1956.521, 827.7234, 909.5305, 210.112, 2567.382, 869.0334, 550.5343, 0.01505384, 1757.646, 320.4231, 96.7681, 2125.071, 1482.646, 61.55639, 412.809, 320.4078, 430.7776, 0.8056902, 1327.476, 272.2366, 1.119418, 1445.142, 1649.853, 1548.716, 1275.578, 1903.312, 1356.656, 2570.037, 1387.376, 1262.442, 2215.571, 1399.325
269.7, 33.28602, 878.5793, 247.6409, 300.0731, 2356.516, 962.5229, 345.4164, 1496.988, 290.4732, 870.9582, 1870.947, 787.8701, 869.1245, 199.9525, 2572.977, 829.651, 526.7379, 0.01441796, 1752.632, 305.9253, 91.99257, 2038.851, 1418.004, 58.67628, 395.6536, 373.7903, 408.9784, 0.7706438, 1425.92, 259.9033, 1.073142, 1382.963, 1601.59, 1484.087, 1218.709, 1844.031, 1298.977, 2507.945, 1329.714, 1228.905, 2193.075, 1360.258
269.8, 31.82843, 834.6202, 236.9165, 402.8497, 2329.365, 919.42, 329.3491, 1429.489, 334.7567, 831.9329, 1789.115, 846.8936, 974.1292, 190.2842, 2524.211, 792.0533, 503.97, 0.01380894, 1677.659, 319.6569, 87.45271, 2052.953, 1536.971, 55.93092, 379.2112, 357.4356, 388.2824, 0.7371219, 1406.625, 248.1288, 1.028779, 1496.291, 1686.746, 1487.622, 1312.88, 1837.476, 1280.831, 2528.127, 1283.358, 1178.492, 2213.556, 1447.504
269.9, 30.43467, 859.4506, 226.6565, 377.679, 2215.472, 1032.691, 314.0292, 1422.521, 318.0919, 794.6562, 1789.382, 830.3889, 993.3565, 181.0834, 2633.016, 756.1594, 482.1862, 0.01322565, 1796.425, 483.0103, 83.1369, 2022.625, 1529.74, 53.31401, 363.4521, 434.3786, 368.6336, 0.7050582, 1382.839, 236.8876, 0.9862505, 1431.911, 1615.432, 1425.542, 1291.676, 1778.511, 1226.376, 2493.1, 1358.73, 1265.863, 2176.996, 1467.663
270, 29.10195, 879.3363, 304.5699, 354.0811, 2223.464, 986.4457, 299.4219, 1358.379, 410.4531, 825.5377, 1780.73, 790.4072, 985.0771, 172.3275, 2755.051, 721.8921, 461.3441, 0.01266699, 1719.579, 461.1561, 79.03407, 1940.561, 1463.045, 50.81954, 348.3478, 415.373, 349.9792, 0.6743891, 1392.132, 226.1557, 0.9454798, 1527.063, 1547.133, 1366.053, 1234.09, 1764.136, 1334.737, 2466.114, 1302.259, 1213.934, 2124.541, 1422.59
270.1, 27.82758, 875.9037, 291.3801, 331.9575, 2114.75, 1041.489, 285.494, 1315.3, 390.02, 788.5476, 1811.044, 752.3505, 977.9887, 163.995, 2769.305, 819.449, 441.4028, 0.01213193, 1646.02, 440.2907, 75.13372, 1986.332, 1519.833, 48.44179, 333.8713, 397.199, 332.2688, 0.6450542, 1392.158, 215.9101, 0.9063945, 1767.578, 1686.025, 1429.033, 1227.751, 1714.461, 1361.085, 2498.777, 1248.136, 1164.135, 2146.181, 1453.369
270.2, 26.60901, 906.1775, 357.1969, 311.2163, 2062.958, 1061.804, 475.9259, 1348.57, 370.6041, 785.3148, 1932.509, 826.7905, 934.5414, 156.0654, 2900.682, 782.3136, 422.3235, 0.01161947, 1575.608, 420.3694, 71.42585, 1950.948, 1491.736, 46.17528, 319.9964, 379.8202, 315.4546, 0.6169952, 1333.679, 206.1286, 0.868925, 1691.525, 1614.742, 1369.399, 1173.015, 1711.949, 1303.219, 2596.19, 1196.261, 1135.057, 2159.718, 1534.982
270.3, 25.44381, 860.8375, 364.7791, 447.0819, 1962.092, 1145.316, 453.7878, 1319.139, 352.1547, 781.7148, 1876.942, 800.7441, 893.0243, 148.5191, 2834.875, 746.8611, 498.1451, 0.01112866, 1610.198, 401.3495, 67.90096, 1904.142, 1497.943, 44.01482, 306.6981, 457.0658, 299.4912, 0.5901568, 1395.896, 196.7902, 0.8330044, 1618.745, 1606.689, 1312.253, 1120.72, 1662.289, 1247.812, 2483.635, 1168.319, 1112.056, 2130.435, 1525.704
270.4, 24.32963, 817.7661, 348.9819, 498.6886, 1932.807, 1094.028, 432.6795, 1259.659, 334.6238, 773.8484, 1929.318, 795.8723, 884.9833, 141.3378, 2884.572, 713.0152, 476.6131, 0.01065858, 1660.616, 383.1901, 64.55003, 2008.572, 1641.308, 41.95545, 351.1852, 522.0959, 284.3357, 0.5644858, 1337.261, 187.8749, 0.7985688, 1549.096, 1600.002, 1378.398, 1220.87, 1624.433, 1402.401, 2442.513, 1171.9, 1104.03, 2154.708, 1461.92
270.5, 23.26424, 846.8995, 333.8687, 467.5297, 1869.781, 1045.036, 412.5531, 1384.838, 317.9656, 739.1743, 1876.6, 886.3356, 995.0392, 134.5037, 2763.541, 680.7031, 482.781, 0.01020836, 1631.226, 365.8523, 61.36447, 1927.078, 1665.709, 39.99243, 336.5908, 499.2524, 269.9471, 0.5399315, 1281.089, 179.3634, 0.7655567, 1482.444, 1579.114, 1320.876, 1195.973, 1706.829, 1361.755, 2336.621, 1123.195, 1198.191, 2135.136, 1522.592
270.6, 22.2455, 804.5255, 319.4101, 438.3177, 1778.359, 998.238, 393.3629, 1322.395, 383.4172, 731.0427, 1836.264, 843.6602, 950.8344, 128.0001, 2825.259, 649.8553, 461.9131, 0.009777152, 1637.856, 349.299, 58.33612, 1886.091, 1642.489, 38.12125, 322.6029, 477.4084, 256.2867, 0.5164452, 1239.307, 171.2376, 0.7339092, 1569.019, 1554.868, 1305.173, 1434.498, 1634.317, 1444.589, 2395.815, 1173.001, 1189.659, 2046.372, 1557.432
270.7, 21.27138, 807.9836, 305.5776, 410.9309, 1772.59, 953.5357, 375.0653, 1381.539, 364.33, 698.2867, 1875.268, 803.0396, 908.5934, 121.8109, 2769.052, 620.4055, 549.8712, 0.009364161, 1594.445, 333.4947, 55.45722, 1982.415, 1708.749, 36.33763, 309.1963, 456.5201, 243.3175, 0.4939806, 1254.45, 163.4799, 0.7035701, 1530.621, 1710.761, 1264.338, 1370.545, 1722.924, 1496.375, 2291.947, 1193.177, 1140.856, 2212.862, 1523.12
270.8, 20.33991, 767.5567, 292.3441, 385.2553, 1685.921, 910.8353, 357.6189, 1460.218, 346.193, 762.831, 1904.176, 840.5452, 868.2291, 115.921, 2799.697, 592.2903, 526.1034, 0.008968614, 1572.117, 318.4055, 52.72039, 1901.983, 1859.394, 34.63745, 317.4301, 436.5458, 231.0046, 0.4724931, 1224.39, 156.0737, 0.6744851, 1464.764, 1638.432, 1299.161, 1309.443, 1703.383, 1497.805, 2332.391, 1187.263, 1143.544, 2252.872, 1459.444
270.9, 19.44923, 849.5987, 279.6838, 361.184, 1624.122, 870.047, 340.984, 1394.377, 328.9589, 731.9486, 1932.197, 800.0745, 829.6579, 110.3159, 2807.463, 565.4492, 503.3629, 0.008589776, 1504.866, 303.999, 50.11863, 1951.477, 2083.011, 33.01683, 337.3672, 417.4454, 219.3148, 0.4519404, 1247.323, 149.003, 0.6466025, 1537.57, 1703.59, 1317.653, 1321.17, 1672.371, 1434.126, 2231.273, 1141.563, 1107.763, 2268.967, 1454.723
271, 18.59755, 807.0896, 267.5717, 552.0365, 1605.194, 831.0853, 325.1228, 1331.504, 429.2, 699.152, 1847.686, 847.8297, 792.8002, 104.9818, 2887.57, 539.8244, 481.6054, 0.00822694, 1571.214, 290.2443, 47.64526, 1872.3, 2135.922, 31.47203, 394.0063, 444.4411, 208.2165, 0.4322816, 1234.599, 142.2526, 0.6198726, 1504.264, 1681.183, 1395.983, 1262.269, 1601.323, 1520.952, 2214.901, 1094.118, 1100.685, 2256.572, 1428.797
271.1, 17.78317, 766.7074, 255.9841, 614.0463, 1526.709, 793.8683, 309.9995, 1271.467, 429.5512, 675.2794, 1856.989, 851.9175, 757.58, 99.9056, 2846.966, 515.3609, 460.7884, 0.00787943, 1504.002, 277.1119, 45.29395, 1796.336, 2132.164, 29.99951, 377.6323, 507.2784, 197.6799, 0.413478, 1182.739, 135.808, 0.5942476, 1585.999, 1902.395, 1423.37, 1365.658, 1610.475, 1456.289, 2199.761, 1060.187, 1055.532, 2275.203, 1387.924
271.2, 17.00445, 728.3457, 244.8984, 770.0187, 1452.062, 758.3179, 295.5797, 1214.136, 415.0478, 645.0219, 1775.768, 810.8992, 723.9244, 95.07487, 2909.78, 492.006, 440.8712, 0.0075466, 1503.612, 264.5738, 43.05869, 1830.178, 2108.833, 28.59589, 361.9388, 485.0832, 187.6765, 0.3954923, 1259.722, 129.6554, 0.5696819, 1733.799, 1821.963, 1465.764, 1551.165, 1641.388, 1394.375, 2233.152, 1193.952, 1012.231, 2323.936, 1506.113
271.3, 16.25983, 691.9034, 234.2927, 975.6514, 1381.065, 724.3596, 281.8305, 1159.391, 506.2383, 616.1202, 1997.412, 771.856, 691.7639, 90.47773, 2877.592, 469.7095, 421.8148, 0.007227828, 1474.655, 252.6029, 40.93373, 1755.923, 2016.891, 27.25794, 346.8974, 687.4868, 178.1792, 0.3782889, 1263.547, 123.7816, 0.5461318, 1659.199, 1744.933, 1404.596, 1524.254, 1571.656, 1464.87, 2227.41, 1162.693, 1061.165, 2444.061, 1591.008
271.4, 15.54781, 657.2844, 252.9514, 914.6911, 1313.539, 837.0281, 268.721, 1107.114, 512.1315, 657.8501, 1973.988, 770.2969, 777.1964, 570.6179, 2925.92, 448.4234, 403.5822, 0.006922522, 1474.961, 241.1737, 38.91364, 1747.553, 1928.956, 25.98259, 332.4812, 758.7106, 169.1626, 0.3618339, 1222.064, 118.1738, 0.5235552, 1697.068, 1671.159, 1419.883, 1651.078, 1621.985, 1505.893, 2187.854, 1211.59, 1071.361, 2383.793, 1524.494
271.5, 14.86698, 624.3976, 339.3177, 907.5406, 1459.45, 799.545, 256.2212, 1157.177, 517.537, 642.1569, 1887.649, 733.2085, 742.6694, 543.0269, 2803.154, 428.102, 386.1376, 0.006630111, 1411.866, 230.2616, 36.99324, 1747.406, 1914.535, 24.76691, 318.664, 725.5143, 160.6023, 0.3460946, 1229.53, 112.8201, 0.5019119, 1624.049, 1664.391, 1529.114, 1646.573, 1741.488, 1441.87, 2204.584, 1194.579, 1056.836, 2284.692, 1623.072
271.6, 14.21595, 593.1563, 332.6511, 953.3186, 1581.036, 807.3997, 244.3029, 1104.999, 491.773, 613.3835, 1997.867, 721.9199, 709.6762, 516.77, 2912.908, 533.152, 369.4471, 0.006350053, 1541.553, 219.8432, 35.16761, 1676.509, 1831.063, 23.60811, 305.4211, 831.1656, 152.4751, 0.33104, 1177.883, 107.709, 0.4811634, 1554.172, 1742.958, 1465.303, 1652.909, 1733.981, 1575.924, 2109.007, 1144.93, 1013.481, 2219.409, 1632.654
271.7, 13.59344, 563.4781, 330.5173, 893.7537, 1503.733, 911.1462, 232.939, 1055.175, 467.2917, 635.5832, 1910.483, 687.1608, 847.653, 491.7826, 2875.879, 508.9908, 353.478, 0.006081824, 1663.349, 209.8962, 33.43208, 1815.084, 1841.573, 22.50353, 292.7285, 794.7993, 144.7592, 0.3166402, 1161.391, 102.8293, 0.4612725, 1665.095, 1669.267, 1404.155, 1671.628, 1774.981, 1598.976, 2177.229, 1097.345, 998.9788, 2370.903, 1564.399
