 , C000, C001, C002, C003, C005, C006, C007, C008, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C023, C025, C028, C029, C030, C031, C033, C039, C045, C046, C051, C054, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
245.2, 171.1055, 453.2023, 461.5777, 70.66018, 455.5222, 3858.666, 192.4186, 162.2545, 334.9028, 454.3784, 297.8133, 58.7028, 212.0707, 391.4013, 627.1094, 344.3679, 642.3204, 317.4889, 590.4639, 73.84808, 1481.767, 390.285, 199.133, 278.0378, 337.4575, 663.7178, 11.33476, 605.6188, 3.138441, 428.2032, 619.0009, 938.3383, 1127.692
245.3, 162.6933, 430.3217, 440.3102, 67.54605, 431.6655, 3710.557, 278.8764, 152.4863, 316.0941, 519.4842, 283.9104, 55.25219, 201.0404, 374.4891, 596.5923, 325.293, 604.8041, 334.48, 561.5327, 70.09995, 1463.778, 428.0695, 189.4673, 264.3955, 321.3382, 630.1902, 10.79405, 572.8429, 2.985359, 405.0228, 615.696, 947.2303, 1096.495
245.4, 154.6947, 408.5962, 420.0226, 64.56917, 409.0583, 3759.684, 265.6244, 143.3062, 298.3418, 523.4761, 270.6566, 52.00441, 190.5838, 358.3077, 567.5603, 307.2747, 569.4791, 319.0378, 534.019, 66.54206, 1426.017, 406.3456, 180.2706, 251.4226, 377.3639, 598.3563, 10.27914, 541.8408, 2.839743, 383.0972, 584.642, 1021.983, 1196.973
245.5, 147.0893, 387.9676, 400.6697, 61.72348, 531.699, 3607.526, 253.0021, 134.6788, 281.5865, 493.1856, 258.0216, 48.94753, 180.6712, 342.8255, 539.941, 290.2544, 536.2173, 304.3085, 507.8535, 63.16475, 1411.743, 447.7415, 171.5204, 239.0862, 447.6738, 644.6622, 9.788785, 512.5165, 2.701231, 362.3586, 630.8804, 1046.25, 1263.601
245.6, 139.8578, 368.3804, 382.2086, 59.00322, 503.8528, 3531.502, 240.9796, 126.5707, 265.7721, 497.2019, 245.9763, 46.07035, 171.274, 328.0122, 513.6658, 274.1769, 504.8983, 290.2593, 482.97, 59.95885, 1453.838, 425.0193, 260.7918, 227.3551, 426.2897, 612.0972, 9.321826, 484.7793, 2.569474, 342.7427, 599.0606, 998.578, 1201.872
245.7, 132.9819, 349.7821, 364.598, 56.40284, 477.4649, 3466.137, 229.5284, 173.7747, 250.846, 468.4317, 234.4934, 43.36229, 162.3657, 313.839, 488.6693, 258.9899, 475.4085, 303.3434, 459.3057, 56.91566, 1508.95, 443.315, 248.1332, 216.1997, 405.9272, 581.1772, 8.877142, 458.5432, 2.444144, 324.1886, 568.8456, 953.0784, 1242.29
245.8, 126.444, 332.1228, 347.7989, 53.91706, 452.459, 3410.036, 218.6214, 198.6301, 236.7581, 441.3263, 223.5466, 40.8134, 153.9207, 300.2782, 464.8891, 244.6442, 447.6412, 363.1089, 436.8009, 54.02694, 1447.025, 420.8174, 236.089, 205.5916, 481.6209, 551.8192, 8.453671, 433.727, 2.324927, 306.639, 619.1943, 909.6519, 1248.292
245.9, 120.2275, 315.3551, 331.7738, 51.54083, 526.8093, 3356.49, 208.2326, 186.672, 223.4614, 415.7893, 213.1108, 38.41435, 145.915, 287.3034, 496.3694, 231.0931, 421.4956, 346.3449, 415.3988, 51.28482, 1439.625, 399.4615, 224.6294, 195.504, 458.6153, 523.9442, 8.050402, 410.2538, 2.211525, 290.0394, 1111.941, 901.1708, 1241.87
246, 114.3166, 299.4339, 316.4871, 49.26933, 582.7991, 3314.093, 198.3376, 175.4338, 210.9115, 391.73, 203.1621, 36.15631, 138.3256, 274.8892, 472.2145, 218.2926, 396.8772, 330.3549, 395.0453, 48.68188, 1440.294, 379.1894, 213.726, 185.9113, 436.7086, 497.4772, 7.666369, 388.051, 2.103655, 274.3383, 1055.858, 955.4061, 1217.267
246.1, 108.6964, 284.3165, 301.9048, 47.09794, 649.9752, 3183.12, 188.9127, 201.3758, 199.0663, 447.6366, 193.6779, 34.03101, 131.131, 263.0114, 545.1619, 206.2011, 373.6967, 315.1032, 375.6891, 46.21106, 1472.751, 382.3095, 203.3519, 176.7894, 415.8484, 472.3472, 7.300657, 367.0498, 2.001046, 259.4873, 1002.603, 911.8736, 1275.757
