 , C000, C001, C002, C003, C005, C006, C007, C008, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C023, C025, C028, C029, C030, C031, C033, C039, C045, C046, C051, C054, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 1061.372, 238.0176, 609.6254, 0, 1168.568, 100.3657, 209.4548, 381.1716, 427.7285, 92.57666, 0, 506.1116, 119.2524, 117.3843, 180.0634, 139.4062, 336.5239, 778.1729, 161.0679, 0, 0, 0, 727.9199, 161.1768, 8.632996, 179.0098, 0, 389, 571.416, 253.4047, 0, 112.1685
0.2, 32.52448, 1774.208, 227.0505, 749.4613, -0.0001220703, 1722.369, 95.59656, 198.5442, 359.7645, 402.9783, 181.9536, 177.7391, 794.3745, 488.3794, 620.3774, 500.3607, 523.4741, 381.8069, 1023.65, 280.6628, 0, 0, 90.78687, 776.4536, 251.8838, 215.0205, 268.2463, -3.051758e-05, 800.8857, 727.448, 240.6237, 156.2714, 106.6888
0.3, 30.92545, 2033.264, 513.8564, 716.4312, 94.31702, 2608.439, 365.922, 585.4231, 423.6415, 696.8503, 414.0693, 673.3306, 900.7197, 598.0295, 808.9771, 476.3514, 891.345, 598.2217, 1294.664, 730.6531, 0, 0, 306.8418, 1005.172, 524.594, 219.4388, 293.9487, -3.051758e-05, 1084.064, 1119.099, 228.4873, 238.1251, 101.4769
0.4, 66.526, 2475.555, 680.4109, 815.7452, 89.37744, 2854.08, 377.4073, 550.1787, 497.551, 698.0754, 687.668, 1398.384, 1123.192, 781.0642, 800.8032, 664.2234, 1081.233, 570.603, 1279.171, 1059.712, 0, 0, 598.6523, 1225.986, 551.7434, 208.354, 493.6245, -3.051758e-05, 1111.287, 1304.542, 216.963, 493.7288, 96.51953
0.5, 63.25534, 2695.443, 728.5955, 923.5712, 154.2998, 3032.466, 462.5586, 588.0889, 617.5633, 657.6819, 736.217, 1346.852, 1134.766, 1004.055, 761.834, 661.5306, 1018.081, 560.5421, 1265.382, 1128.268, 0, 0, 582.7094, 1165.831, 649.5271, 197.829, 470.0769, 0, 1407.347, 1233.922, 206.02, 471.2323, 91.80444
0.6, 60.14545, 2687.252, 756.8577, 882.8677, 193.7761, 3205.555, 606.6385, 707.8564, 670.9557, 637.6687, 1050.556, 1342.941, 1252.922, 960.6702, 951.147, 624.8878, 1180.187, 534.6632, 1203.381, 1127.104, 0, 0, 578.958, 1176.998, 722.4834, 284.8206, 487.6426, 101.7079, 1338.701, 1224.283, 195.6289, 647.4274, 87.31958
0.7, 57.18849, 2786.831, 942.0244, 870.9906, 291.4746, 3240.572, 577.8115, 893.798, 633.2738, 780.1956, 1039.222, 1264.002, 1187.755, 919.1599, 1035.161, 669.358, 1111.255, 509.9791, 1190.123, 1434.382, 0, 0, 550.8558, 1163.377, 791.1516, 270.4329, 551.0818, 96.20352, 1307.829, 1415.125, 185.762, 617.9277, 83.05383
0.8, 138.1185, 3187.021, 1004.772, 838.8817, 602.9407, 3328.164, 550.3542, 839.9886, 597.7082, 906.106, 1167.328, 1189.702, 1378.62, 1051.137, 984.7871, 673.9102, 1046.35, 663.8813, 1131.81, 1386.757, 0, 0, 709.9886, 1360.685, 753.3607, 256.7721, 561.0916, 90.99704, 1306.31, 1338.519, 361.4467, 589.7723, 78.99652
0.9, 144.9029, 3139.067, 958.4763, 1057.125, 571.3634, 3347.835, 524.2018, 797.0317, 564.14, 910.1647, 1112.833, 1119.771, 1415.062, 1232.515, 1016.886, 708.7808, 1019.631, 705.1023, 1076.354, 1500.055, 0, 0, 675.5264, 1293.921, 717.3749, 427.5504, 666.7217, 86.0723, 1283.524, 1266.059, 343.2163, 721.8405, 75.13739
1, 232.0491, 3372.752, 914.314, 1113.084, 541.4399, 3351.318, 533.2374, 802.4823, 532.457, 857.4988, 1352.702, 1073.991, 1341.462, 1386.364, 1305.575, 836.5891, 960.0768, 672.5492, 1023.616, 1717.526, 0, 0, 711.5829, 1509.275, 755.4829, 405.9528, 729.1248, 81.41409, 1448.11, 1197.522, 325.9054, 800.3811, 71.4668
1.1, 220.6407, 3516.785, 1149.217, 1118.668, 711.2858, 3512.314, 507.8984, 922.2643, 502.5535, 924.1647, 1348.271, 1031.612, 1356.855, 1401.725, 1323.436, 790.2495, 1091.813, 641.4993, 1106.167, 1771.859, 0, 0, 677.0431, 1435.221, 729.0575, 498.4285, 866.9048, 77.00801, 1639.222, 1239.06, 309.4677, 763.9122, 67.97546
1.2, 250.3913, 3339.235, 1127.199, 1069.366, 772.4128, 3487.608, 624.8514, 1020.464, 474.3293, 1097.045, 1359.923, 1000.595, 1640.578, 1487.201, 1259.033, 746.4767, 1028.043, 795.4755, 1131.718, 1705.285, 0, 0, 686.1351, 1364.8, 781.3534, 473.2505, 832.7115, 72.84035, 1588.351, 1197.684, 564.5305, 789.8096, 64.65472
1.3, 284.8885, 3412.333, 1260.102, 1302.663, 771.5984, 3636.813, 595.1589, 1075.797, 470.1859, 1033.566, 1422.797, 941.7786, 1584.478, 1535.819, 1305.053, 844.4959, 967.9978, 785.6805, 1076.267, 1795.352, 0, 0, 743.9275, 1386.612, 744.0306, 449.3443, 823.3495, 68.89827, 1698.661, 1258.472, 536.0571, 885.9243, 61.49625
1.4, 439.5233, 3481.879, 1202.042, 1278.615, 988.0276, 3611.762, 633.4481, 1045.882, 443.7795, 1110.891, 1666.017, 966.124, 1510.729, 1515.072, 1474.979, 847.8898, 911.4596, 928.0925, 1023.533, 1952.713, 0, 0, 798.5261, 1362.039, 835.2601, 426.6458, 920.3706, 251.4066, 1841.708, 1268.318, 553.4527, 940.5917, 175.9574
1.5, 417.9147, 3621.933, 1146.657, 1222.264, 936.2824, 3763.691, 680.5331, 1017.302, 515.9996, 1302.416, 1731.598, 961.9975, 1468.733, 1788.839, 1567.488, 854.8481, 1123.471, 1034.665, 973.3823, 1981.179, 0, 0, 876.7329, 1370.878, 795.3623, 405.0938, 951.2311, 237.8006, 1889.559, 1326.514, 651.1132, 897.7343, 204.8084
1.6, 426.6187, 3728.702, 1207.986, 1248.931, 1134.636, 3870.821, 648.1946, 1375.179, 487.0203, 1227.052, 1713.495, 905.4503, 1601.658, 1807.459, 1549.31, 975.1356, 1057.852, 998.8315, 1194.921, 1963.389, 0, 0, 844.4844, 1484.927, 839.2225, 384.6306, 905.854, 224.9309, 1958.455, 1254.705, 618.2729, 995.9446, 194.8031
1.7, 405.6444, 3869.987, 1481.585, 1292.992, 1075.213, 3934.799, 783.3745, 1292.389, 521.9259, 1264.032, 1708.42, 852.227, 1714.335, 1766.548, 1620.05, 921.1217, 1104.667, 1157.892, 1136.373, 1936.039, 0, 0, 930.4662, 1441.758, 916.0182, 365.2011, 862.6416, 212.7577, 2026.941, 1218.646, 587.089, 1096.455, 185.2866
1.8, 385.7014, 3840.017, 1440.972, 1236.007, 1199.286, 3895.465, 746.1491, 1243.073, 521.8387, 1270.495, 1920.995, 802.1322, 1711.048, 1872.741, 1755.74, 925.1102, 1040.146, 1152.378, 1080.694, 2006.811, 0, 0, 950.9632, 1604.797, 886.9935, 346.753, 831.2306, 201.2433, 1987.577, 1208.248, 832.5758, 1222.449, 237.3225
1.9, 410.5419, 3997.72, 1505.476, 1246.288, 1295.098, 3953.894, 814.407, 1168.237, 492.5315, 1282.905, 2056.307, 754.9821, 1717.04, 1980.449, 1670.301, 945.8033, 1001.863, 1325.619, 1027.743, 2049.541, 0, 0, 904.8042, 1604.542, 997.8826, 329.2368, 872.5973, 287.0327, 2000.325, 1402.474, 858.5731, 1166.749, 225.7289
2, 477.2267, 4068.255, 1539.958, 1283.691, 1358.221, 4008.151, 959.9819, 1097.906, 537.3164, 1367.429, 1960.312, 725.0442, 1643.631, 1894.875, 1764.453, 961.8368, 1044.791, 1264.418, 977.386, 2122.602, 0, 0, 922.6623, 1599.258, 1037.136, 312.6054, 907.314, 418.9872, 2348.777, 1388.894, 872.4593, 1113.587, 571.9321
2.1, 453.7644, 4210.877, 1581.103, 1227.116, 1452.432, 3988.75, 914.3643, 1304.457, 551.9139, 1288.304, 1924.631, 766.9944, 1715.93, 1812.998, 1772.487, 908.5596, 1081.631, 1206.043, 929.4966, 2049.365, 0, 0, 945.6105, 1737.805, 1038.971, 296.8142, 1033.199, 396.3118, 2234.211, 1313.708, 828.4549, 1108.955, 960.4935
2.2, 431.4556, 4133.188, 1544.642, 1287.822, 1464.574, 3951.512, 881.4421, 1268.043, 547.6354, 1379.643, 1992.062, 721.9097, 1717.633, 1910.835, 1686.233, 858.2336, 1018.456, 1199.687, 901.554, 2137.835, 0, 0, 993.7368, 1792.27, 1087.635, 281.8207, 983.9121, 374.8635, 2219.99, 1287.807, 786.6699, 1277.603, 1070.862
2.3, 410.2436, 4138.071, 1532.432, 1315.268, 1387.871, 3887.898, 896.2961, 1219.032, 516.8794, 1377.39, 1950.053, 748.478, 1866.758, 1845.021, 1604.175, 1040.801, 958.9708, 1144.3, 1062.286, 2144.051, 0, 0, 945.5015, 1764.48, 1035.682, 267.5846, 1015.169, 354.576, 2111.707, 1313.117, 746.9924, 1219.39, 1091.855
2.4, 390.0744, 4319.643, 1573.163, 1257.302, 1315.185, 3938.595, 925.777, 1216.558, 604.3318, 1423.421, 2192.818, 704.4817, 1832.717, 1851.127, 1526.111, 1000.426, 902.9598, 1179.517, 1010.237, 2171.74, 0, 0, 935.5963, 1713.345, 1094.126, 254.0676, 986.8474, 335.3864, 2031.114, 1242.032, 709.3162, 1258.629, 1038.516
2.5, 370.8968, 4124.516, 1558.202, 1418.041, 1479.293, 3980.186, 1010.646, 1254.6, 599.4048, 1391.785, 2207.032, 739.5919, 1847.69, 1771.141, 1531.652, 958.9323, 850.2203, 1188.288, 1015.559, 2182.857, 0, 0, 980.9318, 1629.278, 1074.621, 303.6868, 939.7713, 317.2354, 1989.131, 1251.077, 778.3498, 1334.198, 1040.79
2.6, 352.6621, 4130.123, 1497.244, 1431.049, 1645.396, 3993.81, 1022.992, 1179.069, 565.7413, 1369.062, 2240.587, 856.3001, 1852.726, 1893.213, 1457.117, 905.816, 800.5612, 1275.872, 1073.045, 2276.704, 0, 0, 933.318, 1684.034, 1240.723, 288.3461, 975.2773, 300.0667, 2095.721, 1281.059, 739.092, 1411.173, 989.9453
2.7, 335.3239, 4292.253, 1627.967, 1460.595, 1559.223, 4039.533, 1156.763, 1311.334, 533.9684, 1483.22, 2247.489, 897.9377, 1839.101, 1918.766, 1420.439, 865.036, 954.2932, 1269.941, 1100.61, 2161.15, 0, 0, 956.3881, 1640.529, 1235.996, 273.7803, 972.496, 388.4528, 2105.132, 1372.563, 814.0779, 1346.873, 1010.857
2.8, 460.176, 4315.871, 1623.663, 1396.224, 1849.15, 3890.324, 1101.794, 1312.988, 579.1975, 1503.738, 2259.855, 845.156, 1743.445, 1835.857, 1765.706, 998.2037, 940.0315, 1263.999, 1081.679, 2197.719, 0, 0, 909.9657, 1631.316, 1545.811, 307.7182, 1208.707, 464.1552, 2116.243, 1298.26, 819.6667, 1335.215, 1016.583
2.9, 455.6326, 4203.685, 1578.414, 1334.69, 1806.411, 4024.918, 1073.334, 1291.281, 546.6689, 1433.394, 2386.721, 795.4769, 1799.341, 1979.806, 1768.237, 989.4038, 998.663, 1276.722, 1028.68, 2214.548, 0, 0, 989.8282, 1623.974, 1791.78, 292.1739, 1367.3, 439.0352, 2108.279, 1409.371, 778.3251, 1274.377, 966.9214
3, 433.2319, 4319.402, 1606.179, 1397.953, 1711.805, 3901.781, 1022.33, 1365.128, 515.9672, 1443.298, 2275.301, 748.7179, 1783.122, 1999.948, 1862.553, 934.5997, 940.3337, 1217.779, 978.2771, 2257.775, 0, 0, 941.7827, 1639.216, 1706.192, 277.4148, 1310.147, 415.2747, 2067.863, 1404.569, 934.6329, 1216.311, 1014.078
3.1, 567.3737, 4467.569, 1580.656, 1395.618, 1788.301, 3954.081, 986.1663, 1282.943, 523.9742, 1359.783, 2317.708, 704.7075, 1780.148, 1913.531, 1800.831, 882.8312, 885.4113, 1176.647, 930.3441, 2226.624, 0, 0, 896.0692, 1558.785, 1624.692, 263.4012, 1344.941, 532.1259, 2044.588, 1328.533, 928.4984, 1320.29, 964.5378
3.2, 539.4794, 4299.27, 1520.681, 1345.001, 1875.755, 3978.299, 994.1004, 1304.714, 494.547, 1386.582, 2254.859, 663.2841, 1913.76, 1952.477, 1713.197, 833.9302, 909.552, 1344.728, 884.7596, 2163.365, 45.21417, 0, 987.6084, 1633.85, 1680.032, 250.0956, 1289.553, 503.3274, 2040.17, 1256.615, 881.6676, 1260.132, 917.4182
3.3, 512.9565, 4287.247, 1644.66, 1370.198, 1894.303, 3995.236, 946.8615, 1226.166, 476.9631, 1378.198, 2288.874, 634.5165, 1845.534, 2005.238, 1718.358, 787.7379, 856.4275, 1467.517, 841.4087, 2240.7, 43.35865, 0, 959.759, 1553.683, 1648.608, 237.462, 1304.796, 476.0874, 2028.31, 1188.589, 837.1987, 1334.856, 872.6005
3.4, 507.1812, 4353.394, 1681.716, 1309.811, 1795.094, 4016.519, 909.2958, 1500.823, 603.026, 1388.717, 2182.022, 597.219, 1749.544, 2012.366, 1757.963, 829.0153, 1016.623, 1399.765, 916.8339, 2126.974, 41.57927, 0, 913.173, 1683.143, 1646.171, 334.8238, 1385.406, 450.3217, 2183.214, 1124.246, 794.9728, 1310.575, 935.5156
3.5, 621.5382, 4507.772, 1764.245, 1362.689, 1890.038, 3945.642, 866.0866, 1410.469, 569.1592, 1335.381, 2457.398, 562.1138, 1658.546, 2246.653, 1944.262, 821.7625, 964.5706, 1370.752, 949.321, 2180.657, 73.42446, 0, 1084.637, 1600.558, 1660.496, 317.9102, 1489.642, 425.9504, 2345.076, 1373.607, 975.5906, 1340.144, 889.8138
3.6, 590.981, 4420.735, 1805.928, 1336.083, 2038.138, 4034.837, 824.9307, 1325.555, 583.2458, 1433.427, 2457.776, 533.188, 1806.938, 2205.942, 2007.962, 776.2442, 940.4766, 1422.397, 924.0782, 2162.244, 89.04202, 0, 1212.312, 1584.877, 1733.409, 301.851, 1429.952, 402.8981, 2387.244, 1410.342, 963.0135, 1279.081, 890.1806
3.7, 657.8938, 4610.038, 1777.509, 1277.2, 2138.509, 3950.603, 945.3102, 1336.002, 550.4899, 1499.345, 2552.412, 554.3469, 1734.619, 2186.049, 1910.248, 733.2472, 1008.705, 1368.087, 1058.198, 2144.528, 137.7801, 0, 1173.227, 1529.304, 1650.61, 286.6031, 1439.818, 381.0934, 2585.602, 1333.994, 914.4418, 1280.505, 1147.028
3.8, 730.8525, 4377.293, 1777.284, 1228.375, 2026.511, 3945.628, 969.6345, 1493.471, 590.1993, 1557.901, 2433.257, 564.5132, 1644.397, 2091.591, 1817.289, 692.6318, 1129.647, 1307.092, 1039.485, 2227.378, 132.1257, 0, 1116.279, 1621.349, 1571.765, 272.1254, 1448.225, 360.4687, 2601.365, 1261.779, 964.5524, 1365.706, 1152.702
3.9, 694.921, 4352.199, 1695.395, 1387.239, 1920.378, 3937.918, 923.5581, 1403.56, 579.4141, 1467.754, 2319.666, 531.3306, 1931.697, 2081.703, 2049.477, 654.2662, 1161.542, 1392.967, 993.0655, 2114.329, 126.7035, 0, 1115.508, 1691.855, 1695.644, 258.379, 1379.14, 340.9602, 2566.991, 1375.296, 947.6976, 1436.077, 1154.927
4, 796.4205, 4316.052, 1617.278, 1326.101, 1863.464, 3944.386, 879.6713, 1319.062, 546.8734, 1456.799, 2350.88, 528.3242, 1831.225, 2085.579, 2007.937, 716.9, 1093.699, 1328.656, 944.4079, 2040.854, 121.5038, 0, 1076.03, 1630.135, 1814.37, 287.3959, 1393.915, 381.8701, 2490.51, 1498.725, 899.8984, 1429.602, 1098.507
4.1, 757.2654, 4259.968, 1658.23, 1314.635, 2091.146, 3982.677, 1000.001, 1506.756, 525.3742, 1550.858, 2508.802, 497.2687, 1744.985, 2223.494, 1964.606, 677.1901, 1181.602, 1424.663, 1086.869, 2134.227, 116.5174, 0, 1023.8, 1550.151, 1750.927, 272.8781, 1421.816, 501.4425, 2602.447, 1417.593, 982.0759, 1364.463, 1120.839
4.2, 720.0353, 4394.528, 1653.195, 1366.014, 2005.606, 4049.982, 952.4822, 1470.321, 513.3333, 1461.119, 2426.421, 470.9207, 1700.787, 2232.344, 1869.002, 652.7154, 1112.588, 1521.399, 1033.615, 2124.54, 111.7357, 0, 1032.117, 1708.896, 1667.291, 285.2892, 1384.441, 474.3046, 2499.088, 1390.696, 1046.905, 1388.439, 1136.886
4.3, 743.66, 4384.764, 1655.182, 1305.811, 2034.366, 3865.739, 907.2208, 1381.804, 484.5037, 1523.421, 2531.709, 453.5884, 1802.603, 2190.503, 1849.689, 616.5608, 1144.867, 1451.159, 1051.155, 2125.697, 139.6781, 0, 1014.358, 1625.047, 1857.529, 270.8779, 1378.264, 448.6353, 2430.853, 1436.612, 994.1022, 1461.769, 1103.223
4.4, 707.0988, 4465.718, 1685.86, 1253.99, 2002.996, 3847.155, 881.668, 1319.995, 505.246, 1435.269, 2416.42, 426.926, 1708.845, 2095.853, 1767, 582.4088, 1217.394, 1591.263, 999.6511, 2066.324, 142.5841, 0, 1028.52, 1588.77, 1841.352, 390.8943, 1462.277, 460.0786, 2513.442, 1375.678, 943.9624, 1422.367, 1049.328
4.5, 757.6608, 4417.884, 1693.961, 1228.941, 1898.094, 3857.168, 973.4045, 1482.458, 597.2215, 1352.219, 2432.897, 418.2679, 1733.453, 2156.322, 1739.588, 550.1486, 1311.451, 1568.475, 1017.877, 2076.54, 136.7327, 0, 978.5961, 1698.445, 1781.287, 371.1483, 1392.522, 435.1793, 2624.689, 1421.495, 1099.672, 1357.558, 1051.828
4.6, 737.2436, 4390.541, 1625.418, 1286.205, 2009.579, 3835.213, 927.149, 1510.204, 688.9027, 1414.609, 2502.849, 393.6817, 1643.293, 2299.165, 1916.868, 658.1127, 1266.972, 1496.062, 968.0039, 2043.353, 152.4875, 0, 931.0957, 1729.701, 1696.2, 426.7569, 1440.026, 411.6275, 2720.805, 1549.943, 1459.305, 1376.501, 1139.771
4.7, 791.6315, 4510.983, 1832.367, 1353.658, 1983.347, 3828.185, 1031.529, 1429.501, 748.9301, 1428.506, 2567.592, 370.5406, 1557.822, 2326.757, 2001.05, 621.6591, 1290.413, 1462.657, 1105.333, 2032.474, 156.734, 0, 1026.554, 1807.368, 1951.928, 492.5363, 1371.332, 615.7724, 2888.374, 1704.635, 1847.526, 1496.385, 1084.091
4.8, 752.7118, 4485.129, 1819.106, 1294, 2187.535, 3806.382, 982.5112, 1463.104, 706.869, 1386.234, 2675.219, 348.7599, 1645.981, 2361.468, 2052.368, 647.83, 1215.044, 1498.324, 1051.175, 2054.333, 150.3019, 0, 1112.085, 1738.652, 1937.455, 467.6559, 1305.915, 614.4697, 2747.49, 1731.922, 1821.53, 1562.746, 1068.763
4.9, 803.4887, 4480.265, 1745.314, 1259.846, 2072.969, 3772.978, 935.8229, 1375.021, 722.1376, 1369.986, 2709.253, 328.2594, 1777.384, 2387.033, 1952.493, 611.9459, 1265.686, 1607.4, 999.6699, 1953.541, 144.1337, 0, 1058.105, 1707.422, 1923.469, 514.5864, 1277.754, 581.2148, 2777.396, 1732.816, 1778.004, 1589.148, 1016.552
5, 763.9861, 4469.608, 1920.528, 1260.036, 2006.971, 3798.808, 951.9872, 1322.41, 681.5813, 1461.069, 2582.777, 416.4205, 1741.167, 2300.855, 1982.012, 578.0496, 1191.76, 1588.695, 1043.844, 1939.102, 138.2187, 0, 1006.745, 1829.906, 1862.186, 530.7025, 1243.22, 597.4535, 2673.21, 1688.463, 1922.415, 1569.865, 966.8915
5.1, 726.4256, 4413.947, 1832.038, 1300.968, 1989.237, 3816.898, 1114.418, 1500.744, 665.2637, 1534.847, 2550.843, 391.9429, 1650.605, 2377.889, 2156.825, 546.0308, 1279.683, 1659.402, 992.6985, 2018.147, 132.5464, 0, 1084.241, 1767.895, 1891.069, 503.8941, 1251.102, 565.1194, 2867.869, 1612.07, 1863.894, 1498.335, 1010.449
5.2, 879.0763, 4550.028, 1790.091, 1251.703, 2037.111, 3739.675, 1074.662, 1500.916, 639.3362, 1446.035, 2578.876, 368.9041, 1577.945, 2355.983, 2051.867, 515.7856, 1241.052, 1582.791, 944.0588, 1969.888, 127.1068, 0, 1031.612, 1703.298, 1837.338, 513.8433, 1513.25, 534.5354, 2972.093, 1556.116, 1769.885, 1430.064, 1019.341
5.3, 835.8575, 4406.564, 1794.184, 1196.538, 2014.456, 3781.448, 1023.594, 1502.473, 699.1288, 1362.361, 2626.207, 347.2195, 1652.151, 2362.276, 1952.017, 487.2156, 1168.565, 1554.021, 897.8023, 1887.026, 121.8905, 0, 1018.807, 1619.724, 1866.369, 487.8866, 1673.775, 505.6064, 2873.703, 1668.045, 2053.156, 1554.214, 1108.825
5.4, 794.7635, 4379.127, 1757.45, 1319, 2019.491, 3719.642, 1117.217, 1412.02, 687.2218, 1385.827, 2696.33, 326.8096, 1593.269, 2403.941, 2132.509, 460.2282, 1100.312, 1560.224, 918.6351, 1887.98, 137.1375, 0, 1049.488, 1578.582, 1915.596, 463.2411, 1593.93, 478.2432, 2839.27, 1719.71, 1949.6, 1573.441, 1110.102
5.5, 755.6899, 4158.04, 1676.474, 1332.881, 2260.008, 3717.285, 1064.128, 1409.826, 648.6263, 1428.792, 2681.952, 332.0251, 1510.4, 2300.068, 2113.228, 434.7357, 1123.751, 1488.192, 967.3907, 1894.243, 131.5096, 0, 998.5465, 1501.127, 1956.132, 439.8406, 1562.819, 452.3608, 2920.772, 1676.154, 2079.054, 1513.377, 1164.118
5.6, 718.5372, 4073.564, 1742.671, 1401.269, 2183.357, 3743.255, 1013.561, 1324.951, 612.1985, 1430.905, 2835.168, 312.5083, 1620.108, 2383.778, 2253.364, 500.8253, 1125.924, 1595.905, 1104.835, 1942.385, 126.1126, 0, 1139.672, 1427.472, 1915.22, 477.5972, 1902.28, 488.9385, 2829.869, 1644.386, 2193.013, 1603.857, 1107.249
5.7, 826.7505, 4031.42, 1763.946, 1339.513, 2100.57, 3628.125, 1004.475, 1383.086, 577.8165, 1348.107, 2702.814, 294.1388, 1535.843, 2442.474, 2277.844, 473.084, 1060.162, 1522.226, 1079.977, 1907.238, 120.9371, 0, 1094.5, 1543.578, 1987.183, 453.4714, 1811.534, 462.4773, 2720.472, 1555.369, 2359.534, 1530.778, 1053.157
5.8, 786.1042, 4236.283, 1817.179, 1280.478, 2142.08, 3635.522, 1047.595, 1373.084, 597.0977, 1270.1, 2703.023, 276.849, 1455.96, 2336.936, 2198.808, 544.462, 998.2407, 1505.599, 1027.061, 2060.345, 115.974, 0, 1041.373, 1521.139, 1892.261, 535.5111, 1812.236, 437.4482, 2735.697, 1471.171, 2240.526, 1461.029, 1001.708
5.9, 747.4563, 4156.189, 1767.776, 1290.895, 2029.895, 3553.015, 1001.786, 1290.421, 563.5638, 1196.607, 2576.838, 260.5755, 1381.215, 2333.631, 2273.679, 514.3036, 1005.138, 1622.022, 995.1383, 2022.788, 129.6656, 0, 1023.376, 1608.323, 1891.185, 508.4599, 1725.786, 413.7736, 2767.096, 1630.064, 2127.52, 1587.854, 952.7729
6, 710.7084, 4157.506, 1686.324, 1322.863, 2013.553, 3458.138, 991.8549, 1212.734, 531.9132, 1127.366, 2532.27, 245.2586, 1557.471, 2329.311, 2166.64, 529.1418, 946.4306, 1547.137, 1010.569, 1920.122, 124.3443, 0, 1122.65, 1529.409, 1923.515, 482.7751, 1786.585, 487.6308, 2632.127, 1541.822, 2020.214, 1515.504, 1029.674
6.1, 675.7673, 4166.013, 1608.626, 1264.562, 2152.319, 3518.123, 968.3286, 1139.724, 502.0401, 1121.061, 2531.957, 327.9857, 1533.976, 2322.605, 2088.364, 597.808, 891.1521, 1475.709, 1038.793, 1822.667, 172.8797, 0, 1077.75, 1641.391, 2183.137, 508.2447, 1703.203, 461.2403, 2799.89, 1616.202, 1918.32, 1446.451, 979.3726
6.2, 642.5439, 4094.427, 1590.809, 1329.504, 2070.626, 3357.529, 1017.617, 1071.109, 473.8448, 1277.78, 2613.251, 308.7064, 1489.941, 2272.754, 1999.848, 564.6948, 996.3472, 1580.806, 987.8953, 1759.342, 217.6255, 0, 1025.437, 1624.199, 2282.72, 482.5708, 1775.274, 436.2781, 2978.183, 1528.711, 1907.9, 1380.545, 931.5283
6.3, 675.6033, 4231.01, 1640.747, 1304.494, 1962.183, 3361.008, 982.5404, 1006.625, 523.2251, 1231.56, 2520.028, 290.5603, 1447.395, 2441.867, 1902.529, 533.4157, 938.1532, 1539.805, 977.1714, 1670.047, 208.6945, 0, 1027.911, 1644.767, 2173.681, 458.1938, 1690.587, 412.6669, 2832.918, 1445.955, 1849.289, 1487.094, 886.0212
6.4, 738.2371, 4087.474, 1565.148, 1330.81, 1967.228, 3390.771, 946.4757, 946.0233, 493.8399, 1160.297, 2486.031, 293.1451, 1426.999, 2336.355, 1930.228, 503.8692, 883.3582, 1468.716, 973.6188, 1684.133, 201.5501, 0, 978.0167, 1564.064, 2103.319, 435.0482, 1718.637, 390.3335, 2694.738, 1512.625, 1854.987, 1520.874, 913.8442
6.5, 769.3771, 4197.466, 1666.841, 1283.163, 2017.386, 3273.26, 901.4998, 935.0978, 466.1052, 1215.206, 2494.565, 275.9138, 1472.421, 2436.712, 2012.256, 501.7326, 860.348, 1479.792, 941.9676, 1636.54, 213.2082, 0, 1003.762, 1695.363, 2132.711, 413.0718, 1744.732, 583.2615, 2796.832, 1483.613, 1851.633, 1451.576, 869.201
6.6, 816.3834, 4100.175, 1711.474, 1340.545, 1946.457, 3254.663, 1002.567, 878.8022, 439.928, 1144.889, 2615.274, 259.6953, 1577.273, 2331.423, 1996.834, 561.7723, 813.0867, 1541.482, 1098.556, 1608.724, 232.1079, 0, 955.0397, 1722.109, 2063.906, 438.3335, 1722.507, 551.6956, 2843.63, 1403.299, 1819.61, 1590.139, 826.7388
6.7, 776.2468, 4135.585, 1676.247, 1288.935, 2006.642, 3206.967, 963.8161, 939.654, 415.2209, 1078.641, 2594.109, 244.4301, 1495.235, 2295.071, 2048.281, 530.6552, 920.2697, 1679.355, 1044.73, 1699.351, 222.5825, 0, 1035.218, 1637.611, 2053.27, 493.0256, 1753.951, 521.838, 2847.847, 1379.445, 1842.15, 1639.849, 1324.032
6.8, 738.0835, 4157.193, 1626.861, 1232.129, 1901.55, 3130.144, 963.5045, 883.0841, 391.9015, 1234.658, 2473.009, 280.3918, 1417.465, 2338.649, 1948.605, 501.2616, 866.5192, 1601.823, 993.5406, 1653.864, 220.0747, 0, 984.9693, 1599.88, 2093.453, 468.1205, 1715.748, 493.5963, 2708.939, 1380.784, 1749.238, 1592.421, 1631.83
6.9, 758.0485, 3995.576, 1630.747, 1177.827, 1990.759, 3164.478, 917.7194, 829.9199, 392.1851, 1163.216, 2514.915, 263.9101, 1503.359, 2237.597, 1963.077, 473.4962, 815.908, 1527.87, 944.8596, 1605.672, 211.0431, 0, 1024.868, 1614.029, 2084.825, 503.4153, 1691.558, 466.883, 2786.598, 1324.473, 1778.755, 1627.639, 1722.527
