 , C000, C003, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C029, C031, C034, C035, C036, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C058, C059, C060, C062, C063, C064, C065, C066, C068, C072, C074, C075, C080, C081, C083, C085, C088, C089, C090, C093, C095, C096, C099, C100, C101, C103, C105, C106, C109, C111, C114, C115, C121, C122, C130, C132, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 153.0147, 138.1524, 157.2523, 0, 0, 0, 0, 61.80981, 99.5459, 136.8496, 28.15045, 0, 0, 0, 37.68243, 0, 62.29822, 0, 0, 0, 27.8501, 255.3137, 45.41321, 41.12219, 0, 73.70636, 86.25037, 27.41235, 29.45679, 34.21048, 0, 0, 31.1165, 42.75812, 108.44, 62.20099, 25.13654, 0, 141.4285, 98.98364, 0, 0, 14.25424, 0, 7.167282, 0, 44.54791, 37.35513, 0, 0, 27.91232, 0, 0, 0, 72.00073, 0, 91.11728, 0, 0, 0, 55.37146, 29.28979, 97.55566, 28.09668, 42.6077, 0, 53.3313, 0, 60.64616, 85.53589, 0, 82.19287, 27.45374, 0, 0, 84.67236
0.2, 146.327, 268.6138, 232.4522, 0, 0, 88.96411, 60.0813, 59.09753, 94.22803, 131.2021, 26.9718, 1.525879e-05, 6.103516e-05, 0, 36.09253, 0, 59.50476, 6.103516e-05, -6.103516e-05, 0, 26.61206, 340.8613, 211.1074, 51.66858, 0, 120.7204, 82.53406, 26.16895, 28.17664, 109.9356, 0, 0, 29.81445, 79.52487, 103.5698, 59.36926, 23.92975, 0, 189.2414, 185.7677, 0, -6.103516e-05, 196.8913, -6.103516e-05, 57.62975, 43.22562, 65.74222, 35.60156, 0, 0, 131.8095, 85.90045, 6.103516e-05, 0, 230.797, 0, 87.03732, 0, 95.38821, 37.13416, 137.9246, 67.26843, 189.7494, 117.2941, 40.53439, -1.525879e-05, 145.0174, -3.051758e-05, 148.9137, 81.34021, 0, 86.22217, 55.20142, 120.7031, 1.525879e-05, 121.476
0.3, 139.9315, 270.6236, 220.0163, -1.525879e-05, 0, 143.5227, 189.8164, 104.4467, 214.8924, 125.7877, 25.8425, 1.525879e-05, 43.71979, -6.103516e-05, 34.56964, -9.536743e-07, 155.167, 55.737, 0, 10.00914, 25.42883, 323.4915, 218.8805, 49.34753, 57.64005, 144.2567, 78.97791, 158.5908, 139.3748, 104.8325, 0, 0, 87.96447, 161.5927, 98.91833, 80.5437, 85.03949, 0, 208.3047, 178.2095, 0, 101.2277, 196.3154, -6.103516e-05, 71.90045, 41.311, 107.5327, 33.93033, 34.28336, 0, 126.0264, 109.8095, 49.82031, 0, 220.8022, 53.40436, 145.4364, 0, 136.0444, 35.48242, 156.7328, 63.78912, 181.6235, 112.0212, 67.39102, 0, 138.5198, -3.051758e-05, 211.9012, 77.35034, 0, 144.4216, 52.73486, 115.6064, 0, 308.8193
0.4, 133.8155, 257.2939, 208.2457, -1.525879e-05, 38.52759, 249.1794, 317.8752, 218.1846, 213.3768, 120.5967, 84.44562, 1.525879e-05, 62.01801, 0, 77.7807, 0, 224.7202, 112.7162, 150.1837, 9.563904, 151.6685, 307.0069, 324.1263, 172.3318, 55.05368, 180.3619, 75.57495, 272.0391, 139.0994, 114.8587, 0, -6.103516e-05, 84.28363, 153.1985, 94.4758, 97.76086, 134.2441, 0, 198.7189, 170.9589, 0, 96.68542, 217.1521, 98.98315, 68.61803, 73.44406, 243.0533, 32.33752, 32.59586, 0, 204.4897, 104.5685, 47.37848, 0, 211.2404, 50.98364, 155.7719, 0, 129.6302, 33.90405, 347.8158, 131.55, 173.8457, 304.7874, 64.11176, 0, 132.3134, -3.051758e-05, 201.8835, 170.4297, 0, 177.7853, 156.2072, 134.2342, 1.525879e-05, 357.5463
0.5, 127.9669, 244.6208, 197.1048, -1.525879e-05, 111.7319, 293.8802, 412.8708, 259.0162, 250.2773, 115.62, 80.91, 84.40919, 59.10828, 89.97601, 137.9785, 0, 291.5776, 107.4963, 143.6508, 9.138458, 236.3472, 382.5984, 309.736, 251.0321, 52.58337, 179.784, 233.3375, 277.0569, 261.1519, 141.2786, -7.629395e-06, 0, 80.75681, 145.2405, 90.23276, 172.0859, 155.7655, 0, 229.4606, 164.0032, -6.103516e-05, 92.34692, 237.9463, 128.6753, 88.60503, 70.19095, 231.2316, 30.81952, 257.7311, 0, 195.5178, 99.5777, 158.9446, 0, 237.2134, 125.0536, 164.8504, 0, 123.5184, 62.4704, 332.0271, 149.9578, 234.6901, 291.0862, 60.99207, 0, 224.3871, -6.103516e-05, 192.3394, 162.0699, 0, 170.3079, 149.2275, 220.3997, 1.525879e-05, 342.9039
0.6, 122.3739, 308.1953, 186.5599, -1.525879e-05, 106.5251, 379.2784, 394.2778, 247.6504, 236.9072, 110.8486, 77.5224, 80.64218, 56.33502, 85.64062, 132.1567, 0, 339.7684, 102.5182, 159.5561, 8.731964, 408.9117, 363.1018, 319.4113, 254.4425, 99.83871, 192.4928, 236.9868, 361.3629, 289.4887, 145.3089, -7.629395e-06, -6.103516e-05, 103.5267, 137.6958, 86.1803, 164.2516, 148.2874, 0, 218.9012, 247.0472, 0, 171.397, 228.1115, 122.9144, 84.56, 98.92694, 384.4085, 29.37277, 245.0451, 0, 186.9395, 166.5652, 151.1544, 0, 297.1874, 146.3979, 182.9226, 0, 117.6948, 109.9014, 360.2294, 142.2015, 224.6398, 439.9114, 84.09976, 0, 276.1981, -6.103516e-05, 183.2464, 154.1201, 0, 237.0251, 205.8661, 227.0862, 1.525879e-05, 406.4172
0.7, 117.0253, 293.015, 176.5792, -1.525879e-05, 101.5609, 406.3622, 569.623, 316.9653, 224.2513, 106.2741, 74.27661, 138.1096, 168.6689, 81.5141, 176.9137, 9.536743e-07, 511.0497, 97.77063, 242.6, 23.71964, 407.6683, 413.8201, 316.868, 424.2329, 95.35886, 182.1436, 226.7757, 489.3921, 276.9079, 153.8547, 0, 0, 99.19465, 130.543, 82.30981, 185.2423, 168.8046, 0, 326.1602, 236.9958, 0, 163.7061, 218.6832, 145.9868, 80.69965, 94.54507, 365.7115, 27.99391, 232.9835, -7.629395e-06, 252.0408, 158.6154, 143.746, 0, 297.3842, 267.0806, 235.4032, 0, 112.1458, 172.5206, 463.7321, 151.818, 215.0198, 420.136, 80.00743, 0, 292.1725, -6.103516e-05, 174.5833, 146.5602, -2.384186e-07, 227.0559, 196.6675, 217.4975, 1.525879e-05, 475.0878
0.8, 111.9105, 278.5824, 167.1324, -3.051758e-05, 96.82797, 419.3738, 736.0781, 303.0567, 254.3378, 101.8884, 71.16675, 131.946, 160.7554, 77.58649, 194.1633, 1.907349e-06, 536.938, 134.1891, 232.0471, 22.66451, 448.4771, 392.7325, 379.9321, 415.29, 91.08005, 254.37, 274.31, 645.4984, 264.8738, 146.713, 0, -6.103516e-05, 95.04388, 123.7618, 78.61313, 176.809, 264.7576, 0, 311.1508, 227.3534, 0, 245.3303, 255.3534, 139.4508, 77.01552, 116.8821, 347.924, 26.67979, 221.5156, 0, 240.9826, 151.045, 136.7007, 0, 387.3412, 306.8896, 224.8626, 1.525879e-05, 106.8583, 191.5526, 457.6974, 143.9656, 205.8118, 515.5173, 95.33554, -1.525879e-05, 463.6041, -6.103516e-05, 166.3298, 139.3713, 0, 307.2067, 265.0895, 221.8654, 1.525879e-05, 455.6317
0.9, 107.0193, 264.8606, 192.6069, -3.051758e-05, 92.31564, 499.8741, 738.7566, 348.6292, 240.7508, 168.9199, 68.1871, 179.499, 153.2132, 162.6951, 252.5587, 1.907349e-06, 525.9868, 127.9748, 262.4671, 21.65631, 502.4604, 372.7195, 363.064, 420.098, 86.99323, 240.694, 262.4907, 658.9138, 308.8394, 139.9028, -7.629395e-06, -6.103516e-05, 95.0601, 236.6822, 119.6142, 386.0903, 252.0469, 0, 296.8322, 218.1033, 0, 234.3218, 244.7992, 153.6935, 73.49959, 169.2042, 331.0015, 25.42735, 210.6122, -7.629395e-06, 230.4096, 143.8359, 187.5195, 0, 415.997, 419.4105, 448.7361, 1.525879e-05, 101.8202, 183.032, 525.0374, 200.9451, 196.998, 561.9246, 137.2815, -1.525879e-05, 490.0009, -3.051758e-05, 158.4665, 220.7573, 0, 452.7933, 287.38, 261.8895, 1.525879e-05, 600.6677
1, 102.3418, 251.8148, 239.237, -3.051758e-05, 184.9536, 588.4825, 797.8185, 333.3311, 243.3521, 186.2124, 65.33215, 202.076, 224.3181, 154.8559, 241.9025, 1.907349e-06, 516.5604, 122.0483, 348.6705, 20.69296, 480.1211, 418.5114, 346.9448, 458.2965, 152.7093, 307.4036, 251.1807, 629.0273, 390.2093, 133.4087, 0, -6.103516e-05, 145.9496, 224.3875, 114.2421, 660.6013, 339.4763, 0, 283.1724, 209.2295, 0, 223.8073, 234.6812, 173.9096, 127.4076, 161.7095, 314.9022, 24.2337, 200.2454, -7.629395e-06, 220.3004, 136.9709, 178.3288, 0, 418.4979, 400.3994, 428.6431, 0, 97.01957, 243.3288, 576.4294, 225.28, 280.0406, 536.6642, 130.6014, -1.525879e-05, 468.0462, -3.051758e-05, 150.9749, 209.9287, 0, 433.749, 290.2233, 321.2179, 1.525879e-05, 617.6025
1.1, 97.86875, 262.9746, 350.65, -3.051758e-05, 176.3345, 563.3468, 808.874, 524.9346, 457.8268, 215.8486, 62.59677, 234.1885, 213.7936, 147.3943, 231.6958, 9.536743e-07, 632.928, 282.7808, 444.5071, 88.01616, 514.8326, 397.1848, 370.4574, 610.2482, 197.7735, 321.7594, 240.358, 766.8308, 373.2513, 180.9495, -3.814697e-06, 129.0889, 139.8424, 261.1003, 200.7698, 662.2089, 378.2892, 0, 301.3552, 200.7168, 95.31421, 308.4238, 224.9814, 244.8864, 154.0633, 154.5467, 299.5859, 23.0961, 190.3889, -7.629395e-06, 368.8768, 192.88, 197.767, 0, 506.0324, 382.2502, 409.4498, 0, 92.4453, 232.505, 550.2632, 213.6278, 350.7204, 570.6923, 124.2462, 49.05051, 600.6181, -3.051758e-05, 143.8374, 199.6314, 82.97263, 415.5056, 277.2555, 352.0005, 1.525879e-05, 592.3102
1.2, 93.59122, 299.4908, 331.8907, -1.525879e-05, 215.4201, 585.6875, 814.2661, 611.6757, 433.3692, 206.941, 59.97592, 223.7371, 203.763, 140.2924, 221.9198, 9.536743e-07, 721.2209, 352.0687, 425.1714, 89.31943, 533.7232, 441.0065, 354.0099, 744.9783, 227.0262, 304.4602, 334.5401, 774.5587, 392.0837, 172.55, -3.814697e-06, 238.5143, 133.9908, 247.5372, 191.753, 732.9189, 360.1279, 0, 556.6388, 192.5504, 91.2153, 520.8629, 215.6824, 245.7622, 220.9552, 147.7012, 285.0146, 22.01189, 181.0176, 53.82522, 440.8327, 272.5305, 280.3271, 0, 484.1185, 364.9236, 391.1158, 0, 88.08669, 356.054, 525.2847, 246.2036, 371.2743, 591.2452, 239.6626, 157.2625, 629.2191, 0, 137.0375, 319.0156, 135.3329, 485.5952, 357.077, 470.239, 1.525879e-05, 688.9678
1.3, 89.50067, 284.7392, 453.5784, -7.629395e-06, 294.4279, 560.6713, 982.3014, 584.835, 495.5334, 198.401, 57.46481, 409.951, 194.203, 133.5326, 212.5563, 9.536743e-07, 756.007, 335.7645, 406.6768, 118.272, 685.9465, 498.3801, 338.2927, 711.5143, 256.0057, 325.4779, 320.1257, 775.2484, 375.0443, 164.5405, -3.814697e-06, 227.5187, 128.384, 293.577, 183.1411, 783.3969, 415.7847, 0, 572.4443, 374.2222, 87.29269, 497.4908, 206.7679, 313.3593, 224.9408, 282.9622, 271.1519, 20.97859, 172.1076, 51.56616, 421.4913, 259.5233, 266.5876, 0, 604.5371, 348.3824, 373.6029, 1.525879e-05, 83.93359, 353.8507, 591.3483, 310.8638, 465.8682, 659.3045, 228.0005, 180.6666, 773.0605, -3.051758e-05, 130.5589, 320.6121, 129.4363, 489.0653, 341.122, 460.0762, 0, 836.6865
1.4, 85.58887, 270.7143, 535.2389, 0, 362.6196, 630.912, 981.4932, 652.8536, 624.4, 214.6196, 137.5255, 407.3093, 233.5639, 194.8065, 203.5879, 9.536743e-07, 903.8928, 520.8762, 388.9867, 113.0109, 729.4138, 529.4654, 323.2732, 891.0275, 428.3637, 376.8533, 306.3324, 830.7205, 490.4133, 156.9027, -7.629395e-06, 323.3076, 124.9639, 278.3268, 174.916, 747.7319, 585.5923, 0, 666.0327, 448.822, 156.9276, 678.7195, 198.2217, 299.3298, 214.6718, 318.2834, 257.9636, 19.9938, 163.6361, 94.8592, 552.1794, 247.1367, 324.5001, 0, 612.4554, 332.5909, 356.8741, 135.7959, 79.97631, 417.2916, 737.4305, 322.0614, 579.6351, 680.0979, 263.1838, 241.6968, 738.4231, -3.051758e-05, 124.3867, 392.6035, 171.3421, 468.4954, 474.3736, 440.6495, 0, 843.5482
1.5, 81.84807, 344.6755, 506.6043, -7.629395e-06, 392.201, 630.0795, 1041.319, 698.7515, 591.0438, 317.2176, 131.7674, 389.1319, 360.8953, 185.4201, 194.9978, 0, 888.1332, 508.6052, 372.0661, 107.9838, 796.973, 573.2033, 308.9207, 982.3184, 409.1427, 505.0966, 319.8665, 793.0413, 469.1006, 170.3495, -3.814697e-06, 455.439, 119.7348, 263.8688, 167.0603, 784.7465, 605.5814, 0, 689.2521, 474.1083, 160.3591, 648.264, 190.0288, 345.3758, 204.8715, 329.1052, 245.4167, 19.05524, 155.5816, 196.0302, 527.9528, 335.7525, 308.5956, 0, 631.1852, 317.5152, 340.8944, 129.7604, 76.2056, 398.7296, 765.7667, 305.4034, 554.8129, 649.5253, 250.3772, 230.9908, 705.3377, -3.051758e-05, 118.5062, 373.3457, 163.8765, 526.3791, 556.9516, 437.9587, 0, 809.0029
1.6, 78.27076, 327.6983, 479.5016, -7.629395e-06, 373.9239, 769.9336, 1118.871, 781.108, 559.4696, 304.1268, 126.2504, 371.7657, 386.3211, 222.9041, 186.7703, 9.536743e-07, 903.9523, 513.6898, 478.9027, 124.7649, 761.5396, 624.9409, 361.4003, 938.1933, 390.7841, 477.9406, 338.6865, 791.7855, 448.7141, 162.4421, -3.814697e-06, 434.4431, 114.7246, 319.6029, 159.5574, 840.4387, 699.2577, 0, 657.5339, 474.6727, 196.3041, 619.1752, 182.1745, 329.9128, 195.5186, 381.8633, 233.48, 18.16072, 147.9236, 187.8027, 504.789, 335.5781, 293.4707, 0, 660.3001, 303.1229, 325.6302, 205.8855, 133.7543, 405.2596, 760.9433, 289.607, 531.0536, 620.3271, 277.8791, 220.759, 673.7347, -3.051758e-05, 112.9038, 355.0324, 156.7361, 504.2398, 600.8258, 580.0105, 0, 930.1786
1.7, 74.84979, 311.5574, 453.8488, -7.629395e-06, 375.5307, 828.8609, 1152.588, 746.8325, 529.582, 291.5762, 120.9644, 378.7447, 368.1959, 212.1637, 178.8899, 0, 1015.931, 576.1152, 458.0708, 119.215, 797.9271, 593.0949, 345.3549, 936.572, 373.2493, 452.2446, 353.777, 856.8176, 437.8983, 154.9017, 0, 414.4152, 109.924, 303.0008, 152.3914, 851.2, 727.8535, 0, 690.7815, 455.3601, 187.8623, 694.1616, 174.6449, 363.1588, 256.3782, 364.9491, 222.1239, 17.30821, 140.6425, 179.9206, 482.6415, 476.3409, 279.0871, 0, 692.0557, 387.1105, 311.0495, 196.7347, 127.4481, 387.2328, 769.4009, 303.3476, 654.719, 704.0814, 264.3574, 235.9416, 643.5477, -4.577637e-05, 107.5662, 384.2056, 149.9068, 483.0316, 682.6114, 582.6501, 0, 892.0856
1.8, 71.57835, 296.2115, 543.5805, -7.629395e-06, 358.0304, 793.4581, 1135.579, 738.8699, 501.2912, 279.5435, 115.8998, 361.8421, 473.0639, 245.1347, 171.3419, 9.536743e-07, 1049.245, 599.6301, 498.4382, 113.9119, 824.9739, 562.8717, 330.0219, 1011.931, 356.5014, 427.9301, 338.5337, 884.1989, 553.3936, 194.2836, 0, 492.5615, 105.3242, 287.261, 145.5473, 846.731, 692.9099, 0, 755.6544, 436.8333, 251.0111, 663.0132, 167.4265, 450.6165, 244.6739, 348.7841, 211.3202, 16.4957, 133.7198, 183.3106, 461.4658, 521.04, 321.9763, 0, 692.6033, 382.8277, 297.1216, 187.9907, 121.4391, 487.4801, 791.1558, 317.9606, 626.6814, 710.3391, 251.4936, 304.6954, 614.7132, -3.051758e-05, 194.6377, 546.1019, 160.3071, 547.5002, 652.1109, 558.0477, 0, 881.4612
1.9, 68.4499, 402.4379, 514.4996, 132.8503, 341.3456, 905.7961, 1303.007, 770.0123, 474.5117, 350.8441, 111.0472, 345.6939, 450.869, 274.6459, 164.1125, 9.536743e-07, 1035.52, 692.5032, 476.7565, 108.8447, 879.0812, 690.1436, 443.1541, 966.4753, 340.5049, 551.2297, 342.0452, 943.7415, 529.3438, 185.2652, -3.814697e-06, 529.8909, 100.917, 272.339, 139.0106, 824.8912, 659.6439, 0, 749.4438, 419.0602, 240.2167, 708.9662, 160.5065, 430.4418, 233.504, 399.7446, 201.0419, 15.72134, 127.1379, 175.617, 441.2191, 563.7411, 306.1956, 0, 662.61, 365.4749, 283.8174, 179.6352, 115.7136, 465.7959, 781.21, 322.0476, 599.8444, 678.407, 311.1416, 339.8484, 587.1707, -3.051758e-05, 228.7576, 519.3148, 153.3223, 657.4961, 622.9732, 534.4841, 0, 928.882
2, 65.45818, 528.7585, 524.0054, 126.5557, 325.4384, 906.8971, 1340.228, 736.2237, 449.1627, 336.3656, 145.1008, 540.0688, 476.0827, 322.1402, 157.1881, 1.430511e-06, 1041.167, 798.5067, 456.018, 104.003, 962.0746, 797.1226, 423.479, 940.4991, 325.2262, 521.5934, 373.6441, 1075.79, 506.3392, 191.2168, -3.814697e-06, 505.4628, 96.69414, 321.9139, 132.7674, 800.9841, 627.9751, 0, 916.3973, 488.1707, 229.8865, 677.1534, 153.8724, 508.3065, 378.7607, 440.366, 191.2636, 14.98334, 120.8799, 168.2463, 421.8608, 611.4006, 374.2307, 0, 719.4827, 348.9086, 271.109, 171.6512, 167.2924, 513.8058, 840.1545, 305.3904, 574.1567, 647.9105, 296.0013, 324.7947, 619.2668, -3.051758e-05, 217.9429, 493.8415, 146.6417, 668.3047, 813.9135, 701.0167, 0, 1083.345
2.1, 62.59721, 537.1639, 495.9717, 120.5593, 310.2725, 944.1569, 1310.927, 703.9178, 465.7177, 322.4845, 139.0256, 558.6958, 463.1595, 306.6183, 150.5558, 9.536743e-07, 1144.574, 803.3682, 436.1815, 99.37658, 1087.964, 756.5024, 432.5318, 1009.222, 310.633, 493.5504, 357.5448, 1235.116, 484.3343, 207.4722, -7.629395e-06, 524.4357, 92.64799, 305.1917, 126.8047, 791.4857, 636.8078, 0, 944.6498, 579.3839, 220.0005, 646.7681, 147.5126, 534.9168, 361.4695, 498.6328, 181.9609, 14.27998, 114.93, 161.185, 403.3517, 733.0387, 355.8889, 0, 763.5741, 333.0933, 258.9696, 275.1353, 287.2617, 490.9507, 908.7357, 289.5946, 549.569, 656.899, 281.5978, 345.3696, 591.5204, -1.525879e-05, 246.7304, 620.5872, 140.2523, 640.1961, 777.546, 671.4161, 0, 1038.98
2.2, 59.86127, 526.3571, 469.4378, 114.8471, 295.8133, 933.2526, 1422.233, 811.4888, 514.8568, 407.0769, 249.1017, 533.7623, 479.5116, 291.8443, 144.2034, 9.536743e-07, 1215.035, 867.7091, 517.7089, 94.95599, 1039.593, 717.9523, 445.2166, 1055.499, 296.6947, 467.0151, 393.0938, 1329.558, 463.2858, 293.1175, -7.629395e-06, 547.6356, 88.77118, 289.3382, 121.1097, 935.5242, 717.9665, 0, 942.4299, 555.811, 264.366, 617.7463, 141.4156, 525.2435, 344.9675, 525.743, 173.1107, 113.9996, 109.2729, 154.42, 385.6548, 698.0524, 417.8178, 0, 757.5857, 348.8194, 247.3737, 262.9066, 273.718, 469.1121, 867.4849, 274.6159, 526.0343, 785.3255, 267.8951, 388.0851, 565.017, -1.525879e-05, 235.0661, 746.875, 134.1413, 724.601, 877.7318, 643.0654, 0, 996.4311
2.3, 57.24493, 597.7975, 488.8654, 109.4055, 282.028, 936.4889, 1509.462, 775.8801, 487.3525, 515.878, 290.6864, 644.3018, 457.0142, 277.7822, 138.119, 9.536743e-07, 1160.554, 872.4299, 495.189, 90.73203, 1042.107, 681.3666, 448.2859, 1034.467, 283.3817, 441.9065, 376.1565, 1311.208, 443.152, 308.9037, -7.629395e-06, 627.757, 85.05658, 382.6471, 115.6705, 892.9336, 683.4976, 0, 968.3931, 612.8111, 252.9972, 590.0267, 135.5706, 501.7277, 329.219, 537.4807, 164.6908, 108.6481, 103.8943, 147.9389, 368.7343, 743.5886, 397.3397, 0, 774.2008, 333.0081, 236.2971, 251.2215, 260.8127, 567.9584, 879.6404, 260.4119, 503.5074, 750.0227, 254.8592, 370.8948, 539.7012, -1.525879e-05, 339.7527, 710.2395, 128.2965, 694.1246, 930.0239, 653.2214, 0, 1055.763
2.4, 54.74295, 628.4232, 487.926, 104.2217, 268.885, 1031.872, 1522.281, 741.834, 490.7731, 556.0576, 278.5157, 666.562, 586.7333, 264.3976, 132.2913, 9.536743e-07, 1152.905, 945.349, 473.6487, 86.69597, 1114.914, 745.7944, 428.3831, 987.9993, 270.6662, 418.1478, 359.949, 1328.123, 547.4631, 294.5648, -7.629395e-06, 636.9309, 81.49741, 362.7701, 110.4756, 852.2819, 650.6835, 0, 998.2653, 613.4479, 242.1174, 673.5219, 129.9672, 511.9373, 388.1798, 628.557, 156.6806, 103.5478, 98.7804, 141.7299, 352.5562, 751.0038, 377.8652, 0, 782.3771, 317.9135, 225.7164, 240.0558, 248.516, 542.6944, 839.7102, 246.9426, 481.9452, 811.3232, 277.1392, 397.6749, 590.6219, -1.525879e-05, 371.4548, 675.4011, 122.7064, 664.9299, 963.1794, 777.7524, -7.629395e-06, 1262.754
2.5, 52.35031, 695.2158, 461.8226, 99.28355, 256.3546, 1033.974, 1504.113, 709.2819, 464.5555, 533.1104, 544.5801, 636.8146, 559.2054, 251.658, 126.7095, 4.768372e-07, 1223.892, 1008.833, 453.0453, 82.83945, 1175.867, 707.7899, 409.3639, 1135.649, 258.5212, 395.6665, 344.4398, 1313.703, 545.8252, 468.8149, -7.629395e-06, 736.7518, 78.08717, 343.9256, 105.5139, 912.2084, 619.4448, 0, 952.3267, 588.4891, 231.7054, 704.0777, 124.5954, 569.8146, 370.4585, 600.7157, 149.0599, 98.68696, 93.91824, 135.7814, 337.088, 715.16, 436.6812, 0, 799.5436, 328.0536, 215.6096, 266.2615, 236.799, 565.6307, 860.1647, 267.1612, 461.3064, 1009.086, 286.4583, 399.7938, 573.5707, 152.2413, 353.894, 711.8398, 117.3599, 636.9633, 990.6785, 744.9117, -7.629395e-06, 1211.041
2.6, 50.06225, 660.9725, 491.0658, 131.6248, 244.4081, 1013.077, 1602.126, 734.2762, 491.0474, 558.5576, 567.3695, 608.3949, 532.969, 239.5322, 198.6827, 4.768372e-07, 1169.014, 1007.017, 433.3382, 79.15448, 1195.729, 671.722, 465.3676, 1111.478, 246.9211, 374.3939, 366.8167, 1301.391, 584.1182, 447.0531, -7.629395e-06, 702.7874, 74.81964, 326.06, 100.7752, 870.6791, 634.9647, 0, 908.5023, 564.5459, 301.0642, 672.4843, 119.4456, 556.7144, 353.5462, 574.1077, 141.8099, 94.05428, 89.29541, 130.0826, 322.2983, 739.4291, 490.7486, 0, 829.1884, 367.146, 205.9552, 269.1899, 225.6344, 540.4702, 871.2758, 253.3428, 441.5515, 963.7245, 272.5191, 446.4036, 624.0599, 145.7511, 428.1466, 676.9229, 112.2463, 701.2578, 971.25, 744.6591, 0, 1161.446
2.7, 47.87419, 710.403, 464.7943, 125.3883, 233.0182, 1077.636, 1529.977, 702.0558, 464.815, 535.5072, 554.3254, 581.2435, 507.9635, 260.4844, 202.0187, 4.768372e-07, 1116.597, 1002.635, 414.4883, 75.63344, 1142.567, 689.618, 501.8297, 1061.551, 235.8416, 450.7302, 401.4052, 1373.173, 629.325, 426.3014, -7.629395e-06, 670.3887, 71.68884, 366.5806, 96.24922, 899.3268, 604.4807, 0, 886.1423, 570.3146, 288.1173, 666.9523, 114.5087, 531.7895, 437.0392, 548.6782, 134.9125, 89.63909, 84.90012, 124.623, 420.7659, 762.3641, 466.696, 0, 981.9147, 350.504, 196.7332, 349.5759, 214.9962, 561.0399, 831.7253, 295.8383, 422.6425, 1111.885, 259.2582, 426.6301, 642.4936, 201.7544, 407.9058, 643.7188, 107.3555, 842.3901, 958.3466, 905.2638, -7.629395e-06, 1188.524
2.8, 45.78176, 675.4117, 439.9284, 147.879, 222.1592, 1214.373, 1817.052, 671.2493, 439.9841, 513.4081, 574.7485, 555.3038, 484.1313, 322.1259, 222.2958, 0, 1161.257, 1025.292, 396.4584, 240.4667, 1121.154, 654.4762, 479.5497, 1013.867, 373.9663, 530.6737, 384.1097, 1383.796, 837.8989, 406.5131, -7.629395e-06, 639.4836, 68.68904, 347.5381, 91.92653, 858.384, 575.4601, 0, 926.4354, 612.3878, 275.7272, 637.0248, 265.2545, 545.7841, 556.6514, 524.3751, 128.3506, 85.43117, 80.72115, 119.3926, 402.3049, 826.3053, 471.7332, 0, 959.1284, 358.6867, 187.9241, 439.7546, 204.8596, 616.0353, 829.0813, 348.6948, 404.5433, 1061.902, 295.4509, 426.1923, 664.3688, 193.1533, 388.6218, 612.1432, 130.1915, 916.8188, 1085.984, 913.2274, -7.629395e-06, 1306.757
2.9, 43.7808, 780.9966, 515.4087, 380.2642, 283.0638, 1162.504, 1821.166, 684.7751, 520.9817, 492.2209, 678.3312, 604.5714, 504.1848, 359.9727, 212.9164, 0, 1221.544, 1021.033, 379.2128, 229.7699, 1158.108, 756.5146, 458.2588, 1274.092, 420.363, 652.8247, 367.5595, 1464.333, 894.154, 546.8899, -7.629395e-06, 646.5021, 65.81477, 329.4849, 87.79799, 883.5264, 708.0703, 0, 1096.012, 587.4722, 263.8698, 688.4569, 284.9415, 541.5571, 531.239, 501.1484, 122.1078, 81.42076, 236.4325, 369.2043, 384.6539, 939.1417, 536.4793, 0, 1056.62, 342.4282, 179.5094, 516.5595, 195.2009, 610.306, 929.7537, 330.6592, 387.2191, 1014.166, 281.0742, 495.8699, 666.7953, 354.7114, 370.2495, 582.1166, 144.5011, 969.8184, 1180.707, 874.6662, -7.629395e-06, 1253.242
