 , C000, C003, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C016, C017, C019, C020, C022, C023, C024, C025, C026, C027, C029, C031, C034, C035, C036, C039, C041, C043, C044, C045, C046, C047, C048, C049, C050, C052, C054, C058, C059, C060, C062, C063, C064, C065, C066, C068, C072, C074, C075, C080, C081, C083, C085, C088, C089, C090, C093, C095, C096, C099, C100, C101, C103, C105, C106, C109, C111, C114, C115, C121, C122, C130, C132, C133
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
66.09999999999999, 328.5341, 431.51, 737.1239, 78.21996, 379.5204, 1177.411, 692.0401, 656.956, 986.7504, 472.7363, 315.2895, 319.2496, 745.8563, 309.0727, 238.327, 539.2084, 746.4423, 686.061, 1069.778, 570.5483, 391.2848, 253.042, 285.9664, 552.094, 7.596821, 141.086, 627.5129, 357.7348, 1066.418, 236.1308, 287.1746, 231.3813, 36.90315, 478.1988, 205.6632, 196.9393, 293.7498, 273.7887, 309.3623, 740.6508, 212.1144, 651.8307, 0.7134944, 1096.663, 423.2932, 646.0397, 4.206289, 240.6078, 298.9088, 778.5164, 1021.556, 731.6147, 492.834, 345.85, 531.2662, 464.7453, 1060.113, 1001.868, 226.6874, 525.7588, 776.9577, 124.008, 102.642, 853.3536, 584.7309, 83.10671, 1039.963, 511.1028, 732.8761, 1135.961, 834.4972, 1469.74, 802.6293, 1715.677, 1778.727, 1341.857
66.2, 314.175, 410.2558, 732.3367, 74.51379, 361.8341, 1201.922, 749.0818, 713.0697, 1011.394, 453.2276, 302.0886, 305.0021, 737.9503, 294.1804, 228.2712, 542.5042, 712.9728, 708.6158, 1158.57, 545.1685, 373.8883, 240.1474, 273.2701, 527.2943, 7.255946, 133.5006, 600.4752, 403.9669, 1121.167, 287.0593, 274.2487, 353.0827, 35.35895, 453.3582, 196.4266, 187.9735, 279.6471, 262.4025, 295.126, 710.5167, 202.9926, 690.4585, 0.6840043, 1107.822, 403.9689, 617.424, 4.001703, 229.313, 284.1959, 806.6939, 999.6824, 696.6963, 468.6792, 330.428, 508.2596, 459.1912, 1012.645, 1014.317, 215.9996, 502.3719, 741.6887, 117.5939, 98.24647, 814.9926, 556.2776, 79.42549, 993.3672, 489.3137, 698.229, 1112.857, 853.6753, 1407.923, 766.7661, 1643.233, 1791.091, 1339.775
66.3, 300.4434, 390.0485, 693.1575, 70.98324, 389.9852, 1233.621, 752.1082, 727.0939, 957.3644, 499.3806, 289.4405, 291.3905, 703.3276, 322.6438, 218.6397, 519.9407, 681.004, 769.319, 1119.672, 520.9177, 357.2652, 227.9099, 261.1376, 503.6085, 6.930366, 126.3231, 632.2449, 385.644, 1093.421, 273.7343, 261.9045, 385.1844, 33.87936, 429.808, 187.6048, 179.4158, 266.2215, 251.4897, 281.5448, 681.6085, 194.2632, 676.0295, 0.655733, 1081.815, 385.5268, 779.5167, 3.807067, 218.5483, 270.2072, 772.8367, 1060.75, 663.4445, 493.5177, 315.6936, 486.2493, 438.377, 1017.74, 1038.017, 205.8157, 480.0253, 722.7822, 111.5116, 94.03916, 860.7238, 529.2089, 75.90733, 1038.312, 468.4535, 727.4431, 1096.743, 934.5002, 1436.453, 787.6552, 1651.881, 1812.512, 1284.908
66.40000000000001, 287.312, 370.8364, 656.0745, 67.61996, 371.8112, 1180.93, 718.2382, 695.1886, 906.2209, 478.7723, 277.3219, 278.3863, 670.3294, 307.0977, 209.4146, 498.3157, 650.4687, 733.692, 1133.663, 497.7455, 341.3811, 292.4153, 249.5437, 480.9868, 6.619395, 119.5314, 669.364, 368.1523, 1045.903, 261.0279, 283.0445, 367.4272, 32.46169, 482.7856, 179.1792, 302.5132, 253.4405, 241.0309, 376.4124, 696.2543, 185.9091, 645.6946, 0.6286303, 1073.514, 400.4623, 769.0668, 3.621898, 208.289, 409.3602, 740.4005, 1014.21, 631.7798, 560.8714, 301.6163, 465.1922, 418.5063, 1049.619, 991.8816, 196.1119, 575.3911, 781.5074, 105.7438, 90.01203, 822.0316, 676.8414, 72.54501, 1003.616, 448.4826, 693.0529, 1042.946, 899.8628, 1516.911, 856.5727, 1630.811, 1779.812, 1257.646
66.5, 274.7545, 352.5707, 620.9753, 64.41605, 426.212, 1232.842, 715.5766, 664.6833, 989.0986, 459.0145, 265.7107, 265.9625, 703.0088, 292.3006, 200.5788, 477.5901, 683.8728, 699.7148, 1133.337, 497.1324, 326.2033, 277.5143, 238.4645, 459.3811, 6.322377, 113.1049, 640.5229, 351.4539, 1000.449, 248.9113, 270.3044, 421.8408, 31.10334, 504.3006, 171.132, 311.9471, 241.273, 231.0069, 443.2742, 700.715, 177.9143, 616.721, 0.6026478, 1035.652, 382.1803, 782.1296, 3.445735, 242.3583, 389.2107, 709.3257, 969.7115, 601.6263, 533.3819, 288.1667, 445.0469, 406.7835, 1018.119, 947.7965, 239.5781, 549.7964, 746.0319, 100.2744, 86.15736, 894.3925, 643.906, 69.33163, 1058.057, 429.3632, 660.2884, 1023.249, 912.3969, 1465.297, 818.2992, 1691.679, 1704.211, 1288.278
66.59999999999999, 262.7459, 335.2047, 722.8543, 61.36393, 406.3499, 1180.184, 683.3517, 781.6185, 936.2598, 440.072, 254.5857, 254.0931, 722.3894, 343.3322, 192.1157, 505.6294, 653.2089, 667.3112, 1155.64, 475.0183, 456.8875, 263.3726, 227.8772, 438.746, 6.038687, 107.024, 612.9246, 335.5129, 1096.46, 237.3571, 258.1378, 482.4445, 29.80183, 526.2303, 163.4462, 331.9948, 229.6897, 221.3999, 545.4479, 672.2056, 170.2633, 672.2537, 0.5777392, 1063.276, 364.7329, 747.486, 3.27814, 240.1701, 370.053, 814.2746, 955.4762, 572.912, 507.2397, 275.3169, 460.1665, 407.3195, 1066.165, 958.1744, 228.2825, 581.6998, 740.2006, 95.08794, 82.46776, 854.1867, 612.5732, 66.26057, 1027.207, 411.0587, 726.9442, 1072.324, 1004.577, 1468.875, 858.9806, 1739.341, 1730.475, 1235.52
66.7, 251.2621, 387.933, 767.0438, 58.45643, 387.4134, 1129.776, 726.7765, 747.3206, 1032.835, 421.9112, 401.8957, 298.1527, 747.7268, 326.7892, 184.0098, 484.5996, 726.4062, 745.1935, 1185.864, 453.888, 459.2914, 282.9606, 217.76, 419.0378, 5.767726, 101.2699, 646.7012, 411.365, 1077.526, 226.3393, 246.5188, 460.2036, 28.55479, 498.8947, 156.1057, 316.8805, 218.6625, 212.1924, 548.4879, 718.0958, 162.9413, 699.0557, 0.5538601, 1153.991, 383.4683, 829.3567, 3.118697, 228.8958, 351.8383, 780.0992, 1116.481, 545.5681, 482.3788, 263.0401, 459.2801, 414.8565, 1018.426, 915.5875, 217.5194, 570.8751, 761.258, 90.16969, 78.93616, 815.7883, 666.2323, 63.32556, 1016.64, 393.5347, 692.5775, 1019.724, 1098.792, 1407.094, 857.7103, 1665.897, 1782.926, 1252.674
66.8, 240.2802, 368.8252, 804.9538, 55.68669, 369.3593, 1148.301, 694.0472, 714.5278, 977.6597, 465.8878, 385.0687, 342.8532, 804.694, 344.2737, 176.2458, 464.4445, 762.4986, 710.6837, 1158.26, 453.5944, 725.1918, 268.5414, 208.0919, 400.2149, 5.508924, 95.82524, 717.1392, 392.7066, 1081.47, 215.8329, 294.3997, 438.9881, 27.35992, 472.9791, 149.0947, 334.5796, 208.1647, 203.3678, 627.3511, 912.1807, 155.9342, 696.4842, 0.530968, 1102.325, 439.8615, 833.4256, 2.967009, 218.1507, 334.5201, 747.3582, 1120.035, 519.5294, 458.7364, 675.593, 464.0545, 396.0519, 1022.16, 874.8933, 207.2639, 569.689, 726.7017, 85.50584, 75.5558, 779.1161, 633.8131, 60.52055, 971.0894, 376.7577, 659.8355, 1157.747, 1053.03, 1347.912, 933.8725, 1774.474, 1707.193, 1342.545
66.90000000000001, 229.7784, 350.6585, 906.8038, 53.04818, 352.1466, 1099.254, 662.7918, 783.2188, 973.9465, 446.6617, 368.9463, 327.5523, 844.3873, 327.6853, 168.8094, 445.1277, 924.1654, 960.006, 1107.877, 433.4171, 692.9498, 254.857, 198.8531, 536.7103, 5.261734, 90.67329, 734.759, 374.8945, 1103.176, 298.7516, 376.018, 678.4139, 26.21505, 448.4097, 142.3987, 333.5713, 198.1709, 194.9102, 800.3764, 875.0677, 149.2284, 729.8629, 0.5090221, 1126.604, 419.7808, 796.5099, 2.822699, 207.9101, 318.0544, 793.6284, 1102.864, 695.3341, 436.2527, 645.4672, 477.259, 378.0997, 999.7522, 950.2207, 197.4918, 570.3762, 803.0201, 81.08321, 72.32021, 858.2596, 602.9715, 57.83978, 927.5793, 360.696, 673.7607, 1117.351, 1115.741, 1456.214, 913.4899, 1718.757, 1758.501, 1354.494
67, 219.7355, 333.3867, 910.262, 50.53469, 335.736, 1172.124, 687.2058, 790.8777, 921.9172, 428.2289, 353.4989, 312.9344, 804.7709, 311.8963, 161.6868, 426.6142, 882.7271, 915.5483, 1094.009, 455.2091, 662.1412, 274.7696, 420.0592, 512.6016, 5.025636, 85.79832, 703.1002, 357.8903, 1055.233, 305.1426, 359.0931, 647.1389, 25.11809, 425.1165, 136.0034, 341.6351, 188.6569, 186.8043, 763.5444, 839.4646, 142.811, 790.9261, 0.4879832, 1076.165, 400.6169, 893.9858, 2.685407, 238.6736, 302.3992, 778.7503, 1099.226, 662.1473, 414.8711, 616.6847, 493.9832, 360.9612, 1085.017, 945.2941, 188.1805, 604.4508, 766.568, 76.88933, 69.22317, 886.3829, 573.6306, 55.27777, 932.501, 345.319, 779.4136, 1117.701, 1160.477, 1394.966, 928.2144, 1646.182, 1748.194, 1338.836
