 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C012, C013, C015, C016, C017, C020, C021, C024, C028, C032, C034, C036, C037, C038, C039, C043, C045, C046, C047, C050, C052, C053, C055, C061, C063, C064, C065, C070, C071, C076, C078, C087, C089, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
7.1, 1676.728, 187.4691, 3093.727, 181.6535, 1.907349e-06, 105.3155, 274.4727, 49.06858, 800.6561, 631.9471, 776.1083, 909.6303, 835.4426, 160.4453, 240.5983, 347.8204, 568.1624, 308.5914, 0, 806.074, 1434.633, 282.6757, 230.6027, 323.8747, 1074.914, 478.1596, 2750.391, 86.85078, 565.014, 13.69514, 2356.278, 619.5078, 398.5771, 910.2329, 281.8188, 2663.909, -1.144409e-05, 1705.406, 1031.917, 845.7175, 1255.296, 39.46708, 62.30611, 89.2331
7.2, 1602.64, 178.3041, 3000.96, 196.6376, 1.907349e-06, 100.89, 262.0517, 46.73914, 760.4721, 605.507, 742.9034, 969.7347, 794.2489, 153.0318, 432.5743, 331.8646, 573.1701, 295.9615, 0, 772.4266, 1374.278, 269.7294, 220.6414, 306.5769, 1029.193, 536.9712, 2760.581, 83.21416, 569.8491, 13.11285, 2294.534, 591.6219, 380.8616, 893.4966, 267.0936, 2595.56, -1.144409e-05, 1633.953, 982.4511, 808.5755, 1422.796, 37.7467, 59.71453, 85.40443
7.3, 1593.128, 169.5871, 3111.184, 187.1485, 9.536743e-07, 96.65048, 250.1928, 44.52028, 727.3367, 634.4745, 711.1191, 926.1478, 835.5611, 145.9608, 413.2221, 316.6406, 547.3787, 283.8485, 0, 740.1837, 1316.462, 257.3761, 211.1103, 290.203, 985.4173, 511.8584, 2757.706, 79.72981, 567.2298, 12.55532, 2316.07, 642.9636, 363.9335, 1001.617, 253.1378, 2646.482, -9.536743e-06, 1658.066, 935.3565, 839.6282, 1432.331, 36.1013, 57.23074, 81.74004
7.4, 1522.734, 212.3546, 3014.705, 261.9048, 1.430511e-06, 92.58912, 238.8705, 121.4046, 727.0471, 607.9286, 932.3566, 959.4913, 913.5462, 139.2165, 431.748, 302.1151, 522.7478, 272.2313, 0, 709.2867, 1261.078, 245.5885, 201.9909, 274.7036, 959.6204, 487.92, 2643.214, 76.39136, 539.9438, 12.0215, 2258.72, 614.022, 347.7578, 1035.436, 239.9113, 2530.075, -7.629395e-06, 1827.24, 890.5194, 1082.175, 1546.1, 34.52763, 54.85027, 307.5083
7.5, 1671.47, 201.973, 3249.49, 380.6423, 1.430511e-06, 88.69842, 228.0607, 115.6411, 690.5574, 582.4933, 993.89, 916.3647, 868.5014, 132.7839, 469.5672, 288.2559, 499.2253, 261.0895, 0, 916.5488, 1208.024, 234.3408, 193.2655, 260.032, 918.8035, 465.1012, 2533.476, 73.19269, 513.9705, 11.51037, 2167.115, 680.6968, 428.0969, 1203.987, 227.3757, 2418.79, -7.629395e-06, 1806.678, 847.8316, 1281.448, 1566.15, 33.02256, 52.56881, 294.3142
7.6, 1597.615, 192.099, 3240.99, 446.4904, 1.430511e-06, 84.97121, 217.74, 141.0816, 767.0449, 558.1223, 951.3675, 875.1767, 825.6777, 243.2587, 448.5601, 456.091, 476.7613, 250.4038, 0, 878.29, 1157.203, 223.6082, 293.732, 246.144, 879.7227, 559.5367, 2590.139, 70.12795, 529.2195, 11.02098, 2150.088, 650.0567, 409.0693, 1186.763, 215.4952, 2438.309, -7.629395e-06, 1765.102, 807.1901, 1326.708, 1603.999, 31.5831, 50.38224, 281.6862
7.7, 1536.473, 182.7076, 3101.502, 424.9441, 9.536743e-07, 81.40063, 207.8864, 147.0844, 728.5478, 534.7709, 1045.903, 892.1846, 784.9655, 364.9888, 428.4927, 480.2366, 455.3081, 240.1554, 0, 973.2159, 1108.519, 213.3672, 281.0436, 232.9977, 921.6834, 533.3686, 2482.604, 67.19155, 503.762, 10.55239, 2173.598, 732.5989, 390.8875, 1195.374, 204.2355, 2626.728, -7.629395e-06, 1691.149, 768.4968, 1400.987, 1547.652, 30.20638, 48.28662, 269.6001
7.8, 1607.442, 173.7754, 3107.572, 527.9955, 4.768372e-07, 77.98008, 198.4787, 140.1019, 691.9828, 512.3964, 1103.087, 941.1107, 746.2607, 348.1242, 437.334, 458.2063, 434.8202, 230.3264, 0, 932.5917, 1061.884, 203.5952, 268.9033, 220.5536, 882.48, 508.4242, 2379.534, 64.3781, 479.5291, 10.10372, 2191.93, 699.6225, 465.6743, 1142.426, 193.5641, 2586.734, -7.629395e-06, 1637.532, 731.6583, 1485.01, 1505.398, 28.88968, 46.27818, 258.0325
7.9, 1579.6, 209.957, 3261.704, 502.5161, 4.768372e-07, 74.70327, 189.4967, 133.4508, 657.253, 490.9582, 1055.893, 898.8104, 709.4644, 332.0388, 439.3161, 437.1866, 415.2542, 220.8997, 0, 893.6631, 1017.21, 194.2707, 257.2874, 285.4557, 932.6354, 484.6464, 2393.726, 61.68246, 495.4861, 9.674136, 2103.034, 673.6396, 470.4426, 1208.45, 183.4502, 2576.679, -7.629395e-06, 1599.477, 696.5856, 1419.791, 1433.798, 27.63036, 44.35326, 246.9613
8, 1509.804, 199.6926, 3153.534, 643.3762, 4.768372e-07, 71.56416, 180.9212, 127.1155, 624.2662, 470.4168, 1090.561, 858.4113, 674.4823, 316.6967, 419.6623, 417.1312, 396.5687, 211.8589, 0, 856.3595, 974.416, 185.3733, 246.1733, 270.2099, 892.9663, 581.0833, 2385.927, 59.09969, 471.6513, 9.262815, 2017.742, 643.3171, 449.5329, 1154.923, 173.8649, 2463.343, -6.67572e-06, 1604.638, 663.1942, 1430.719, 1365.603, 26.42595, 42.50842, 276.5151
