 , C000, C001, C003, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C022, C023, C024, C025, C027, C029, C030, C032, C033, C034, C035, C036, C037, C038, C039, C040, C042, C043, C044, C045, C046, C047, C051, C055, C061, C062, C064, C066, C070, C072, C074, C076, C080, C081, C082, C084, C086, C088, C090, C091, C093, C094, C099, C100, C101, C103, C115, C119, C122, C125, C129, C134
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
339.6, 204.2921, 76.23576, 1504.675, 812.6859, 8.509027, 367.3955, 711.6199, 142.497, 1651.396, 849.4806, 2.091535, 737.7706, 200.6873, 158.5716, 1651.359, 226.492, 282.7463, 557.7624, 983.6499, 266.4585, 1102.715, 482.5982, 390.1345, 383.3727, 552.1171, 332.2235, 2214.909, 536.2748, 1322.745, 783.795, 1085.266, 357.5248, 297.8638, 817.2778, 217.4922, 377.6599, 362.097, 214.2883, 177.6157, 392.0649, 689.1741, 262.4892, 9.064618, 10.89279, 495.6765, 508.1542, 2443.333, 281.2366, 282.7681, 374.6388, 154.6037, 798.4035, 71.38975, 612.1902, 0.05071704, 640.3149, 125.9304, 110.0856, 431.6628, 432.3557, 389.5113, 548.6023, 258.0475, 422.0591, 1059.87, 622.4144, 859.3201, 768.813, 1474.211
339.7, 194.2318, 72.74773, 1480.203, 773.5175, 8.128899, 349.5795, 678.9332, 226.9568, 1646.024, 809.8724, 1.998973, 763.8117, 190.1624, 151.7213, 1579.896, 215.7537, 268.8622, 528.6204, 954.9895, 254.4923, 1051.659, 458.7966, 372.5264, 367.2004, 586.3638, 317.7358, 2290.485, 508.1703, 1385.93, 762.2534, 1111.768, 362.4237, 283.2889, 815.2018, 207.0065, 360.1433, 409.2343, 204.2606, 170.0047, 375.7363, 660.5842, 251.585, 8.62899, 10.44212, 471.9578, 556.8372, 2477.43, 268.382, 270.1311, 357.5189, 365.3176, 792.5499, 68.05074, 655.7494, 0.04830082, 728.8991, 119.41, 103.7515, 478.7694, 441.8643, 402.7197, 577.6302, 246.7749, 402.5002, 1073.955, 640.9955, 848.8968, 733.3611, 1457.418
339.8, 184.667, 69.41928, 1417.267, 751.7982, 7.765751, 436.6722, 762.1035, 216.4661, 1714.367, 789.9046, 1.910508, 730.3853, 180.1895, 145.167, 1704.015, 205.5245, 255.6598, 501.001, 952.3684, 243.0634, 1002.967, 436.1689, 355.713, 351.7102, 609.7529, 303.8799, 2216.72, 481.5386, 1322.051, 794.9366, 1061.957, 344.611, 269.4272, 935.5409, 197.0264, 352.3917, 390.774, 194.7022, 162.7198, 360.0878, 739.2468, 241.1338, 8.214298, 10.01009, 449.374, 569.5732, 2446.224, 256.115, 258.059, 341.1814, 348.4077, 781.262, 64.8679, 628.0143, 0.04599971, 829.7408, 113.2272, 97.78185, 483.5466, 477.9862, 385.468, 551.9579, 325.3246, 383.8477, 1072.716, 607.3804, 1018.217, 729.5912, 1395.203
339.9, 175.5732, 66.24313, 1400.81, 895.2436, 7.418827, 415.4968, 774.5164, 206.4603, 1826.954, 838.4198, 1.825958, 781.0433, 170.7397, 138.8958, 1683.332, 195.7803, 280.0132, 474.8246, 910.5038, 232.1479, 1006.107, 414.6572, 339.6584, 336.8735, 582.6202, 290.6282, 2180.648, 456.3026, 1261.116, 768.7783, 1091.944, 360.3562, 256.2438, 979.7002, 187.5274, 352.4953, 373.1463, 294.7204, 155.747, 345.0909, 708.5798, 231.1168, 7.819535, 9.595939, 427.8709, 559.5091, 2370.388, 244.4087, 246.5263, 325.5904, 332.2806, 745.5359, 61.83392, 601.4523, 0.04380823, 792.458, 107.3645, 92.15569, 487.5076, 456.8987, 469.3168, 527.4266, 311.1131, 366.0597, 1034.307, 656.8304, 1259.368, 724.4022, 1386.643
340, 166.9272, 63.21229, 1452.211, 871.0215, 7.087401, 395.3482, 738.9406, 196.917, 1760.295, 799.3273, 1.745149, 779.4716, 161.7854, 132.8955, 1634.966, 186.4981, 266.2633, 450.016, 915.2415, 221.7225, 996.2008, 394.2064, 324.3284, 322.6627, 568.1611, 277.9543, 2242.113, 432.3891, 1225.898, 880.3378, 1259.13, 446.7508, 243.7054, 1062.829, 178.4864, 453.5814, 453.87, 347.8685, 149.0731, 330.7187, 679.1849, 221.5158, 7.443744, 9.198922, 407.3968, 646.2927, 2409.728, 233.2374, 235.509, 310.7119, 316.9, 770.323, 58.94185, 576.0137, 188.6653, 878.91, 101.8055, 86.85324, 501.7816, 573.207, 500.5253, 564.11, 297.5224, 498.6454, 1019.017, 622.3849, 1364.761, 707.3868, 1327.45
340.1, 158.707, 60.32012, 1390.465, 829.0416, 6.770782, 376.1767, 704.999, 187.8148, 1776.128, 762.0576, 1.667917, 794.5466, 153.3008, 127.1544, 1854.7, 177.656, 253.1885, 426.5035, 909.4075, 211.7653, 991.2106, 374.7643, 309.6904, 309.0513, 559.731, 265.8332, 2231.854, 409.7289, 1260.635, 937.782, 1202.716, 424.7935, 231.7806, 1062.673, 169.8812, 467.5718, 527.7833, 359.4829, 142.6851, 316.945, 651.0095, 212.3138, 7.086012, 8.818331, 387.9024, 618.5243, 2368.654, 222.5768, 224.9841, 296.5133, 302.2313, 801.0214, 56.18505, 551.651, 266.5244, 888.2488, 96.5342, 81.85589, 495.1435, 547.9186, 479.0838, 539.0386, 388.6638, 547.9415, 984.0478, 589.7457, 1461.514, 762.7859, 1323.871
340.2, 150.8915, 57.56028, 1357.128, 891.5302, 6.468306, 357.9349, 672.6163, 179.1334, 1855.953, 726.5256, 1.594103, 807.3924, 145.261, 121.6613, 1888.875, 169.2331, 240.7558, 404.2195, 869.4315, 202.2552, 1131.395, 356.281, 295.713, 296.0142, 534.8242, 254.2407, 2142.534, 388.2562, 1202.531, 900.548, 1410.657, 403.9153, 220.4392, 1046.504, 161.691, 445.885, 539.4038, 342.6608, 136.5709, 303.745, 707.5195, 203.4939, 6.745472, 8.453486, 369.3408, 591.949, 2339.252, 212.4034, 214.9296, 450.2103, 288.2416, 806.4658, 53.55718, 730.9891, 253.8269, 848.337, 91.53588, 186.048, 545.8079, 523.7458, 458.5608, 515.0815, 371.6854, 557.86, 989.9178, 558.8182, 1474.969, 787.3285, 1267.357
340.3, 143.461, 54.92671, 1365.675, 910.6937, 6.179343, 400.5655, 641.7211, 170.8533, 1889.834, 798.5407, 1.523555, 873.2026, 137.643, 116.4055, 1837.188, 161.2095, 228.9336, 383.0999, 831.2126, 193.1723, 1079.011, 338.7094, 282.3664, 283.5269, 525.6987, 243.1536, 2088.472, 367.9089, 1147.106, 945.0848, 1465.945, 384.0633, 209.6528, 1000.472, 153.8956, 425.204, 515.0716, 375.0402, 130.7187, 291.0947, 678.1686, 195.0405, 6.421298, 8.103737, 351.6674, 566.5154, 2436.038, 202.695, 205.3243, 429.6371, 274.8994, 769.5872, 51.05223, 700.0718, 241.7343, 827.2164, 86.79636, 175.3432, 652.6048, 591.5543, 438.917, 492.1891, 355.4486, 563.1166, 944.0947, 529.5126, 1440.409, 809.9481, 1213.256
340.4, 136.3963, 52.41364, 1389.841, 892.7225, 5.90329, 381.141, 612.245, 162.9558, 1833.687, 804.6993, 1.45613, 834.989, 130.4244, 111.3768, 1757.683, 153.5663, 217.6919, 363.0836, 821.0281, 184.4972, 1040.737, 322.0043, 269.6223, 271.5665, 574.8306, 232.5501, 2062.242, 348.6279, 1151.473, 970.7618, 1429.352, 365.187, 199.3942, 956.4646, 146.476, 405.4822, 491.837, 357.4901, 125.1172, 278.9712, 650.0354, 186.9382, 6.112703, 7.768457, 334.8397, 542.1747, 2372.685, 193.4304, 196.1484, 410.0039, 262.1749, 734.3951, 48.66443, 670.462, 230.2177, 790.0471, 82.30225, 286.823, 624.3477, 565.4564, 420.1147, 470.3142, 339.9212, 557.9217, 940.8572, 568.9615, 1377.72, 772.5994, 1161.464
340.5, 129.6796, 50.01554, 1340.479, 914.3496, 5.639568, 362.6584, 584.1228, 209.49, 1779.955, 824.4969, 1.391688, 798.4476, 123.5844, 106.5653, 1681.618, 146.2855, 207.0022, 344.1132, 784.9371, 176.2117, 1005.269, 306.1232, 257.4533, 260.1106, 549.2518, 222.409, 2002.174, 330.3573, 1098.401, 921.6101, 1422.715, 347.2385, 189.6376, 914.3929, 139.4141, 386.6752, 469.6505, 340.7613, 119.7558, 267.3527, 740.7206, 179.1725, 5.818938, 7.44705, 318.8172, 518.8798, 2360.163, 184.5892, 187.3825, 391.2679, 250.0393, 700.8122, 46.38832, 642.1047, 219.2499, 777.9597, 78.04082, 270.3198, 669.1637, 551.3636, 402.1178, 449.4115, 325.072, 566.1826, 897.3051, 539.124, 1361.087, 736.973, 1235.252
