 , C000, C001, C002, C003, C004, C006, C007, C009, C010, C011, C012, C014, C016, C019, C022, C024, C025, C026, C027, C028, C029, C030, C034, C035, C041, C043, C046, C047, C048, C055, C057, C060, C061, C077, C086, C088, C089
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
166, 526.4266, 387.8687, 318.1909, 257.5271, 111.3643, 10.26893, 52.38333, 318.5561, 440.4893, 276.9275, 208.1267, 281.9656, 331.6509, 334.4303, 3596.861, 751.6639, 2387.872, 1900.644, 0.001560154, 1056.573, 25.00935, 4080.973, 1104.833, 3334.351, 773.1715, 3.017371e-07, 3170.905, 2441.446, 935.0433, 120.7426, 2165.892, 1301.45, 579.5825, 2821.751, 571.6956, 1035.205, 1512.6
166.1, 501.6436, 369.5891, 304.1845, 245.9899, 106.1653, 9.761768, 50.19869, 557.2733, 419.4323, 262.8002, 197.7353, 269.0136, 316.8643, 316.876, 3584.377, 717.4838, 2307.174, 1940.466, 0.001494636, 1064.239, 23.82718, 4086.588, 1053.682, 3296.512, 736.749, 2.86862e-07, 3035.777, 2334.87, 890.7719, 115.4948, 2071.619, 1337.499, 552.1587, 2866.365, 544.6412, 1020.716, 1442.482
166.2, 493.601, 352.1711, 368.0605, 286.3342, 101.209, 153.5167, 48.10516, 540.765, 476.6253, 249.3936, 187.8626, 256.6566, 302.7368, 300.2431, 3509.388, 814.2471, 2415.227, 1881.697, 0.001431869, 1069.622, 22.70088, 3963.969, 1004.898, 3176.161, 742.8863, 2.727203e-07, 3060.246, 2419.535, 848.5965, 110.4751, 1981.45, 1278.794, 581.0079, 2806.653, 518.8671, 1002.651, 1430.987
166.3, 470.3634, 335.5739, 351.8588, 273.5064, 96.48405, 145.9348, 46.09894, 733.633, 453.8409, 236.671, 178.4829, 244.8672, 289.2393, 284.4833, 3468.201, 777.2213, 2308.768, 1853.088, 0.001371738, 1017.656, 21.62782, 3914.792, 1032.752, 3112.085, 742.5508, 2.592757e-07, 3057.322, 2313.916, 808.418, 105.6735, 1895.206, 1302.163, 963.5581, 2802.19, 494.3127, 979.0889, 1364.652
166.4, 448.2197, 319.7589, 336.3704, 274.824, 91.97969, 138.7274, 44.17639, 801.3541, 486.8898, 224.5973, 169.5715, 233.6193, 276.3435, 269.5507, 3480.113, 741.879, 2423.772, 1796.161, 0.001314133, 968.2141, 20.60549, 3916.643, 1117.28, 3083.703, 1173.178, 2.464939e-07, 3014.021, 2498.196, 770.1418, 101.0806, 1978.558, 1266.329, 1014.899, 2841.312, 470.9202, 1077.81, 1301.393
166.5, 427.1185, 304.6893, 419.131, 262.5119, 87.68562, 152.8449, 42.33402, 801.2797, 463.6147, 213.1396, 161.105, 222.8881, 264.0227, 255.402, 3327.419, 708.1439, 2316.938, 1737.963, 0.001258946, 921.1745, 19.63148, 4027.948, 1065.552, 3049.595, 1470.994, 2.343423e-07, 2992.871, 2401.594, 733.6779, 96.68737, 2079.986, 1326.471, 966.8778, 2723.518, 448.6348, 1097.325, 1410.295
166.6, 473.7674, 290.3298, 400.6812, 387.0594, 89.35564, 196.1583, 40.56849, 803.1877, 441.4522, 202.2664, 277.9953, 212.6498, 252.2512, 241.9959, 3289.304, 796.4507, 2278.304, 1808.191, 0.001206077, 876.4203, 18.70351, 3924.218, 1123.53, 3052.03, 1436.572, 2.227896e-07, 2927.238, 2477.549, 698.9404, 92.48506, 2086.267, 1381.423, 970.7812, 2686.624, 427.404, 1048.026, 1418.324
166.7, 470.8124, 276.6471, 383.0437, 369.7191, 85.18407, 186.4704, 38.87659, 765.3276, 420.3492, 191.9479, 537.0563, 202.8818, 241.0046, 229.2935, 3540.658, 760.234, 2325.542, 1817.552, 0.001155428, 941.5303, 17.8194, 3930.296, 1134.039, 2962.179, 1446.953, 2.118065e-07, 2802.494, 2568.625, 665.8477, 88.46539, 2141.989, 1353.022, 1034.831, 2895.577, 407.1779, 1134.376, 1422.056
166.8, 448.6476, 263.6093, 366.1825, 367.6118, 91.97609, 177.261, 37.25525, 729.2522, 400.2549, 182.1558, 869.2513, 193.5625, 230.2594, 268.0286, 3654.267, 725.6642, 2353.12, 1826.205, 0.001106906, 895.7872, 16.97709, 3914.2, 1081.535, 2882.609, 1474.58, 2.013649e-07, 2917.599, 2501.368, 634.3218, 84.62043, 2048.757, 1386.187, 985.8661, 2775.534, 387.909, 1310.061, 1429.991
166.9, 427.5262, 251.1858, 350.0636, 372.2088, 133.419, 168.5064, 35.70152, 746.1802, 381.1213, 337.2817, 825.8508, 184.6713, 219.9932, 253.9597, 3603.464, 774.1255, 2249.399, 1940.731, 0.001060422, 852.2664, 16.17459, 3856.304, 1031.462, 2858.745, 1485.205, 1.91438e-07, 2793.266, 2472.719, 604.2886, 80.94258, 2157.145, 1325.346, 939.2183, 2668.435, 369.552, 1488.276, 1477.802
