 , C000, C001, C003, C004, C005, C007, C009, C010, C011, C013, C016, C017, C018, C019, C020, C021, C022, C024, C025, C026, C027, C030, C032, C033, C034, C036, C037, C038, C040, C042, C043, C049, C051, C052, C054, C055, C058, C059, C070, C072, C075, C113
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
350.7, 233.9016, 415.1356, 755.6655, 470.8898, 0.001352922, 185.5574, 5.216128, 277.4354, 36.93912, 472.2955, 1289.867, 383.1543, 0.0170077, 0.005066497, 712.368, 48.54175, 0.2390418, 1449.272, 202.6556, 166.3559, 797.8016, 25.31107, 730.5887, 83.30889, 5.337091e-05, 278.362, 366.8061, 671.6788, 848.3504, 348.7813, 535.0964, 234.5834, 211.2047, 2654.805, 446.553, 0.042032, 0.02574555, 0.0340854, 281.6021, 1530.734, 305.3068, 2135.479
350.8, 223.457, 397.1213, 720.3464, 449.0424, 0.001292145, 177.5537, 4.966401, 263.9657, 35.27127, 448.8354, 1231.189, 463.7059, 0.01623954, 0.004832707, 789.4606, 46.53475, 0.2279216, 1463.643, 192.7573, 159.3411, 763.9357, 24.13519, 796.5477, 200.8471, 5.118364e-05, 265.3364, 351.2805, 758.9988, 806.9208, 332.5459, 510.7914, 223.0155, 326.8346, 2577.104, 427.9395, 0.040225, 0.02469595, 0.0326324, 268.9323, 1458.08, 395.6202, 2094.716
350.9, 213.4788, 379.8886, 686.678, 481.294, 0.0012341, 169.8951, 4.72863, 251.15, 33.67873, 426.5407, 1175.18, 441.7962, 0.01550608, 0.004609705, 753.0589, 44.61073, 0.2173186, 1394.528, 183.3424, 152.6221, 801.8433, 23.01394, 762.0172, 192.486, 4.908602e-05, 252.9203, 336.4121, 726.884, 767.5144, 369.0309, 520.0368, 212.0181, 316.7295, 2469.793, 410.1018, 0.0384957, 0.02368914, 0.03124134, 256.8327, 1388.874, 377.5006, 2110.551
351, 203.9462, 363.4038, 734.1677, 458.9639, 0.001178661, 162.5669, 4.502243, 255.919, 32.1581, 405.3534, 1178.022, 420.9217, 0.01480575, 0.004396993, 732.4668, 42.76625, 0.2072089, 1441.972, 174.3874, 146.1864, 792.0833, 21.94477, 775.6552, 207.8974, 4.707437e-05, 241.0852, 368.977, 746.7617, 730.0325, 351.8528, 496.4159, 201.563, 303.0886, 2402.508, 393.0077, 0.03684073, 0.02272338, 0.02990958, 245.2774, 1416.659, 400.0191, 2162.711
351.1, 194.8392, 347.6343, 723.8613, 486.2302, 0.001125713, 208.5639, 4.286694, 243.4939, 30.70612, 433.1656, 1215.499, 401.0335, 0.01413705, 0.004194097, 765.0142, 40.99804, 0.1975694, 1373.88, 165.8697, 140.0221, 800.2257, 20.92528, 742.0303, 199.2428, 4.514515e-05, 229.8039, 353.3596, 746.0786, 843.4465, 335.4744, 473.8678, 191.6235, 290.0352, 2445.199, 376.6261, 0.03525692, 0.02179699, 0.02863459, 234.242, 1349.418, 381.698, 2101.197
351.2, 186.1389, 332.5491, 862.2209, 463.671, 0.001075144, 232.6128, 4.081464, 237.4422, 29.3197, 438.1695, 1219.102, 382.085, 0.01349855, 0.004000564, 768.8671, 71.18707, 0.1883785, 1309.003, 157.7681, 269.3453, 766.2568, 19.95315, 721.2714, 190.9485, 4.3295e-05, 219.0505, 375.7701, 730.2882, 848.3862, 348.0185, 550.4426, 182.1741, 277.5439, 2355.402, 360.9273, 0.03374119, 0.02090837, 0.02741396, 223.7031, 1393.307, 364.216, 2095.564
351.3, 177.8271, 318.1185, 821.9214, 453.937, 0.001026846, 222.5793, 3.88606, 225.9142, 27.99588, 416.4045, 1269.719, 480.5381, 0.01288889, 0.00381596, 799.2467, 79.22305, 0.179615, 1247.191, 150.0622, 281.4172, 749.2458, 19.02618, 737.4518, 202.4009, 4.152067e-05, 208.8002, 399.0786, 699.3881, 806.9548, 331.8186, 525.4406, 173.1907, 265.5906, 2300.217, 345.8829, 0.03229063, 0.02005597, 0.02624535, 213.6384, 1420.73, 347.5347, 2115.221
351.4, 169.8864, 304.3141, 783.5056, 496.705, 0.0009807176, 212.9786, 3.700011, 278.2624, 26.73183, 557.0557, 1211.957, 457.8331, 0.01230676, 0.003639875, 923.5194, 75.9475, 0.1712593, 1263.13, 142.7327, 284.5334, 745.3415, 18.14228, 726.9398, 193.9751, 3.981905e-05, 199.0297, 427.168, 718.0845, 830.001, 316.3727, 501.5742, 164.6502, 254.1522, 2389.934, 331.4656, 0.03090243, 0.01923833, 0.02512656, 204.0264, 1353.297, 331.6174, 2126.991
351.5, 162.3004, 291.1087, 794.2298, 473.6599, 0.0009366616, 203.7921, 3.52287, 308.6496, 25.52486, 529.3854, 1156.823, 479.2431, 0.01175093, 0.003471916, 972.8501, 76.51829, 0.1632923, 1263.274, 135.7612, 349.2393, 751.8177, 17.29944, 777.5303, 265.7507, 3.818718e-05, 189.7163, 499.233, 687.7009, 832.3079, 301.6459, 478.7918, 254.7425, 243.2063, 2340.167, 317.6492, 0.02957391, 0.01845402, 0.02405546, 237.9031, 1321.256, 316.4291, 2050.9
351.6, 155.053, 278.4763, 757.1082, 480.0324, 0.0008945848, 215.2636, 3.354209, 293.6645, 24.37238, 617.6478, 1163.035, 456.5993, 0.01122019, 0.003311707, 1087.342, 73.35457, 0.1556959, 1282.966, 129.1302, 334.5128, 804.0276, 16.49575, 743.8242, 262.9426, 3.662218e-05, 180.8388, 581.9443, 731.3232, 896.6448, 287.6046, 457.0443, 242.1805, 232.7319, 2242.722, 304.4087, 0.0283025, 0.01770168, 0.02303003, 227.1994, 1358.456, 301.9364, 2038.95
