 , C000, C003, C005, C009, C010, C012, C014, C015, C023, C024, C027, C030, C033, C035, C037, C041, C043, C044, C047, C049, C050, C055, C057, C058, C059, C063, C068, C069, C074, C075, C082
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
56.2, 299.5222, 1493.69, 121.9057, 349.0561, 349.9419, 261.9842, 1645.573, 144.6008, 0.3509955, 0.7965565, 1157.366, 0.1057773, 611.3868, 402.7814, 1544.506, 1958.094, 0.2256684, 505.0909, 2431.292, 167.64, 1027.954, 3.422163, 650.9033, 1054.366, 446.2619, 8.168681, 4077.878, 0.3194435, 0.8485425, 635.316, 889.3178
56.3, 285.975, 1430.838, 115.3026, 436.0024, 333.8765, 248.9047, 1583.571, 136.8583, 0.3283297, 0.7549798, 1108.882, 0.1005059, 785.7118, 383.7158, 1465.606, 1862.576, 0.2144774, 564.5522, 2448.156, 160.5243, 985.1036, 3.240222, 617.93, 1049.744, 438.2204, 7.730756, 4130.383, 0.3034411, 0.7945495, 604.2912, 915.3316
56.4, 273.0405, 1370.63, 109.0571, 415.5406, 318.5486, 236.4782, 1514.694, 129.5303, 0.3071276, 0.7155732, 1143.531, 0.09549712, 750.0179, 530.8541, 1390.737, 1771.717, 0.2038413, 560.1866, 2414.846, 172.7392, 944.0392, 3.067955, 586.6271, 1001.551, 415.1228, 7.316308, 3957.524, 0.2882403, 0.743992, 574.7814, 952.9062
56.5, 260.6911, 1452.607, 103.1499, 396.0391, 303.9244, 224.6721, 1448.812, 122.5947, 0.2872947, 0.6782234, 1095.626, 0.09073798, 715.9455, 704.2573, 1319.693, 1685.29, 0.1937326, 533.5128, 2333.293, 165.4072, 904.6866, 2.904845, 556.9099, 1040.54, 421.8038, 6.924079, 3791.9, 0.2738011, 0.6966516, 628.4697, 907.6136
56.6, 248.9002, 1526.951, 97.56264, 377.4528, 289.9716, 213.4554, 1582.909, 116.0305, 0.2687425, 0.6428232, 1133.127, 0.08621602, 690.1326, 670.9213, 1466.946, 1603.08, 0.1841253, 508.109, 2558.509, 158.3863, 866.9744, 2.750408, 528.6981, 1193.23, 399.5716, 6.552877, 3885.208, 0.2600851, 0.6523234, 597.7792, 883.861
56.7, 256.4823, 1462.699, 92.27806, 359.7388, 276.6594, 202.7987, 1575.889, 109.8177, 0.2513883, 0.6092706, 1085.659, 0.0819194, 658.7808, 780.7245, 1465.96, 1524.879, 0.1749944, 534.2594, 2563.813, 151.6635, 830.8343, 2.604182, 501.9155, 1185.68, 378.5111, 6.201576, 3926.851, 0.2470563, 0.6108159, 568.5875, 912.6564
56.8, 244.8818, 1479.108, 87.27972, 342.8561, 263.9583, 192.674, 1507.346, 190.1999, 0.2351547, 0.5774694, 1115.374, 0.07783692, 635.5174, 790.8926, 1551.663, 1450.494, 0.1663163, 548.4653, 2463.926, 145.226, 796.2007, 2.465729, 476.4896, 1186.191, 358.5607, 5.869108, 3862.378, 0.2346801, 0.5719495, 577.2314, 1051.985
56.9, 326.7601, 1503.553, 82.55212, 326.7657, 251.8402, 183.0548, 1585.928, 180.0158, 0.2199695, 0.5473281, 1068.649, 0.07395788, 606.6466, 771.4881, 1743.717, 1379.737, 0.1580685, 556.0148, 2478.799, 170.9432, 763.0108, 2.334637, 452.3517, 1205.663, 339.6618, 155.2957, 3700.735, 0.2229239, 0.5355561, 647.2379, 1025.938
57, 311.9809, 1494.82, 78.08059, 311.4305, 240.2785, 241.9361, 1516.948, 194.7402, 0.2057648, 0.51876, 1023.882, 0.07027216, 579.0874, 734.9698, 1654.641, 1312.432, 0.1502298, 529.5397, 2377.44, 163.6874, 731.2044, 2.210515, 429.4366, 1150.312, 321.7591, 146.9703, 3777.147, 0.2117566, 0.5014785, 615.6309, 977.1741
57.1, 297.8702, 1551.775, 73.85127, 296.8149, 229.2477, 229.8575, 1450.969, 184.313, 0.1924775, 0.491683, 986.5629, 0.06677011, 552.7802, 700.1801, 1651.686, 1248.409, 0.1427798, 538.4611, 2280.225, 156.7396, 750.6319, 2.092993, 407.6824, 1097.502, 304.7999, 152.2085, 3619.071, 0.2011488, 0.4695692, 594.3759, 930.7281
