 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C016, C017, C018, C019, C022, C023, C024, C026, C027, C028, C030, C032, C037, C038, C041, C043, C044, C047, C048, C052, C053, C054, C056, C060, C061, C063, C064, C067, C068, C072, C074, C076, C080, C085, C089, C091, C094, C095, C100, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 61.70621, 0, 0, 0, 0, 61.13586, 26.633, 128.5103, 65.2193, 0, 0, 0, 0, 0, 0, 0, 45.25897, 22.65503, 0, 0, 0, 0, 0, 47.30505, 0, 0, 117.7979, 0, 0, 0, 0, 0, 0, 79.96106, 0, 0, 70.98834, 28.81886, 0, 0, 0, 47.90942, 105.8227, 0, 35.68604, 110.9911, 0, 0, 0, 229.7402, 0, 0, 0
0.2, 57.952, 40.53534, 0, 0, 126.3679, 101.8337, 25.10596, 228.0688, 61.9877, 51.0651, 109.7554, 3.814697e-06, 0, 0, 0, 0, 43.12811, 21.50742, 0, 0, 0, 80.87024, 0, 135.5624, 0, 101.5402, 112.0367, -7.629395e-06, 0, 0, 0, 194.5846, -3.051758e-05, 76.00806, 1.907349e-06, 0, 67.55472, 27.6381, -0.0001220703, 0, 0, 178.3792, 100.4222, -9.536743e-07, 349.532, 165.2761, 0, 0, 0, 219.2172, 0, 0, 0
0.3, 54.42618, 172.1691, 0, 0, 119.7531, 132.4189, 74.17358, 217.3652, 58.91623, 48.47306, 103.0896, 3.814697e-06, 0, 0, 83.7361, 0, 106.1212, 20.41794, 3.051758e-05, -6.103516e-05, 0, 248.0594, 0, 128.6848, 0, 97.27502, 106.5575, -1.525879e-05, 0, -1.525879e-05, 0, 184.4325, -6.103516e-05, 153.7059, 0, 0, 64.28717, 26.50572, 49.04431, 0, 0, 171.0001, 95.29736, 0, 467.2097, 334.3859, 0, 0, 0, 295.6569, 0, 0, 0
0.4, 51.1149, 162.3983, 0, 0, 113.4847, 254.739, 111.1865, 207.1639, 55.99695, 46.01258, 96.82864, 3.814697e-06, 0, 0, 79.59018, 0, 101.1249, 19.38364, 3.051758e-05, 0, 0, 235.1432, 0, 177.8683, 0, 93.18909, 246.1338, -1.525879e-05, 0, -1.525879e-05, -7.629395e-06, 174.8101, -3.051758e-05, 169.2542, 1.907349e-06, 0, 61.17764, 25.41974, 46.30212, 0, 0, 163.9262, 90.43408, 0, 743.989, 359.7404, 3.051758e-05, 0, 0, 282.1145, 0, 0, 0
0.5, 48.00504, 287.1982, 0, 1.907349e-06, 107.5443, 241.8901, 204.3218, 197.4413, 53.22232, 43.677, 90.94791, 3.814697e-06, -3.814697e-06, 0, 75.64954, 0, 203.7902, 18.40175, 3.051758e-05, 143.442, 0, 258.9994, 0, 350.6777, 0, 89.27472, 234.0961, -7.629395e-06, 0, -1.525879e-05, 0, 322.4957, -3.051758e-05, 242.1222, 1.907349e-06, 0, 58.21857, 24.37825, 174.6212, 0, 0, 157.1451, 85.81891, 47.98994, 859.3535, 386.2784, 0, -7.629395e-06, 0, 269.1924, 0, 0, 0
0.6, 45.08441, 270.8994, 0, 1.907349e-06, 101.9148, 320.0726, 328.8019, 188.1751, 89.63318, 41.45998, 85.42433, 0, 0, 0, 71.904, 0, 194.1957, 70.54434, 3.051758e-05, 136.0726, 0, 370.9597, 0, 332.8867, 0, 144.4128, 268.5462, -7.629395e-06, 0, -1.525879e-05, 0, 531.0538, -3.051758e-05, 351.7259, 0, 0, 55.40259, 23.37943, 205.9253, 0, 0, 288.1584, 81.43933, 45.6585, 1008.246, 649.5922, 0, 0, 0, 464.5393, 0, 0, 0
0.7, 42.34146, 436.5976, 0, 1.907349e-06, 96.58002, 303.9283, 309.9503, 276.7541, 85.19189, 39.35548, 154.634, 0, 0, 1.525879e-05, 68.34392, 0, 207.4174, 66.97083, 3.051758e-05, 129.0817, 0, 420.8042, 0, 380.2379, 0, 138.3469, 371.0997, -7.629395e-06, 0, -1.525879e-05, 0, 768.7687, -6.103516e-05, 334.3378, 0, 0, 299.9287, 22.42154, 194.4111, 0, 0, 276.238, 243.797, 43.44033, 1043.502, 617.1605, 0, 0, 0, 579.8888, 0, 0, 0
0.8, 80.51755, 411.8201, 0, 1.907349e-06, 135.9267, 288.5982, 345.2049, 263.7657, 80.97064, 37.35781, 145.2426, 0, 0, 1.525879e-05, 64.9601, 0, 274.7054, 63.57834, 77.74323, 227.3024, 0, 419.5085, 0, 431.3264, 0, 132.5357, 363.9736, 0, 0, -1.525879e-05, 0, 826.8355, -6.103516e-05, 342.923, 0, 0, 285.4214, 21.50289, 390.0795, 0, 0, 351.0366, 275.7327, 58.3582, 1094.989, 676.808, 0, 0, 0, 553.3275, 0, 0, 0
0.9, 127.5344, 388.4488, 0, 1.907349e-06, 253.8602, 274.0413, 325.4128, 328.9041, 76.95856, 35.46154, 136.4215, 0, 0, 7.629395e-06, 61.74381, 0, 261.7722, 60.3577, 115.1526, 215.6246, 0, 483.6165, 0, 443.8959, 0, 245.6514, 474.1851, -7.629395e-06, 0, 0, 0, 783.6968, -3.051758e-05, 357.1788, 0, 0, 271.6159, 58.66016, 474.8152, 0, 0, 356.2566, 661.3955, 55.52305, 1443.713, 727.5709, 3.051758e-05, 0, 0, 606.9795, 0, 0, 0
1, 212.472, 366.4038, 0, 0, 240.5718, 260.2188, 465.1899, 313.468, 73.14529, 183.7737, 128.1362, 0, 0, 1.525879e-05, 58.68678, 0, 249.4478, 57.3002, 110.1685, 305.3339, 0, 521.567, 0, 421.3757, 0, 235.333, 583.1446, -7.629395e-06, 0, 0, 7.629395e-06, 791.5, -3.051758e-05, 474.0637, 0, 0, 258.4781, 56.25676, 524.2194, 0, 0, 364.5156, 813.1616, 52.82564, 1495.252, 817.3252, 0, 0, 0, 658.7089, 0, 0, 0
1.1, 248.8518, 345.6099, 0, 33.51558, 242.9847, 330.4169, 438.5186, 415.3422, 69.52097, 174.4455, 120.354, 0, 0, 1.525879e-05, 55.78111, 0, 262.3056, 108.1912, 105.4002, 289.6471, 0, 562.8208, 0, 540.1189, 0, 225.448, 554.6246, -7.629395e-06, 0, 0, 7.629395e-06, 909.5693, -3.051758e-05, 450.6276, -1.907349e-06, 0, 245.9758, 53.95183, 582.4761, 0, 0, 402.5268, 889.0383, 50.25927, 1536.24, 776.5193, -3.051758e-05, 0, 0, 628.5373, 0, 0, 0
1.2, 255.0186, 325.9961, 0, 125.3686, 444.0009, 477.9514, 413.3764, 395.8495, 66.07622, 165.5907, 113.0445, 1.907349e-06, 0, 2.288818e-05, 53.01929, 0, 249.9562, 122.965, 100.8382, 274.7662, 0, 533.5152, 0, 512.717, 0, 215.9782, 527.4996, -7.629395e-06, 0, 7.629395e-06, 0, 862.1138, 0, 428.3502, -9.536743e-07, 0, 234.0782, 51.74133, 549.9075, 0, 0, 419.8027, 843.6679, 47.81759, 1602.432, 775.429, 0, 0, 0, 599.7477, 0, 0, 0
1.3, 339.6459, 307.4954, 0, 119.6212, 420.7596, 549.1844, 389.6757, 393.5268, 111.3165, 157.1854, 106.179, 1.907349e-06, -3.814697e-06, 2.288818e-05, 50.39422, 0, 381.9276, 116.7361, 96.47365, 260.6499, 0, 603.2003, 0, 614.547, 0, 236.7624, 693.9942, -7.629395e-06, 0, 7.629395e-06, 7.629395e-06, 1216.039, -3.051758e-05, 472.7068, -1.907349e-06, 0, 222.7561, 49.62141, 519.16, 0, 0, 402.4365, 917.6569, 86.92175, 1647.74, 988.2365, 0, 7.629395e-06, 0, 660.0028, 0, 0, 0
1.4, 318.9818, 290.0446, 0, 114.1373, 518.5359, 665.7419, 367.3339, 375.058, 105.8008, 149.2067, 99.73035, 1.907349e-06, -1.907349e-06, 2.288818e-05, 47.89912, 0, 363.9463, 110.8226, 92.29803, 509.433, 0, 704.5164, 0, 633.5516, 0, 251.7259, 813.7597, 0, 0, 188.5638, 3.814697e-06, 1152.594, 0, 473.0753, -1.907349e-06, 0, 211.9816, 47.58834, 704.897, 0, 0, 385.7888, 936.8225, 82.69893, 1748.878, 938.8976, 1.525879e-05, 7.629395e-06, 0, 652.8588, 0, 0, 0
1.5, 299.5748, 273.5842, 0, 108.9047, 491.3929, 682.7176, 346.273, 357.4559, 100.5584, 141.633, 93.67339, 1.907349e-06, -1.907349e-06, 2.288818e-05, 45.52756, 0, 416.6652, 207.1943, 88.30316, 551.1027, 0, 707.0565, 0, 601.4096, 0, 241.1523, 773.9611, -7.629395e-06, 0, 429.4057, 3.814697e-06, 1389.453, 133.083, 461.8638, -1.907349e-06, 0, 201.7283, 45.63857, 694.4921, 0, 0, 369.8297, 983.546, 117.3181, 1754.843, 892.0219, 1.525879e-05, 7.629395e-06, 0, 810.6239, 0, 0, 0
1.6, 281.3486, 258.0579, 0, 103.9121, 465.6709, 659.0924, 326.4196, 425.4746, 95.57574, 134.4438, 87.98429, 1.907349e-06, -1.907349e-06, 2.288818e-05, 43.27341, 0, 455.9928, 223.0916, 165.2124, 522.7893, 0, 818.5268, 0, 687.9393, 0, 231.0229, 811.1101, -7.629395e-06, 0, 491.1833, 0, 1597.149, 126.1678, 577.429, -2.861023e-06, 0, 191.9709, 43.76868, 708.9406, 0, 0, 354.5308, 1004.331, 151.9474, 1841.882, 847.4866, 1.525879e-05, 0, 0, 1152.73, 0, 0, 0
1.7, 264.2313, 243.4128, 0, 99.1483, 639.4484, 740.2905, 307.7046, 539.5188, 90.83998, 127.6195, 82.6407, 0, -3.814697e-06, 1.525879e-05, 41.13087, 0, 434.5245, 251.0913, 188.1742, 542.975, 0, 992.9625, 1.366785, 653.038, 0, 258.2199, 783.7908, -7.629395e-06, 0, 469.5467, 0, 1611.211, 211.8936, 608.1503, -2.861023e-06, 0, 182.6855, 41.9754, 718.4753, 0, 0, 339.8648, 1108.776, 144.5655, 2007.868, 805.1748, 0, 0, 0, 1099.93, 0, 0, 0
1.8, 279.5214, 229.5988, 0, 94.60292, 662.4856, 905.6538, 290.0626, 514.1984, 130.4809, 121.1416, 77.62165, 0, -1.907349e-06, 1.525879e-05, 39.09442, 0, 414.067, 467.6207, 180.0296, 515.0792, 0, 1064.714, 59.75233, 619.9073, 0, 247.3735, 765.5824, -7.629395e-06, 0, 500.3097, 0, 1666.05, 200.8832, 578.0856, -1.907349e-06, 0, 173.8492, 40.2556, 765.732, 0, 0, 325.8055, 1052.192, 229.3479, 2025.643, 764.9755, 1.525879e-05, 7.629395e-06, 0, 1164.68, 0, 0, 0
1.9, 377.3846, 216.5687, 0, 90.26591, 627.8075, 1097.857, 273.432, 589.4689, 124.0156, 114.9925, 72.90743, 0, -1.907349e-06, 1.525879e-05, 37.15879, 0, 425.8022, 826.4861, 172.2375, 586.5614, 0, 1103.964, 57.22246, 648.1565, 0, 365.1419, 780.0461, -7.629395e-06, 0, 568.0417, 0, 1579.126, 190.445, 980.6907, -2.861023e-06, 0, 165.4402, 38.60626, 796.4089, 0, 0, 348.0963, 998.4954, 259.2415, 2009.028, 726.7831, 1.525879e-05, 7.629395e-06, 0, 1196.746, 0, 0, 0
2, 354.4244, 204.2781, 0, 86.12775, 594.9448, 1174.847, 257.7549, 675.9055, 165.2656, 109.1555, 68.47952, 0, 0, 1.525879e-05, 35.319, 0, 419.965, 1037.135, 164.7827, 556.4264, 0, 1078.005, 65.67989, 637.1907, 0, 349.8044, 927.9662, -7.629395e-06, 0, 543.0196, -3.814697e-06, 1496.738, 180.5491, 1017.794, -2.861023e-06, 0, 157.4381, 119.4651, 751.8784, 0, 0, 333.6964, 947.539, 246.6471, 1908.245, 851.4526, 1.525879e-05, 1.144409e-05, 0, 1205.682, 0, 0, 0
2.1, 332.8611, 192.6851, 0, 82.17928, 636.3405, 1115.588, 242.9768, 644.1842, 157.0768, 103.6148, 64.32053, -9.536743e-07, -1.907349e-06, 1.525879e-05, 33.57029, 0, 433.8746, 984.5981, 196.8935, 658.8146, 0, 1190.531, 144.9699, 696.0951, 0, 443.8078, 882.582, -7.629395e-06, 0, 519.0997, -3.814697e-06, 1418.648, 171.1675, 1127.895, -1.907349e-06, 0, 149.823, 114.5704, 796.6613, 0, 0, 448.8686, 981.3943, 234.6645, 2128.023, 890.4715, 1.525879e-05, 1.144409e-05, 0, 1150.457, 0, 0, 0
2.2, 312.6098, 264.1916, 0, 78.41183, 673.6871, 1130.504, 346.1576, 726.3036, 203.6167, 98.35535, 60.41412, 0, 0, 7.629395e-06, 31.90817, 0, 539.7749, 934.722, 188.3715, 624.9674, 0, 1188.99, 152.1582, 660.78, 0, 425.166, 839.4175, -3.814697e-06, 0, 545.4352, -3.814697e-06, 1416.318, 162.2733, 1289.046, -1.907349e-06, 0, 142.5762, 109.8763, 752.1168, 0, 0, 567.2228, 931.3106, 325.7655, 2119.983, 912.3111, 1.525879e-05, 1.144409e-05, 0, 1097.761, 0, 0, 0
2.3, 421.26, 249.1984, 0, 74.8171, 638.4227, 1073.482, 372.8798, 785.1393, 193.5275, 93.36286, 56.74497, 0, 0, 1.525879e-05, 30.32834, 0, 514.3621, 887.3726, 279.6808, 592.8593, 0, 1202.12, 145.716, 743.8094, 0, 407.3072, 842.9352, -7.629395e-06, 95.98552, 521.4089, -3.814697e-06, 1342.424, 271.8017, 1322.349, -1.907349e-06, 0, 255.4591, 174.0025, 820.5913, 0, 0, 543.7583, 1034.016, 309.9392, 2121.197, 989.2642, 1.525879e-05, 7.629395e-06, 0, 1214.096, 0, 0, 0
2.4, 395.6304, 319.9893, 0, 71.38716, 605.0044, 1019.336, 503.1026, 748.2915, 183.9383, 88.6238, 53.29866, 0, 0, 1.144409e-05, 28.82674, 0, 537.2604, 842.4216, 354.7236, 625.6581, 0, 1139.526, 139.5465, 706.0736, 0, 390.1985, 875.6522, -7.629395e-06, 91.65265, 498.441, -1.907349e-06, 1419.303, 257.6784, 1306.051, -1.907349e-06, 0, 243.1028, 166.8734, 959.1119, 0, 0, 521.2645, 981.2472, 294.8818, 2377.844, 1093.52, 1.525879e-05, 1.144409e-05, 0, 1158.485, 0, 0, 0
2.5, 371.5602, 424.4211, 0, 68.11447, 573.3352, 967.9205, 474.2575, 713.173, 302.7986, 84.12529, 50.06165, 9.536743e-07, 0, 1.525879e-05, 27.39948, 0, 631.5611, 799.7477, 339.3704, 593.5144, 0, 1182.186, 133.6382, 670.2523, 0, 373.8085, 915.3156, -1.144409e-05, 208.5581, 476.4847, -1.907349e-06, 1368.651, 244.289, 1459.442, -1.907349e-06, 0, 321.7517, 160.0363, 905.4841, 0, 0, 499.7011, 931.1711, 280.5559, 2258.559, 1062.243, 1.525879e-05, 7.629395e-06, 0, 1177.377, 0, 0, 0
2.6, 348.9543, 400.3347, 0, 64.99181, 543.3239, 919.0989, 447.0663, 714.3246, 287.7951, 79.85513, 47.02124, 9.536743e-07, 0, 1.144409e-05, 26.04288, 0, 617.9445, 759.2355, 324.6816, 683.2477, 0, 1238.034, 127.98, 636.2484, 0, 358.107, 870.55, -7.629395e-06, 316.5912, 455.4957, -1.907349e-06, 1446.786, 320.1641, 1387.292, -1.907349e-06, 0, 306.1889, 153.4794, 1018.06, 0, 0, 479.0298, 1150.628, 357.4289, 2224.636, 1009.209, 1.525879e-05, 7.629395e-06, 0, 1123.448, 0, 0, 0
2.7, 327.7239, 450.8698, 0, 62.01232, 514.8834, 956.9525, 488.8891, 792.2972, 273.5349, 75.80171, 44.16548, 0, 0, 1.144409e-05, 24.75346, 0, 598.1862, 720.7755, 310.6286, 648.1453, 0, 1242.881, 122.5614, 603.9695, 0, 343.0649, 827.974, -7.629395e-06, 343.035, 435.4312, -1.907349e-06, 1371.302, 303.5278, 1417.647, -9.536743e-07, 0, 291.3789, 147.1911, 961.1362, 0, 0, 459.2136, 1091.908, 340.0644, 2158.747, 1248.133, 3.051758e-05, 1.144409e-05, 0, 1159.978, 0, 0, 0
2.8, 428.5979, 467.2719, 0, 59.1694, 487.9317, 908.6841, 487.0751, 755.1135, 259.9814, 71.95405, 41.48316, 9.536743e-07, 0, 1.144409e-05, 23.52787, 0, 727.0767, 684.2638, 297.1839, 724.9363, 0, 1178.165, 117.3723, 573.3282, 0, 328.6548, 1033.019, -7.629395e-06, 339.4348, 416.2505, 0, 1314.673, 350.6856, 1403.909, -1.430511e-06, 0, 277.2852, 141.1604, 933.0983, 0, 0, 440.2172, 1036.184, 399.0421, 2126.342, 1208.392, 3.051758e-05, 1.144409e-05, 0, 1319.08, 0, 0, 0
2.9, 402.5219, 504.5103, 0, 56.45683, 598.3085, 905.5407, 459.1489, 719.6749, 247.0994, 68.30169, 38.96375, 9.536743e-07, 0, 7.629395e-06, 22.36297, 0, 706.0151, 649.6016, 416.8426, 810.5771, 0, 1187.591, 112.4028, 544.2416, 0, 314.8499, 1042.981, -7.629395e-06, 466.3668, 397.9148, -1.907349e-06, 1283.178, 332.4634, 1414.346, -9.536743e-07, 0, 263.8732, 135.3768, 908.0305, 0, 0, 422.0066, 1080.378, 379.6559, 2391.644, 1244.812, 3.051758e-05, 1.144409e-05, 0, 1258.661, 0, 0, 0
3, 378.0323, 508.5969, 0, 53.86861, 630.8964, 859.8655, 734.905, 753.8029, 234.8557, 64.83472, 36.59734, 4.768372e-07, -9.536743e-07, 3.814697e-06, 21.25574, 0, 751.8986, 616.6953, 398.8007, 768.9331, 0, 1239.772, 107.6438, 637.4309, 0, 654.5086, 1016.444, -7.629395e-06, 445.3146, 380.3867, -1.907349e-06, 1216.23, 340.5261, 1524.593, -9.536743e-07, 0, 251.11, 129.8302, 857.2589, 0, 0, 404.5493, 1025.243, 361.2116, 2517.067, 1379.146, 2.288818e-05, 7.629395e-06, 0, 1201.009, 0, 0, 0
3.1, 355.0328, 534.9085, 0, 51.39904, 597.8719, 816.494, 692.7697, 718.4258, 223.2186, 184.1635, 34.37466, 4.768372e-07, -9.536743e-07, 3.814697e-06, 20.20333, 0, 823.2866, 585.4558, 381.5396, 867.9546, 0, 1242.725, 103.0862, 683.6516, 0, 627.0165, 1226.569, -5.722046e-06, 425.2127, 363.6307, -1.907349e-06, 1256.547, 322.8318, 1489.164, -1.430511e-06, 0, 238.9641, 124.5109, 1045.49, 0, 0, 387.8141, 1144.015, 343.6633, 2390.799, 1372.681, 3.051758e-05, 1.144409e-05, 0, 1145.997, 0, 0, 0
3.2, 333.4325, 504.5518, 0, 49.04269, 687.5548, 775.3102, 754.0076, 732.5153, 212.1582, 219.8798, 32.28697, 4.768372e-07, -9.536743e-07, 0, 19.20303, 0, 816.051, 555.7988, 365.0256, 857.951, 0, 1178.017, 98.72162, 648.9678, 0, 600.6791, 1166.581, -5.722046e-06, 406.0182, 347.6129, 0, 1190.989, 361.5329, 1415.545, -1.430511e-06, 0, 227.4056, 119.4094, 1080.808, 0, 0, 371.7713, 1179.477, 326.9675, 2727.116, 1365.682, 3.051758e-05, 7.629395e-06, 0, 1343.492, 0, 0, 0
3.3, 313.1464, 509.4698, 0, 46.79436, 651.5646, 845.8009, 729.4822, 787.6181, 201.6458, 221.0222, 30.32608, 4.768372e-07, -9.536743e-07, 0, 18.25226, 0, 911.2915, 527.6442, 349.2265, 813.8731, 0, 1223.587, 94.54182, 616.0436, 0, 575.448, 1174.846, -5.722046e-06, 387.6902, 332.3006, 0, 1356.231, 342.747, 1498.27, -9.536743e-07, 0, 216.4062, 114.517, 1144.885, 0, 0, 356.3921, 1233.194, 353.6185, 2735.891, 1324.535, 3.051758e-05, 7.629395e-06, 0, 1352.75, 0, 0, 0
3.4, 294.0945, 480.5567, 0, 44.64911, 617.4583, 839.5798, 745.3668, 827.561, 191.6544, 209.8032, 28.48427, 4.768372e-07, -1.907349e-06, 3.814697e-06, 17.34856, 0, 884.313, 500.9157, 334.1111, 772.0598, 0, 1231.644, 90.53899, 751.6206, 0, 551.2767, 1288.712, -3.814697e-06, 370.1896, 317.6628, 0, 1285.472, 346.8163, 1424.201, -1.430511e-06, 0, 205.9389, 109.8251, 1080.87, 0, 0, 341.6491, 1196.833, 336.4391, 2974.803, 1380.3, 3.051758e-05, 7.629395e-06, 0, 1436.417, 0, 0, 0
3.5, 276.2017, 453.2844, 0, 42.60221, 728.9811, 810.7805, 702.6317, 788.7223, 182.1579, 263.0522, 26.75433, 4.768372e-07, -9.536743e-07, 3.814697e-06, 16.4896, 0, 842.6793, 475.5412, 319.65, 877.4068, 0, 1280.842, 86.70564, 827.701, 0, 528.1207, 1225.685, -3.814697e-06, 353.4789, 303.6698, 1.907349e-06, 1397.083, 328.7951, 1353.794, -1.430511e-06, 0, 195.9778, 105.3254, 1020.434, 0, 0, 327.516, 1261.855, 320.0942, 2993.269, 1351.277, 3.814697e-05, 7.629395e-06, 0, 1370.623, 0, 0, 0
3.6, 259.3975, 493.1475, 0, 40.64914, 690.8224, 883.1432, 741.9585, 789.9421, 173.1321, 249.6998, 25.12945, 4.768372e-07, -9.536743e-07, 7.629395e-06, 15.67318, 0, 871.2051, 451.4521, 305.8148, 832.3293, 0, 1353.331, 83.03458, 850.396, 0, 505.9374, 1293.253, -3.814697e-06, 337.5226, 376.4941, 9.536743e-07, 1324.192, 464.3124, 1308.653, -1.430511e-06, 0, 186.4986, 189.5473, 1137.362, 0, 0, 313.9675, 1262.457, 304.5435, 2938.005, 1388.714, 3.051758e-05, 5.722046e-06, 0, 1352.048, 0, 0, 0
3.7, 313.5405, 465.1607, 0, 38.78561, 654.6611, 879.9829, 699.4187, 752.8689, 164.5534, 237.0251, 23.60325, 0, -9.536743e-07, 7.629395e-06, 14.89717, 0, 830.1885, 428.5833, 292.5784, 789.5677, 0, 1327.485, 79.51896, 881.5593, 0, 484.6859, 1348.243, -3.814697e-06, 322.2865, 376.1158, 9.536743e-07, 1255.104, 440.1859, 1335.05, -1.430511e-06, 0, 177.4779, 226.1426, 1073.767, 0, 0, 300.9795, 1483.426, 289.7482, 2790.62, 1343.175, 2.288818e-05, 3.814697e-06, 0, 1290.119, 0, 0, 0
3.8, 294.4646, 438.7622, 0, 37.00751, 620.3927, 835.5967, 705.1821, 717.5356, 156.3999, 224.9938, 22.16975, -4.768372e-07, 0, 7.629395e-06, 14.15959, 0, 974.9805, 406.8729, 279.9149, 749.003, 0, 1354.739, 76.15218, 900.2433, 0, 464.327, 1282.304, -5.722046e-06, 307.7383, 359.5479, 0, 1382.292, 417.3131, 1360.169, -9.536743e-07, 0, 168.8934, 216.8772, 1101.111, 0, 0, 288.5288, 1806.437, 275.6717, 2972.122, 1495.493, 1.525879e-05, 5.722046e-06, 0, 1296.475, 0, 0, 0
3.9, 313.5534, 457.1709, 0, 35.31093, 639.4208, 793.4495, 739.6704, 683.8605, 148.6503, 213.5732, 151.304, -2.384186e-07, -9.536743e-07, 5.722046e-06, 13.45853, 0, 929.0781, 386.2622, 267.7995, 710.5224, 0, 1284.199, 72.92796, 854.5712, 0, 444.8233, 1219.591, -3.814697e-06, 293.8467, 456.0886, 0, 1454.46, 395.6288, 1399.806, -9.536743e-07, 0, 267.2032, 217.4858, 1133.619, 0, 0, 276.5931, 2020.688, 262.279, 2949.69, 1420.828, 2.288818e-05, 5.722046e-06, 0, 1277.408, 0, 0, 0
4, 340.6497, 481.3618, 0, 33.69213, 644.7693, 941.5406, 697.2619, 651.7659, 141.2847, 202.7323, 175.1143, -2.384186e-07, 0, 5.722046e-06, 12.79217, 0, 885.3369, 366.6956, 256.2085, 778.3301, 0, 1367.892, 69.84024, 923.4835, 0, 426.1388, 1355.055, -3.814697e-06, 280.5822, 435.9979, 0, 1378.576, 375.0712, 1429.502, -4.768372e-07, 0, 254.2788, 223.3649, 1070.234, 0, 0, 265.1512, 1977.075, 249.537, 3088.792, 1381.418, 1.525879e-05, 5.722046e-06, 0, 1218.898, 0, 0, 0
4.1, 319.9244, 454.0439, 0, 32.14754, 779.6837, 894.0494, 726.7681, 775.6076, 134.2841, 192.4417, 164.479, -4.768372e-07, 0, 3.814697e-06, 12.15881, 0, 843.655, 348.1202, 245.1192, 738.3427, 0, 1296.666, 66.88326, 925.0961, 0, 408.2391, 1329.583, -5.722046e-06, 267.9165, 476.1048, 0, 1524.746, 355.5819, 1358.833, -4.768372e-07, 0, 241.9796, 214.2132, 1010.393, 0, 0, 254.1826, 1946.694, 237.4141, 3051.972, 1388.738, 1.525879e-05, 5.722046e-06, 0, 1163.067, 0, 0, 0
4.2, 300.4602, 481.058, 0, 30.67376, 738.8709, 848.9539, 685.0993, 739.2072, 127.6304, 219.5236, 154.4896, -4.768372e-07, 0, 3.814697e-06, 11.55681, 0, 803.9354, 330.4858, 344.9377, 700.4098, 0, 1229.15, 64.05147, 919.3625, 0, 391.0913, 1347.988, -5.722046e-06, 255.8225, 532.3036, 0, 1542.472, 337.1053, 1291.657, 0, 0, 230.2753, 205.4366, 1152.96, 0, 0, 243.6677, 2041.633, 225.8801, 3050.764, 1319.403, 7.629395e-06, 5.722046e-06, 0, 1190.225, 0, 0, 0
4.3, 282.1801, 453.7573, 0, 29.26754, 805.9354, 948.7505, 645.8196, 704.515, 121.3063, 319.7367, 145.1069, -7.152557e-07, 0, 3.814697e-06, 10.98461, 0, 766.0859, 313.7446, 418.9579, 818.1592, 0, 1233.234, 61.33958, 872.7204, 0, 374.6638, 1354.365, -3.814697e-06, 244.2744, 508.8557, 0, 1881.05, 319.5887, 1337.69, 0, 0, 219.1371, 268.5376, 1088.494, 0, 0, 233.5878, 1937.442, 214.9064, 3093.017, 1405.216, 1.525879e-05, 3.814697e-06, 0, 1181.705, 0, 0, 0
4.4, 306.3295, 428.006, 0, 27.92579, 763.7485, 900.8958, 608.7919, 671.451, 115.2956, 303.507, 206.3805, -4.768372e-07, -4.768372e-07, 3.814697e-06, 10.44075, 0, 767.8447, 297.8515, 400.8244, 805.7125, 0, 1356.099, 58.7425, 978.2596, 0, 358.9263, 1377.143, -5.722046e-06, 233.2477, 601.7684, 0, 2059.248, 302.9823, 1299.949, 0, 0, 208.5377, 323.7565, 1027.632, 0, 0, 223.9249, 2444.421, 204.4658, 3062.499, 1415.357, 1.525879e-05, 3.814697e-06, 0, 1127.578, 0, 0, 0
4.5, 316.048, 403.7161, 0, 26.64556, 784.9195, 855.4548, 708.8879, 639.9388, 109.5828, 288.1011, 244.5331, -4.768372e-07, -4.768372e-07, 3.814697e-06, 9.92381, 0, 854.1804, 282.7635, 383.4758, 802.9833, 0, 1362.591, 56.25539, 961.2615, 0, 343.8499, 1309.791, -5.722046e-06, 222.7187, 684.8945, 0, 2181.465, 287.2388, 1261.376, 0, 0, 289.0229, 310.4916, 1159.428, 0, 0, 214.6617, 2509.407, 194.5325, 3014.405, 1493.578, 1.144409e-05, 1.907349e-06, 0, 1203.001, 0, 0, 0
