 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C016, C017, C018, C019, C022, C023, C024, C026, C027, C028, C030, C032, C037, C038, C041, C043, C044, C047, C048, C052, C053, C054, C056, C060, C061, C063, C064, C067, C068, C072, C074, C076, C080, C085, C089, C091, C094, C095, C100, C105
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
136.1, 300.396, 23.29181, 254.5188, 528.1453, 486.8357, 177.2872, 342.2501, 123.2291, 443.8326, 123.3601, 277.6353, 86.59889, 908.2487, 631.4882, 341.3303, 330.8973, 503.6662, 405.5298, 999.8997, 332.0662, 361.0143, 1386.392, 946.1932, 642.9583, 659.8481, 716.6694, 1231.475, 1054.995, 642.834, 796.2625, 743.8416, 408.9288, 350.4077, 1024.408, 1138.863, 163.1254, 19.36711, 1259.25, 718.0303, 1193.607, 542.6736, 3650.207, 1109.153, 164.0912, 1359.674, 1042.701, 2061.323, 1922.535, 1298.931, 1064.894, 174.5328, 1232.474, 1621.633
136.2, 282.1198, 21.96997, 240.4186, 621.7101, 461.3521, 235.844, 450.6922, 117.4457, 421.8409, 117.0984, 260.7736, 80.30096, 864.0115, 602.4315, 324.4305, 315.3832, 479.9535, 384.9872, 956.6216, 315.006, 405.6714, 1529.311, 936.4427, 678.2292, 625.217, 782.1793, 1267.16, 1247.841, 613.816, 761.1873, 697.204, 432.43, 408.3525, 1056.21, 1150.875, 155.4885, 18.43035, 1361.361, 806.799, 1267.866, 515.9235, 3519.502, 1175.464, 294.856, 1291.465, 1036.438, 2091.582, 1831.099, 1238.37, 1132.831, 165.928, 1173.235, 1693.273
136.3, 365.9818, 20.72314, 227.0996, 627.6292, 437.2025, 258.2315, 424.8521, 111.9338, 440.3112, 111.1546, 244.936, 74.46105, 861.4568, 574.7117, 308.3674, 300.5964, 457.3571, 415.7929, 1027.329, 298.8223, 464.0808, 1449.681, 953.5101, 643.8206, 592.4036, 749.3244, 1205.187, 1209.484, 637.7418, 727.6572, 653.4905, 409.8687, 387.1338, 1359.873, 1264.323, 148.2092, 17.53889, 1337.717, 816.5966, 1210.041, 490.4919, 3614.886, 1115.476, 280.5314, 1315.466, 1055.815, 2169.542, 1879.089, 1331.858, 1080.943, 157.7474, 1116.843, 1619.934
136.4, 343.7154, 19.54708, 214.5185, 598.856, 414.317, 245.2064, 400.4934, 106.6806, 418.494, 105.5124, 230.0602, 69.04585, 918.7516, 548.2675, 293.0996, 286.503, 435.8246, 444.0634, 1005.626, 283.4701, 442.3933, 1472.275, 913.1392, 611.1575, 673.8819, 744.6806, 1211.932, 1152.853, 695.221, 791.5478, 612.5178, 388.4844, 367.0176, 1598.044, 1210.109, 141.2706, 16.69055, 1297.34, 846.886, 1314.667, 466.3139, 3518.332, 1113.533, 266.9026, 1431.289, 1076.236, 2076.772, 1844.049, 1286.903, 1107.679, 149.9701, 1063.162, 1549.771
136.5, 322.8036, 18.43776, 324.7199, 571.4019, 392.6295, 302.0341, 377.5314, 101.6739, 538.0576, 100.1566, 216.0878, 302.4893, 967.1582, 523.04, 395.2755, 480.8958, 415.3059, 433.4982, 1016.075, 268.9066, 546.4023, 1444.343, 1017.736, 740.7493, 672.2451, 789.2392, 1152.66, 1179.275, 709.034, 756.6803, 663.3768, 368.2159, 347.9468, 1706.848, 1158.219, 134.6569, 15.88325, 1332.196, 931.6937, 1324.24, 443.3277, 3549.427, 1206.692, 253.936, 1359.489, 1049.872, 1987.969, 1756.346, 1331.212, 1233.38, 142.5762, 1012.061, 1603.759
136.6, 303.1642, 17.39139, 408.2803, 545.2064, 372.0772, 369.607, 355.8859, 96.9022, 511.397, 95.07272, 202.9641, 280.4907, 980.9189, 498.9734, 375.7047, 521.265, 395.7532, 562.7661, 1092.409, 255.0913, 865.7396, 1423.682, 1018.935, 703.1688, 716.1165, 784.0195, 1130.817, 1124.059, 764.8654, 723.3487, 748.0273, 349.0048, 360.0712, 1622.468, 1108.555, 128.3528, 15.11499, 1325.696, 879.5989, 1377.777, 421.4746, 3402.597, 1145.11, 241.5993, 1291.29, 1107.898, 2015.068, 1828.808, 1269.146, 1314.216, 135.5469, 963.416, 1534.296
136.7, 284.7196, 195.0711, 385.6619, 622.0929, 352.6007, 407.9822, 407.7988, 92.35442, 486.0574, 90.24686, 190.6374, 318.2561, 1109.041, 511.806, 389.5336, 555.455, 377.121, 552.7828, 1133.474, 241.9857, 946.0553, 1495.009, 975.794, 749.5398, 678.5322, 839.2838, 1075.512, 1071.428, 782.3212, 691.4854, 746.3317, 330.796, 411.2634, 1602.913, 1061.021, 122.3438, 14.3839, 1352.6, 830.417, 1314.94, 450.5162, 3389.154, 1086.672, 261.4949, 1380.233, 1084.429, 1928.904, 1741.83, 1305.723, 1324.726, 128.8642, 917.1093, 1645.48
136.8, 267.3972, 205.4858, 407.213, 647.3468, 334.1438, 387.4037, 398.8687, 254.6492, 481.5924, 85.66597, 179.0593, 418.1295, 1055.024, 605.5193, 373.1754, 588.7976, 359.3661, 613.9026, 1116.038, 229.5535, 947.5694, 1649.679, 934.4796, 711.5133, 642.9205, 804.0303, 1022.912, 1081.252, 832.5615, 802.5714, 910.3799, 389.2756, 448.9952, 1523.671, 1015.524, 116.6162, 13.68816, 1297.182, 955.9836, 1254.968, 457.6448, 3423.935, 1178.467, 248.791, 1473.78, 1030.288, 1846.424, 1689.396, 1244.845, 1264.048, 122.5109, 873.0282, 1604.048
136.9, 251.1287, 249.4546, 407.9792, 897.1852, 316.6529, 393.7904, 375.9998, 242.6982, 596.7929, 81.3176, 322.3742, 387.7209, 1079.971, 590.4158, 397.5885, 624.3311, 342.447, 582.8046, 1113.121, 217.76, 903.2874, 1647.642, 1097.795, 675.416, 609.1779, 770.2576, 1129.008, 1030.625, 1026.007, 767.2183, 942.1287, 368.9657, 425.6647, 1594.054, 971.9789, 111.1567, 13.02608, 1352.408, 1027.814, 1197.732, 463.7256, 3282.296, 1342.255, 519.7005, 1399.848, 1059.948, 1804.671, 1816.316, 1268.609, 1389.03, 116.4709, 831.0659, 1534.573
137, 235.8499, 235.2977, 515.5483, 1095.721, 300.0776, 605.5071, 448.5902, 245.2081, 567.222, 77.18995, 312.5243, 359.5238, 1098.271, 687.772, 377.9032, 634.0338, 326.3245, 553.282, 1112.535, 206.5724, 892.5704, 1634.985, 1072.361, 641.1501, 577.2062, 855.9784, 1174.475, 1034.494, 979.6924, 733.4224, 928.8865, 349.7155, 529.7914, 1571.195, 930.3007, 105.9528, 12.39602, 1377.141, 970.345, 1234.316, 440.867, 3357.01, 1289.738, 494.4525, 1412.797, 1057.256, 1760.92, 1729.932, 1209.461, 1325.406, 110.7286, 791.1206, 1468.107
