 , C002, C003, C005, C007, C009, C013, C014, C016, C017, C021, C022, C024, C026, C028, C030, C034, C035, C040, C049, C050, C058, C060, C061, C062, C064, C078, C097, C108
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2, 116.5705, 288.7253, 0, 0, 159.9941, 0, 159.4773, 55.8931, 345.5698, 92.40063, 246.8564, 91.08971, 0, 511.4231, 227.2307, 365.6329, 57.45699, 114.8821, 317.2881, 426.9991, 148.1378, 0, 22.08061, 779.8687, 307.7853, 400.2229, 547.5658, 0
2.1, 110.9301, 276.0502, 0, 0, 202.5568, 0, 152.2387, 100.6779, 329.9373, 131.5712, 235.9845, 87.05045, 0, 663.0937, 230.2655, 414.0135, 54.25435, 108.7937, 300.772, 608.9394, 141.0013, 0, 21.13138, 741.3853, 292.9354, 415.3138, 523.6799, 0
2.2, 105.5626, 639.2333, 0, 0, 198.0206, 0, 145.3286, 160.9078, 322.0586, 123.6233, 225.5913, 83.19029, 0, 633.2711, 220.6209, 394.6818, 51.23024, 103.028, 285.1157, 583.5504, 134.2086, 0, 36.27248, 915.1851, 278.802, 397.2402, 500.8358, 0
2.3, 100.4548, 654.3989, 0, 0, 189.3764, 0, 158.0157, 152.1899, 307.4897, 178.3183, 215.6559, 79.50132, 0, 750.2102, 211.3803, 376.2528, 48.37469, 97.56783, 270.2744, 559.2199, 127.7432, 0, 34.71316, 870.0242, 385.3585, 379.953, 551.3117, 0
2.4, 195.3507, 625.6707, 0, 0, 181.1096, 0, 150.8434, 143.9444, 293.5799, 167.5465, 206.158, 75.97593, 0, 736.2827, 202.5267, 411.9347, 45.67831, 206.5716, 256.2055, 535.9039, 121.5892, 0, 33.22087, 827.092, 366.7659, 363.4182, 602.816, 0
2.5, 185.8984, 598.2036, 0, 0, 173.2037, 0, 143.9966, 136.1456, 324.6775, 157.4254, 197.0784, 72.60686, 0, 703.1686, 194.044, 392.7, 43.13222, 195.624, 242.869, 513.5599, 115.7317, 0, 31.79273, 786.2782, 349.0704, 371.8447, 576.52, 0
2.6, 176.9034, 571.9423, 0, 0, 165.6429, 0, 137.4607, 128.7694, 309.9901, 147.9157, 188.3987, 69.3872, 0, 671.5437, 266.7874, 374.3635, 40.72806, 185.2565, 230.2267, 492.1476, 110.1564, 0, 30.42599, 910.4321, 332.2286, 355.6627, 551.371, 0
2.7, 168.3437, 546.8339, 0, 0, 158.4121, 0, 131.2213, 121.7927, 295.9672, 138.9805, 180.1013, 66.3103, 0, 641.3411, 255.6131, 376.1042, 38.4579, 175.4385, 218.2425, 471.6281, 104.8496, 0, 29.118, 865.5059, 316.1994, 503.9988, 527.319, 0
2.8, 160.1982, 672.5396, 0, 0, 151.4969, 0, 125.2652, 115.1941, 282.5786, 258.37, 172.1694, 63.36985, 0, 674.5047, 268.3638, 373.2575, 36.31428, 166.1408, 206.8822, 451.9641, 99.79853, 0, 119.435, 903.8186, 328.5536, 482.0657, 601.905, 0
2.9, 152.4468, 657.6913, 0, 0, 144.8837, 0, 119.5795, 108.953, 269.7957, 242.7625, 164.5867, 60.55979, 0, 727.3575, 257.1235, 458.8585, 34.29014, 157.3359, 196.1131, 433.1199, 94.99077, 0, 114.3006, 859.2186, 438.9859, 546.9862, 575.6487, 0
3, 145.0704, 628.8185, 0, 0, 138.5591, 0, 114.1518, 103.05, 257.5909, 318.8049, 157.338, 57.87434, 0, 694.6447, 246.354, 437.4329, 32.37882, 148.9976, 185.9047, 415.0615, 90.41463, 0, 109.3869, 816.8196, 417.8059, 523.1824, 550.5377, 0
3.1, 138.051, 872.068, 0, 0, 132.5106, 0, 108.9705, 97.46684, 343.9278, 320.9011, 150.4086, 55.30797, 0, 677.0959, 236.0356, 417.0077, 30.57405, 141.1012, 176.2276, 397.7559, 86.05893, 0, 104.6844, 1035.028, 397.6478, 539.5063, 526.5221, 0
3.2, 159.1554, 921.5366, 0, 0, 126.7261, 0, 104.0243, 92.18616, 328.3696, 388.7964, 143.7843, 52.8554, 0, 693.5455, 233.3361, 397.5362, 28.86987, 133.6232, 193.5198, 381.1719, 81.91308, 0, 100.1842, 1034.502, 378.4623, 642.7263, 503.5541, 0
3.3, 151.4545, 881.0809, 0, 0, 121.1942, 0, 99.30267, 87.19158, 313.5152, 365.3101, 137.4518, 50.51159, 0, 662.3534, 283.7312, 378.9738, 27.26069, 126.5416, 183.4463, 365.2794, 77.96694, 0, 95.87732, 1122.301, 490.0647, 614.756, 529.3287, 0
3.4, 208.1104, 842.4012, 0, 0, 115.9037, 0, 108.0018, 82.46761, 299.3328, 343.2426, 131.3982, 48.27171, 0, 776.3507, 271.8472, 361.2783, 25.74119, 119.8353, 173.8972, 350.0495, 87.33893, 0, 91.75564, 1066.92, 466.4203, 588.0031, 506.2383, 0
3.5, 198.0407, 856.3749, 0, 0, 110.8442, 0, 122.3611, 77.99959, 285.792, 322.5081, 125.6112, 46.13116, 0, 741.4344, 283.2278, 463.8969, 24.30639, 113.4844, 164.8452, 335.4546, 83.13141, 0, 87.81114, 1302.539, 443.9167, 562.4142, 484.1551, 0
3.6, 188.4583, 818.7799, 0, 0, 106.0055, 0, 116.8072, 73.77364, 306.6529, 303.0262, 120.079, 44.08553, 0, 708.0885, 271.365, 442.236, 22.95155, 107.4701, 156.2644, 321.4682, 79.12658, 0, 103.6656, 1238.264, 487.4616, 537.939, 580.9139, 0
3.7, 179.3394, 879.6942, 0, 0, 118.9759, 0, 111.5053, 69.77663, 292.7809, 284.7211, 114.7905, 42.13061, 0, 676.2423, 259.999, 421.5865, 21.67225, 101.7745, 148.1302, 308.0649, 75.31468, 0, 139.2334, 1177.161, 463.9427, 514.5289, 555.5732, 0
3.8, 170.6618, 841.0754, 0, 0, 115.6626, 0, 106.4441, 65.99619, 279.5364, 267.5217, 109.735, 49.61466, 0, 645.8284, 271.3784, 401.9012, 20.46425, 96.38078, 174.0349, 295.2205, 71.68642, 0, 133.2478, 1515.42, 585.1417, 492.1376, 531.338, 0
3.9, 191.7239, 804.152, 0, 0, 110.6136, 0, 101.6127, 117.7418, 503.6747, 251.3614, 104.9021, 143.5776, 0, 616.7823, 260.0118, 582.5498, 19.32359, 91.2729, 164.9757, 282.9117, 68.23296, 0, 127.5196, 1440.64, 642.0361, 470.7207, 508.1599, 0
4, 259.564, 768.8495, 0, 0, 105.785, 0, 97.00049, 111.3626, 481.5241, 236.1773, 100.282, 137.2108, 0, 589.0427, 249.1213, 555.3485, 18.2465, 86.43572, 156.3881, 271.116, 64.94586, 0, 122.0377, 1417.199, 611.0594, 450.2358, 485.9929, 0
4.1, 247.0047, 926.1835, 0, 0, 101.1672, 0, 92.59766, 105.3291, 459.7415, 221.9103, 255.4475, 131.1263, 0, 783.8719, 238.687, 529.4174, 17.22946, 81.8549, 148.2475, 259.8121, 61.81712, 0, 116.7914, 1347.266, 658.5453, 430.6424, 509.4878, 0
4.2, 235.053, 885.5238, 0, 0, 96.75098, 0, 88.39468, 99.62247, 438.9443, 208.5053, 244.1972, 125.3117, 0, 748.6174, 228.6897, 556.9552, 16.26909, 77.51685, 140.5306, 248.9795, 58.8391, 0, 111.7706, 1331.287, 626.7721, 411.9017, 527.4549, 0
4.3, 223.6797, 846.649, 0, 0, 98.99913, 0, 84.38246, 94.22501, 419.0879, 195.91, 233.4423, 119.7549, 0, 714.9484, 219.1111, 617.0262, 15.36227, 73.40869, 133.2155, 238.5986, 56.00455, 0, 106.9657, 1265.594, 596.5319, 393.9765, 504.4462, 0
4.4, 212.8566, 809.481, 0, 0, 105.4219, 0, 80.55235, 89.11996, 441.9651, 184.0755, 223.1611, 114.4445, 0, 682.7937, 209.9338, 816.1837, 14.50599, 69.51826, 126.2811, 228.6505, 95.03661, 0, 102.3673, 1203.141, 567.7507, 376.8314, 520.4758, 0
4.5, 202.5572, 810.3292, 0, 0, 100.8199, 0, 76.8961, 84.29152, 421.972, 172.9559, 213.3326, 109.3696, 0, 652.0852, 201.1408, 778.0732, 13.69743, 65.83401, 119.7077, 219.1172, 90.45826, 0, 97.96664, 1143.771, 540.3582, 360.4324, 547.5338, 0
4.6, 192.7562, 895.329, 0, 0, 96.41886, 0, 73.4058, 79.72467, 410.0782, 162.5081, 203.9371, 104.5197, 0, 622.7578, 192.7161, 741.7424, 12.93394, 62.34502, 113.4764, 209.9814, 86.10046, 0, 93.75514, 1278.929, 514.2872, 344.747, 739.4789, 0
4.7, 183.4294, 864.8942, 0, 0, 92.20991, 0, 70.07393, 75.40525, 391.5276, 152.6914, 194.9554, 99.88492, 0, 594.7493, 184.6443, 707.1079, 12.21301, 59.04093, 170.9225, 201.2264, 81.95261, 0, 156.7496, 1235.543, 501.8055, 329.7443, 707.2213, 0
4.8, 174.554, 826.9251, 0, 0, 88.18468, 0, 66.89329, 71.31985, 390.146, 143.4676, 186.3692, 95.45564, 0, 617.9924, 225.3889, 745.8052, 11.53226, 55.91195, 229.2109, 192.8365, 78.00457, 0, 150.0111, 1176.788, 477.5946, 389.0512, 676.3708, 0
4.9, 166.1079, 790.6229, 0, 0, 103.8621, 0, 63.85701, 67.4558, 372.4971, 134.8011, 178.1611, 91.22276, 0, 658.3287, 215.9486, 847.0739, 10.88946, 52.94879, 217.2796, 184.7964, 74.24673, 0, 143.5622, 1187.677, 512.2222, 555.6125, 646.8661, 0
5, 158.0705, 755.9143, 0, 0, 99.32822, 0, 60.95856, 63.8011, 567.1604, 126.6581, 170.3146, 103.577, 0, 691.518, 206.9037, 807.5212, 10.28249, 50.14267, 205.9694, 177.0915, 70.66992, 0, 137.3906, 1129.07, 548.1136, 571.1829, 784.4327, 0
5.1, 165.9653, 780.4304, 0, 0, 131.0678, 0, 58.19166, 60.34441, 541.5039, 119.007, 162.8137, 98.98398, 0, 660.4171, 198.2376, 769.8152, 9.709343, 47.48526, 195.2479, 169.7079, 67.26543, 0, 131.4843, 1073.355, 547.2282, 546.3261, 750.2142, 0
5.2, 217.733, 746.1693, 0, 0, 205.7531, 173.2988, 160.8302, 57.075, 541.2919, 111.818, 155.6431, 110.7092, 0, 630.7149, 189.9345, 733.87, 9.168152, 44.9687, 185.0845, 162.6321, 64.02494, 0, 125.8319, 1020.389, 520.8258, 568.1262, 944.3404, 0
5.3, 207.1977, 867.9295, 0, 0, 196.7714, 165.2345, 153.5301, 138.2858, 516.8055, 105.0634, 224.5384, 105.7999, 0, 657.0649, 181.9792, 893.0677, 8.657125, 139.0542, 175.4501, 155.8513, 60.94057, 0, 203.7337, 970.0367, 578.363, 717.4231, 903.1463, 0
5.4, 218.6919, 880.0765, 0, 0, 188.1818, 157.5455, 146.5614, 130.7936, 493.4269, 98.71675, 214.6493, 101.1083, 0, 734.8085, 174.3571, 851.3673, 8.174582, 142.5617, 166.3172, 149.3533, 58.00477, 116.3693, 194.9754, 922.1692, 550.4584, 686.2021, 863.7493, 22.8121
5.5, 208.1102, 841.441, 0, 0, 179.9671, 316.0005, 211.8763, 123.7073, 529.2745, 92.75351, 205.1958, 96.62479, 0, 701.7605, 167.0542, 1023.451, 7.718935, 135.0064, 157.6598, 143.1262, 55.21041, 111.2641, 186.5935, 1065.533, 523.9001, 656.3399, 826.0707, 21.76218
5.6, 282.4785, 804.5015, 0, 0, 172.1111, 301.2958, 229.6847, 117.0049, 511.2812, 87.1505, 349.3433, 92.34007, 0, 705.4609, 160.0572, 975.6627, 7.288687, 150.9704, 181.1899, 137.1587, 52.55067, 106.3828, 178.572, 1133.89, 498.6233, 627.7773, 909.2926, 20.76058
5.7, 535.2043, 859.4329, 0, 0, 246.7367, 327.3106, 219.2594, 110.6657, 511.7568, 81.88594, 333.9576, 88.24536, 0, 796.0117, 153.3533, 1110.485, 86.09573, 188.795, 171.7582, 131.44, 50.01907, 101.7157, 259.9209, 1146.531, 745.883, 600.4576, 869.6274, 85.78193
5.8, 509.3077, 821.7036, 0, 0, 243.3245, 385.8821, 209.3073, 104.6699, 546.0103, 76.9394, 319.2495, 84.33222, 32.70987, 779.413, 146.9302, 1058.632, 81.2968, 269.8998, 162.8176, 125.9598, 47.60942, 254.0853, 248.7472, 1250.34, 741.8127, 574.3268, 831.6924, 81.83385
5.9, 484.6642, 877.1331, 0, 0, 232.7027, 513.3026, 199.8069, 98.99899, 612.9977, 265.1313, 305.1892, 80.59261, 31.1797, 744.359, 140.7761, 1070.65, 76.76536, 255.5959, 181.1248, 120.708, 45.31585, 288.335, 238.0537, 1188.641, 706.0221, 695.7078, 795.4123, 78.06747
6, 481.4632, 838.6268, 0, 0, 222.5445, 536.2285, 190.7377, 107.8884, 585.2677, 249.1153, 291.7481, 77.01882, 29.7211, 737.3733, 134.8797, 1031.846, 72.4865, 242.0501, 171.6966, 115.6752, 43.13277, 275.6855, 227.82, 1134.889, 671.9583, 665.4319, 760.7147, 74.47445
6.1, 458.1669, 840.5563, 0, 0, 212.8298, 511.2757, 182.0801, 102.0431, 608.9596, 234.0669, 278.899, 73.60352, 28.33074, 725.9026, 129.2303, 1056.558, 114.054, 274.2211, 162.7591, 110.8523, 41.05487, 396.2596, 218.0262, 1078.887, 639.538, 636.4736, 727.5308, 176.0914
6.2, 435.9979, 803.6556, 0, 0, 203.5392, 579.4264, 173.8156, 96.5145, 650.2052, 257.01, 445.3045, 70.33965, 27.00542, 749.9916, 123.8176, 1173.19, 127.6621, 278.963, 154.2869, 106.2304, 39.07706, 378.8754, 208.6535, 1246.854, 608.6819, 608.7755, 695.7944, 167.9868
6.3, 414.9015, 768.3749, 0, 0, 194.6541, 552.4634, 194.1418, 91.28542, 620.792, 298.131, 425.6925, 67.22052, 25.7421, 807.9428, 118.6315, 1118.41, 120.5463, 264.1789, 146.2556, 101.8013, 37.19454, 362.2538, 199.6836, 1185.327, 592.4418, 582.2827, 665.4424, 160.2553
6.4, 394.8259, 763.2306, 0, 0, 186.157, 526.7552, 185.3297, 239.948, 598.1149, 439.0913, 406.9443, 64.23971, 24.53788, 771.6057, 194.186, 1066.188, 113.8271, 250.1782, 138.6425, 97.5568, 35.40271, 346.3614, 191.0994, 1126.836, 735.4314, 556.9429, 636.4144, 152.8796
6.5, 375.7217, 786.5656, 0, 0, 178.0307, 502.2432, 176.9176, 226.9478, 571.0581, 527.5077, 389.0217, 61.39108, 23.38999, 848.1666, 186.0526, 1016.404, 176.9584, 236.9196, 131.4256, 93.48929, 33.6972, 331.1663, 182.8842, 1071.231, 699.9487, 532.7057, 608.6526, 145.8434
6.6, 373.7247, 752.0352, 0, 0, 204.1927, 478.8719, 168.8874, 214.6519, 588.924, 655.2949, 481.1254, 58.66876, 22.2958, 848.2244, 178.2599, 968.9445, 167.0948, 224.3636, 163.5693, 89.59135, 32.07385, 316.6377, 175.0222, 1054.14, 666.1779, 509.5234, 582.102, 139.131
6.7, 355.6415, 719.0206, 0, 0, 195.2792, 456.5881, 161.2216, 203.0223, 562.283, 932.9407, 459.9358, 56.06716, 21.2528, 810.0756, 170.7935, 923.7012, 337.6902, 212.473, 324.9492, 85.85594, 30.5287, 302.7466, 167.4981, 1124.374, 669.3264, 568.4382, 556.7095, 132.7275
6.8, 524.7018, 760.4728, 0, 0, 186.7547, 435.3413, 153.9038, 344.5171, 536.8471, 1105.669, 439.6794, 53.58093, 20.25859, 773.6426, 163.64, 880.5704, 318.8675, 232.6044, 453.9555, 82.27628, 29.05799, 289.4648, 160.2975, 1294.526, 637.033, 596.4065, 532.4246, 126.6188
6.9, 499.3134, 795.985, 0, 0, 178.6023, 478.6275, 146.9181, 355.7539, 512.5618, 1095.235, 420.3152, 51.20494, 19.31089, 738.8481, 156.786, 1017.931, 301.094, 220.2771, 430.3254, 78.84586, 27.65814, 276.7658, 153.4065, 1230.646, 606.2977, 570.452, 509.1992, 120.7912
7, 540.2114, 761.0411, 0, 0, 170.8058, 456.3551, 140.2496, 336.4794, 489.3752, 1029.074, 401.8037, 48.93432, 18.40752, 733.4009, 150.2191, 1010.82, 284.3112, 208.6031, 415.9533, 75.55847, 26.32572, 264.6238, 146.8117, 1188.675, 714.2703, 722.9218, 680.6998, 115.2318
7.1, 514.0725, 727.6312, 0, 0, 163.3496, 656.5862, 230.9662, 318.2492, 467.2375, 966.9104, 384.1076, 46.76439, 17.54641, 881.5243, 143.9272, 1015.748, 307.9237, 197.5478, 514.0846, 72.40814, 25.05749, 253.0146, 140.5003, 1130.018, 679.8085, 691.4615, 651.0063, 109.9283
7.2, 489.1984, 784.4131, 0, 0, 156.219, 626.0327, 220.4827, 366.683, 446.1011, 945.3623, 367.1908, 44.69067, 16.72559, 841.8778, 137.8989, 968.3197, 342.2483, 311.3883, 487.3245, 69.38916, 23.85035, 241.9146, 134.4604, 1182.873, 694.337, 661.3704, 727.4836, 140.5192
7.3, 469.5338, 781.3215, 0, 0, 149.3996, 854.4195, 210.4751, 346.8164, 425.921, 888.2552, 351.0191, 42.70892, 15.94316, 982.2399, 132.123, 923.1056, 323.1715, 294.8857, 461.9574, 66.49606, 22.70137, 231.3016, 128.68, 1131.288, 660.8369, 787.8362, 695.7493, 145.0655
7.4, 475.8305, 801.608, 0, 0, 142.8779, 952.2294, 200.9217, 606.9764, 406.6537, 834.5978, 335.5596, 40.81504, 15.19733, 1097.836, 161.6838, 880.0027, 305.1581, 279.2577, 437.9107, 63.72358, 21.60774, 221.1542, 123.1482, 1075.464, 628.9532, 753.5511, 665.3993, 138.3889
