 , C000, C005, C006, C008, C011, C014, C015, C016, C018, C019, C020, C022, C023, C025, C028, C030, C032, C033, C035, C037, C038, C040, C041, C043, C044, C045, C047, C049, C053, C055, C056, C057, C061, C062, C067, C069
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
115.8, 124.7777, 270.3595, 455.6701, 4.149128, 471.4617, 120.3537, 544.3722, 690.7707, 191.4927, 37.38434, 337.5077, 342.1086, 1730.233, 1174.367, 0.0349939, 372.9275, 237.7756, 564.7341, 409.7633, 684.0826, 1357.525, 551.9636, 194.6123, 745.4002, 856.8583, 336.6307, 442.8047, 17.0827, 919.962, 1065.572, 287.4492, 5.712792, 808.6021, 657.6588, 771.0947, 2.230991
115.9, 119.3245, 258.865, 436.4514, 3.968553, 451.8298, 238.4853, 700.8926, 661.7352, 260.8046, 35.62814, 322.9247, 326.8529, 1667.56, 1301.417, 0.03348305, 357.4824, 258.6164, 539.7029, 485.5889, 651.7294, 1293.228, 648.9933, 186.7388, 714.4601, 886.91, 424.6015, 424.7389, 16.28138, 938.4957, 1234.855, 274.3544, 5.476132, 804.4363, 628.821, 735.739, 2.135684
116, 114.1095, 247.8591, 418.0432, 3.795837, 433.0154, 268.6716, 909.4431, 633.9201, 249.9062, 33.95443, 308.9719, 315.4688, 1694.173, 1360.05, 0.03203743, 342.677, 246.5574, 515.7813, 465.7391, 620.9064, 1231.975, 669.3402, 179.1839, 684.8044, 842.8385, 405.1996, 407.4102, 15.51765, 1071.064, 1183.343, 261.8561, 5.249276, 770.2225, 601.2478, 702.0045, 2.044449
116.1, 109.1225, 237.3212, 400.4114, 3.630637, 426.3582, 257.396, 881.643, 607.2742, 239.4632, 32.35935, 295.622, 333.5703, 1669.104, 1303.849, 0.03065423, 328.4847, 235.0607, 492.92, 446.7008, 591.5411, 1354.991, 641.6608, 171.9347, 656.3796, 891.0355, 386.6842, 390.7885, 14.78974, 1021.235, 1133.979, 249.9272, 5.031818, 867.2111, 574.8836, 669.8167, 1.957111
116.2, 104.3534, 227.2313, 383.5233, 3.472628, 408.6045, 246.5936, 842.048, 704.0168, 229.4566, 30.8392, 282.8488, 320.4629, 1595.403, 1353.657, 0.02933074, 314.8803, 224.1, 471.0719, 428.4407, 563.5646, 1290.813, 615.126, 164.9787, 629.1346, 846.759, 369.0148, 374.845, 14.09598, 973.725, 1086.675, 238.5417, 4.823368, 847.9168, 549.6755, 639.1048, 1.873504
116.3, 99.79281, 262.5378, 367.3474, 3.321495, 401.2139, 236.2445, 828.3787, 674.4245, 219.8681, 29.39046, 270.6276, 341.3704, 1653.014, 1297.721, 0.0280644, 301.8393, 213.6505, 450.1922, 410.927, 536.9112, 1229.676, 589.6885, 158.3041, 603.0205, 804.6827, 352.1529, 359.5519, 13.43476, 1010.848, 1041.344, 227.6748, 4.623554, 886.3203, 525.5727, 609.801, 1.793469
116.4, 95.43148, 251.3759, 351.8538, 3.176939, 384.5072, 226.3298, 791.1759, 646.0761, 210.6804, 28.00978, 258.9344, 326.1476, 1652.059, 1244.096, 0.02685273, 289.3383, 203.6882, 430.238, 394.1292, 511.5184, 1171.433, 565.3029, 151.8996, 577.9904, 809.8482, 336.0615, 344.8828, 12.80456, 963.8204, 997.9042, 217.303, 4.432017, 924.1435, 502.5268, 581.8409, 1.716853
116.5, 91.26077, 240.6884, 369.905, 3.038675, 368.4961, 216.8311, 806.0641, 618.9193, 201.8765, 26.69397, 247.7465, 311.6036, 1665.21, 1290.481, 0.02569337, 277.3552, 222.323, 411.1683, 409.0233, 487.3265, 1115.95, 541.9257, 145.7542, 553.9991, 769.606, 320.7053, 330.8121, 12.20391, 1011.744, 956.2764, 207.4037, 4.248415, 966.1465, 480.4915, 555.1628, 1.643509
116.6, 87.27232, 263.5251, 383.0338, 2.906428, 353.1518, 264.892, 769.8634, 592.9039, 193.4406, 25.43996, 237.042, 297.7082, 1611.399, 1257.058, 0.02458407, 265.8683, 211.9563, 392.9438, 392.3034, 464.2787, 1063.094, 519.5153, 139.8574, 531.0038, 731.3635, 306.0509, 317.3155, 11.63145, 964.6754, 916.3851, 197.9554, 4.072419, 925.0548, 459.4223, 529.7079, 1.573299
116.7, 83.45819, 252.3211, 366.8786, 2.779937, 461.5834, 253.775, 812.7806, 567.9821, 185.3571, 24.24487, 226.7999, 316.9669, 1540.246, 1205.114, 0.02352266, 254.8571, 202.073, 375.527, 376.2669, 442.321, 1156.191, 498.0316, 134.1992, 508.9629, 770.5922, 292.066, 304.3695, 11.08584, 919.7963, 983.3707, 188.9375, 3.903713, 924.09, 439.2771, 505.4201, 1.506089
