 , C001, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C024, C025, C026, C027, C028, C029, C030, C031, C032, C034, C036, C037, C038, C039, C041, C045, C046, C048, C049, C053, C055, C057, C061, C064, C068, C072, C073, C074, C075, C079, C084, C085, C086, C087, C095, C105, C106, C107, C108, C114, C116, C122, C126, C140
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
175.6, 444.0681, 192.7001, 771.0726, 662.1395, 320.1058, 13.81171, 2908.971, 1883.812, 184.5193, 362.8056, 283.3749, 724.0215, 242.25, 1180.219, 1127.034, 6.418975, 299.8745, 1070.442, 1033.982, 284.0029, 905.6475, 5.592339, 1001.932, 359.8694, 733.2482, 3066.277, 849.7609, 0.06326018, 1875.18, 2685.077, 2766.989, 1136.983, 1205.948, 855.5135, 936.8496, 266.6493, 310.5492, 386.8646, 615.2481, 489.7333, 1377.728, 445.5921, 523.0558, 1621.272, 1331.612, 654.0519, 27.84683, 347.1409, 1209.396, 303.1268, 343.4096, 3912.42, 2645.35, 1472.195, 939.2621, 1616.718, 4731.405, 861.3192, 825.3144, 1.419293, 808.8626, 0.9295669, 2848.929
175.7, 471.3732, 184.0728, 758.2345, 639.3792, 304.6663, 13.0859, 2915.448, 1876.271, 174.166, 449.7329, 267.9604, 677.8268, 228.8885, 1176.197, 1074.27, 6.130404, 285.4705, 1019.289, 977.6711, 269.3088, 1090.082, 5.331244, 1062.428, 344.3123, 771.5234, 3023.754, 912.0821, 0.05998668, 1967.698, 2676.209, 2687.315, 1136.434, 1226.34, 844.4015, 997.5773, 250.2419, 295.9391, 370.1346, 582.2531, 467.4037, 1394.756, 417.5912, 499.2766, 1776.857, 1274.526, 688.0347, 26.50662, 331.1683, 1170.996, 287.7211, 340.4313, 3927.467, 2562.57, 1406.634, 938.8531, 1586.846, 4706.933, 835.0323, 830.0065, 1.356604, 770.0394, 0.8710819, 2729.991
175.8, 446.5609, 175.8318, 730.7559, 642.5163, 339.8223, 12.39823, 2975.56, 1848.514, 164.3937, 430.8796, 253.3843, 634.5794, 227.6603, 1188.735, 1084.762, 5.854806, 271.7584, 970.5796, 1015.242, 255.3751, 1045.404, 5.082339, 993.7934, 329.4278, 732.4344, 3034.035, 868.3452, 0.05688256, 1865.043, 2563.303, 2771.58, 1373.347, 1254.938, 801.077, 953.7559, 234.844, 282.0163, 354.1281, 644.5413, 446.0922, 1336.568, 391.3499, 476.5785, 1693.249, 1219.888, 679.3141, 25.23092, 315.9307, 1227.575, 273.0984, 365.0511, 4012.898, 2530.523, 1343.993, 946.4119, 1612.324, 4678.239, 875.2059, 789.8157, 1.296684, 733.0796, 0.8162766, 2843.021
175.9, 423.0546, 167.9597, 819.9968, 675.2167, 323.4318, 11.7467, 2842.448, 1758.324, 155.1697, 412.8166, 239.6011, 594.0914, 265.6743, 1189.475, 1179.583, 5.591598, 258.7049, 924.1983, 959.9514, 242.1622, 1005.572, 4.845055, 929.5925, 315.1867, 695.3258, 2898.609, 826.7056, 0.05393908, 1767.743, 2501.818, 2733.626, 1451.062, 1197.84, 759.9753, 911.8596, 220.3936, 268.7485, 338.8138, 626.104, 425.7524, 1280.809, 366.7575, 454.9122, 1613.574, 1354.424, 647.5766, 24.01661, 301.3942, 1303.65, 259.2189, 376.1782, 3846.132, 2581.533, 1284.141, 896.023, 1585.331, 4666.305, 829.5619, 751.571, 1.239411, 697.8937, 0.7649195, 2724.331
176, 400.7857, 160.44, 784.7645, 725.4214, 307.8318, 11.12941, 2828.052, 1672.534, 146.4633, 395.5108, 226.5677, 556.1866, 251.0208, 1160.502, 1149.596, 5.340222, 246.2785, 880.0334, 907.6724, 229.633, 967.4731, 4.618849, 1001.396, 301.5612, 660.0973, 2909.292, 849.2737, 0.05114791, 1675.519, 2461.591, 2614.049, 1382.779, 1143.34, 720.9825, 973.9788, 206.8324, 256.1049, 408.9746, 592.5268, 406.34, 1329.161, 368.6986, 434.231, 1537.649, 1296.36, 670.3899, 22.86074, 287.5265, 1329.972, 246.0447, 428.5107, 3725.074, 2468.227, 1226.955, 848.3169, 1545.792, 4633.346, 821.3513, 715.1783, 1.184667, 664.3967, 0.7167935, 2610.595
176.1, 379.689, 153.257, 751.0459, 688.2565, 292.9843, 10.54455, 2791.202, 1590.93, 138.2453, 378.9305, 214.2433, 520.7003, 237.1755, 1148.327, 1095.776, 5.100147, 234.4489, 998.2051, 858.2405, 217.752, 1031.075, 4.403204, 936.7036, 288.5248, 626.6536, 3002.114, 808.5486, 0.04850117, 1588.107, 2571.709, 2703.547, 1386.159, 1091.32, 874.7856, 931.194, 194.1056, 244.0562, 391.2885, 560.7503, 387.8128, 1285.308, 345.5296, 414.49, 1507.018, 1292.807, 699.2651, 21.76051, 274.2969, 1268.064, 233.5401, 407.1519, 3681.947, 2359.894, 1172.316, 803.1508, 1592.917, 4715.446, 920.0972, 783.6727, 1.132342, 632.5075, 0.6716955, 2501.608
176.2, 568.3574, 146.3956, 718.7761, 652.9955, 278.853, 9.990434, 2822.129, 1632.099, 130.4885, 363.0452, 202.5892, 647.7145, 274.4548, 1098.248, 1044.476, 4.870865, 223.1875, 950.5037, 906.7441, 206.4858, 976.3705, 4.197628, 876.1908, 276.0519, 663.8877, 3017.481, 930.3132, 0.04599139, 1747.398, 2663.912, 2585.286, 1403.074, 1140.869, 829.9022, 993.7469, 182.162, 432.8446, 374.3672, 530.6779, 370.1303, 1307.684, 339.7364, 395.6464, 1481.906, 1324.956, 666.5955, 20.71322, 347.9824, 1209.038, 221.671, 386.8577, 3576.882, 2432.876, 1120.109, 760.3893, 1558.147, 4699.429, 872.1121, 745.7255, 1.082328, 703.9968, 0.6294349, 2687.62
176.3, 538.4399, 139.8414, 687.8928, 619.5411, 351.65, 9.465433, 2805.831, 1574.922, 123.1669, 347.8259, 191.5691, 606.3884, 259.317, 1067.976, 1302.622, 4.651891, 467.7655, 938.9239, 884.5889, 385.2697, 997.6528, 4.001649, 900.0323, 264.1183, 708.4016, 2882.794, 885.7021, 0.04361149, 1656.235, 2566.401, 2582.101, 1337.05, 1088.961, 802.4941, 950.0939, 170.9532, 479.1214, 358.1776, 502.2183, 353.254, 1274.727, 318.3874, 377.6595, 1524.461, 1334.445, 635.4522, 19.71634, 331.9711, 1266.036, 210.4051, 367.575, 3478.148, 2436.338, 1070.228, 816.0369, 1489.914, 4698.606, 826.6295, 733.0597, 1.034522, 670.2069, 0.5898331, 2575.417
176.4, 510.0974, 133.5807, 658.3365, 587.8006, 382.1334, 8.968021, 2849.942, 1895.329, 116.2561, 403.2422, 181.1484, 567.699, 245.0141, 1032.553, 1241.638, 4.44276, 445.2971, 894.0554, 836.4141, 365.3362, 944.7217, 3.814821, 941.2567, 252.7005, 857.8488, 2754.119, 843.2302, 0.04135474, 1616.402, 2643.601, 2604.447, 1274.133, 1039.415, 761.3198, 908.3583, 160.4341, 456.5806, 342.6882, 610.934, 337.1472, 1221.548, 298.38, 360.4903, 1452.729, 1405.381, 605.7639, 18.76744, 316.6966, 1207.104, 199.7118, 477.2968, 3659.801, 2391.09, 1022.568, 941.6226, 1597.684, 4618.845, 840.9713, 782.0186, 0.9888285, 731.4238, 0.552723, 2698.8
176.5, 483.2467, 127.6002, 630.0501, 608.1826, 482.8925, 8.496749, 2940.396, 1886.521, 109.7331, 386.3378, 171.2946, 531.4781, 231.5001, 987.5233, 1183.509, 4.243032, 423.908, 1297.828, 790.863, 346.4341, 894.5988, 3.636714, 913.7584, 241.7763, 855.6498, 2995.091, 802.7949, 0.03921477, 1683.176, 2565.251, 2596.92, 1381.933, 992.1232, 752.7065, 868.4562, 150.5623, 664.9572, 327.8686, 640.8595, 321.7749, 1187.704, 279.6298, 344.1017, 1461.519, 1345.133, 608.5955, 17.8642, 302.1248, 1270.757, 189.5619, 553.3858, 3622.246, 2589.391, 977.0305, 999.1027, 1580.793, 4548.773, 982.1022, 779.4753, 0.945153, 696.3174, 496.5195, 2586.13
