 , C000, C001, C003, C004, C005, C006, C009, C011, C012, C013, C015, C017, C018, C019, C021, C023, C024, C025, C026, C027, C028, C029, C031, C033, C034, C041, C043, C044, C045, C046, C048, C049, C052, C053, C054, C057, C062, C063, C065, C067, C068, C069, C070, C071, C072, C073, C081, C084, C086, C087, C090, C092, C096, C100, C106, C110, C118, C119, C123, C124
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 44.97208, 112.2961, 13.76462, 111.3143, 48.92859, 0, 75.11316, 3.166321, 167.7993, 0, 0, 97.18524, 0, 79.35254, 12.40434, 0, 143.5392, 76.44421, 32.74789, 0, 158.3342, 69.1676, 0, 35.30167, 49.07672, 52.03442, 0, 0, 0, 0, 0, 108.5889, 107.2447, 0, 11.81146, 14.62146, 56.05457, 14.18829, 94.43304, 196.5444, 147.6089, 0, 0, 43.72012, 16.04755, 0, 39.80464, 65.9165, 0, 0, 0, 0, 0, 36.82196, 0, 45.4166, 34.11511, 104.9741, 128.4639
0.2, 0, 43.04211, 107.0365, 229.7447, 135.4378, 87.73364, 0, 71.80029, 51.67523, 227.321, 0, 0, 92.2132, 53.67741, 170.8702, 34.75668, 0, 167.9059, 73.15024, 31.34886, 0, 150.7768, 66.06976, 74.27344, 33.85437, 148.2504, 198.7297, 0, 0, 0, 0, 0, 173.3281, 152.9798, 0, 87.01716, 104.8793, 143.3364, 62.12402, 145.2876, 187.0356, 282.5286, 0, 60.3074, 41.90892, 15.38974, -3.051758e-05, 37.88029, 63.18414, -6.103516e-05, 0, 106.5105, 6.103516e-05, 0, 105.0354, 0, 43.47546, 91.65137, 151.2445, 123.1343
0.3, 0, 41.19498, 102.0233, 220, 129.1904, 84.06055, 0, 68.63354, 49.46979, 216.6182, 0, 0, 156.6299, 51.46115, 163.644, 33.29568, 59.11511, 160.854, 69.99823, 30.00959, 0, 143.5801, 63.11072, 71.12286, 98.18646, 142.1488, 190.5067, 0, -3.051758e-05, -3.814697e-06, 100.5145, 0, 166.1799, 249.3389, 0, 83.23296, 167.5804, 211.4098, 119.6629, 219.5468, 177.9869, 330.0649, -3.051758e-05, 147.7457, 40.17275, 75.02399, -3.051758e-05, 36.04897, 82.61627, -3.051758e-05, 0, 101.6899, 22.03149, 31.83478, 100.3834, 102.0152, 41.61731, 181.1244, 326.1958, 287.7942
0.4, 0, 39.42712, 97.24483, 210.6686, 291.9851, 123.1279, 43.26782, 65.60648, 52.87347, 206.4193, 0, 0, 148.6166, 81.69524, 271.1416, 31.89608, 129.2552, 154.0983, 66.98203, 28.72754, 6.103516e-05, 136.7269, 117.4161, 68.1059, 94.16098, 247.7266, 182.6237, 0, 61.12473, -3.814697e-06, 156.1473, 0, 159.3265, 237.8476, 0, 79.61333, 315.814, 202.1736, 129.1718, 232.1658, 169.3759, 413.2996, -3.051758e-05, 154.3416, 38.50851, 71.94858, -6.103516e-05, 34.30618, 134.9681, -3.051758e-05, 0, 97.08752, 122.2236, 139.5675, 253.4859, 113.8827, 78.98047, 173.6042, 348.3876, 317.2554
0.5, 53.80769, 37.73514, 92.6902, 201.733, 278.5167, 117.9729, 41.50769, 62.71292, 108.3215, 196.7006, 0, 0, 141.0134, 78.32216, 310.5858, 30.55532, 222.5096, 194.7946, 64.09579, 79.26576, 97.63641, 169.9758, 154.607, 82.16895, 90.30054, 277.7939, 175.067, 0, 58.59198, 0, 148.267, 207.6604, 266.2993, 226.8859, 0, 156.3115, 326.5322, 202.564, 192.0081, 222.3344, 161.1816, 580.1812, -3.051758e-05, 147.5553, 36.91321, 167.2135, -6.103516e-05, 32.64764, 210.084, -3.051758e-05, 3.051758e-05, 92.69336, 116.2732, 240.7866, 363.6356, 109.089, 127.4894, 166.3965, 333.619, 380.4333
0.6, 51.44157, 36.11578, 88.34889, 193.1764, 265.6696, 113.0337, 130.3731, 120.7047, 172.3434, 187.4395, 0, 0, 209.4524, 75.08835, 325.0175, 67.38352, 213.0541, 297.8186, 61.33392, 75.87943, 113.2508, 255.7788, 147.6826, 176.3426, 86.59833, 266.3607, 217.462, 0, 56.16418, -3.814697e-06, 140.7844, 199.1781, 294.0176, 216.4294, 0, 149.5138, 375.1379, 256.0385, 183.601, 250.9897, 236.2274, 632.8696, -3.051758e-05, 141.0674, 35.384, 160.359, 42.48169, 31.06929, 271.8999, -3.051758e-05, 3.051758e-05, 153.0896, 163.0491, 343.9368, 347.5305, 104.497, 122.0405, 439.4396, 433.3087, 478.5886
0.7, 49.1795, 68.58041, 84.21092, 184.9828, 282.2718, 238.7951, 180.2358, 115.3811, 164.9882, 223.2856, 0, 0, 248.9706, 71.98805, 311.2721, 92.55259, 204.0004, 375.6085, 58.69104, 121.9291, 108.1488, 243.5703, 199.1627, 168.8623, 83.04794, 255.398, 289.6505, 0, 158.2728, 0, 133.6794, 191.0423, 335.512, 206.4548, 0, 248.9366, 359.7876, 289.6644, 242.3281, 274.6907, 224.7988, 710.2643, -3.051758e-05, 190.3638, 33.91814, 153.7855, 40.59033, 29.56726, 325.8362, -3.051758e-05, 0, 162.5879, 223.1931, 395.6425, 453.0706, 100.0984, 116.8244, 444.1172, 482.8875, 668.1292
0.8, 47.01691, 106.5423, 80.26677, 177.1366, 344.3973, 237.6566, 172.9041, 110.2922, 157.9468, 212.7728, 0, 102.8166, 322.2065, 91.44012, 481.5148, 183.9861, 271.8284, 359.8332, 56.16205, 116.7201, 221.8867, 231.9445, 190.2428, 245.9508, 79.64313, 368.3726, 321.8768, 0, 151.7146, 0, 126.933, 183.2387, 321.6754, 196.9399, 0, 238.1109, 388.915, 391.7978, 335.1837, 263.0584, 395.7114, 811.6813, -3.051758e-05, 181.9936, 32.51301, 177.1537, 195.5982, 71.71889, 312.3294, -3.051758e-05, 129.145, 242.8232, 269.5133, 403.3702, 456.399, 174.7231, 184.2484, 460.2366, 462.4172, 722.0365
0.9, 92.81133, 101.9701, 76.50732, 169.6233, 328.5113, 227.7067, 243.6668, 289.675, 272.2403, 291.8553, 0, 98.45955, 434.7967, 87.66469, 581.4661, 246.9767, 281.6804, 385.2215, 148.4705, 129.4343, 211.8907, 293.939, 329.2431, 296.015, 76.3779, 353.2115, 356.8033, 0, 145.4283, 48.21047, 262.0638, 175.754, 384.8734, 187.8635, 0, 227.7559, 528.4609, 492.5232, 320.5076, 371.3928, 572.9077, 776.0962, -3.051758e-05, 173.9916, 113.9424, 169.8917, 186.8898, 68.25165, 388.9053, -3.051758e-05, 145.153, 361.3413, 363.9339, 398.3901, 519.6844, 253.7809, 176.3735, 477.7817, 442.8151, 715.2683
