 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C037, C038, C043, C044, C048, C053, C054, C057, C058, C059, C060, C062, C064, C069, C073, C077, C082, C084, C092, C096, C099
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 18.33423, 33.35974, 307.9661, 124.3383, 0, 0, 7.760895, 170.955, 129.6678, 0, 0, 76.73145, 172.4421, 0, 102.2113, 190.8838, 17.80505, 50.80603, 0, 0, 0, 207.1134, 0, 78.91849, 0, 0, 0, 0, 111.9257, 115.2415, 0, 88.52319, 7.012711, 0, 120.1408, 0, 244.2509, 117.1956, 50.00879, 0, 0, 47.36719
0.2, 120.6276, 437.3914, 542.4652, 271.3621, 103.3754, 3.051758e-05, 79.7001, 672.9401, 432.6027, 0, 0, 72.11194, 163.2197, 0, 97.25079, 232.6514, 145.7801, 343.9697, 734.149, 0, 251.7944, 975.1808, 0, 323.8291, 77.4306, 165.6547, -1.525879e-05, 132.4041, 107.3858, 327.9045, 0, 84.14038, 6.607162, 0, 166.8758, 0, 840.887, 385.7374, 47.27466, 0.0001220703, -7.629395e-06, 273.7586
0.3, 353.0349, 664.6816, 821.1725, 872.8041, 98.06543, 3.051758e-05, 75.31659, 1037.198, 432.2583, 0, 364.562, 67.77057, 154.4904, 0, 269.1058, 369.4341, 319.9318, 323.575, 755.7336, 0, 469.7096, 1345.922, 0, 307.2479, 120.5859, 452.7407, 0, 652.6417, 103.0301, 306.4485, 55.23828, 79.97437, 6.225067, 0, 159.6085, 131.6324, 1988.988, 367.2402, 112.4434, 283.8516, -3.814697e-06, 259.7645
0.4, 332.5351, 658.2673, 947.8051, 1534.267, 93.02821, 3.051758e-05, 71.17419, 1025.954, 518.4355, 0, 470.7011, 63.69055, 146.2281, 0, 256.0455, 345.2717, 305.2098, 488.2793, 807.0901, 95.78961, 442.4449, 1647.192, 0, 291.5157, 114.4185, 481.9174, 0, 941.1027, 98.85101, 286.3964, 52.35103, 76.01477, 60.43507, 204.4019, 239.1995, 125.0881, 2613.543, 395.6231, 106.2958, 372.0272, -3.814697e-06, 246.4858
0.5, 313.2257, 622.5585, 927.6766, 1712.094, 88.24973, 3.051758e-05, 232.0026, 1058.246, 503.8396, 0, 445.9704, 59.85616, 138.4077, 1.525879e-05, 243.619, 340.726, 327.202, 459.328, 926.1204, 91.33246, 416.7627, 1937.366, 1.525879e-05, 276.5891, 171.6035, 528.1771, 0, 895.7338, 177.9253, 277.3629, 49.6147, 123.1312, 56.94012, 194.1336, 364.8265, 250.4765, 2680.528, 376.6519, 259.5082, 354.6329, -3.814697e-06, 241.4514
0.6, 295.0376, 630.7893, 878.5306, 1950.342, 143.8752, 3.051758e-05, 243.8769, 1117.16, 474.0114, 0, 422.539, 56.25261, 131.0054, 1.525879e-05, 231.7956, 342.951, 312.1454, 432.0934, 873.7819, 87.0827, 463.9171, 1844.315, 1.525879e-05, 262.4267, 162.8267, 498.6342, 0, 958.9846, 170.7083, 294.4869, 47.02139, 117.0349, 53.6473, 225.6658, 348.9385, 441.08, 2716.45, 358.5903, 245.3203, 338.0519, 0, 338.5454
0.7, 356.2891, 656.439, 831.9883, 1919.841, 136.4849, 6.103516e-05, 262.3739, 1047.79, 445.9492, 0, 400.3387, 52.86601, 123.999, 1.525879e-05, 220.546, 320.5208, 304.5568, 415.0538, 851.1877, 83.03076, 436.9885, 1860.169, 1.525879e-05, 248.9895, 319.7514, 470.7437, 0, 912.7537, 163.7841, 275.2175, 44.56364, 429.9221, 50.54489, 214.3293, 333.7426, 471.7853, 2609.371, 341.3949, 354.3091, 322.2462, 0, 321.2395
0.8, 469.4999, 696.8837, 936.714, 2093.079, 225.7676, 3.051758e-05, 247.9434, 982.7272, 419.5482, 0, 546.0964, 76.29291, 117.3673, 0, 263.1214, 333.5017, 309.1956, 390.4443, 983.674, 120.383, 411.623, 1964.346, 0, 236.2404, 303.3975, 681.9045, 0, 954.6096, 157.1408, 257.209, 42.23436, 408.6361, 47.62189, 222.9416, 319.2083, 472.5045, 2566.973, 325.024, 334.9382, 394.02, 0, 304.8183
0.9, 442.2374, 1458.967, 935.6144, 1987.414, 410.8951, 0, 234.3066, 921.7045, 394.7103, 0, 623.8395, 932.5262, 111.0903, -1.525879e-05, 255.3131, 453.76, 313.7972, 381.5186, 1366.954, 114.7816, 552.7298, 1944.115, 1.525879e-05, 447.113, 287.8799, 1149.234, 1.525879e-05, 1048.291, 150.7669, 240.3788, 127.5682, 489.4586, 44.86794, 647.0027, 305.307, 492.6528, 2522.913, 421.61, 316.6263, 504.2225, 0, 376.4991
1, 512.6959, 2388.019, 933.6904, 1887.083, 389.7891, 3.051758e-05, 405.7194, 924.2048, 553.0497, 0, 591.0627, 1643.183, 229.9216, 0, 242.9222, 424.0824, 299.3575, 358.8973, 1409.228, 109.4407, 579.7242, 2116.748, 1.525879e-05, 696.9187, 273.1561, 1084.953, 1.525879e-05, 1034.198, 144.6515, 224.6499, 120.9004, 595.1888, 42.27324, 614.4999, 394.1776, 496.0095, 2573.82, 401.3926, 299.3156, 586.7122, 0, 606.0349
1.1, 482.9251, 2556.185, 884.2258, 1848.426, 475.6376, 0, 383.405, 866.8161, 528.9592, 0, 560.0082, 1759.891, 217.6251, 0, 236.4423, 396.3458, 285.5822, 447.3945, 1411.018, 104.3483, 696.4224, 2129.552, 0, 955.4595, 259.1853, 1173.736, 3.051758e-05, 1073.76, 220.747, 209.9502, 114.5811, 626.9487, 39.82859, 583.63, 500.571, 471.3495, 2447.76, 464.4495, 453.8187, 680.9622, 3.814697e-06, 575.0554
1.2, 502.0132, 2417.521, 837.3818, 1898.758, 451.206, 3.051758e-05, 362.3179, 812.991, 497.6439, 0, 530.5853, 1739.801, 205.9862, 1.525879e-05, 412.467, 370.4233, 272.4408, 420.8675, 1374.57, 99.49295, 655.9977, 2027.271, 0, 980.1967, 245.929, 1108.085, 3.051758e-05, 1047.017, 211.7932, 196.2123, 108.592, 628.8184, 58.22146, 554.3109, 478.7715, 447.9155, 2327.874, 442.1778, 429.0074, 649.1234, 0, 545.6595
1.3, 508.0705, 2360.277, 793.0194, 1978.706, 428.0294, 0, 342.3905, 762.5081, 468.1825, 0, 567.4426, 1635.059, 194.9698, 0, 392.449, 346.1963, 259.9041, 424.0914, 1296.888, 192.8369, 617.9197, 1929.903, 0, 930.0071, 357.9529, 1046.105, 3.051758e-05, 996.5421, 203.2025, 183.3734, 102.9161, 597.6846, 54.85453, 526.4646, 457.9214, 544.2165, 2317.169, 420.9741, 431.4012, 739.4095, 0, 517.7663
1.4, 507.4981, 2341.786, 809.1652, 1878.815, 406.0432, -1.525879e-05, 323.5591, 715.16, 440.4653, 0, 559.8681, 1573.954, 184.5426, 0, 423.8882, 323.5537, 247.9443, 398.9461, 1223.596, 183.8641, 582.0519, 1892.483, 0, 882.3875, 339.6451, 1128.391, 4.577637e-05, 1085.128, 194.9603, 171.3746, 97.53675, 725.8685, 51.68231, 500.0172, 437.9792, 600.6459, 2339.135, 400.7872, 464.4959, 704.8382, 3.814697e-06, 510.1516
1.5, 478.0291, 2372.369, 854.6976, 2044.99, 385.1864, -1.525879e-05, 320.3221, 670.752, 414.389, 0, 558.5376, 1479.196, 212.3797, 0, 403.3159, 302.3921, 300.0674, 387.3622, 1154.446, 249.1047, 548.2661, 1801.589, 0, 837.2061, 322.2737, 1065.276, 4.577637e-05, 1032.816, 187.0524, 160.1609, 92.43861, 742.7407, 48.69353, 474.8984, 530.8892, 630.1834, 2224.569, 381.5684, 519.9957, 671.8832, 3.814697e-06, 554.8703
