 , C001, C003, C006, C007, C009, C010, C011, C012, C014, C015, C016, C018, C019, C021, C022, C025, C028, C029, C030, C037, C040, C041, C042, C046, C047, C048, C053, C055, C056, C058, C059, C063, C066, C069, C070, C071, C073, C074, C075, C084, C087, C097
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 0, 110.9182, 171.0684, 0, 0, 0, 0, 4.215942, 31.79492, 63.84338, 143.5099, 0, 40.79169, 0, 84.61029, 0, 0, 0, 81.58008, 0, 19.10452, 259.3316, 22.76895, 0, 53.72859, 0, 0, 0, 0, 88.46265, 0, 115.3508, 0, 0, 0, 98.59804, 0, 0, 169.6204, 0, 63.59338, 0
0.2, 0, 105.8572, 519.1716, 0, 85.50555, 0, 0, 145.6115, 83.8075, 60.36745, 136.7596, 0, 38.75824, 0, 80.59332, 25.06007, 0, 0, 77.92963, 146.2769, 18.20557, 248.0198, 21.68845, 0, 51.26637, 0, 0, 0, 0, 143.5667, 7.807931, 109.9129, 0, 0, 0, 146.0817, 0, 0, 162.1187, 0, 60.69901, 0
0.3, 3.073151, 101.0271, 855.1482, 0, 119.9782, 0, 0, 139.2318, 80.18433, 57.08076, 130.3268, 0, 36.82611, 0, 175.0309, 23.69458, 0, 0, 74.44263, 139.2886, 111.9485, 237.2014, 20.65921, 0, 48.91698, 0, 0, 0, 31.55447, 295.9316, 7.434562, 104.7314, 0, 162.5544, 0, 139.8147, -1.525879e-05, 0, 154.9489, 0, 131.3157, 6.103516e-05
0.4, 56.66605, 96.41745, 1219.134, 0, 114.5486, -1.525879e-05, 0, 258.6891, 76.71765, 53.97302, 180.9372, 0, 34.9903, 0, 166.7211, 26.22989, 0, 42.58731, 71.11157, 132.6343, 106.6808, 226.8548, 19.67883, 0, 46.67526, 0, 0, 0, 30.09265, 373.1205, 42.16837, 99.79419, -3.051758e-05, 153.6747, 16.30176, 133.8166, -1.525879e-05, 0, 148.096, 0, 125.3391, 6.103516e-05
0.5, 153.9164, 92.01809, 1398.113, 0, 109.3646, -1.525879e-05, 0, 353.0768, 73.401, 51.03447, 172.4265, 0, 33.24603, 0, 241.038, 24.80065, 0, 40.57059, 67.9296, 126.2978, 187.8446, 216.9595, 18.74496, 0, 44.53625, 0, 0, 0, 70.18188, 357.4487, 40.15191, 95.08966, -3.051758e-05, 145.2801, 15.60516, 128.0757, 0, 0, 141.5462, 0, 119.6345, 6.103516e-05
0.6, 145.4023, 87.81947, 1547.574, 0, 188.1078, 0, 0, 337.6077, 70.22766, 48.25591, 164.316, 0, 31.58868, 0, 229.5944, 23.4493, 0, 80.1308, 64.88998, 120.2641, 179.0058, 294.3499, 17.85544, 1.525879e-05, 42.49529, 0, 0, -1.525879e-05, 153.6971, 433.5903, 38.23187, 135.2042, 95.97037, 212.5031, 14.93829, 122.5812, 0, 125.8448, 177.7667, 0, 114.1895, 6.103516e-05
0.7, 137.3592, 83.81242, 1562.32, 0, 179.5949, 0, 0, 384.5148, 67.19153, 45.62863, 156.5871, 0, 30.01398, 0, 218.694, 52.33547, 0, 76.33615, 61.98642, 114.5186, 170.583, 350.6143, 17.0081, 1.525879e-05, 62.67265, 0, 0, -1.525879e-05, 146.5768, 485.7284, 36.40365, 148.3016, 91.68359, 294.3748, 14.29993, 117.3224, 0, 119.5592, 220.1509, 0, 108.9924, 3.051758e-05
0.8, 129.761, 79.9882, 1741.113, 0, 171.4673, -1.525879e-05, 0, 367.6683, 147.998, 43.14439, 180.9636, 97.88489, 115.9048, 0, 208.3111, 91.90443, 0, 99.50281, 59.21274, 109.0476, 162.5564, 335.3207, 16.20099, 1.525879e-05, 59.80055, 0, 0, -1.525879e-05, 139.7863, 675.8693, 34.66286, 141.3104, 87.58832, 278.2943, 13.68884, 127.0053, -1.525879e-05, 181.8196, 281.5506, 0, 104.0318, 6.103516e-05
0.9, 122.5831, 76.33849, 1843.531, 0, 163.7075, 223.8395, 3.814697e-06, 351.9543, 141.5998, 40.79541, 241.7726, 115.7185, 110.127, 0, 240.2655, 86.89667, 0, 94.79083, 56.56317, 155.5845, 168.5642, 320.6942, 15.43217, 135.1449, 57.06005, 0, 0, -1.525879e-05, 133.3104, 647.4812, 33.00531, 227.424, 83.67593, 263.0922, 29.79431, 187.0548, 0, 172.7381, 284.7222, 0, 99.297, 6.103516e-05
1, 115.8022, 72.85529, 1779.669, 0, 156.2988, 214.394, 3.814697e-06, 412.2903, 294.6159, 38.57431, 230.4004, 145.6843, 104.6371, 0, 244.9171, 113.3423, 0, 90.302, 54.03217, 148.1516, 160.6326, 316.8174, 14.69983, 142.4087, 54.44515, 0, 0, -1.525879e-05, 212.3808, 763.7942, 31.42702, 216.7028, 131.7381, 248.7206, 28.52106, 214.8963, 83.40543, 164.1103, 340.96, 0, 94.77768, 3.051758e-05
1.1, 109.3965, 69.53104, 1988.407, 0, 149.2254, 205.3472, 3.814697e-06, 438.4738, 281.8792, 36.47414, 219.563, 179.8205, 99.42096, 0, 306.941, 133.9575, 0, 86.02576, 101.1202, 155.6645, 169.9113, 302.998, 14.00224, 136.4974, 51.95009, 0, 0, -1.525879e-05, 202.5419, 765.8967, 29.9242, 248.9993, 125.8536, 235.1339, 27.30231, 217.4748, 79.63319, 213.7888, 325.8805, 0, 247.5565, 6.103516e-05
1.2, 130.5678, 66.35846, 2407.244, 0, 142.4722, 196.6821, 0, 586.035, 269.6929, 34.48831, 209.2354, 246.1623, 94.46478, 0, 322.9134, 143.5478, -3.051758e-05, 151.8271, 96.59543, 148.2278, 173.1233, 301.5616, 13.33777, 130.8315, 49.56936, 0, 0, -1.525879e-05, 294.0876, 974.1448, 28.49325, 272.1786, 120.232, 222.2896, 152.0146, 208.145, 76.03157, 227.985, 386.0514, 0, 236.2894, 6.103516e-05
1.3, 123.3453, 63.33064, 2689.685, 0, 136.0246, 188.3826, 0, 560.3595, 320.0623, 32.6106, 199.3936, 235.652, 89.75571, 0, 307.5826, 135.7261, 0, 144.6373, 92.27313, 141.1464, 184.0004, 419.0435, 12.70483, 125.4007, 47.29774, 0, 0, 0, 338.9167, 933.2284, 102.5227, 293.0662, 152.6002, 210.1468, 169.6586, 199.2155, 72.59283, 261.7672, 368.9778, 0, 225.5351, 6.103516e-05
1.4, 178.2276, 60.44097, 2767.702, 0, 129.8687, 198.4607, 0, 605.6486, 449.6657, 30.83513, 274.5406, 225.5905, 85.28134, 0, 332.4898, 158.1621, 0, 165.2381, 88.14426, 241.0224, 175.3425, 400.7651, 44.67822, 120.1954, 45.13021, 0, 0, -1.525879e-05, 323.2156, 1083.847, 97.62018, 279.2505, 145.7839, 198.6673, 230.6108, 190.669, 69.30963, 248.6926, 456.9544, 0, 327.222, 6.103516e-05
1.5, 214.8479, 57.68316, 2800.538, 0, 123.9915, 190.0862, -3.814697e-06, 659.27, 441.1173, 29.15631, 327.0697, 215.9585, 81.03009, 0, 358.1235, 149.641, 0, 182.1539, 148.2357, 229.5078, 167.092, 383.284, 104.286, 115.2061, 43.06202, 0, 0, -1.525879e-05, 431.6107, 1125.625, 92.95206, 266.0861, 139.2721, 254.5483, 257.7538, 182.4892, 66.17491, 236.2711, 436.7449, 0, 312.3291, 6.103516e-05
1.6, 202.9633, 55.05117, 2876.704, 0, 118.3802, 278.5711, -3.814697e-06, 630.3859, 541.4109, 116.8208, 375.9401, 354.1746, 142.6653, 0, 341.121, 141.4872, 0, 173.5279, 141.6027, 218.5433, 223.4181, 373.7785, 99.33711, 110.424, 153.1273, 0, 0, -1.525879e-05, 411.6154, 1121.433, 88.50716, 344.1123, 133.0511, 240.6433, 246.739, 174.6603, 63.18198, 361.6233, 454.6782, 0, 469.8639, 6.103516e-05
