 , C000, C001, C002, C004, C005, C007, C008, C009, C010, C011, C013, C014, C015, C016, C017, C018, C019, C024, C025, C026, C030, C031, C032, C033, C034, C035, C036, C037, C038, C040, C041, C044, C045, C047, C048, C050, C055, C058, C066, C068, C072, C079, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.1, 9.928772, 167.0231, 0, 22.06653, 0, 0, 0, 323.5599, 120.4202, 0, 75.64032, 194.895, 17.78783, 0, 0, 22.11475, 48.10709, 0, 208.7928, 0, 0, 56.84021, 36.19489, 339.6063, 0, 0, 171.896, 178.1383, 0, 0, 0, 171.535, 0, 197.5621, 0, 0, 0, 144.6703, 326.2519, 0, 132.3459, 0, 0
0.2, 56.51175, 171.7171, 0, 85.83167, 26.36069, 0, 0, 529.6377, 411.6959, 0, 71.69666, 184.9526, 16.95178, 0.0001220703, 0, 21.11096, 45.62473, 204.1185, 199.426, 0.0002441406, 53.12897, 122.4518, 297.8373, 325.6611, 0, 0, 472.4163, 170.3347, 0, 0, 50.94702, 163.7502, 0, 189.173, 0, 0, 0, 267.7518, 320.7968, 0, 203.6335, -1.525879e-05, -0.0001220703
0.3, 74.1076, 215.3762, 0, 81.59534, 58.23715, 0, 0, 893.8615, 406.8699, 0, 112.4805, 203.6099, 113.1792, 0, 0, 20.15283, 43.27048, 301.0593, 190.4794, 62.35229, 202.24, 197.377, 279.1262, 312.2885, 0, -3.051758e-05, 551.1262, 341.3308, 0, 0, 48.07214, 156.3188, 0, 339.0714, 126.3469, 0, 0, 255.6426, 362.4903, 0, 194.5715, 0, 102.8121
0.4, 70.91974, 205.5874, 0, 77.56824, 54.99637, 6.103516e-05, 0, 1029.689, 435.684, 0, 106.6161, 424.7124, 107.8596, 0, 0, 19.23816, 41.03775, 441.1459, 278.5786, 59.30469, 193.7687, 189.0945, 388.1497, 299.465, 0, -3.051758e-05, 662.9622, 528.2546, 0, -6.103516e-05, 45.3595, 367.9258, 0, 548.1291, 120.8841, 0, 0, 414.5364, 375.3951, 0, 265.3757, 0, 211.0862
0.5, 67.86899, 196.2435, 0, 73.73999, 51.93594, 0, 0, 1312.775, 618.501, 0, 101.0575, 403.0459, 102.7901, 0, 0.0001220703, 61.7085, 38.9202, 419.4043, 287.509, 144.8083, 185.6522, 223.2444, 385.4507, 287.1682, 0, -6.103516e-05, 706.7163, 505.1141, 0, -6.103516e-05, 162.9219, 351.2285, 0, 593.9177, 190.9178, 0, 0, 395.7887, 360.1334, 0, 253.5662, 0, 301.9827
0.6, 64.94946, 187.3243, 6.103516e-05, 70.10071, 49.04581, 6.103516e-05, 0, 1491.965, 589.5321, 0, 95.78851, 586.8251, 278.5153, -0.0001220703, 0, 58.90759, 90.46829, 494.518, 341.0822, 208.0544, 177.8757, 305.3141, 565.2573, 275.3762, 0, -3.051758e-05, 778.6174, 528.0731, -1.525879e-05, 0, 203.9583, 401.38, 0, 568.6979, 315.6501, 0, 0, 517.3873, 430.6583, 0, 242.2822, -7.629395e-06, 286.6744
0.7, 102.8375, 178.8104, 6.103516e-05, 89.19116, 46.31653, 67.63092, 0, 1567.287, 852.9305, 0, 234.7662, 766.226, 265.4247, -0.0001220703, 0, 56.23376, 259.3804, 643.9402, 325.7806, 197.8845, 170.425, 375.5089, 571.1342, 264.0685, 0, -3.051758e-05, 918.0193, 757.6301, -1.525879e-05, 0, 192.4492, 738.2852, 0, 544.5491, 368.2412, 0, 0, 493.9883, 413.1498, 0, 289.5856, -7.629395e-06, 272.1422
0.8, 98.41379, 195.8098, 6.103516e-05, 208.4827, 43.73911, 97.72375, 0, 1591.807, 812.9818, 0, 222.526, 784.8521, 258.1494, -0.0001220703, 0, 53.6814, 245.9963, 612.2041, 350.3367, 265.2073, 163.2863, 359.7516, 626.8458, 253.225, 0, 0, 1094.453, 1116.317, 0, 0, 238.7204, 824.9399, 0, 521.4258, 461.9674, 0, 0, 538.1727, 558.933, 0, 434.1779, 0, 321.2662
0.9, 94.18033, 199.8157, 6.103516e-05, 258.7069, 58.24435, 91.79968, 0, 1797.697, 774.9043, 0, 336.9404, 766.5016, 246.0161, -0.0001220703, 0, 51.24475, 233.3029, 627.2719, 537.3006, 313.6284, 156.4467, 344.6554, 746.9628, 242.8269, 0, -3.051758e-05, 1190.914, 1241.007, -1.525879e-05, 0, 307.9246, 946.0679, 0, 651.9031, 633.1879, 0, 0, 701.4202, 536.2096, 0, 414.8563, 0, 405.427
1, 90.12897, 190.7341, 86.86798, 245.9387, 55.0032, 86.23477, 0, 1788.89, 1046.462, 0, 356.1503, 899.9418, 317.3459, -6.103516e-05, 0, 48.91882, 283.9304, 640.449, 513.1964, 332.6918, 149.8936, 475.0815, 830.6809, 232.8557, 0, 0, 1266.499, 1223.144, -1.525879e-05, 0, 362.8354, 903.1331, 0, 624.2213, 605.8113, 0, 0, 669.698, 576.4998, 0, 496.2108, 0, 472.1993
1.1, 86.25192, 182.0653, 82.88391, 233.8005, 76.40848, 81.00723, 0, 2125.193, 1043.729, 0, 368.857, 854.0319, 302.4303, -6.103516e-05, 0, 46.69843, 269.2796, 1015.311, 570.1744, 417.0831, 143.6149, 563.4109, 915.0054, 223.2939, 0, 0, 1381.894, 1169.564, -1.525879e-05, 0, 391.1617, 933.4081, 0, 742.8486, 579.6183, 0, 0, 752.9091, 563.3049, 0, 474.1285, 7.629395e-06, 448.2626
1.2, 82.54163, 173.7905, 79.08258, 222.2614, 72.15649, 76.09659, 0, 2021.609, 1015.449, 0, 401.2894, 1008.633, 288.2157, -6.103516e-05, -6.103516e-05, 44.57874, 255.3847, 965.2723, 575.6553, 396.6963, 137.5993, 588.3113, 857.5216, 214.1249, 0, 0, 1465.32, 1378.165, -1.525879e-05, 0, 369.0889, 1004.858, 0, 940.2502, 639.6404, 0, 0, 814.8583, 629.7537, 0, 479.24, 7.629395e-06, 637.2531
1.3, 78.99094, 165.8917, 75.45563, 304.8419, 68.14114, 138.5495, 0, 2362.176, 1232.667, 0, 380.3671, 1090.384, 274.6692, -6.103516e-05, -6.103516e-05, 117.4907, 242.2068, 1117.054, 611.3812, 377.3058, 131.8356, 563.6241, 881.7292, 205.3322, 0, 3.051758e-05, 1399.652, 1317.793, -2.288818e-05, 0, 348.2618, 959.2554, 0, 1014.197, 698.0195, 0, 0, 803.6516, 604.1509, 0, 567.4492, 7.629395e-06, 604.9492
1.4, 75.59299, 158.352, 71.995, 289.7966, 182.9386, 301.6026, 0, 2552.541, 1221.286, 0, 360.5357, 1079.006, 261.7594, -6.103516e-05, -6.103516e-05, 112.1578, 330.3323, 1187.368, 618.2703, 358.8632, 161.7216, 594.8104, 844.7476, 196.9007, 0, 1.525879e-05, 1607.354, 1331.827, -2.288818e-05, 0, 356.0277, 1013.719, 0, 971.1311, 667.8398, 0, 0, 1014.864, 579.5891, 0, 684.1957, 0, 574.2828
1.5, 72.3412, 151.1549, 68.69305, 275.4938, 172.7585, 283.3195, 0, 2428.127, 1207.341, 0, 341.7382, 1032.27, 249.4564, -6.103516e-05, -6.103516e-05, 107.0671, 380.8796, 1198.438, 590.5336, 399.6929, 154.9475, 659.4233, 981.3524, 188.8154, 0, 1.525879e-05, 1813.129, 1476.18, -2.288818e-05, 0, 365.2007, 1014.517, 0, 1027.945, 750.305, 0, 0, 968.9661, 556.0258, 0, 752.2947, 0, 545.1711
1.6, 69.22931, 144.2849, 187.0555, 261.8969, 163.1449, 266.1446, 0, 2623.743, 1425.761, 0, 413.3776, 1244.597, 237.7316, -6.103516e-05, -6.103516e-05, 102.2074, 361.2261, 1244.122, 648.174, 380.156, 148.4572, 759.6306, 1000.827, 404.5063, 0, 1.525879e-05, 1874.624, 1434.023, -3.051758e-05, -3.051758e-05, 380.9372, 968.476, 0, 1170.283, 741.4218, 0, 0, 925.144, 657.2225, 0, 834.5612, 7.629395e-06, 517.5352
1.7, 66.25127, 162.2597, 178.4766, 248.9711, 205.0371, 250.011, 0, 2849.273, 1443.955, 0, 391.8251, 1372.916, 304.3582, -6.103516e-05, -6.103516e-05, 97.5683, 342.5869, 1420.902, 619.0957, 361.574, 174.4614, 785.184, 937.9513, 456.1741, 0, 1.525879e-05, 2107.43, 1506.509, -2.288818e-05, 0, 359.4414, 1089.135, 0, 1278.01, 709.3657, 0, 0, 988.1066, 638.6215, 0, 912.1757, 7.629395e-06, 491.3002
1.8, 63.40135, 154.885, 254.9034, 236.6833, 193.6273, 234.8553, 0, 2996.95, 1376.325, 0, 390.6648, 1302.877, 321.057, 176.2454, 0, 93.13971, 324.9093, 1402.343, 683.3784, 343.9003, 167.1537, 898.0834, 947.6841, 437.4423, 0, 3.051758e-05, 2158.672, 1501.992, -3.051758e-05, 0, 339.1586, 1103.468, 0, 1331.922, 715.0345, 0, 0, 1128.985, 630.387, 0, 871.5825, 7.629395e-06, 466.3951
1.9, 60.67401, 147.8455, 243.2128, 398.9247, 232.1754, 220.6183, 0, 2850.876, 1387.825, 0, 370.2965, 1442.533, 305.9669, 167.459, 0, 88.91223, 308.144, 1369.114, 652.7209, 327.0905, 160.152, 860.3973, 905.1323, 419.4796, 0, 3.051758e-05, 2145.697, 1525.093, -2.288818e-05, 3.051758e-05, 480.2566, 1053.39, 0, 1330.175, 837.3572, 0, 0, 1077.926, 757.5798, 0, 832.7958, 7.629395e-06, 442.7525
2, 58.06401, 141.1259, 232.0582, 379.236, 254.6888, 207.2444, 0, 2822.985, 1322.824, 0, 368.5967, 1405.898, 342.2789, 159.1105, 99.27765, 84.87653, 292.2437, 1424.611, 663.5902, 467.1929, 153.4437, 864.2581, 887.2314, 402.2546, 0, 3.051758e-05, 2139.354, 1469.899, -2.288818e-05, 0, 562.2588, 1163.208, 0, 1459.102, 801.1531, 0, 0, 1029.176, 746.5029, 0, 795.7351, 7.629395e-06, 644.1558
2.1, 102.9196, 134.7118, 221.4153, 360.519, 240.516, 194.6813, 0, 2827.717, 1260.867, 0, 349.379, 1466.91, 326.1913, 151.1782, 95.03247, 81.02399, 277.1639, 1414.751, 723.4023, 444.3566, 147.0163, 900.751, 1018.724, 494.4989, 0, 3.051758e-05, 2239.269, 1490.246, -2.288818e-05, 0, 619.7924, 1338.469, 0, 1397.144, 842.3466, 0, 0, 1031.555, 716.1537, 32.77176, 803.2719, 7.629395e-06, 611.502
2.2, 98.49229, 128.5892, 211.2604, 359.7437, 227.1318, 182.8797, 0, 3025.172, 1568.034, 0, 409.4727, 1693.958, 310.8599, 327.3187, 90.96887, 77.34637, 340.6836, 1413.739, 690.9492, 590.4155, 140.8582, 917.5867, 1098.539, 533.7642, 0, 3.051758e-05, 2411.668, 1727.776, -1.525879e-05, 0, 584.8184, 1351.797, 0, 1351.493, 859.0154, 0, 0, 1121.976, 687.0385, 31.30372, 794.2479, 3.814697e-06, 580.5036
2.3, 94.25546, 144.7652, 201.5713, 341.9887, 214.4925, 171.7935, 0, 2877.722, 1494.592, 0, 408.0262, 1658.352, 296.2491, 311.0006, 87.07904, 73.83569, 323.1043, 1344.064, 695.9315, 561.5559, 226.3143, 1020.419, 1029.525, 511.8463, 0, 3.051758e-05, 2359.384, 1982.423, -1.525879e-05, 3.051758e-05, 648.4739, 1321.27, 0, 1294.104, 886.1395, 0, 0, 1071.234, 763.1144, 29.90144, 800.9405, 3.814697e-06, 551.0765
2.4, 90.20088, 138.1857, 192.3265, 355.1802, 202.5565, 161.3794, 0, 2827.801, 1657.913, 0, 386.7527, 1573.752, 282.3251, 295.496, 83.35553, 70.48438, 306.4321, 1277.823, 690.3612, 534.1071, 236.0999, 977.5995, 964.8464, 618.5632, 0, 3.051758e-05, 2468.668, 2171.238, -7.629395e-06, 3.051758e-05, 629.4666, 1393.429, 0, 1321.392, 900.2708, 0, 0, 1057.192, 768.8832, 28.56198, 934.0743, 0, 523.1411
2.5, 86.32071, 131.9051, 183.5058, 409.9135, 191.2847, 151.5966, 0, 3152.401, 1705.129, 0, 366.5884, 1723.606, 269.0554, 280.7644, 79.79123, 67.28516, 323.3426, 1214.846, 659.3904, 576.8188, 321.1293, 975.1568, 1106.29, 727.7086, 0, 1.525879e-05, 2358.034, 2141.722, -7.629395e-06, 3.051758e-05, 664.2256, 1330.192, 0, 1309.103, 861.3466, 0, 0, 1224.193, 737.6242, 27.28252, 1012.157, 3.814697e-06, 633.9675
2.6, 82.60745, 125.9101, 175.0897, 389.6824, 180.6401, 142.4068, 0, 3024.802, 1801.38, 0, 347.4754, 1768.857, 256.4095, 300.2627, 111.0806, 64.23111, 429.2202, 1154.973, 694.0587, 548.624, 307.678, 934.2366, 1036.789, 697.8267, 0, 1.525879e-05, 2398.652, 2109.667, -3.814697e-06, 3.051758e-05, 645.619, 1352.093, 0, 1253.514, 824.1053, 0, 0, 1168.828, 719.1399, 26.06037, 967.1144, 7.629395e-06, 654.7402
2.7, 156.539, 120.1875, 167.0594, 370.4498, 170.5879, 133.7741, 0, 2887.004, 1967.537, 0, 329.3588, 1678.62, 244.3579, 285.2935, 106.3308, 61.31573, 569.0433, 1259.672, 662.922, 613.5018, 324.1675, 895.0336, 971.6545, 669.172, 0, 3.051758e-05, 2348.617, 2257.83, -3.814697e-06, 3.051758e-05, 780.8669, 1316.162, 0, 1419.389, 838.2532, 0, 0, 1149.924, 721.1712, 24.89297, 978.8721, 3.814697e-06, 752.5449
2.8, 149.8051, 173.5191, 159.3976, 352.1665, 161.0951, 125.6647, 0, 2814.703, 2032.132, 0, 388.8674, 1592.985, 232.8728, 290.2013, 101.7841, 58.53268, 539.6805, 1276.012, 633.1821, 714.8074, 375.8061, 857.4756, 997.7299, 641.6938, 0, 3.051758e-05, 2449.907, 2174.218, -7.629395e-06, 0, 736.8036, 1295.525, 0, 1448.417, 802.0104, 0, 0, 1249.59, 691.8518, 23.77787, 1092.967, 3.814697e-06, 714.3965
2.9, 143.361, 165.6327, 152.087, 334.7855, 152.1305, 118.0469, 0, 2786.4, 1999.327, 0, 368.5928, 1633.937, 221.9275, 317.6328, 153.3828, 103.2038, 511.833, 1345.798, 758.4899, 753.2905, 360.0645, 890.2126, 935.0491, 615.344, 0, 3.051758e-05, 2598.575, 2078.975, -3.814697e-06, 1.525879e-05, 695.2269, 1236.731, 0, 1541.169, 863.2265, 0, 0, 1330.654, 748.9752, 22.71272, 1044.328, 3.814697e-06, 678.1821
3, 209.5569, 198.9166, 145.1118, 318.2624, 143.6648, 110.8909, 0, 2742.7, 2158.591, 0, 440.1444, 1891.072, 211.4966, 301.7976, 146.8241, 98.51947, 539.6553, 1333.184, 724.4626, 847.152, 344.9824, 1036.025, 992.6711, 590.0762, 0, 3.051758e-05, 2731.614, 2342.769, 0, 3.051758e-05, 655.9962, 1265.035, 0, 1475.726, 825.904, 0, 0, 1434.215, 728.8485, 21.69528, 1170.308, 3.814697e-06, 643.8035
3.1, 200.5424, 189.8758, 138.4565, 397.9538, 254.6074, 104.1687, 0, 2984.367, 2182.405, 0, 417.1964, 1860.988, 201.556, 286.7518, 140.5459, 217.2036, 567.3131, 1267.479, 736.4552, 945.1526, 330.532, 1024.48, 960.743, 565.846, 0, 2.288818e-05, 2609.196, 2677.648, 0, 3.051758e-05, 691.1414, 1391.673, 0, 1413.062, 924.8538, 0, 0, 1390.096, 699.2171, 20.72342, 1118.227, 3.814697e-06, 611.1676
3.2, 191.9156, 181.246, 132.1064, 378.313, 316.811, 97.85398, 0, 2904.724, 2188.471, 0, 395.4448, 2093.076, 192.0826, 294.008, 159.5812, 207.3448, 538.0397, 1205.012, 782.4907, 898.9536, 429.8842, 1024.534, 900.3858, 542.6107, 0, 1.525879e-05, 2640.759, 2677.284, 0, 1.525879e-05, 718.3861, 1541.342, 0, 1453.191, 884.8667, 0, 0, 1367.76, 777.6414, 19.7951, 1068.464, 3.814697e-06, 580.1861
3.3, 183.66, 173.0084, 171.5279, 359.6415, 299.1812, 91.92208, 0, 2878.776, 2198.455, 0, 451.5831, 2016.539, 183.0545, 361.7912, 152.7575, 310.4696, 553.3423, 1145.624, 835.7517, 989.3486, 411.8775, 1230.419, 843.8204, 626.4882, 0, 7.629395e-06, 2743.666, 2809.549, 0, 3.051758e-05, 841.263, 1519.706, 0, 1487.179, 846.6085, 0, 0, 1352.55, 746.0263, 18.90836, 1020.916, 3.814697e-06, 550.7751
3.4, 175.7595, 165.1452, 190.3434, 358.7156, 282.5324, 86.34976, 0, 3019.591, 2207.306, 0, 428.0387, 2090.308, 174.4507, 343.7545, 267.0416, 296.3776, 585.3328, 1089.162, 798.2585, 940.9893, 501.2986, 1220.183, 899.6877, 645.5515, 0, 7.629395e-06, 2783.206, 2841.772, 0, 3.051758e-05, 907.4749, 1581.73, 0, 1447.704, 810.0045, 0, 0, 1350.57, 734.9866, 160.1503, 1227.409, 3.814697e-06, 816.4153
3.5, 168.1989, 157.6394, 202.696, 428.3243, 266.8102, 81.11524, 0, 2908.515, 2312.305, 0, 405.7217, 2071.343, 166.2513, 371.3797, 255.6228, 282.9252, 689.1908, 1185.969, 895.8475, 1050.237, 529.1177, 1168.981, 975.0571, 700.4419, 0, 7.629395e-06, 2696.549, 2774.642, 0, 3.051758e-05, 856.2673, 1533.866, 0, 1594.025, 774.9831, 0, 0, 1401.757, 877.9979, 152.9762, 1223.198, 7.629395e-06, 861.621
3.6, 160.9635, 253.9989, 193.3997, 561.4022, 251.9628, 76.19803, 0, 2839.416, 2348.771, 0, 543.1568, 2101.36, 158.4373, 378.5246, 244.6923, 270.0834, 653.6285, 1127.52, 855.6582, 998.9011, 506.9543, 1208.341, 931.3821, 736.7275, 0, 21.43688, 2740.223, 2798.09, 0, 1.525879e-05, 897.0424, 1509.875, 0, 1526.337, 874.9004, 0, 0, 1403.247, 842.3028, 336.2933, 1386.42, 7.629395e-06, 817.9434
3.7, 154.0393, 254.7451, 184.5297, 760.5001, 237.9417, 193.4538, 32.01442, 2748.264, 2456.381, 27.63846, 526.4758, 1994.16, 150.9905, 405.2825, 234.2292, 257.8246, 619.9012, 1346.249, 817.2719, 950.075, 495.383, 1157.636, 975.927, 706.4753, 0, 131.1371, 2757.822, 2999.235, 344.2626, 1.525879e-05, 919.4155, 1623.83, 0, 1681.101, 945.3178, 0, 0, 1424.786, 808.0589, 321.2287, 1324.722, 7.629395e-06, 776.4799
3.8, 147.413, 273.1032, 176.0666, 722.9661, 224.7008, 181.7266, 59.86152, 2751.641, 2678.123, 110.3168, 550.2347, 1954.945, 143.8938, 405.4759, 224.2135, 246.1221, 587.9142, 1279.9, 861.2662, 1027.478, 589.6293, 1147.559, 1018.279, 953.1717, 0, 245.0805, 2736.057, 3088.218, 358.7965, 1.525879e-05, 1064.508, 1583.784, 0, 1759.576, 1160.783, 0, 0, 1553.573, 819.1943, 306.839, 1265.77, 5.722046e-06, 737.1184
3.9, 141.0717, 260.6907, 167.9916, 687.2845, 212.1967, 170.7103, 206.8735, 2795.723, 2647.272, 104.5225, 521.5468, 1918.372, 137.1306, 542.8282, 319.2754, 234.9508, 620.7453, 1289.968, 822.6283, 1142.969, 564.9313, 1141.454, 994.4045, 914.0317, 0, 234.955, 2700.233, 2996.885, 341.5697, 1.525879e-05, 1034.191, 1675.369, 0, 1843.016, 1245.049, 0, 0, 1483.312, 785.8899, 342.1496, 1292.024, 5.722046e-06, 699.7521
4, 135.0033, 248.8423, 160.2869, 653.364, 200.3884, 220.4505, 205.6215, 2751.459, 2564.672, 99.03259, 506.7845, 1988.571, 130.6853, 619.5722, 305.6231, 224.2865, 616.6729, 1226.393, 785.7238, 1200.228, 592.4703, 1093.556, 931.9325, 876.499, 0, 225.2477, 2606.141, 2962.267, 337.0645, 1.525879e-05, 975.8331, 1675.576, 0, 1842.224, 1284.312, 0, 0, 1416.228, 815.1671, 326.8227, 1310.251, 5.722046e-06, 893.0387
4.1, 129.1958, 237.5324, 233.0021, 621.1176, 189.2373, 678.8109, 196.5719, 2803.344, 2444.55, 93.83099, 529.343, 2094.149, 124.5429, 588.6841, 292.5546, 214.1063, 705.4684, 1165.951, 750.4749, 1175.089, 604.3506, 1261.303, 919.2965, 840.5074, 0, 215.9416, 2677.493, 2894.052, 320.8812, 1.525879e-05, 920.7682, 1697.097, 0, 1763.997, 1329.364, 0, 0, 1398.482, 782.0263, 346.6714, 1875.552, 5.722046e-06, 847.7685
4.2, 123.6382, 226.7366, 222.3158, 590.4626, 178.7067, 1278.73, 187.9206, 2754.967, 2533.388, 88.9026, 560.9247, 1987.317, 118.6892, 559.3359, 289.801, 204.3882, 669.0662, 1108.488, 821.6096, 1117.651, 615.5247, 1282.232, 861.5431, 805.9938, 0, 207.0199, 2728.164, 2879.657, 305.4749, 1.525879e-05, 927.2625, 1620.078, 0, 1689.092, 1271.887, 0, 0, 1335.235, 750.233, 331.1419, 2612.667, 5.722046e-06, 804.7931
4.3, 118.3197, 216.4315, 226.326, 561.3207, 204.0434, 1540.798, 179.6501, 2824.903, 2441.718, 84.23306, 564.2397, 2021.72, 113.1107, 531.4509, 328.7887, 195.1112, 634.5423, 1128.043, 784.7508, 1302.464, 647.292, 1228.426, 807.418, 772.8973, 0, 198.4668, 2720.401, 2904.877, 311.251, 1.525879e-05, 874.9384, 1574.481, 0, 1617.367, 1216.896, 0, 0, 1274.848, 719.7321, 343.5771, 2951.312, 5.722046e-06, 763.9963
4.4, 113.2299, 206.5947, 269.7699, 634.2863, 192.6889, 1636.011, 171.7436, 2771.735, 2370.472, 130.7172, 612.1965, 2064.616, 107.7944, 504.956, 376.6041, 186.2552, 601.7998, 1120.475, 749.5455, 1373.613, 620.1786, 1207.326, 840.8695, 741.1599, 0, 190.2671, 2773.425, 2911.309, 431.212, 1.525879e-05, 907.5546, 1640.279, 0, 1548.689, 1164.282, 0, 0, 1217.193, 690.4713, 375.092, 2947.588, 5.722046e-06, 990.3932
4.5, 108.3591, 197.205, 257.3973, 602.9814, 181.9662, 1536.836, 221.2372, 2832.654, 2464.625, 123.8514, 580.2781, 1959.291, 102.7279, 479.782, 360.5005, 177.8012, 677.2026, 1065.253, 785.2063, 1322.227, 747.2928, 1263.637, 835.3584, 710.7258, 0, 230.9975, 2708.963, 2927.062, 410.5084, 7.629395e-06, 856.3425, 1592.719, 0, 1604.14, 1318.502, 0, 0, 1301.017, 662.4001, 407.9901, 3015.586, 7.629395e-06, 940.1879
4.6, 103.6978, 188.2421, 245.5923, 608.5327, 171.8402, 1443.673, 211.5004, 2883.997, 2349.19, 169.4163, 550.0238, 1859.339, 97.89955, 534.2709, 345.0853, 169.7309, 642.2589, 1012.753, 749.9806, 1414.021, 776.7547, 1238.46, 782.8783, 681.5413, 0, 236.2419, 2640.77, 2798.84, 439.3088, 1.525879e-05, 842.7425, 1520.438, 0, 1744.086, 1320.609, 0, 0, 1242.178, 647.5076, 389.7138, 2956.573, 5.722046e-06, 1138.582
4.7, 99.23708, 179.6865, 283.7194, 578.4989, 162.2777, 1522.516, 202.1921, 2844.57, 2239.161, 196.8267, 536.8932, 1841.745, 93.29816, 622.0397, 364.7137, 162.027, 706.0526, 1013.97, 716.3352, 1344.904, 782.3135, 1320.017, 874.5648, 653.5552, 0, 226.4815, 2617.776, 2824.118, 450.3532, 7.629395e-06, 892.5146, 1593.31, 0, 1670.026, 1290.219, 0, 0, 1308.951, 621.1831, 372.2562, 2825.001, 7.629395e-06, 1080.864
4.8, 94.9682, 171.5198, 270.707, 549.9474, 153.2473, 1570.251, 193.2935, 3012.492, 2297.257, 186.4886, 515.6169, 1927.907, 88.91303, 591.0286, 458.5217, 154.6727, 669.6202, 1046.28, 684.1991, 1408.41, 749.5444, 1264.626, 932.4716, 626.7184, 0, 330.3458, 2615.1, 2855.397, 518.2598, 7.629395e-06, 896.5806, 1521.002, 0, 1641.435, 1234.435, 0, 0, 1375.897, 595.9288, 355.5807, 2952.71, 7.629395e-06, 1026.073
4.9, 90.88295, 163.7242, 258.2915, 522.8051, 144.7195, 1543.486, 184.7865, 2977.645, 2521.983, 176.6934, 548.91, 2056.659, 84.73401, 561.5635, 502.9901, 147.6522, 635.0677, 1093.92, 718.9062, 1387.387, 799.4417, 1211.559, 930.8577, 600.9835, 0, 370.4067, 2585.317, 2794.529, 502.4634, 7.629395e-06, 845.9878, 1451.975, 0, 1576.798, 1181.062, 0, 0, 1313.671, 582.1885, 339.6521, 2875.431, 7.629395e-06, 974.0588
5, 86.97345, 197.3343, 317.5563, 564.228, 207.8412, 1449.92, 176.6539, 2887.623, 2543.033, 167.4127, 520.2913, 1969.53, 80.7514, 565.8444, 481.4822, 140.9504, 658.897, 1040.007, 788.0309, 1319.572, 765.9552, 1344.434, 872.378, 899.015, 0, 406.0049, 2488.558, 2767.117, 494.6287, 0, 798.2498, 1386.081, 0, 1567.486, 1129.998, 0, 0, 1282.594, 558.5195, 397.4628, 2962.48, 5.722046e-06, 924.6814
5.1, 83.23212, 188.3655, 302.9921, 536.3809, 196.2753, 1362.026, 249.9818, 2746.877, 2526.712, 158.6195, 493.1646, 1890.426, 76.95598, 653.3705, 460.8938, 134.5527, 624.8978, 1064.9, 752.6785, 1391.749, 733.8713, 1288.018, 817.5722, 862.0988, 0, 389.2307, 2516.413, 2669.04, 470.8803, 0, 753.2057, 1323.177, 0, 1622.121, 1201.397, 0, 0, 1310.788, 581.3422, 442.808, 2830.645, 6.67572e-06, 877.8072
5.2, 79.65173, 179.8043, 289.0959, 509.9081, 185.353, 1326.949, 238.9799, 2777.705, 2408.368, 150.2882, 467.4521, 1888.23, 73.33895, 620.7975, 441.1859, 128.4455, 592.6531, 1103.546, 718.912, 1353.247, 703.1314, 1233.97, 766.2095, 826.6985, 0, 447.1175, 2478.387, 2552.121, 448.2721, -7.629395e-06, 710.7034, 1263.128, 0, 1581.547, 1295.49, 0, 0, 1355.075, 567.3918, 439.9723, 2936.731, 6.67572e-06, 833.3091
5.3, 76.22536, 171.6322, 305.0277, 484.7419, 269.8572, 1246.51, 228.4623, 2750.487, 2367.917, 233.2179, 443.0803, 1791.903, 69.89193, 589.8483, 422.3206, 122.6154, 562.0721, 1049.158, 686.6605, 1287.101, 673.6791, 1293.502, 718.0735, 792.7519, 0, 428.6447, 2385.916, 2684.569, 507.8354, 0, 945.1036, 1287.458, 0, 1514.389, 1335.797, 0, 0, 1333.563, 544.3245, 420.2633, 2968.012, 5.722046e-06, 791.0668
5.4, 72.94638, 163.8316, 291.0381, 610.6439, 295.8154, 1308.634, 218.4075, 2672.927, 2257.011, 220.9684, 419.9792, 1978.665, 66.60693, 560.4421, 404.2621, 117.05, 533.0692, 997.4512, 696.8624, 1382.149, 645.4604, 1239.223, 672.9617, 760.1992, 0, 410.9352, 2413.97, 2678.783, 483.4529, 0, 891.7728, 1394.114, 0, 1505.175, 1388.375, 0, 0, 1273.252, 628.4042, 500.5791, 2835.931, 6.67572e-06, 750.9658
