 , C000, C001, C002, C004, C005, C007, C008, C009, C010, C011, C013, C014, C015, C016, C017, C018, C019, C024, C025, C026, C030, C031, C032, C033, C034, C035, C036, C037, C038, C040, C041, C044, C045, C047, C048, C050, C055, C058, C066, C068, C072, C079, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
258.4, 5.46771, 0.0007253831, 381.775, 993.2399, 8.732187, 1217.51, 946.9539, 20.37375, 483.7072, 256.5342, 190.6994, 41.97475, 525.9662, 526.0508, 1613.783, 0.8101588, 1084.334, 499.2665, 1045.577, 0.03900775, 122.7534, 1225.307, 254.8655, 967.8644, 210.43, 708.1702, 795.876, 1127.766, 550.136, 1138.199, 678.9944, 508.3794, 477.5216, 494.4963, 1.50275, 716.3063, 1301.71, 954.5566, 1901.227, 1040.672, 3.18738e-06, 1143.589, 2738.505
258.5, 5.232505, 0.0006924146, 364.2655, 944.2191, 8.246262, 1143.704, 1000.454, 19.38071, 461.0518, 243.06, 180.7568, 39.83342, 501.2451, 499.8251, 1561.859, 0.7733863, 1028.382, 474.6605, 1094.851, 0.03710106, 117.6116, 1255.062, 238.854, 928.1212, 200.6243, 678.912, 784.7382, 1078.364, 523.7225, 1091.554, 738.2911, 485.3079, 488.0659, 473.4984, 1.437777, 685.2328, 1247.863, 911.3864, 1891.954, 994.0541, 3.045537e-06, 1252.506, 2687.688
258.6, 5.007419, 0.0006609444, 451.1914, 897.6177, 7.787376, 1181.406, 1007.804, 18.43608, 439.4576, 230.2934, 171.3326, 37.80134, 477.686, 474.9069, 1676.85, 0.7382829, 975.3176, 451.2672, 1045.734, 0.03528756, 112.6851, 1250.365, 223.8483, 890.0098, 191.2755, 650.8625, 749.5699, 1111.702, 529.7217, 1161.928, 696.6304, 463.2835, 460.9431, 491.0698, 1.375613, 655.5074, 1272.377, 870.1685, 1847.69, 1102.668, 2.910006e-06, 1272.94, 2738.954
258.7, 4.792015, 0.0006309046, 521.5931, 919.6419, 7.354027, 1203.122, 963.4499, 17.53749, 418.8747, 218.1975, 162.3997, 35.87292, 455.2341, 451.231, 1605.147, 0.7047727, 969.4382, 429.0268, 998.8207, 0.0335627, 107.965, 1281.025, 209.7854, 965.0535, 182.3624, 623.972, 827.9255, 1063.003, 504.2884, 1137.889, 754.0756, 442.2586, 585.9922, 470.2174, 1.316137, 666.7856, 1232.153, 830.8146, 1807.277, 1053.273, 2.780507e-06, 1401.843, 2663.066
258.8, 4.585876, 0.0006022301, 497.6711, 924.434, 6.944793, 1130.189, 921.0477, 16.6827, 399.2559, 206.7368, 153.9326, 34.04288, 433.8376, 428.7354, 1536.511, 0.6727836, 1082.073, 407.8825, 954.0118, 0.03192216, 103.4427, 1227.27, 196.606, 986.1879, 173.8646, 598.1924, 790.8218, 1174.351, 480.0762, 1107.978, 711.5242, 422.1878, 553.4275, 513.9171, 1.259233, 637.8604, 1245.215, 793.2406, 1865.268, 1006.091, 2.65677e-06, 1338.247, 2528.069
258.9, 4.388606, 0.0005748588, 531.8755, 878.8091, 6.558331, 1061.677, 880.5117, 15.86957, 380.5559, 195.8782, 145.9069, 32.3062, 413.4467, 407.3612, 1574.512, 0.6422464, 1026.238, 387.7803, 911.2132, 0.03036181, 99.10973, 1175.771, 184.2545, 1000.362, 165.7627, 573.478, 867.7534, 1122.908, 457.0265, 1062.571, 671.3738, 403.028, 522.6724, 492.0945, 1.204788, 610.19, 1193.704, 757.3659, 1926.316, 1005.487, 2.53854e-06, 1277.537, 2399.916
259, 4.199821, 0.0005487315, 579.2792, 835.436, 6.193375, 997.3177, 841.7597, 15.09607, 362.7318, 185.5898, 138.2997, 30.65811, 394.0142, 387.0527, 1576.041, 0.6130953, 973.2841, 368.6688, 870.3346, 0.02887773, 94.95829, 1192.939, 172.679, 1080.182, 158.0385, 549.7846, 828.8648, 1073.718, 435.0835, 1034.601, 633.4891, 384.7376, 493.6265, 632.2349, 1.152698, 583.7199, 1144.325, 723.1136, 1848.002, 960.4453, 2.425571e-06, 1450.135, 2394.467
259.1, 4.019158, 0.0005237918, 552.7115, 794.2035, 5.848728, 936.8603, 804.7132, 14.36028, 345.7426, 175.8419, 131.0891, 29.0941, 375.495, 367.7566, 1508.649, 0.5852673, 958.2183, 350.4992, 831.2899, 0.02746619, 90.98074, 1189.087, 161.8307, 1174.95, 150.6741, 527.0701, 791.7191, 1184.135, 414.194, 992.2015, 597.7422, 367.2773, 466.1946, 605.3881, 1.10286, 558.3981, 1096.988, 690.4105, 1871.614, 1120.047, 2.317629e-06, 1384.348, 2525.105
259.2, 3.846266, 0.0004999855, 527.3623, 755.006, 5.52326, 975.1834, 832.7216, 13.66034, 329.549, 166.6059, 124.2544, 27.60988, 357.8463, 475.0559, 1847.5, 0.5587024, 908.7741, 333.2251, 793.9968, 0.02612364, 87.1698, 1276.405, 151.6639, 1180.492, 143.6529, 505.2941, 756.238, 1167.297, 394.3074, 951.5392, 564.0125, 350.6094, 440.2873, 579.6813, 1.055176, 534.1747, 1051.61, 659.1863, 1855.959, 1132.11, 2.214491e-06, 1321.547, 2397.101
259.3, 3.680811, 0.0004772613, 553.9876, 717.7432, 5.215904, 1149.836, 875.3386, 12.99453, 314.114, 157.8551, 117.7761, 26.20138, 447.8476, 451.3725, 1962.318, 0.5333433, 957.6318, 316.8023, 815.2151, 0.02484672, 83.51849, 1222.843, 142.1359, 1132.018, 136.9589, 484.4178, 722.347, 1157.433, 375.3757, 1045.498, 532.1861, 334.6979, 415.8196, 555.0662, 1.009555, 511.0022, 1008.108, 629.3743, 1780.505, 1281.724, 411.8898, 1368.977, 2403.014
