 , C000, C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C014, C016, C017, C018, C019, C020, C022, C024, C025, C032, C036, C038, C040, C042, C043, C044, C045, C048, C051, C055, C062, C063
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
315, 17.32839, 394.5887, 84.10651, 173.3442, 419.9453, 182.9994, 572.4665, 319.4735, 22.1028, 327.0707, 345.0608, 267.0289, 468.5933, 0.03868833, 62.758, 477.9631, 314.4327, 1.999914, 112.3326, 0.1931288, 942.8005, 124.5846, 166.7783, 575.7817, 804.6709, 297.8175, 61.33487, 415.8952, 175.4501, 48.50645, 169.9095, 292.0388, 415.2387
315.1, 16.50017, 375.2687, 79.94457, 165.6129, 468.2777, 305.9543, 546.967, 301.6003, 20.93874, 311.092, 327.236, 254.2231, 449.0079, 0.03686224, 60.077, 456.1064, 350.2296, 1.913691, 113.3062, 0.1843708, 903.4868, 167.1257, 159.8123, 544.5774, 770.5663, 284.0653, 58.5441, 398.7981, 168.2473, 46.28873, 162.5975, 279.5881, 428.5376
315.2, 15.71153, 356.8947, 75.98859, 191.0987, 445.2482, 291.1832, 522.6033, 284.727, 19.83599, 295.8939, 383.1558, 242.0314, 442.6156, 0.03512235, 57.51054, 435.2491, 340.1192, 1.831186, 108.2071, 0.1760099, 983.8322, 159.3947, 203.9899, 515.0642, 833.9524, 270.9482, 55.8803, 382.4039, 161.3401, 44.1724, 155.6001, 267.6682, 408.6725
315.3, 14.96059, 339.4203, 72.22836, 182.5756, 423.3513, 277.1253, 499.3249, 268.7977, 18.79132, 281.4383, 417.477, 262.324, 424.116, 0.03346458, 55.05371, 482.6895, 323.6288, 1.752237, 103.3374, 0.1680283, 942.8074, 152.0213, 195.4697, 487.1505, 798.6068, 258.4367, 53.33771, 366.6837, 154.7166, 42.15283, 148.9038, 256.2564, 504.5588
315.4, 14.24553, 322.8016, 68.65421, 174.4325, 402.5312, 380.5989, 477.0833, 370.7018, 17.80167, 339.4692, 395.9114, 249.7438, 467.5251, 0.03188505, 52.70184, 460.6166, 307.938, 1.676693, 98.68695, 0.1604085, 903.4934, 144.989, 187.3054, 460.7495, 790.1073, 246.503, 50.91081, 351.6097, 148.3649, 40.2256, 142.4957, 245.3312, 481.1697
315.5, 13.56466, 306.9965, 65.25692, 166.6527, 382.735, 362.2241, 455.8325, 349.9626, 16.86414, 322.8848, 375.4598, 237.7669, 500.4104, 0.03038008, 50.45044, 439.5531, 293.0079, 1.604405, 94.24575, 0.1531343, 937.3464, 138.282, 179.4821, 435.7793, 875.4766, 235.1204, 48.59434, 337.1553, 142.2741, 38.38648, 136.3634, 234.8718, 458.8649
315.6, 12.91632, 291.9653, 62.02774, 159.2198, 363.9124, 344.7364, 435.5283, 330.3837, 15.97598, 307.1105, 356.0648, 226.3644, 479.4952, 0.02894615, 48.29521, 419.4529, 278.8017, 1.535234, 90.00442, 0.14619, 898.2601, 131.8852, 192.2677, 412.1624, 838.371, 224.2634, 46.38326, 323.2952, 136.4332, 36.63144, 130.4949, 224.8583, 437.594
315.7, 12.29898, 277.67, 58.95835, 152.1185, 346.0155, 328.0929, 416.1284, 311.9001, 15.1346, 292.1069, 337.6716, 215.5087, 459.4542, 0.02757989, 46.23206, 400.2717, 265.2842, 1.469045, 85.95396, 0.1395606, 864.1693, 125.7844, 184.2372, 389.8254, 830.5352, 213.9077, 44.27279, 310.0049, 130.8322, 34.95665, 124.8791, 215.2717, 417.3092
315.8, 11.71114, 264.0747, 56.04086, 145.3339, 328.9988, 312.253, 397.5927, 294.4505, 14.33753, 277.8363, 320.2285, 205.1736, 440.2508, 0.02627812, 44.25705, 381.9677, 252.4222, 1.40571, 82.08578, 0.1332318, 854.2558, 119.9658, 176.542, 368.6989, 795.3344, 204.0302, 42.25835, 397.3355, 125.4611, 33.35842, 119.5049, 206.0938, 397.9646
315.9, 11.1514, 354.7513, 53.26773, 145.9389, 312.8189, 297.1778, 517.7194, 277.9772, 13.58243, 264.2629, 303.6865, 195.3341, 421.85, 0.0250378, 42.3664, 364.5008, 246.3378, 1.345105, 125.259, 0.12719, 918.3541, 114.4163, 169.1683, 348.7174, 761.6255, 194.6087, 40.33557, 381.0014, 120.3105, 31.83327, 114.362, 197.3073, 379.5168
316, 10.61841, 337.3819, 50.63182, 186.8532, 297.4347, 282.8304, 494.6585, 262.4256, 12.86711, 251.3526, 287.999, 185.9665, 404.2184, 0.02385602, 40.55653, 347.8326, 234.3943, 1.287113, 119.622, 0.1214222, 880.0598, 109.1235, 162.1025, 329.8188, 737.8477, 230.604, 38.50028, 365.3388, 115.3714, 30.37785, 109.4404, 188.8953, 361.9242
316.1, 10.11089, 320.8629, 48.12635, 178.5194, 282.8071, 269.1758, 472.6248, 247.7439, 12.18946, 239.073, 273.1219, 177.0482, 387.3236, 0.02273002, 38.82397, 331.9265, 223.0299, 1.231622, 114.2386, 0.115916, 843.3623, 104.0756, 155.3319, 311.9443, 706.5753, 226.1797, 36.74849, 358.7394, 110.635, 28.98897, 104.7306, 180.8419, 345.147
316.2, 9.627633, 305.1527, 45.74487, 170.5573, 268.8989, 256.1803, 451.5726, 233.8837, 11.54749, 227.3933, 259.0132, 168.5575, 371.135, 0.02165716, 37.16542, 316.7479, 242.1899, 1.178522, 109.0976, 0.1106594, 867.0624, 99.2612, 148.8441, 295.0386, 676.6284, 215.7355, 35.07641, 351.1333, 106.093, 27.66359, 100.2235, 173.132, 329.1476
316.3, 9.167473, 343.3993, 43.48122, 162.9503, 318.9083, 243.8122, 501.3654, 220.7989, 10.93934, 216.2842, 245.6334, 160.474, 355.623, 0.02063495, 35.57773, 302.2634, 237.9931, 1.127712, 104.1879, 0.1056412, 830.9069, 94.6695, 142.6272, 279.0491, 711.242, 205.7736, 33.48041, 336.6985, 101.7376, 26.3988, 95.91036, 195.4131, 313.8898
316.4, 47.28575, 343.6364, 41.3296, 155.6826, 303.2246, 232.0413, 479.033, 208.4461, 10.36321, 205.7179, 286.4238, 152.7782, 374.5492, 0.01966098, 34.05787, 288.4412, 333.024, 1.079093, 99.49909, 0.1008506, 813.2408, 90.29021, 136.67, 313.6345, 696.1577, 196.2717, 31.95703, 398.244, 97.56089, 25.19185, 91.78284, 187.0819, 316.2309
316.5, 53.27057, 326.8112, 39.28444, 148.739, 346.4442, 220.8386, 457.6953, 196.7844, 9.81743, 195.6677, 271.628, 145.4515, 368.5419, 0.01873298, 32.60293, 374.7555, 316.8777, 1.03257, 95.02134, 0.09627727, 839.9341, 86.11349, 130.9616, 309.4214, 719.4055, 205.4448, 30.50297, 434.3627, 93.55569, 24.04007, 87.83295, 179.1059, 390.996
316.6, 50.72446, 316.6644, 37.34048, 142.1051, 329.4064, 210.1768, 437.3081, 185.7751, 9.30039, 251.1148, 257.5965, 138.4761, 353.1383, 0.01784879, 31.21014, 357.6183, 301.5142, 0.9880525, 90.7451, 0.09191129, 804.9099, 82.12999, 125.4917, 374.5973, 688.9148, 272.497, 29.11506, 416.5065, 89.71491, 22.94096, 84.05305, 171.4699, 372.8712
316.7, 48.30005, 301.1598, 35.49273, 135.7671, 424.3279, 291.0896, 550.6581, 175.3818, 8.810581, 238.8469, 244.2899, 131.8352, 338.3785, 0.01700632, 29.87686, 341.2648, 286.8955, 0.9454544, 86.66131, 0.0877433, 772.2831, 78.33076, 120.2502, 354.2961, 659.7164, 259.914, 27.79031, 399.3843, 86.03181, 21.89209, 80.43581, 164.1595, 355.5866
316.8, 45.99151, 286.4143, 33.7364, 129.7118, 419.4686, 277.0361, 526.1301, 165.5699, 8.346568, 227.1782, 237.643, 125.5128, 324.2356, 0.01620363, 28.60053, 325.6591, 323.6758, 0.9046928, 82.76129, 0.08376433, 740.0798, 92.56752, 194.6391, 335.0952, 631.7554, 247.9121, 26.52583, 382.966, 82.49992, 20.89118, 76.97424, 157.1607, 339.1033
316.9, 43.79331, 272.3908, 32.06699, 123.9265, 461.1043, 396.2847, 502.6945, 156.3069, 7.906992, 216.0797, 340.6673, 119.4936, 324.7061, 0.01543882, 27.37873, 310.7671, 307.9827, 0.8656886, 127.3127, 0.07996579, 709.2194, 88.28546, 186.5095, 316.9348, 604.9796, 236.4644, 25.31889, 367.2227, 79.11302, 19.93603, 73.66164, 177.8757, 323.384
317, 41.70018, 259.054, 30.48018, 118.3993, 438.4276, 377.1526, 480.3029, 147.5622, 7.490567, 205.5233, 323.0695, 113.7631, 311.1347, 0.01471011, 26.20912, 296.5561, 293.0505, 0.828366, 121.5833, 0.07633951, 749.7559, 88.14423, 178.7194, 332.3085, 579.3386, 225.5453, 24.16686, 406.6728, 75.86517, 19.02456, 70.49161, 228.9578, 308.3934
317.1, 39.70708, 246.3701, 28.9719, 113.1186, 437.2457, 358.9441, 458.9087, 139.3067, 7.096073, 195.4826, 306.3807, 108.3074, 298.1305, 0.01401579, 25.08948, 282.9949, 278.8422, 0.7926524, 116.1117, 0.07287768, 843.4734, 84.0668, 171.2547, 314.2991, 555.1323, 215.1304, 23.06726, 394.6795, 72.75065, 18.15475, 81.05155, 248.3016, 294.0977
317.2, 37.80925, 234.3073, 27.53825, 108.0734, 415.7423, 341.6147, 438.4674, 131.5131, 6.722355, 185.9325, 290.554, 103.1133, 285.6698, 0.01335425, 24.01767, 270.0538, 265.3228, 0.7584786, 110.8863, 0.06957282, 859.5319, 80.17797, 164.1018, 297.2658, 671.5869, 205.1964, 22.01768, 378.4547, 69.76399, 17.32471, 77.56348, 237.7155, 280.4647
317.3, 36.00213, 222.8351, 26.17554, 103.2532, 395.2965, 375.0668, 418.9367, 124.1554, 6.368319, 176.849, 275.5449, 98.16835, 273.7299, 0.01272393, 22.99164, 257.7046, 273.2483, 0.7257782, 105.8961, 0.06641784, 823.6904, 76.46904, 157.2477, 281.1555, 643.1229, 195.7212, 21.01586, 362.8968, 66.89995, 16.53262, 74.22552, 227.5808, 267.4636
317.4, 34.28138, 211.9245, 24.88027, 98.64806, 375.8561, 356.959, 515.5135, 117.2095, 6.032928, 168.2092, 261.3111, 93.46051, 262.2891, 0.01212336, 22.00945, 245.92, 260.0001, 0.6944875, 101.1305, 0.06340592, 789.3434, 72.93168, 150.6798, 265.9184, 621.9362, 186.6835, 20.05963, 347.9784, 64.15348, 15.77675, 71.03122, 217.8782, 255.0652
317.5, 32.64288, 201.5482, 23.6491, 183.4514, 357.3718, 453.4211, 492.5509, 110.6521, 5.715201, 159.9915, 247.8125, 88.97845, 269.3418, 0.01155114, 21.06921, 234.6744, 265.8123, 0.6645459, 96.57932, 0.0605306, 847.7003, 69.55795, 144.3863, 274.0919, 595.5765, 178.0631, 19.1469, 333.6734, 61.51976, 15.05543, 67.97438, 208.5892, 243.2415
317.6, 31.08269, 207.1782, 22.47884, 237.9153, 339.7965, 431.5305, 470.6111, 104.4615, 5.414207, 188.5975, 235.0113, 122.048, 258.0844, 0.01100593, 20.16914, 223.943, 252.9247, 0.6358952, 92.23296, 0.05778566, 812.3521, 66.34029, 148.0501, 259.2375, 621.3281, 169.8407, 18.27571, 319.9564, 58.99417, 14.3671, 65.0491, 208.802, 250.7822
317.7, 29.59707, 208.1469, 21.3665, 227.3041, 355.5141, 462.6696, 449.6486, 98.61736, 5.129066, 179.3838, 253.8015, 116.195, 255.0162, 0.01048645, 19.30753, 213.7023, 240.6619, 0.6084797, 88.08221, 0.0551652, 778.478, 63.27147, 141.8664, 245.1882, 594.9941, 161.9981, 17.44415, 306.8033, 56.57226, 13.71023, 62.2497, 199.9, 239.1571
317.8, 28.18245, 197.9556, 20.3092, 217.1661, 383.551, 440.3326, 429.6198, 93.10012, 4.858941, 170.6201, 240.6909, 149.5572, 244.3575, 0.009991487, 18.48272, 203.9299, 228.9936, 0.5822461, 84.11825, 0.05266357, 856.2995, 81.13328, 162.3266, 316.8357, 641.8604, 154.5176, 16.65043, 294.1909, 54.24978, 13.0834, 71.46328, 279.0317, 228.0708
317.9, 26.83545, 212.0753, 60.35091, 207.4803, 364.6883, 419.0739, 410.4832, 87.89156, 4.603043, 162.2847, 332.0876, 142.3849, 234.1443, 0.00951989, 17.69314, 283.9043, 217.8911, 0.5571436, 83.02399, 0.05027539, 850.9171, 77.38016, 155.5466, 299.6649, 634.326, 147.3825, 15.89282, 282.097, 52.02265, 12.48522, 68.38785, 267.1355, 311.0576
318, 25.55283, 201.6916, 57.36451, 198.2265, 390.4925, 515.2707, 392.1989, 82.97439, 4.526287, 231.4994, 314.933, 135.5566, 258.5575, 0.009070552, 16.9373, 312.6132, 207.3268, 0.5331234, 79.28767, 0.0479955, 815.4348, 111.3144, 149.0498, 283.4246, 607.4412, 140.5769, 15.16969, 270.5002, 49.88694, 11.91439, 65.44476, 255.7465, 296.6384
318.1, 24.33151, 411.3156, 97.23981, 232.9077, 371.2884, 490.3941, 374.7292, 78.33231, 4.287908, 237.3289, 298.6645, 129.0557, 247.7508, 0.008642423, 16.21374, 298.3177, 197.2747, 0.5101387, 75.71949, 0.04581901, 781.4321, 106.1651, 142.8244, 268.0645, 581.6959, 134.0856, 14.47946, 259.3802, 73.16036, 11.36967, 103.0628, 244.843, 282.8876
