 , C001, C002, C003, C004, C005, C009, C011, C012, C013, C014, C015, C018, C021, C022, C025, C028, C029, C030, C031, C032, C033, C034, C036, C037, C038, C041, C042, C043, C045, C047, C048, C049, C050, C051, C052, C053, C055, C056, C057, C058, C059, C060, C067, C071, C072, C074, C077, C078, C084, C085, C087, C088, C089, C090, C094, C102, C107, C129, C134, C136
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
313.1, 781.4434, 380.4642, 360.2654, 2.334009, 605.416, 1097.011, 584.4012, 291.7126, 634.6318, 1291.455, 475.9919, 212.8142, 366.2516, 351.166, 629.1397, 637.8302, 273.5111, 10.17726, 835.0111, 2555.492, 762.6753, 512.9446, 310.7607, 77.63756, 1548.46, 884.5451, 938.5638, 1029.382, 324.169, 1015.579, 658.3849, 2.518149, 668.145, 182.9033, 11.57921, 639.7062, 338.5116, 1391.385, 1167.308, 75.54829, 1497.233, 1080.439, 495.2822, 294.0513, 764.8196, 520.1838, 0.007655415, 469.2303, 551.2801, 2.325747, 2265.197, 973.5175, 46.82254, 586.555, 33.86848, 1563.777, 1745.599, 975.1102, 478.4532, 807.2567
313.2, 746.1105, 360.4825, 343.8649, 2.227186, 577.9836, 1063.367, 556.4078, 337.4897, 615.8123, 1238.058, 450.9299, 201.7623, 350.178, 361.289, 601.1807, 608.1099, 261.3453, 9.738476, 895.3153, 2460.888, 779.8214, 542.4778, 296.1654, 74.27656, 1611.241, 883.5399, 897.0366, 1075.148, 309.9439, 1027.196, 768.8478, 2.408726, 638.8715, 175.3921, 11.10977, 598.5571, 323.7687, 1370.319, 1133.841, 71.34935, 1593.402, 1143.611, 470.5734, 281.1903, 728.1963, 497.5041, 0.007316743, 445.8133, 525.8303, 2.2119, 2167.146, 925.9625, 44.57401, 558.7241, 32.44165, 1494.218, 1669.074, 920.9759, 455.4388, 842.0359
313.3, 731.3206, 341.5502, 328.211, 2.125252, 551.7943, 1169.307, 690.7552, 322.1955, 586.829, 1239.903, 540.2868, 191.2844, 334.8099, 345.3804, 574.4642, 579.7745, 249.7207, 9.318606, 857.6765, 2379.195, 861.7237, 519.3102, 282.2555, 71.06106, 1611.211, 841.1778, 928.0203, 1041.25, 296.343, 1033.216, 737.6974, 2.304058, 610.8806, 168.1894, 10.65937, 560.0549, 309.6679, 1308.992, 1157.429, 67.38378, 1524.289, 1093.055, 578.7027, 293.0135, 693.3267, 475.8131, 0.006993055, 472.9347, 675.7277, 2.103625, 2073.34, 880.7304, 42.43346, 532.2138, 31.07494, 1508.173, 1595.904, 905.2033, 433.5314, 799.1049
313.4, 793.9898, 458.5478, 313.2697, 2.027984, 552.373, 1116.25, 1226.733, 307.5945, 597.6115, 1188.638, 554.8495, 181.3506, 320.1162, 330.1723, 548.935, 586.7899, 238.6132, 8.91684, 821.6199, 2377.92, 910.0906, 597.3994, 268.9989, 67.98476, 1542.554, 918.0452, 919.8312, 1061.831, 283.339, 1039.641, 707.809, 2.203938, 584.116, 161.2824, 10.22722, 524.0294, 296.1812, 1363.818, 1102.534, 63.63862, 1545.515, 1127.948, 549.8322, 411.307, 660.1268, 455.0679, 0.006683686, 449.3328, 708.5143, 2.000651, 2034.527, 837.7079, 240.2366, 613.1843, 29.7658, 1490.119, 1525.941, 886.3401, 412.6779, 829.3356
313.5, 758.0895, 434.4651, 408.3355, 1.935167, 612.2982, 1065.599, 1389.505, 304.7733, 569.4849, 1242.593, 531.1929, 171.9327, 306.0674, 315.6339, 524.5403, 748.3105, 227.9997, 8.532394, 787.0792, 2359.768, 867.0714, 806.9505, 256.365, 65.04163, 1476.823, 913.2983, 879.1329, 1014.931, 394.7576, 1152.543, 679.1317, 2.108168, 558.524, 154.6591, 9.812593, 490.3212, 283.2819, 1302.781, 1224.561, 191.9659, 1478.479, 1078.084, 522.402, 393.3175, 631.4612, 435.2271, 0.006388003, 508.2444, 675.8058, 1.902717, 2037.746, 842.5935, 228.6999, 704.019, 28.51181, 1514.779, 1459.045, 868.5403, 392.8274, 823.166
313.6, 723.8125, 655.0166, 389.7466, 1.846598, 584.554, 1017.247, 1573.362, 398.9911, 542.682, 1221.821, 505.704, 163.0038, 292.6352, 301.7356, 501.2297, 713.4423, 217.8583, 8.164525, 753.9906, 2350.73, 935.6025, 917.2021, 244.3244, 62.22592, 1488.619, 1013.432, 840.2352, 1006.629, 377.4349, 1133.016, 651.6161, 2.01656, 534.0533, 148.3078, 9.414776, 458.7813, 322.9178, 1284.484, 1166.482, 181.2965, 1549.687, 1030.425, 552.5584, 376.1149, 720.0463, 416.2514, 0.006105401, 482.8803, 644.6073, 1.809577, 1975.03, 839.718, 240.8041, 670.6147, 27.31065, 1447.399, 1395.082, 853.5322, 373.9317, 813.448
313.7, 831.1289, 620.6156, 504.5764, 1.762083, 639.1915, 1110.872, 1663.475, 380.9098, 637.1174, 1233.299, 528.444, 154.5387, 279.7924, 324.8372, 478.955, 754.2968, 208.168, 7.812516, 797.9212, 2267.574, 942.4889, 944.1592, 232.8493, 59.5321, 1515.014, 964.8422, 910.3325, 962.1675, 360.8724, 1081.408, 740.5676, 1.928933, 510.6548, 142.2173, 9.033087, 590.6027, 367.7008, 1315.656, 1236.657, 245.8197, 1499.955, 1048.288, 524.9922, 359.6646, 788.0068, 398.103, 0.005835301, 481.3319, 614.8491, 1.720997, 2008.521, 891.0238, 244.2612, 816.4568, 26.1601, 1383.016, 1333.923, 806.1474, 355.945, 974.1592
313.8, 793.5494, 588.0213, 481.6064, 1.681436, 639.9531, 1060.466, 1719.917, 363.6479, 607.1313, 1322.706, 500.6203, 280.5093, 267.5132, 366.1772, 457.6703, 719.1496, 198.9087, 7.475683, 764.3768, 2307.791, 897.9382, 918.4876, 221.9132, 56.95491, 1517.648, 946.5831, 928.4796, 1018.188, 345.0367, 1266.439, 710.5629, 1.845113, 488.2814, 136.377, 8.666872, 552.6122, 394.5186, 1347.357, 1368.685, 292.5583, 1493.196, 1001.945, 498.8012, 343.9338, 849.0388, 380.7459, 0.005577151, 531.7875, 586.4646, 1.636752, 1921.582, 971.424, 368.6177, 785.8395, 25.05801, 1504.913, 1551.937, 840.5813, 338.8234, 1040.294
313.9, 757.669, 557.1388, 459.6819, 1.60448, 610.9558, 1049.982, 1695.285, 478.2589, 1025.167, 1334.393, 474.2615, 474.1356, 255.773, 350.0533, 437.3314, 928.6959, 190.0613, 7.153373, 851.7289, 2338.098, 1063.193, 1049.023, 287.0647, 54.48928, 1565.528, 995.0125, 1012.378, 1118.683, 329.8959, 1277.996, 770.6326, 1.764936, 466.8883, 130.7765, 8.315504, 517.0654, 377.3365, 1328.026, 1533.384, 276.298, 1539.819, 957.652, 486.0886, 328.8911, 966.9963, 364.1456, 0.005330421, 744.7443, 559.3905, 1.556632, 1987.085, 1126.641, 386.3383, 906.5399, 24.00236, 1691.867, 1693.559, 793.9155, 709.4138, 1127.849
314, 840.2464, 527.8782, 438.7556, 1.531046, 583.2725, 1088.079, 1647.157, 615.1738, 976.9171, 1350.429, 449.2906, 468.3731, 244.548, 436.4397, 417.8964, 885.4225, 181.6074, 6.844959, 815.9225, 2384.311, 1012.937, 1213.072, 366.7438, 52.13039, 1619.924, 947.3058, 967.5848, 1069.272, 365.5454, 1287.768, 739.4099, 1.688243, 446.4325, 125.4059, 7.978381, 585.2291, 448.4536, 1376.528, 1753.223, 260.9415, 1570.972, 915.3167, 461.8385, 314.5063, 1023.03, 348.269, 0.005094605, 769.8896, 533.5663, 1.480433, 2023.917, 1173.335, 616.155, 863.5264, 22.99118, 1640.234, 1619.315, 860.1768, 675.2898, 1167.536
