 , C000, C001, C003, C005, C006, C007, C009, C015, C016, C017, C019, C023, C024, C026, C027, C028, C030, C032, C034, C036, C039, C042, C043, C045, C048, C051, C055, C058, C059, C060, C063, C066, C067, C068, C069, C075, C079, C088, C089, C101, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
73.59999999999999, 492.7256, 1258.064, 895.1633, 1086.164, 57.00118, 1009.678, 484.024, 2221.013, 1059.066, 154.8877, 2274.811, 675.5402, 368.3466, 173.1193, 1260.201, 103.6662, 500.1017, 253.8769, 600.3217, 401.3946, 913.5677, 0.001722606, 1482.676, 556.2001, 707.0516, 0.0483986, 644.5181, 675.5428, 1142.872, 360.6268, 674.537, 523.5775, 2392.544, 792.9075, 750.9539, 920.843, 687.231, 733.0017, 579.9551, 830.924, 1371.072
73.7, 470.4715, 1203.544, 970.0596, 1137.526, 54.60187, 983.3152, 482.6483, 2170.774, 1058.712, 148.1145, 2182.372, 671.5742, 353.3117, 166.0957, 1289.495, 99.47944, 479.3705, 243.1188, 573.8802, 385.0266, 876.1992, 0.001647903, 1420.425, 533.2792, 749.936, 0.04601946, 615.5004, 650.6364, 1159.701, 345.3997, 646.5686, 583.3266, 2520.362, 759.0735, 749.2189, 974.8273, 763.8728, 701.8142, 590.9411, 795.4352, 1312.033
73.8, 495.0838, 1151.387, 948.5355, 1088.55, 52.30354, 937.9279, 460.4439, 2176.739, 1193.04, 141.6376, 2289.447, 703.6041, 338.8904, 159.3571, 1261.129, 101.72, 459.4986, 232.8165, 578.5925, 369.326, 840.3593, 0.00157644, 1399.558, 511.3029, 762.8646, 0.04375727, 587.7891, 698.3685, 1110.867, 330.8155, 619.7598, 574.3065, 2488.392, 726.6833, 716.7005, 933.229, 725.9952, 735.5915, 566.4884, 761.4621, 1255.537
73.90000000000001, 472.7232, 1101.49, 904.8868, 1061.373, 50.10196, 939.1365, 461.4883, 2240.073, 1179.802, 135.4438, 2200.309, 752.8063, 325.0578, 222.5758, 1350.453, 97.61182, 440.4505, 222.9508, 553.1081, 354.2657, 875.5802, 202.0028, 1475.703, 490.2322, 810.1829, 0.04160629, 561.3254, 668.3876, 1168.697, 316.8471, 594.0626, 588.491, 2423.243, 695.6752, 715.2306, 936.7461, 689.9958, 704.2938, 543.0475, 728.94, 1295.058
74, 468.5843, 1053.755, 901.3743, 1167.216, 47.99305, 986.4315, 481.1436, 2146.392, 1162.987, 129.5209, 2369.783, 764.2851, 328.5479, 222.8778, 1295.053, 93.66957, 422.192, 213.5032, 528.7462, 390.3446, 888.5401, 193.2427, 1471.606, 470.0299, 772.9193, 0.03956104, 536.0532, 737.0692, 1150.577, 303.4685, 569.4309, 562.4849, 2490.735, 665.9902, 699.2933, 896.7728, 655.7816, 805.0779, 626.7987, 827.6802, 1403.587
74.09999999999999, 447.4206, 1008.089, 859.8959, 1446.215, 45.97291, 940.9004, 459.0084, 2139.533, 1243.648, 123.857, 2441.106, 733.2286, 315.1375, 299.6029, 1294.275, 105.1413, 404.6905, 204.4559, 532.9605, 374.4272, 923.6833, 184.8625, 1409.82, 450.6601, 737.3696, 0.03761633, 511.9188, 745.7134, 1163.953, 290.6549, 545.8205, 537.6281, 2600.605, 637.572, 815.7921, 858.5053, 623.2638, 770.8237, 600.8622, 867.6713, 1343.148
74.2, 478.0837, 964.4017, 874.0905, 1514.179, 44.0378, 940.1173, 437.8915, 2170.873, 1191.926, 118.4408, 2341.909, 844.7403, 302.2744, 318.977, 1241.18, 100.895, 387.9144, 195.792, 525.6236, 373.6237, 1030.217, 176.8457, 1534.309, 432.0885, 703.455, 0.03576722, 488.871, 776.4515, 1114.94, 278.3823, 523.189, 574.8817, 2585.552, 610.3663, 780.3842, 834.9792, 675.3907, 895.0008, 586.4609, 830.613, 1285.312
74.3, 456.4909, 922.6079, 897.0139, 1449.837, 42.18415, 1011.533, 455.8525, 2174.525, 1142.355, 113.2615, 2287.286, 810.4146, 289.9364, 306.0359, 1190.264, 96.82016, 371.8338, 187.4952, 552.2878, 358.3881, 988.0774, 169.1765, 1543.366, 414.2822, 671.1003, 0.03400901, 466.8609, 757.8055, 1067.992, 266.6278, 501.4959, 549.4769, 2583.515, 666.9766, 817.7831, 908.6368, 641.9006, 880.6921, 562.1936, 901.4899, 1229.966
74.40000000000001, 435.8734, 882.6253, 865.8801, 1494.78, 40.40852, 1068.381, 434.8809, 2233.671, 1187.146, 178.0854, 2258.892, 826.203, 278.102, 293.6199, 1141.436, 92.90989, 493.1337, 179.55, 527.962, 343.7738, 947.6612, 304.2902, 1501.311, 397.2097, 640.2336, 0.03233722, 445.8417, 725.273, 1141.564, 255.3697, 480.7023, 540.009, 2631.287, 750.0786, 918.0388, 869.8631, 676.8071, 919.9837, 605.7397, 862.9872, 1390.572
74.5, 416.187, 844.3754, 882.1769, 1484.739, 38.70763, 1019.067, 414.874, 2140.258, 1160.413, 170.2979, 2167.099, 799.067, 266.7506, 281.7076, 1175.693, 89.15754, 472.6913, 210.6591, 504.7076, 329.7555, 1005.167, 291.0942, 1442.918, 380.8408, 610.7867, 0.03074761, 425.7688, 739.6465, 1093.494, 244.587, 460.7709, 528.3412, 2565.575, 731.6106, 878.1932, 832.7439, 643.2468, 1014.851, 599.3994, 826.129, 1426.664
74.59999999999999, 397.3899, 807.7831, 952.8359, 1420.814, 37.07833, 972.0296, 395.7876, 2224.797, 1183.367, 421.1841, 2158.483, 766.9405, 255.8625, 270.2785, 1214.903, 85.55674, 453.0963, 201.7323, 512.2484, 316.3087, 964.0521, 278.4706, 1485.71, 365.1464, 582.6942, 0.02923615, 406.5997, 722.6986, 1047.448, 234.2595, 441.6658, 601.7516, 2468.357, 700.3922, 840.0769, 797.2087, 611.3506, 971.6712, 574.5967, 790.845, 1365.231
