 , C001, C002, C003, C004, C009, C010, C014, C016, C017, C021, C023, C025, C028, C032, C033, C034, C035, C036, C040, C041, C044, C045, C047, C048, C050, C056, C061, C066, C067, C068, C071, C075, C078, C082, C084, C085, C086, C087, C089, C091, C096
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
214.2, 534.8684, 558.5175, 203.0289, 2576.633, 118.3192, 976.8437, 2990.897, 1563.635, 3692.406, 5183.985, 1480.673, 2791.912, 65.74364, 5337.338, 4357.759, 5580.3, 10137.63, 2299.18, 2591.045, 6655.66, 1154.142, 1935.736, 1879.116, 1411.678, 8417.717, 1970.624, 2796.075, 320.971, 951.7684, 1972.08, 484.0042, 214.8857, 969.9016, 1709.593, 1279.971, 2711.283, 2278.652, 930.9551, 1988.886, 0.7649262, 1472.211
214.3, 510.9288, 532.8669, 193.5727, 2470.949, 113.3515, 933.9935, 2899.07, 1608.968, 3638.156, 4979.095, 1418.228, 2673.061, 62.75689, 5282.682, 4320.193, 5388.62, 10787.42, 2203.773, 2537.397, 6386.067, 1103.745, 1851.116, 1800.328, 1351.832, 8386.672, 1887.099, 3069.836, 305.5997, 976.2739, 2064.7, 481.957, 205.7306, 928.2278, 1743.627, 1464.822, 2781.873, 2230.516, 912.8717, 2141.07, 0.733207, 1504.648
214.4, 488.0607, 627.0159, 184.5569, 2410.65, 108.5924, 893.0229, 2791.079, 1721.725, 3482.706, 5059.2, 1520.409, 2636.088, 59.90583, 5246.524, 4561.231, 5179.786, 10622.29, 2375.543, 2437.15, 6675.206, 1055.548, 1799.353, 1827.626, 1498.212, 8533.563, 1855.19, 2944.681, 290.9645, 935.2748, 2066.785, 459.502, 196.9656, 888.3447, 1670.603, 1404.541, 2908.705, 2288.964, 931.9833, 2053.715, 0.7028031, 1439.885
214.5, 466.2161, 598.2194, 175.9611, 2871.288, 104.033, 853.8496, 3435.51, 1841.324, 3336.383, 5048.549, 1589.92, 2523.871, 57.18429, 5177.595, 4583.553, 5364.88, 10191.74, 2276.966, 2679.701, 6841.245, 1009.457, 2017.444, 2053.115, 1434.697, 8420.092, 1776.557, 2926.653, 277.0302, 1017.34, 1975.583, 593.2306, 188.5739, 1072.001, 1647.814, 1346.74, 2790.041, 2385.714, 893.1595, 1981.595, 0.6736599, 1445.666
214.6, 445.3492, 570.7455, 167.7656, 2759.398, 99.6651, 816.3947, 3344.672, 1761.946, 3637.656, 4895.302, 1693.374, 2440.776, 54.58639, 5477.663, 4395.92, 5527.475, 9778.646, 2366.219, 2557.977, 6843.153, 965.3776, 2198.418, 2000.516, 1373.874, 8573.923, 1751.393, 2973.155, 263.7632, 1023.95, 1947.919, 727.6148, 180.5398, 1025.94, 1578.802, 1365.354, 2751.693, 2286.568, 855.953, 1960.135, 0.6457253, 1402.515
214.7, 425.4163, 544.5333, 159.9518, 2646.218, 95.48058, 780.5827, 3286.846, 1792.307, 3635.058, 5221.898, 1638.115, 2566.89, 52.10651, 5389.058, 4392.777, 5625.247, 9781.896, 2268.03, 2580.067, 6796.615, 1052.38, 2102.316, 1933.44, 1315.63, 8740.113, 1870.595, 2851.942, 251.1315, 980.9487, 2015.563, 981.0992, 172.848, 1104.245, 1676.554, 1369.984, 2806.263, 2300.38, 820.2964, 2145.355, 0.6189489, 1342.148
214.8, 406.3755, 519.525, 152.502, 2537.679, 91.47176, 763.8515, 3248.876, 1836.82, 3475.603, 5266.264, 1629.486, 2657.332, 49.7393, 5216.374, 4456.018, 5742.527, 9910.509, 2173.915, 2462.868, 6893.795, 1124.469, 2097.533, 2113.764, 1387.364, 8596.771, 1824.027, 2830.265, 239.1048, 939.7534, 1926.621, 1357.209, 165.4839, 1183.922, 1606.339, 1313.605, 2711.749, 2411.872, 786.1252, 2409.368, 0.593283, 1392.473
214.9, 388.187, 495.6653, 145.3991, 2838.144, 87.63124, 863.9538, 3202.532, 1837.441, 3606.379, 5206.698, 1560.765, 2635.366, 47.47963, 5120.179, 4457.477, 5670.895, 9735.708, 2083.705, 2505.375, 7029.349, 1252.619, 2163.031, 2025.137, 1368.432, 8658.197, 1762.748, 2904.458, 227.654, 975.6204, 1895.248, 1623.936, 158.4336, 1133.052, 1701.548, 1420.48, 2601.12, 2539.2, 753.3775, 2311.066, 0.5686813, 1332.538
215, 370.8125, 472.9012, 138.627, 2745.994, 83.95197, 826.0556, 3480.25, 1852.182, 3762.06, 5119.38, 1692.748, 2523.179, 45.32261, 5117.506, 4635.126, 5650.598, 9415.546, 1997.239, 2588.896, 6934.11, 1197.922, 2219.797, 2037.954, 1310.419, 8730.223, 1847.201, 2890.161, 216.7516, 934.6487, 2080.486, 1594.979, 151.6836, 1118.011, 1653.304, 1434.452, 2583.644, 2433.675, 761.8098, 2216.775, 0.5450998, 1275.183
215.1, 354.2157, 451.1827, 314.3637, 2929.768, 80.42719, 789.8199, 3336.621, 1772.336, 3597.034, 4907.591, 1632, 2415.768, 43.26359, 5240.06, 4484.067, 5832.638, 9632.942, 2275.156, 2471.297, 7058.824, 1145.613, 2122.76, 2103.855, 1254.865, 8616.277, 1842.284, 2772.331, 206.3714, 989.1068, 1988.679, 1520.666, 145.2212, 1071.612, 1703.437, 1375.42, 2797.234, 2383.148, 730.075, 2220.494, 0.5224962, 1251.125
215.2, 354.4005, 430.4616, 532.1008, 3044.135, 77.05038, 768.6495, 3394.779, 1815.244, 3625.417, 5034.459, 1563.172, 2312.93, 41.29811, 5326.289, 4391.845, 5594.293, 9456.447, 2181.566, 2378.3, 6945.262, 1155.057, 2049.654, 2015.644, 1201.666, 8787.27, 1950.52, 3010.702, 196.4882, 947.5687, 1956.47, 1565.896, 139.0341, 1025.568, 1632.096, 1392.944, 2683.117, 2402.994, 802.1849, 2331.822, 0.5008298, 1197.274
215.3, 338.5382, 410.6922, 721.5247, 3157.559, 73.81536, 734.9319, 3635.213, 1736.99, 3466.384, 5102.136, 1633.854, 2214.469, 39.42193, 5107.975, 4509.234, 5489.957, 9318.64, 2091.039, 2334.754, 6805.302, 1104.62, 2186.762, 2176.223, 1150.723, 8754.05, 1867.848, 2903.138, 187.0784, 907.7751, 2020.097, 1492.939, 133.1106, 1002.73, 1563.743, 1335.62, 2573.656, 2414.727, 768.7681, 2370.755, 0.4800619, 1280.012
215.4, 570.7682, 391.8307, 687.9192, 3028.047, 70.71616, 831.6435, 3485.188, 1700.35, 3314.328, 5087.635, 1666.132, 2295.383, 37.63098, 5042.401, 4466.907, 5611.021, 9220.552, 2004.268, 2228.699, 6707.991, 1072.464, 2091.169, 2112.965, 1388.259, 8702.162, 1912.688, 2784.78, 178.1192, 887.4316, 1985.274, 1534.776, 127.4395, 1011.618, 1521.182, 1324.893, 2557.553, 2383.03, 736.7434, 2342.184, 0.4601552, 1311.075
215.5, 559.6362, 373.8354, 655.8789, 2903.847, 67.74709, 795.1627, 3583.154, 1627.049, 3214.582, 4877.16, 1679.648, 2210.209, 35.92139, 4883.711, 4422.544, 5381.732, 9065.366, 2015.283, 2127.461, 7027.175, 1148.557, 1999.755, 2086.584, 1329.406, 8853.638, 1831.619, 2735.984, 169.589, 900.1721, 1938.198, 1476.321, 122.01, 968.1515, 1587.237, 1304.541, 2749.118, 2343.32, 778.5792, 2246.623, 0.4410739, 1254.644
215.6, 554.4116, 356.6666, 625.3309, 3104.372, 64.90267, 760.282, 3469.861, 1644.672, 3073.572, 5029.891, 1724.358, 2116.121, 34.28947, 4782.321, 4318.27, 5412.244, 9115.34, 2295.906, 2030.822, 6742.533, 1098.404, 1912.336, 2042.847, 1273.047, 8755.166, 1753.986, 2834.851, 161.4674, 894.4584, 2057.369, 1425.75, 116.8118, 926.553, 1520.763, 1419.122, 2636.964, 2417.513, 746.1458, 2272.526, 0.4227839, 1200.642
215.7, 529.5972, 340.2863, 596.2057, 3167.365, 62.17768, 726.9315, 3609.51, 1573.771, 3108.97, 4821.805, 1670.858, 2139.564, 32.73169, 4705.293, 4267.916, 5386.357, 8773.491, 2200.635, 1938.572, 6651.734, 1055.713, 2013.571, 1957.194, 1219.077, 8656.834, 1679.643, 2719.276, 153.7347, 856.8952, 2041.472, 1359.323, 111.8351, 886.7418, 1457.072, 1457.798, 2543.686, 2479.913, 715.0635, 2314.198, 0.4052523, 1299.518
215.8, 505.8935, 324.6582, 568.4371, 3137.874, 59.5671, 695.0439, 3659.85, 1562.33, 2972.592, 4629.21, 1600.392, 2048.484, 31.24468, 4688.538, 4276.739, 5552.958, 8749.058, 2109.316, 1850.513, 6528.778, 1102.555, 1925.548, 2021.271, 1167.396, 8551.502, 1608.452, 2737.192, 146.3723, 820.9095, 1951.387, 1457.445, 107.0705, 848.6412, 1396.049, 1397.806, 2439.913, 2376.851, 685.2759, 2305.719, 0.3884477, 1243.584
215.9, 483.2508, 309.7479, 541.9619, 3075.363, 57.06613, 778.2554, 3591.464, 1602.433, 2907.062, 4555.453, 1532.898, 2210.653, 29.82522, 4541.528, 4101.468, 5326.041, 8755.983, 2026.284, 1895.321, 6650.259, 1143.088, 1841.374, 1936.522, 1117.905, 8592.277, 1540.277, 2875.147, 139.3625, 828.9767, 1865.277, 1389.541, 102.5088, 812.1777, 1337.582, 1340.282, 2374.575, 2278.073, 656.7293, 2211.646, 0.3723399, 1190.058
216, 546.636, 295.5224, 516.7197, 3119.745, 54.67016, 744.1165, 3626.268, 1533.353, 2852.952, 4455.283, 1468.25, 2159.119, 28.47025, 4778.422, 3985.933, 5155.775, 8606.817, 1942.201, 1855.953, 6566.335, 1093.173, 1852.557, 1855.327, 1104.055, 8593.791, 1474.993, 2806.284, 132.6884, 794.1635, 1824.889, 1404.485, 98.14144, 777.2809, 1383.123, 1285.126, 2389.34, 2270.223, 657.7285, 2121.411, 0.3569001, 1178.288
216.1, 522.1697, 281.9502, 492.6531, 3078.231, 52.37479, 711.4751, 3510.865, 1467.251, 2727.804, 4608.557, 1406.329, 2081.532, 27.17684, 4663.428, 4136.014, 5157.576, 8539.468, 1934.379, 1771.647, 6337.989, 1045.439, 1790.065, 1911.862, 1057.25, 8430.213, 1452.075, 2691.874, 126.334, 845.5988, 1787.482, 1339.048, 93.96017, 743.8835, 1325.197, 1305.79, 2580.851, 2303.767, 630.3294, 2224.444, 0.3421005, 1268.194
216.2, 662.7676, 269.0013, 469.7075, 3085.381, 50.17579, 746.7821, 3590.522, 1514.773, 2633.951, 4455.639, 1516.513, 2242.244, 25.94219, 4472.284, 4166.428, 5092.829, 8549.122, 1913.002, 1691.17, 6394.018, 999.7884, 1711.813, 1831.701, 1087.207, 8382.83, 1390.529, 2582.129, 120.2838, 810.0875, 1817.312, 1340.383, 89.95705, 711.9211, 1312.752, 1353.435, 2543.359, 2414.98, 651.8412, 2321.536, 0.3279146, 1213.609
216.3, 688.4362, 256.6471, 447.8306, 2992.685, 48.06912, 714.0238, 3471.045, 1449.472, 2780.115, 4305.79, 1452.556, 2146.793, 24.76363, 4457.344, 3995.677, 4985.796, 8339.904, 1914.743, 1614.35, 6469.998, 996.4507, 1760.285, 1754.901, 1041.116, 8496.76, 1527.841, 2725.694, 114.5234, 776.0675, 1751.156, 1295.533, 86.12447, 681.332, 1270.172, 1297.738, 2439.599, 2350.122, 671.5569, 2226.818, 0.314317, 1161.372
216.4, 657.6232, 244.8603, 426.9726, 3080.256, 46.0509, 682.7025, 3474.041, 1386.986, 2658.162, 4278.525, 1391.297, 2213.461, 23.63861, 4431.887, 3831.925, 4909.546, 8316.012, 1835.288, 1761.816, 6472.516, 952.9395, 1788.421, 1681.32, 1082.393, 8305.953, 1474.275, 2714.949, 109.0389, 743.4762, 1787.774, 1311.863, 82.45518, 652.0572, 1216.976, 1281.872, 2340.072, 2357.168, 715.3828, 2293.659, 0.3012832, 1178.949
216.5, 628.1893, 233.6148, 407.0861, 3269.788, 44.11742, 690.0355, 3679.356, 1380.764, 2572.728, 4101.522, 1579.099, 2239.581, 22.5647, 4272.149, 3992.011, 4904.215, 7978.943, 1759.13, 1681.786, 6433.344, 938.0491, 1835.465, 1904.912, 1036.506, 8251.251, 1411.788, 2604.262, 103.817, 712.2535, 1708.884, 1250.741, 78.94222, 624.0403, 1166.008, 1229.12, 2355.08, 2259.318, 685.582, 2200.078, 0.2887899, 1284.794
216.6, 600.0729, 222.8858, 388.1258, 3294.239, 42.26511, 710.781, 3764.106, 1321.24, 2565.931, 4351.034, 1512.503, 2261.951, 21.53958, 4176.427, 3828.409, 4882.629, 7917.547, 1789.593, 1605.392, 6172.756, 897.0881, 1815.654, 1825.042, 992.5646, 8278.582, 1351.949, 2601.035, 98.84517, 682.3421, 1651.205, 1192.467, 75.57893, 597.2272, 1117.175, 1244.857, 2506.16, 2338.498, 657.0226, 2244.628, 0.2768146, 1229.494
216.7, 573.2148, 212.6495, 370.0486, 3168.083, 40.49057, 710.0057, 3608.762, 1379.497, 2519.043, 4171.032, 1463.551, 2278.198, 20.56103, 4219.938, 3927.791, 4881.275, 8035.487, 1715.331, 1532.468, 6239.833, 857.9157, 1774.181, 1748.521, 950.4858, 8199.161, 1294.647, 2494.993, 94.11146, 653.6868, 1645.436, 1136.908, 72.35892, 571.5662, 1070.387, 1277.729, 2530.832, 2241.314, 629.6529, 2153.048, 0.265336, 1279.063
216.8, 649.1415, 202.8833, 352.8134, 3216.586, 38.79054, 678.8606, 3771.037, 1320.028, 2408.543, 4132.388, 1401.828, 2314.465, 19.62693, 4132.201, 3766.821, 4784.754, 7881.454, 1867.367, 1498.645, 6293.634, 820.4538, 1696.623, 1675.209, 997.2174, 8133.746, 1256.529, 2464.386, 89.60445, 626.2349, 1572.827, 1193.765, 69.27611, 547.0077, 1025.559, 1225.146, 2427.583, 2175.616, 603.4233, 2065.204, 0.2543333, 1338.4
216.9, 620.0873, 193.5657, 336.3809, 3362.065, 37.16189, 716.2163, 3773.033, 1263.122, 2302.89, 4028.403, 1529.569, 2215.939, 18.73528, 4186.079, 3767.101, 4827.894, 7604.948, 1789.878, 1430.57, 6093.233, 847.5656, 1713.912, 1816.5, 954.9414, 8193.998, 1203.271, 2396.134, 85.31328, 713.1039, 1503.422, 1138.145, 66.32463, 523.5045, 1072.309, 1174.728, 2473.551, 2214.059, 578.2864, 1980.944, 0.2437868, 1280.793
217, 592.3334, 184.6759, 320.7137, 3224.165, 35.60162, 684.7988, 3679.294, 1208.67, 2201.872, 3943.059, 1465.062, 2428.092, 17.88413, 4198.738, 3654.53, 4649.799, 7561.752, 1715.604, 1409.973, 6119.109, 810.5557, 1638.989, 1857.67, 914.4576, 8188.781, 1294.233, 2304.294, 81.22762, 683.1568, 1542.794, 1085.118, 63.4989, 501.011, 1082.635, 1126.385, 2621.365, 2223.046, 554.1967, 2081.705, 0.2336777, 1472.097
217.1, 565.8218, 176.1945, 305.7763, 3281.026, 34.10686, 654.7594, 3684.104, 1156.565, 2105.284, 3799.842, 1432.43, 2455.63, 17.07165, 4054.654, 3504.759, 4649.905, 7586.706, 1719.538, 1345.925, 6135.565, 775.1618, 1587.406, 1779.781, 875.6901, 8125.692, 1239.377, 2494.187, 77.33762, 675.6838, 1522.527, 1077.811, 60.79356, 479.4841, 1097.563, 1151.148, 2514.423, 2381.414, 531.1104, 1996.772, 0.2239878, 1408.735
217.2, 540.4968, 168.1025, 291.5346, 3315.695, 32.67485, 626.0377, 3646.549, 1106.706, 2100.63, 3723.386, 1418.677, 2365.915, 16.29608, 4119.754, 3638.175, 4459.891, 7556.549, 1884.604, 1336.515, 6130.713, 741.3135, 1825.856, 1705.157, 894.6878, 8101.906, 1186.846, 2436.929, 73.63391, 681.1223, 1465.361, 1158.191, 58.20348, 458.8821, 1051.596, 1103.775, 2411.844, 2282.446, 508.9859, 1915.304, 0.2146997, 1382.502
217.3, 516.3052, 160.3822, 277.9562, 3324.507, 31.30297, 678.5573, 3640.666, 1058.996, 2064.913, 3760.701, 1522.515, 2383.068, 15.55574, 3950.894, 3700.454, 4450.605, 7307.096, 2017.318, 1302.829, 6121.982, 717.3521, 1746.04, 1662.828, 856.7584, 7995.074, 1255.534, 2411.657, 70.10757, 652.5182, 1430.734, 1104.229, 55.72375, 439.1654, 1176.274, 1118.039, 2702.535, 2211.737, 487.783, 1837.16, 0.2057968, 1336.998
