 , C001, C002, C003, C005, C007, C008, C009, C010, C011, C013, C015, C017, C018, C019, C020, C021, C022, C024, C025, C026, C028, C029, C031, C033, C036, C039, C040, C041, C042, C044, C048, C050, C052, C054, C057, C058, C061, C065, C072, C073, C100, C102, C103, C123, C132, C133, C142
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
25.7, 280.8727, 806.3087, 343.7498, 3.772403, 75.00426, 411.785, 243.3667, 346.8937, 94.3104, 2.06157, 505.6235, 189.2308, 50.94684, 1123.846, 1114.522, 1041.363, 1185.041, 20.7932, 411.1399, 167.1502, 26.91167, 1187.842, 516.9983, 218.4284, 1.836135, 188.3741, 368.9353, 723.171, 313.5907, 0, 5.742511, 404.1697, 476.0473, 798.2038, 915.5156, 871.1934, 227.0753, 82.90826, 345.6954, 295.0894, 542.6938, 653.5169, 130.3453, 1076.169, 501.4086, 698.9394, 1461.157
25.8, 267.7466, 818.9301, 328.9474, 3.612206, 71.44978, 392.9572, 230.8826, 327.895, 89.64486, 1.962355, 545.3581, 180.303, 62.61197, 1093.267, 1068.221, 1021.223, 1273.86, 19.80087, 394.4541, 160.3392, 25.63261, 1179.399, 530.1944, 209.4425, 1.761052, 180.6948, 353.564, 690.5294, 300.8776, 0, 5.507245, 386.4964, 456.0874, 759.0972, 876.1003, 997.2236, 215.2867, 79.35715, 330.5472, 282.3052, 550.6585, 739.4056, 124.438, 1081.296, 475.3239, 665.1672, 1495.782
25.9, 255.234, 909.2555, 365.5528, 3.458811, 175.3626, 400.4214, 219.0389, 309.9367, 85.21011, 1.867916, 531.73, 171.7964, 60.06021, 1208.401, 1052.478, 977.3855, 1304.923, 18.85589, 500.3293, 153.8058, 24.41434, 1130.466, 536.4114, 200.8262, 1.689039, 173.3286, 338.833, 659.3611, 288.6798, 0, 5.281618, 369.596, 436.9644, 785.9287, 880.8489, 954.373, 226.1427, 75.95813, 316.0628, 270.075, 526.1241, 751.9094, 296.4973, 1106.229, 450.5961, 633.0268, 1666.834
26, 243.3061, 869.9999, 349.8116, 3.311931, 167.0521, 487.3811, 239.8936, 292.962, 80.99476, 1.778021, 553.9034, 163.6912, 91.07273, 1303.092, 1002.832, 935.4294, 1290.674, 17.95601, 489.5446, 147.5386, 23.25397, 1124.065, 514.128, 192.5645, 1.619971, 166.2626, 324.7159, 629.5996, 303.4109, 0, 5.065234, 416.492, 436.8251, 747.4235, 842.9261, 995.6415, 214.4025, 374.2772, 350.8262, 317.1373, 502.6829, 763.5158, 283.06, 1058.898, 470.8388, 670.4197, 1615.651
26.1, 297.276, 832.4392, 359.5724, 3.171287, 159.1354, 465.0969, 227.5877, 330.443, 76.98794, 1.692453, 529.6237, 155.9684, 87.36106, 1246.757, 955.5285, 1036.534, 1237.275, 17.09907, 469.6768, 141.5267, 197.9228, 1126.131, 524.3751, 267.5758, 1.553727, 159.4848, 311.1869, 689.3336, 291.1105, 0, 4.857716, 418.4763, 455.0298, 710.8048, 806.636, 952.8588, 203.2718, 358.2462, 335.4532, 328.1618, 480.286, 795.4738, 296.2318, 1154.206, 462.3554, 638.0255, 1539.175
26.2, 283.3833, 848.1174, 384.4528, 3.036617, 151.5939, 443.8315, 332.9936, 387.4239, 73.17933, 1.611002, 581.431, 148.6099, 83.80066, 1255.82, 986.3214, 992.0386, 1271.509, 16.28304, 450.6153, 135.7598, 212.4446, 1079.408, 557.8041, 256.568, 1.490193, 152.9832, 298.2216, 658.2192, 279.3087, 150.9182, 4.6587, 400.1775, 435.9511, 675.9802, 805.6105, 911.9146, 301.4936, 472.2158, 320.7538, 334.9119, 540.5986, 760.1446, 339.0078, 1104.822, 438.3023, 662.2064, 1554.439
26.3, 303.0155, 811.5014, 401.3634, 2.907665, 144.4098, 423.5384, 315.9119, 366.2054, 69.55914, 1.533472, 572.2968, 141.5986, 80.38536, 1285.145, 1063.007, 1020.801, 1218.903, 15.50595, 529.6573, 130.228, 330.0723, 1034.624, 534.6321, 246.0131, 1.429256, 146.7467, 323.7345, 688.4008, 267.9854, 204.3861, 4.467837, 489.9474, 512.0088, 642.8617, 797.7424, 919.3427, 285.8416, 451.9899, 460.5117, 320.4026, 516.5125, 760.5951, 349.9299, 1057.551, 611.6949, 791.8163, 1646.619
26.4, 288.8546, 776.4662, 384.0802, 2.784189, 205.0021, 553.6962, 331.1202, 346.149, 66.11804, 1.459673, 547.2107, 353.6692, 77.10925, 1229.586, 1083.299, 976.9814, 1168.474, 14.76594, 567.4235, 124.9215, 343.7012, 1044.369, 548.2319, 372.8356, 1.370811, 146.1758, 362.6223, 777.1816, 257.1211, 195.0514, 4.284793, 468.5234, 490.5411, 611.3658, 840.6331, 931.0577, 271.002, 432.6304, 440.3323, 385.2703, 589.7036, 726.815, 428.6475, 1075.155, 579.8727, 753.5565, 1588.064
26.5, 275.3555, 742.9435, 367.5412, 2.665956, 195.2869, 531.0511, 389.0051, 359.7919, 62.84718, 1.389425, 581.4282, 369.8976, 101.2829, 1176.428, 1252.697, 935.0427, 1156.141, 14.06125, 634.427, 119.8312, 368.3537, 1001.038, 654.2795, 357.4976, 1.314756, 207.2395, 442.0755, 742.1021, 246.6972, 282.5467, 4.109249, 508.2026, 469.9734, 656.7318, 804.4417, 1002.211, 342.163, 414.1, 446.5619, 450.9016, 563.4296, 841.5446, 440.8379, 1029.153, 549.7059, 773.9901, 1578.846
26.6, 262.4873, 710.8682, 382.6069, 2.552745, 330.765, 664.1553, 369.0502, 340.0867, 59.73812, 1.322558, 582.1533, 384.0904, 97.15514, 1125.569, 1509.875, 1023.228, 1247.908, 310.5804, 649.0037, 164.7496, 350.8466, 1116.105, 627.0997, 342.7905, 1.260993, 211.6356, 581.0463, 763.4468, 236.696, 330.9553, 3.940897, 485.9803, 450.2682, 624.5563, 818.5557, 959.1465, 376.8614, 396.3634, 508.4363, 443.8, 538.3262, 804.1693, 496.2686, 985.1199, 521.1086, 878.8817, 1504.111
